汉字	音标	注释
多	to⁴⁴	
拖	tʰo⁴⁴	
驼	tʰo²²	
舵	tʰo²²▲	
大	tʰou⁴⁴▲	
罗	lo²²	
锣	lo³	
箩	lo²²	
左	tso³¹⁴	
搓	tsʰa⁴⁴	
歌	ko⁴⁴	
哥	ko⁴⁴老虎~~	
哥	ko³字音▲	
哥	ko³鹩~	
个	ka⁴⁵	
可	kʰo³¹⁴	
鹅	ŋo²²天~	
鹅	ŋo³	
我	ŋa⁴⁵	
饿	ŋo⁴⁴	
河	ho²²	
何	ho²²	
荷	ho²²	~花
贺	ho⁴⁴	
茄	kʰo³	
波	po⁴⁴	
菠	po⁴⁴	
簸	po⁴⁵	~箕
坡	po⁴⁴▲	
玻	po⁴⁴▲	
破	pʰo⁴⁵	
婆	pu³¹⁴姼~▲	
婆	pʰo²²老姑~	
婆	pʰo³两公~	
魔	mo²²	
磨	mo²²	~刀
磨	mo³	~石
朵	to³¹⁴	
妥	tʰo³¹⁴	
糯	lo⁴⁴	
脶	lo²²	指纹
螺	lo²²田~	
螺	lo³石~	
坐	tsʰo⁴⁵	
座	tsʰo⁴⁴	
蓑	so⁴⁴	
锁	so³¹⁴	
果	ko³¹⁴	
过	ka⁴⁵	
过	ko⁴⁵	
科	kʰo⁴⁴	
课	kʰo⁴⁵	
卧	ŋo⁴⁴	
火	ho³¹⁴	
货	kʰo⁴⁵	
和	ho²²	~气
禾	o²²	
祸	ho⁴⁴	
窝	o⁴⁴	
靴	sye⁴⁴	
巴	pou⁴⁴	
疤	pou⁴⁴	
把	pou³¹⁴	~握
霸	pou⁴⁵	
把	pou³¹⁴▲	柄
坝	pou⁴⁵	
怕	pʰou⁴⁵	
帕	pʰou³	
爬	pʰou²²	
麻	mou²²~子	
麻	mou³~哩	
马	mou⁴⁵	
骂	mou⁴⁵▲	
拿	lou²²	
茶	tsʰou²²	
搽	tsʰou²²	
渣	tsou⁴⁴	
榨	tsou⁴⁵	
叉	tsʰou⁴⁴打~	
叉	tsʰou³丫~	
差	tsʰou⁴⁴	~别
查	tsʰou²²	调~
沙	sou³	
纱	sou⁴⁴	
家	kou⁴⁴	
加	kou⁴⁴	
假	kou³¹⁴	真~
架	kou⁴⁵	
嫁	kou⁴⁵	
价	kou⁴⁵	
牙	ŋou²²	
芽	ŋou³	
雅	ŋou³	
虾	hou³	
霞	hou²²	
下	hou⁴⁴~底	
下	hou³底~	
下	hou⁴⁵▲	~山
