#调值	①52	②24	③44	④31	⑤224	⑥213	⑦5	⑧23
#ɿ								
ts	①斋☐{原书作「斋」，竖立}⑤债							
tsʰ	①差{出～}⑤蔡							
dz	⑥☐{排泄（小便）}							
s	①筛③洒							
z	②柴							
k	①街家{白}加{白}③假{白；真～}贾解{～开}⑤假{白；放～}嫁{白}架{白}稼{白}尬戒界							
kʰ	①揩③楷卡{一张～}⑤卡{原书作阳去调，不符合实际；～住}							
ɡ	②茄{番～；辣～，辣椒；～子}④☐{干活不卖力}							
ŋ	②牙芽衙☐{原书记录，实际本字为「牙」；啃，～骨头}⑥外							
h	①☐{揍}③蟹							
	③矮							
ɦ	②鞋							
#iɑ								
t	①爹							
ts	⑤借							
s	③写⑤泻卸							
z	②斜邪☐{奔跑}⑥谢							
tɕ	①家{文}加{文}阶③假{文：真～}贾抓解{～决}⑤假{文；放假}							
tɕʰ	①扯{撕（多强调把东西撕碎、撕毁）}③☐{指女子大大咧咧，不文静（贬义）}							
dʑ	②☐{扑克牌中的J}☐{忍受，将就；吃点素菜～～吧}④☐{原书记录，本字是「惹」；惹，～嫌（多形容小孩子淘气）}							
	③下{文}夏{文}雅⑤厦啥							
ɦ	②霞{原书作阴平，不符合实际}瑕{原书作阴平，不符合实际}爷亚④野也⑥夜							
#uɑ								
k	①乖③拐⑤怪							
kʰ	⑤快							
h	①歪{原书读音，存疑}							
	①蛙							
ɦ	②淮怀槐⑥坏							
#ɛ								
p	①掰斑班颁扳般③板版⑤扮绊{1.挡住或缠住，使跌倒或行走不方便2.用绳或线缠住物体，使之不松散}							
pʰ	①攀⑤襻							
b	⑥瓣办爿							
m	②埋③蛮⑥慢万{麻将用语}							
f	①翻③反⑤泛贩							
v	②凡帆烦④范犯饭							
t	①担{～当}丹☐{抬起头；抬着头}单☐{赠送，给予}③胆⑤旦担{量词}							
tʰ	①坍滩胎摊{～开}③毯坦⑤炭叹态							
d	②谈痰檀台弹{～琴}④淡怠待诞⑥但抬贷代袋弹{子～}							
n	②难{～易}☐{副词，相当于‘这一下’，总用在句首，单独成词。2.时间名词，现在、最近。}④乃⑥难{灾～}耐奈{落～}							
l	②兰拦栏篮蓝来④懒揽⑥烂滥赖							
ts	①搀灾载☐{原书记录，本字可能是「斩」；剁}③宰斩盏⑤再蘸							
tsʰ	①猜③产彩采铲⑤菜							
dz	②谗残惭才材财④在站{站立}赚暂☐{（上坡，楼梯等）陡峭}⑥栈站{车站，～头}☐{（颗粒）饱满}							
s	①杉衫珊山删三⑤伞散赛							
z	②裁⑥溅							
k	①该尴监{白}间{中～}③改减碱简拣{挑选}⑤概丐橄间{白；～断}							
kʰ	①铅开③凯⑤嵌{白}							
ɡ	④☐{打嗝}⑥隑							
ŋ	②癌颜呆{～板，表示情况明确}④眼⑥碍							
h	③海⑤喊							
	①哀⑤爱晏							
ɦ	②闲孩衔咸④亥限⑥害械							
#uɛ								
k	①关⑤惯							
kʰ	①筷{原书记录；实际是「筷」的儿化&小称变调读法}							
ɡ	②环④☐{用力摔（某物）}							
h	⑤☐{甩}甩							
	①弯{弯曲}湾							
ɦ	②还弯{顺路去一下某处}							
#o								
p	①包胞③保堡宝饱⑤报豹爆							
pʰ	①泡{名词}抛⑤炮疱泡{动词}							
b	②跑{走}刨袍④抱⑥暴雹							
m	②茅猫锚矛毛④牡卯⑥冒帽貌							
t	①刀叨③岛倒{～下}⑤倒{～水}到							
tʰ	①掏滔③讨⑤套							
d	②逃桃陶萄☐{伙伴}④道稻⑥盗导☐{搅拌}							
n	④脑⑥闹							
l	①捞②劳牢唠④老⑥涝							
ts	①糟遭③早枣⑤罩灶							
tsʰ	①抄钞操③草吵炒⑤糙							
dz	②☐{一种烹饪方法，把蔬菜瓜果放入油中炒，不加水，不盖锅盖，炒熟后就倒在盘中加上佐料即可食用。}							
s	①梢骚③扫嫂⑤稍☐{东西卖得好}							
z	②曹槽④皂造☐{踩踏}							
k	①高膏糕胶交{～作业}③稿绞⑤告教{白}觉{睡～}							
kʰ	①敲③考⑤铐靠☐{舀}							
ɡ	④搞							
ŋ	②熬④咬⑥傲							
h	①蒿③好⑤耗孝{白}好{爱～}							
	①拗熝③懊⑤奥☐{原书作「奥」，存疑；争论，斗嘴，坚持己见}							
ɦ	②毫豪壕④浩⑥号							
#io								
tɕ	①浇郊朝{今～}招娇骄交{～通}③沼缴饺狡⑤照叫教{白}校{～正}							
tɕʰ	①超☐{勺子}③巧⑤翘窍							
dʑ	②朝{～对，正对}潮侨桥乔轿④赵兆⑥召							
ȵ	②饶⑥绕							
ɕ	①烧嚣③少晓⑤孝{文}							
ʑ	②邵④绍							
	①妖邀腰要{～求}幺{～喝}③杳⑤要							
ɦ	②摇淆谣窑☐{掰，折}④舀⑥效校耀							
#ɤ								
p	①搬⑤半绊							
pʰ	①潘判							
b	②盘④拌伴☐{吵架}⑥叛☐{藏，躲}							
m	②瞒馒④满⑥漫							
t	①端③短掸⑤锻							
tʰ	①摊{一种烹饪方法，把搅拌好的鸡蛋或面糊放在锅里摊开}⑤☐{把套着的东西取下来}							
d	②团④断⑥段缎							
n	④暖⑥囡{女儿}							
l	②☐{请别人抽烟}④卵⑥乱							
ts	①钻{动词}⑤钻{木工用具}							
tsʰ	①☐{排泄（大小便）}⑤窜							
s	①酸⑤算蒜							
k	①干肝竿③赶⑤干{～部}							
kʰ	①看{～守}⑤看{～见}							
h	③罕⑤汉熯							
	①安⑤案按							
ɦ	②寒韩④旱⑥汗焊							
#iɤ								
p	①彪标③表							
pʰ	①飘③漂⑤票							
b	②嫖瓢							
f	⑤覅{俗字；「不要」的合音}							
m	①瞄②苗描瞄④渺秒⑥庙妙							
t	①叼雕③鸟⑤吊钓							
tʰ	①挑⑤跳{～远}							
d	②条调{～节}跳{～脚拍手}④调{～动}⑥掉调{音～}							
l	②聊撩燎④了⑥疗料							
ts	①焦蕉③剿							
tsʰ	①☐{袖子或裤管往上卷}③悄⑤俏							
s	①萧箫消宵霄销③小⑤笑鞘							
tɕ	①捐专砖瞻娟③卷转{返回}⑤占转{～圈}战							
tɕʰ	①圈{圆～}穿川③犬⑤串券劝							
dʑ	②拳颧权传{～递}篆掾缠④☐{（错误地）认为，～错}⑥传{～记}圈{猪～}							
ȵ	②元源原④远{仅限于「长～」，可能是韵母顺同化产生的读音}⑥愿							
