#a
p[1]巴芭疤吧笆琶杷[2]爸耙 [3]把 [5]灞壩罷
ph[2]爬钯 [5]怕帕
m[1]媽[2]麻蟆痂[3]馬碼[5]罵 
t[3]打 [5]大
n [2]拿[3]哪[5]那
x[3]傻 
Ø[1]阿
ts[1]查渣 [5]詐榨炸茬乍閘煠
tsh[1]叉杈差差[2]茶搽查[5]岔
s[1]沙紗痧砂杉[3]灑

#o
p [1]波菠玻 [3]簸跛 [5]播
ph [1]坡[2]婆[3]頗剖[5]破
m[1]摩摹摸[2]魔磨 [3]抹 [5]磨
t [1]多 [3]朵躲 [5]舵剁惰墮摞
th[1]拖 [2]駝駄 [3]妥椭[5]唾
n [1]囉[2]挪羅鑼籮蘿騾螺膈 [3]裸 [5]糯樂
k [1]歌哥鍋戈 [3]果裹倮 [5]個過
kh[1]科窠擱 [3]可 [5]課
x[1]喝 [2]荷何河荷和禾 [3]火夥伙 [5]荷贺貨禍和
Ø [1]倭窩蒿涴 [2]蛾鹅俄 [5]餓卧恶
ŋ [2]訛 [3]我[5]鄂恶
ts [3]左佐[5]坐座
tsh[1]搓[5]銼矬措錯錯
s [1]娑蓑梭唆[3]鎖瑣所
z [7]若弱箬

#ɵ
p [7]鉢撥脖博縛剥駁
pʰ [7]潑鲅卜
m [7]末沫莫寞
tʰ [7]脱奪托託拓鐸
n [7]諾落烙酪洛駱絡
k [7]鸽割葛各閣角
kʰ [7]磕渴殻
x [7]合盒喝活鹤霍藿或獲
Ø [7]鳄腭愕
ts [7]作昨着卓桌琢捉
tsh [7]撮鑿綽戳濁
s [7]説索朔碩縮
z [7]若弱箬

#e
p[7]北百柏伯白帛陌 
ph[7]泊迫拍魄
m[7]墨默脈麥
t[7]得德
th[7]特
l[7]捺劣勒肋
k[7]胳格骼革隔嗝
kh [7]克刻客
x[5]嚇 [7]黑赫核 
ŋ[7]額厄扼軛
ts[1]遮[3]者[5]蔗[7]褶哲蜇折浙則仄側窄摘責
tsh [1]笪車 [3]扯 [5]厕 [7]撤徹 轍澈恻測拆宅擇澤册策
s [1]賒奢 [2]蛇佘畲 [3]捨 [5]射麝赦舍社射[7]攝涉澀舌設瑟蟊塞色嗇
z [3]惹 [7]熱

#i
p [3]彼比 [5]蔽敝弊幣斃閉俾譬婢避庇備篦擘[7]筆畢必逼碧璧壁
ph [1]屄 [2]皮疲脾秕琵枇痞匹 [3]鄙 [5]痹屁
m [1]秘泌 [2]迷謎糜彌靡眉篾 [3]米 [7]密蜜覓
t[1]爹低 [3]底抵屜 [5]帝蒂弟第遞隷地[7]的滴嫡狄笛敵滌
th[1]梯剔[2]堤題提蹄啼[3]體 [5]替涕剃
n[2]犁黎離籬璃離梨釐[3]禮狸李里理裏鯉[5]例厲勵麗莉荔利痢吏 [7]立栗力歷曆
Ø[1]耶蟻倚伊醫衣依[2]姨夷鮐怡貽遗[3]也野椅以已[5]爺椰夜詣移易肄意異憶億翼液腋易[7]揖邑乙一壹逸抑亦譯
tɕ [1]去{存疑}鷄稽羁奇飢肌几基箕姬機譏饑幾[2]臍[3]姐擠己紀幾蟣 [5]借藉祭際濟薺劑計繼繫髻寄技妓冀記忌既季 [7]緝集輯急級給及吸疾即鲫棘極戟脊跡積籍績寂激撃
tɕh[1]妻凄慷棲溪奚欺期[2]齊畦奇騎岐祁棋旗其祈[3]且啓起杞豈[5]契企器棄氣汽[7]七漆訖乞
ɕ [1]些西犀兮携犧嬉熙嘻禧希稀 [2]褯邪 [3]寫瀉洗璽徙喜嬉 [5]謝細婿系繫係戲[7]習襲悉息熄媳昔惜夕席析錫
ȵ[2]泥倪宜尼呢疑[3]你擬[5]兿儀誼義議膩[7]匿逆溺

#uᶹ
p[3]補[5]布佈怖部簿步
ph[1]鋪[2]蒲菩脯葡[3]譜普浦捕甫脯[5]鋪
m[2]模膜[3]母拇[5]暮慕墓募幕
f[1]呼夫膚敷俘孵麸[2]胡湖糊狐壺乎葫蝴鬍瓠符扶芙釜浮斛[3]虎滸府腑俯斧撫腐輔[5]户滬互護付賦傅咐赴訃父附富副負婦
t[1]都[3]堵賭肚肚[5]妒杜度渡镀
th[2]途屠徒塗圖[3]土吐[5]兔
n [2]奴盧爐蘆鸕廬驢[3]努魯橹虜[5]怒路賂露鷺
k[1]姑孤辜[3]古估牯股鼓[5]賈故固雇顧
kh[1]箍枯[3]苦[5]庫褲
