#a
p[2]排[3]摆罢拜[5]爸牌稗败[7]八钵拨
pʰ[5]派[7]泼
m[2]埋[3]妈卖[5]骂{文}买[7]抹末沫
f[1]灰活[2]回茴乏法[3]海怀淮槐[5]亥坏
t[3]戴[5]大带[7]带{带子}答搭达竹
tʰ[3]太泰态[5]他{文}[7]沓踏榻塔拓塌脱溻
n[3]奈乃[7]纳
l[1]辣六绿[2]瘌[3]赖癞[7]腊蜡
ts[3]滓[7]集袭擦札扎轧质撮织职籍藉夕积
tsʰ[1]差{~别}[5]搓差{参~}[7]杂殖植
s[1]洒撒食蚀[3]耍帅[7]萨识式饰惜昔席
k[2]割葛[3]个
kʰ[7]极曲局
ŋ[3]我[5]刈[7]玉
h[1]合盒匣[3]孩鞋谐[5]害[7]合{十分之一升}恰峡
∅[1]拿[3]矮[5]阿[7]鸭押压

#ai
p[2]琵批[3]波脾臂比痹庇秘泌[5]跛蔽敝弊币毙闭陛碑卑避备鼻篦[7]憋笔毕必
pʰ[3]彼俾[5]蓖披疲被屁[7]匹僻闭碧
m[1]密蜜[2]靡糜媚眉寐[5]奶迷谜谋[7]迈
f[3]肺浮
t[1]低兜[2]堤头投[3]呆题提啼底抵斗抖陡[5]帝弟递隶的{目~}地迟豆逗[7]狄
tʰ[1]偷[3]体睇{看}[5]弟替涕剃透
n[2]泥尼[5]腻
l[1]笠粒栗[3]缕屡厉犁黎离璃篱履厘李鲤[5]例励礼丽利痢梨里理立
ts[1]灾栽斋[3]姐剂姊[5]债祭际称济制
tsʰ[1]猜钗差{出~}妻[2]柴[3]愁齐[5]砌[7]蛰七漆膝
s[1]筛{~子}西[3]晒筛{~东西}洗细婿徙玺死摘[5]世势誓逝四肆叟适释瘦搜飕馊射[7]习悉息熄媳
j[3]荣
k[1]皆阶秸揩楷佳街几机讥饥{~荒}[3]介界芥尬届戒懈解寄肌己纪狗句够构购饥{~饿}[5]鸡髻计继系{~鞋带}冀基记忌勾沟钩勾{~当}[7]击激急吉
kʰ[1]技妓抠[2]奇骑祈[3]启祁鳍器其棋期旗气汽口[5]稽溪契奚兮企岐欺熙扣叩寇[7]级及吸
ŋ[1]入[3]寓爰蔼换隘艺翅谊议宜仪二贰疑偶藕凝[5]艾哀埃捱倪缢瞖义蚁耳饵拟[7]日
h[1]牺希稀[3]起杞喜蟢岂[5]械系{连~}戏弃
∅[3]羽倚意异[5]椅医衣依

#au
p[1]波菠坡玻颇疤[2]杷划[3]簸{~箕}婆把霸把坝耙爬琶补布[5]簸{~一~}巴怖步捕帕
pʰ[3]脯谱普浦[5]破铺部剖
m[2]魔磨麻[3]摩馍马暮慕墓募模摹务雾摸[5]蟆玛
f[1]花[2]华铧桦[3]否阜[5]化话画
t[1]多[2]舵驮徒屠途涂图[3]驼朵肚堵赌住镀打{文}[5]剁妒度渡镀厨槌锤
tʰ[2]惰[3]妥椭吐土[5]拖杜吐{呕~}兔
n[2]奴[3]糯女[5]努
l[1]唠拉[2]螺庐炉芦鸬捋[3]罗箩摞虑滤[5]锣骡驴吕旅狸泪
ts[1]渣抓[2]卒[3]左佐祖阻嘴醉[5]诈榨做租[7]炸
tsʰ[1]蛆[2]茬徐锄[3]茶搽查错醋措楚础助取娶聚[5]坐锉莝座叉杈粗序叙初趣出岔
s[1]沙虽绥[2]戍[3]锁琐素诉所树竖[5]梭唆纱苏酥梳疏蔬须需数输漱杉[7]勺
k[1]家加痂嘉居车[3]过贷假{真~}嫁价举巨据踞俱矩具惧挂卦[5]贾稼假{放~}锯[7]桔
kʰ[1]科枢区驱拘驹[2]瘸[3]窠[5]茄
