例字	沙坡头文昌	沙坡头宣和	沙坡头迎水桥	沙坡头永康	沙坡头香山	中宁舟塔	海原海城	海原李旺	
星	ɕiŋ44	ɕiŋ44	ɕiŋ44	ɕiŋ44	ɕiŋ44	ɕiŋ44	ɕiŋ52	ɕiŋ132	
锡	ɕi13	ɕi13	ɕi13	ɕi13	ɕi13	ɕi13	ɕi13	ɕi132	
经(念～)	tɕiŋ44	tɕiŋ44	tɕiŋ44	tɕiŋ44	tɕiŋ44	tɕiŋ44	tɕiŋ52	tɕiŋ132	
横(～竖)	xuŋ13	xuŋ13	xuŋ13	xuŋ13	xuŋ13	xuŋ13	xəŋ13	xəŋ44	
兄	ɕyŋ44	ɕyŋ44	ɕyŋ44	ɕyŋ44	ɕyŋ44	ɕyŋ44	ɕyŋ52	ɕyŋ132	
荣	yŋ52	yŋ53	yŋ53	yŋ53	yŋ53	yŋ53	yŋ52	yŋ13	
倾	tɕʰiŋ44	tɕʰiŋ44	tɕʰiŋ44	tɕʰiŋ44	tɕʰiŋ44	tɕʰiŋ44	tɕʰiŋ52	tɕʰiŋ132	
木	mu13	mu13	mu13	mu13	mu13	mu13	mu13	mu132	
东	tuŋ44	tuŋ44	tuŋ44	tuŋ44	tuŋ44	tuŋ44	tuŋ52	tuŋ132	
懂	tuŋ52	tuŋ53	tuŋ53	tuŋ53	tuŋ53	tuŋ53	tuŋ52	tuŋ53	
冻(动词)	tuŋ13	tuŋ13	tuŋ13	tuŋ13	tuŋ13	tuŋ13	tuŋ13	tuŋ44	
通	tʰuŋ44	tʰuŋ44	tʰuŋ44	tʰuŋ44	tʰuŋ44	tʰuŋ44	tʰuŋ52	tʰuŋ132	
冷	ləŋ52	ləŋ53	ləŋ53	ləŋ53	ləŋ53	ləŋ53	ləŋ52	ləŋ53	
拆	tsʰə13	tsʰə13	tsʰə13	tsʰə13	tsʰə13	tsʰə13	tsʰei13	tsʰei132	
宅	tsə13	tsə13	tsə13	tsə13	tsə13	tsə13	tsei13	tsei132	
窄	tsə52	tsə53	tsə53	tsə53	tsə53	tsə53	tsei13	tsei53	
生(形容词)	səŋ44	səŋ44	səŋ44	səŋ44	səŋ44	səŋ44	səŋ52	səŋ132	
坑	kʰəŋ44	kʰəŋ44	kʰəŋ44	kʰəŋ44	kʰəŋ44	kʰəŋ44	kʰəŋ52	kʰəŋ132	
格(～子布)	kɑ13	kʰə13	ka13	kʰə13	kʰa13	kʰa13	kʰei13	kei132	
客	kʰɑ13	kʰə13	kʰa13	kʰə13	kʰə13	kʰə13	kʰei13	kʰei132	
硬	iŋ13	iŋ13	iŋ13	iŋ13	iŋ13	iŋ13	ȵiŋ13	ȵiŋ132	
额(～头)	ə13	ə13	ə13	ə13	ə13	ə13	nɛ13	nə132	
吓	ɕiɑ13	ɕia13	ɕia13	ɕia13	ɕia13	ɕia13	ɕia13	ɕia132	
杏	xəŋ13	xəŋ13	xəŋ13	xəŋ13	xəŋ13	xəŋ13	xəŋ13	xəŋ44	
棚	pʰəŋ52	pʰəŋ53	pʰəŋ53	pʰəŋ53	pʰəŋ53	pʰəŋ53	pʰəŋ13	pʰəŋ13	
麦	miɑ13	mia13	mia13	mia13	mia13	mia13	mei13	mi132	
脉(号～)	miɑ13	mia13	mia13	mia13	mia13	mia13	mei13	mei132	
摘	tsə13	tsə13	tsə13	tsə13	tsə13	tsʰə13	tsei13	tsei132	
责(～任)	tsə13	tsə13	tsə13	tsə13	tsə13	tsə13	tsei13	tsei132	
策(政～)	tsʰə13	tsʰə13	tsʰə13	tsʰə13	tsʰə13	tsʰə13	tsʰei13	tsʰei132	
隔(～天)	ka13	kə13	kə13	kə13	ka13	kə13	kei13	kei132	
争	tsəŋ44	tsəŋ44	tsəŋ44	tsəŋ44	tsəŋ44	tsəŋ44	tsəŋ52	tsəŋ132	
耕	kəŋ44	kəŋ44	kəŋ44	kəŋ44	kəŋ44	kəŋ44	kəŋ52	kəŋ132	
兵	piŋ44	piŋ44	piŋ44	piŋ44	piŋ44	piŋ44	piŋ52	piŋ132	
病	piŋ13	piŋ13	piŋ13	piŋ13	piŋ13	piŋ13	piŋ13	piŋ44	
命	miŋ13	miŋ13	miŋ13	miŋ13	miŋ13	miŋ13	miŋ13	miŋ44	
镜	tɕiŋ13	tɕiŋ13	tɕiŋ13	tɕiŋ13	tɕiŋ13	tɕiŋ13	tɕiŋ13	tɕiŋ44	
影(～子)	iŋ52	iŋ53	iŋ53	iŋ53	iŋ53	iŋ53	iŋ52	iŋ53	
北	piɑ13	pia13	pia13	pia13	pia13	pia13	pei13	pei132	
墨	miɑ13	mia13	mia13	mia13	mia13	mia13	mei13	mi132	
默(～想)	miɑ13	mia13	mia13	mia13	mia13	mia13	muə13	muə132	
灯	təŋ44	təŋ44	təŋ44	təŋ44	təŋ44	təŋ44	təŋ52	təŋ132	
特(～别)	tʰə13	tʰə13	tʰə13	tʰə13	tʰə13	tʰə13	tʰei13	tʰə132	
肋(～巴骨)	lia13	lia13	lia13	lia13	lia13	lia13	lei13	lei132	
增	tsəŋ44	tsəŋ44	tsəŋ44	tsəŋ44	tsəŋ44	tsəŋ44	tsəŋ52	tsəŋ132	
贼	tsei52	tsei53	tsei53	tsei53	tsei53	tsei53	tsei52	tsei13	
塞(～子)	sə13	sə13	sə13	sə13	sə13	sə13	sə13	sə132	
肯	kʰəŋ52	kʰəŋ53	kʰei53	kʰəŋ53	kʰəŋ53	kʰəŋ53	kʰəŋ52	kʰəŋ53	
刻(～章子)	kʰa13	kʰa13	kʰə13	kʰa13	kʰə13	kʰa13	kʰa13	kʰə132	
黑	xə13	xə13	xə13	xə13	xə13	xə13	xei13	xei132	
冰	piŋ44	piŋ44	piŋ44	piŋ44	piŋ44	piŋ44	piŋ52	piŋ132	
力	li13	li13	li13	li13	li13	li13	li13	li132	
直	tʂʅ13	tʂʅ13	tʂʅ13	tʂʅ13	tʂʅ13	tʂʅ13	tʂʅ13	tʂʅ13	
侧(～愣子)	tsə13	tsə13	tsə13	tsə13	tsə13	tsə13	tsei13	tsə132	
色(颜～)	sə13	sə13	sə13	sə13	sə13	sə13	sei13	sei132	
织	tʂʅ13	tʂʅ13	tʂʅ13	tʂʅ13	tʂʅ13	tʂʅ13	tʂʅ13	tʂʅ132	
升(一～)	ʂəŋ44	ʂəŋ44	ʂəŋ44	ʂəŋ44	ʂəŋ44	ʂəŋ44	ʂəŋ52	ʂəŋ132	
国	kuə13	kuə13	kuə13	kuə13	kuə13	kuə13	kuei13	kuə13	
或(～者)	xuə13	xuə13	xuə13	xuə13	xuə13	xuə13	xuei13	xuə132	
百	piɑ13	pia13	pia13	pia13	pia13	pia13	pei13	pei132	
迫(强～)	pʰuə13	pʰuə13	pʰuə13	pʰuə13	pʰə13	pʰuə13	pʰei13	pʰuə132	
