例字	沙坡头文昌	沙坡头宣和	沙坡头迎水桥	沙坡头永康	沙坡头香山	中宁舟塔	海原海城	海原李旺	
七(数词)	tɕʰi13	tɕʰi13	tɕʰi13	tɕʰi13	tɕʰi13	tɕʰi13	tɕʰi13	tɕʰi132	
新	ɕiei44	ɕiŋ44	ɕiei44	ɕiŋ44	ɕiŋ44	ɕiŋ44	ɕiŋ52	ɕiŋ132	
膝	ɕi13	ɕi13	ɕi13	ɕi13	ɕi13	ɕi13	ɕi13	ɕi132	
电	tiei13	tiai13	tiei13	tian13	tiæ̃13	tian13	tiæ13	tiæn44	
年	ȵiei52	ȵiai52	ȵiei53	ȵian53	ȵiæ̃53	ȵian53	ȵiæ13	ȵiæn13	
莲	liei52	liai52	liei53	lian53	liæ̃53	lian53	liæ13	liæn13	
节	tɕiə13	tɕiə13	tɕiə13	tɕiə13	tɕiə13	tɕiə13	tɕiə13	tɕiə13	
切(动词)	tɕʰiə13	tɕʰiə13	tɕʰiə13	tɕʰiə13	tɕʰiə13	tɕʰiə13	tɕʰiə13	tɕʰiə132	
肩	tɕiei44	tɕiai44	tɕiei44	tɕian44	tɕiæ̃44	tɕian44	tɕiæ52	tɕiæn132	
结	tɕiə13	tɕiə13	tɕiə13	tɕiə13	tɕiə13	tɕiə13	tɕiə13	tɕiə13	
烟	iei44	iai44	iei44	ian44	iæ̃44	ian44	iæ52	iæ132	
搬	pai44	pai44	pai44	pan44	pæ̃44	pan44	pæ52	pæn132	
半	pai13	pai13	pai13	pan13	pæ̃13	pan13	pæ13	pæn44	
拨	puə13	puə13	puə13	puə13	pə13	puə13	puə13	puə132	
满	mai52	mai52	mai53	man53	mæ̃53	man53	mæ52	mæn53	
端(～午)	tuai44	tuai44	tai44	tan44	tæ̃44	tan44	tuæ52	tæn132	
脱	tʰuə13	tʰuə13	tʰuə13	tʰuə13	tʰuə13	tʰuə13	tʰuə13	tʰuə132	
断	tuai13	tuai13	tuai13	tuan13	tuæ̃13	tuan13	tuæ13	tuæn44	
暖	nuai52	nuai52	nuai53	nan53	nuæ̃53	nan53	næ52	næn53	
乱	luai13	luai13	luai13	luan13	luæ̃13	luan13	luæ13	luæn44	
酸	suai44	suai44	suai44	suan44	suæ̃44	suan44	suæ52	suæn132	
官	kuai44	kuai44	kuai44	kuan44	kuæ̃44	kuan44	kuæ52	kuæn132	
换	xuai13	xuai13	xuai13	xuan13	xuæ̃13	xuan13	xuæ13	xuæn44	
活	xuə13	xuə13	xuə13	xuə13	xuə13	xuə13	xuə13	xuə13	
拴(门～)	ʂuai44	ʂuai44	ʂuai44	ʂuan44	ʂuæ̃44	ʂuan44	ʂuæ52	ʂuæn132	
刷	ʂuɑ13	ʂuɑ13	ʂua13	ʂua13	ʂua13	ʂua13	ʂua13	ʂua132	
关	kuai44	kuai44	kuai44	kuan44	kuæ̃44	kuan44	kuæ52	kuæn132	
刮	kuɑ13	kuɑ13	kua13	kua13	kua13	kua13	kua13	kua53	
还(～有)	xai13	xai13	xai13	xɛ13	xe13	xɛ13	xɛ13	xæn13	
八	pɑ13	pɑ13	pa13	pa13	pa13	pa13	pa13	pᴀ132	
办	pai13	pæ̃13	pai13	pan13	pæ̃13	pan13	pæ13	pæn44	
铲(动词)	tʂʰai52	tʂʰæ̃52	tʂʰai53	tʂʰan53	tʂʰæ̃53	tʂʰan53	tʂʰæ52	tsʰæn53	
山	ʂai44	ʂæ̃44	ʂai44	ʂan44	ʂæ̃44	ʂan44	sæ52	sæn132	
