#i	
ts	[1]珠{1，小圆玻璃珠}资{～本；投～}之{～字爿}芝{人名}滋{～润}[2]慈磁{～铁}[3]祖{3，公～：太爷}紫{2}子{1，～孙}[5]积{1，洪～}[6]自{～～：向来}住{靠不～}[7a]□{呼鸡声}
tsʰ	[3]此{故于～}□{瞌睡态}[5]次{一～；～序}[7a]趋{滑倒}
s	[1]输{1，负于他人}斯{～文}师{2，教～}私{1，自～；～人}司{1，～令}思{～想}[2]屿{鼓浪～：地名}辞{1，停～：无言以对}祠{祖～}嗣{后～}饲{2，～养}事{3，本～}时{1，～势仔：过得去}[3]所{1，～在}使{2，假～}史{历～}驶{2，驾～室}[5]恕赐四{1，“五～”；～散：各处}思{意～}[6]似{2，相～}士{棋子名}事{2，事情}侍{2，服～}[7a]□{吮吸}
k	[1]龟{1，金～：虫名，原文“蛄”}姑{1，姑母}孤{1，～怪}菇{1，香～}痀{𤸫～：驼背}欨{瘕～：咳嗽}糕{2}鸠{斑～}[2]旧{1，半～老：半新不旧}[3]久{2}[5]句{一～（话）}灸{针～}[6]舅旧[7a]□{蹲下}□{躲起来}
kʰ	[1]躯{，一～，一～棺柴：一口棺材}丘{一～（塍）}[2]求{3，用刀去（藤）皮}□{屈～：弯腰驼背，精神不振的样子}[6]臼{碓～：石臼}咎{恶～：凶残无比}
ɡ	[2]牛{1}[3]五{2，“～四”}伍{2，队～}午{2，下～}[6]又{3，～来}
h	[1]呼{1，喘气声}夫{2，利丈～：比男人还利害}肤{皮～}敷俘{～虏}麸{2，粉状}符{1，符合}灰{3，灰烬}[2]扶{1}芙{～蓉}腐{豆～；～化}符{2，下～：烧符咒}[3]府{政～}[5]付咐{吩～}赴富{2，～农}副[6]护父{2，师～；～母}附{香～：中药名}妇{2，～女}负{欺～；～担}
∅	[1]污{1，贪～}[2]愚{～拙：执拗}[5]恶{恶～：满脸不高兴的样子}裕{1，有～：有本钱}□{接近}[6]有{1}
#a	
p	[1]巴{古～}疤[2]钯{2，动词}[3]把{2，～握}饱[5]霸{恶～}豹□{躬身下蹲；俯撑着身子}[6]罢{～工}
pʰ	[1]抛{2}脬{卵～：阴囊}[5]怕{可～}泡{1，水泡}
b	[2]麻{2，麻木}猫{野猫}瞄□{粘住}[7a]□{肉}
t	[1]焦{乾}[2]□{竹～：草药名}[3]倒{3，～后：在后面}打{一～；～倒}[5]罩踔{跳跃状}[6]踏{踩踏}[7a]答{1，回答}搭{2，架上}
tʰ	[5]□{用尖的东西挑物}[6]沓[7a]塔搭{1，用杓装汤水}
l	[1]□{讨好人}[2]捞{2}蟧{～䗁：蜘蛛}[6]惹{1，招惹}□{用杓翻炒}腊邋{～遢}猎{拍～}
ts	[1]渣{2，渣滓}楂{2，山～}[3]早{1}[5]诈{奸～}炸[6]食{1，吃}[2]紮札{2}
tsʰ	[1]叉差{相差}车{车辆}奢{～花：浪费}抄{乱翻}[3]炒吵[7a]赤{1，色名}插{1，戳进}
s	[1]赊栅{木～}纱{2，芒～：茅草花}[3]捨[5]赦燥{1，焦～：干燥}[6]社{公～}麝{～香}闸{2，插上（门）}煠{食物放在开水里略煮取出}石{1，～榴}
k	[1]胶茭{～笋：茭白}铰{剪断；～刀：剪子}[3]绞{1}搅{1}㽱{腹中急痛}[5]教{1}酵{2，发～}[6]咬[7a]夹{4，夹上}甲胛{肩～}合{3，我～伊：我和他}
kʰ	[1]奇{奇数}尻{～川：臀部}骹{脚；～骨：小腿骨}[3]考{3，无～：没有功夫}巧{2，乖～}[5]敲{击打}[7a]夹{3，压在上面}恰{～好：更好}甲{1，～厅：正房大厅}
h	[1]薅{3，五指找物}[5]孝{2，带～}[6]□{笋～：笋壳底下的一层膜}
∅	[3]拗{1，折断}[5]亚{～州}[7a]鸦{老～：乌鸦；～鹊：喜鹊}鸭押压{1，强迫}轭{牛～}
#ia	
p	[2]爬琶{琵～}杷{枇～}钯{1，名词}耙[3]把{1，一～}[6]白{1，颜色}[7a]迫{1，爬上}百{1，～千万；一～}壁{2，墙壁}柏{1，松～枝：地名}擘伯{叔～；～公}
pʰ	[1]□{往嘴里扒吃的}[5]帕[7a]□{避开}僻{2}壁{1，陡梢山崖}癖{相～：不好的脾气；～相：脾气}
b	[3]马{1，牛马的马}码{石～：地名}[6]麦
t	[1]爹{2，安～：父亲}[2]茶[6]糴[7a]笮{往下压}爹{1，安～}
tʰ	[1]拖{4，趿着（鞋）}杈{2}[6]宅{卓～：地名}[7a]拆
l	[2]来{1，前来的来}[3]□{乌～：稻种名}[5]□{用刀尖轻划}[6]□{甲～：圆形竹席}掠[7a]裂{1，裂缝}
ts	[1]楂{1，本山～：中药名}遮{2，～眼}斋{3，素的}[2]谢{1，姓}寨{2，山～：山上的寨子}[3]姐{2，大～}者{作～}[5]鹧{～鸪}债[6]籍{户～}姐{3，安～：姐姐}[7a]积{1，堆积}迹{骹～：脚印}脊{背～}隻{一～（鸡）}
tsʰ	[1]杈{2，竹辇～：带枝杈的竹篙}差{出～}[2]斜[3]鼠{1，洋～：兔子}[5]笡[7a]册刺{穿刺，～羊毛衫：织毛衣}
s	[1]沙{2，元～：地名}纱{1，棉纱}[2]谢{2，感谢}畲{山～：山地；郭～：地名}射{2，～击}[3]写[5]泻卸舍{宿～}[7a]屑{禾～：稻穗}鹊{鸦～：喜鹊}削{1，削（皮）}锡{1，金属名}淅{淅米}
k	[1]家加嘉佳{～人}[2]椵{枷}骑{1，～厝：扫房顶}[3]假{放～；～意}[5]架{2，架子}嫁价{～数；开～}寄{2}[6]崎{山陡}[7a]结{3，搁住}格隔
kʰ	[2]□{扛起}䗁{蟧～：蜘蛛}[5]架{1，架起}[6]徛{站立}屐{柴～：木屐}[7a]缺{5，水～：田埂上的出水口}客{侬～；～侬：客人}
