汉字	音标	注释
多	tu21	
拖	tʰu21	
他	tse53	训读
驼	tu13	
舵	tu53	
大	ta55	~小
挪	nu13	
哪	na53	~个
罗	lu13	
锣	lu13	
箩	lu13	
萝	lu13	
左	tso53	
搓	tsʰu21	
歌	ku21	
哥	ku35	调例外
鹅	ŋu13	
我	io53	
饿	ŋu55	
河	kʰa21	训读
何	fu13	
荷	fu13	~花
贺	fu55	
茄	tɕʰio13	
簸	pu33	~箕
破	pʰu33	
婆	pu13	
磨	mu13	~刀
磨	mu55	石~
朵	tu53	
躲	tu53	
跺	tu33	
糯	nu55	
螺	lu13	
脶	lu13	指纹
锉	tsʰu33	
坐	tsʰu53	
座	tsʰu55	
蓑	su21	
梭	su21	
锁	su53	
果	ku53	
过	ku33	
窠	kʰu21	
课	kʰo35	借官
火	fu53	
伙	fu53	
货	kʰu33	
和	fu13	~气
和	u13	~尚
禾	u13	
祸	fu33	
和	xo55	~面
靴	kʰo33	存疑
巴	po21	
疤	po21	
把	po53	~握
霸	pa35	借官
欛	po33	柄
怕	pʰo33	
帕	pʰo33	
爬	po13	
杷	pu13	枇~
耙	po13	犁~
麻	mo13	
马	mo53	
骂	tsʰo21	训读
拿	man21	训读
茶	tsʰo13	
渣	tso21	
榨	tso33	~干
炸	tso33	~弹
叉	tsʰo21	
杈	tsʰo21	枝~
差	tsei21	~别
岔	tsʰo33	~路
查	tsʰo13	调~
沙	so21	
纱	so21	
家	ko21	
加	ko21	
痂	ko21	
假	ko53	真~
架	ko33	
嫁	ko33	
价	ko33	
揢	kʰa35	抓住，例外
牙	ŋo13	
芽	ŋo13	
蝦	xo21	鱼~
哈	xo21	~腰
嚇	xo33	惊~
下	xo53	底~
下	xo55	~降
夏	xo55	春~
哑	o53	
姐	tsɿ35	姊训读
借	tso33	
席	tɕʰio55	~子
写	ɕio53	
泻	ɕio33	
斜	tɕʰio13	
谢	tɕʰio55	
遮	tso21	
车	tsʰo21	马~
扯	tsʰo53	
蛇	so13	
射	so55	
赊	so21	
捨	so53	施~
社	so53	
爷	io13	
也	ie53	~是，借官
野	io53	
夜	io33	
瓜	ko21	
寡	ko53	
剐	ko53	
瓦	o53	
花	xo21	
化	xo33	
划	kʰo13	~船，例外
补	pu53	
谱	pʰu53	
布	pu33	
铺	pʰu21	~设
铺	pʰu33	店~
蒲	pʰu13	
菩	pʰu13	~萨
步	pu55	
模	məu13	~子
堵	te53	
赌	te53	
土	tʰe53	
吐	tʰe33	呕~
兔	tʰe33	
徒	te13	
图	te13	
肚	te53	腹~
度	te55	
渡	te55	
炉	lu13	
鸬	lu13	~鹚
路	le55	
露	le55	
租	tsɿ21	
祖	tsɿ53	
做	tsɿ33	
粗	tsʰɿ21	
醋	tsʰu21	
错	tsʰu21	~误
素	su33	
诉	sɿ33	
姑	ke21	
孤	ke21	
箍	ke21	
古	ke53	
估	ke53	~计
牯	ke53	
股	ke53	
鼓	ke53	
故	ke33	
顾	ku33	
苦	kʰe53	辛~
苦	kʰe53	~味
裤	/	
吴	u13	
五	ŋ53	
午	ŋ53	
误	u35	借官
虎	fu53	
胡	xəu13	
湖	fu13	
壶	xəu13	
鬍	u13	~须
乌	u33	
女	ny53	
驴	lu13	
蛆	tɕʰy21	生~
猪	tɕy21	
除	tɕʰy13	
苎	tɕʰy53	~麻
阻	tsu53	
初	tsʰɿ21	
楚	tsʰu53	
锄	/	
助	tsʰu33	
梳	sɿ21	~头
煮	tɕy53	
处	tɕʰy53	~理
书	ɕy21	
暑	tɕy53	
鼠	ɕy53	
薯	ɕy33	白~
举	tɕy53	~动
锯	ke33	~子
墟	ɕy21	~市
去	kʰe33	来~
鱼	ŋ13	
虚	ɕy21	
余	y13	
夫	fu21	
府	fu53	
斧	pu53	
付	fu33	
傅	fu33	
敷	fu21	
符	fu13	
扶	fu13	
腐	fu53	
无	u13	
武	u53	
舞	u53	
雾	u35	调例外
取	tɕʰy53	
厨	tɕʰy13	
柱	tɕʰy53	
住	tɕʰy55	
数	su53	动词
数	sɿ33	名词
朱	tɕy21	
珠	tɕy33	调例外
主	tɕy53	
输	ɕy21	~赢
树	ɕy35	调例外
矩	tɕy53	规~
句	kuei33	
遇	y55	
雨	y53	
芋	ɕy35	借官
贝	pei33	
戴	ta33	
带	ta33	
胎	tʰa21	
太	tʰa33	
臺	ta13	戏~
抬	ta13	
待	ta33	调例外
袋	tai33	
耐	na55	
奈	na55	
来	lei13	
赖	la55	
癞	la55	~子
灾	tsa21	
栽	tsa21	
再	tsa33	
猜	tsʰa21	
彩	tsʰa53	
菜	tsʰu33	
才	tsʰa13	
财	tsʰa13	
裁	tsʰa13	
在	tsʰa53	
鳃	sai33	借官
该	kai21	
改	ka53	
盖	kəu33	
开	xəu21	
碍	ŋa35	调例外
海	xa53	
害	xəu55	
爱	əu33	
拜	pa33	
排	pa13	
埋	ma13	
斋	tsa21	
豺	tsʰa13	
界	ka33	
届	ka33	
戒	ka33	
揩	kʰa21	
摆	pa53	
派	pʰa33	
牌	pa13	
簰	pa13	
稗	pa55	
买	ma53	
卖	ma55	
奶	nia53	吃~
差	tsʰo21	出~
筛	sa21	~子
晒	so33	
街	ka21	
解	ka53	~开
鞋	xa13	
矮	a53	
败	pa55	
寨	tsa55	
厉	li55	
祭	tɕi33	
制	tsɿ33	
世	ɕi33	
势	ɕi33	
艺	i55	
闭	mi35	
批	pʰi21	
米	mi53	
低	te21	
底	te53	
抵	te53	
帝	te53	
梯	tʰəu21	
体	tʰe53	
替	tʰe33	
剃	tʰe33	
题	te13	
蹄	te13	
弟	ti53	
第	ti55	
泥	ne13	
犁	le13	
礼	li53	
挤	tɕi53	
砌	tsʰɿ33	
齐	tsʰe13	
西	se21	
洗	se53	
细	ɕi33	
鸡	tɕi21	
计	tɕi33	
继	tɕi33	
启	tɕʰi53	
契	tɕʰi33	~约
杯	pəu21	
辈	pəu33	
背	pəu33	~脊
坯	pʰəu21	土~
配	pʰəu33	
陪	pəu13	
赔	pəu13	
倍	pəu33	调例外，阴去
背	pəu55	~诵
焙	pəu55	~干
梅	mo13	
媒	mo13	
煤	mo13	
妹	məu55	
堆	təu21	
对	təu33	
碓	təu33	名词
推	tʰəu21	
退	tʰəu33	
队	təu55	
雷	ləu13	
催	tɕʰy21	
罪	tsʰəu53	
碎	məu21	训读
塊	kʰua33	
灰	xəu21	
悔	fei53	
回	fei13	
外	əu33	
会	xəu55	开~
会	xəu55	不~
乖	kua21	
怪	kua33	
坏	fa55	
拐	kua53	~杖
挂	kua33	
画	xo55	
快	kʰua33	
筷	kʰua33	
话	xo55	名词
话	o55	动词
脆	tɕʰy35	
岁	ɕy33	
税	ɕy33	
废	fi33	
肺	fi33	
桂	kuei33	
碑	pi21	
披	pʰi21	
皮	pi13	
脾	pi13	
被	pi53	~子
避	pəu55	
糜	məu13	粥
离	li13	~别
紫	tsɿ53	
刺	tsʰɿ33	
斯	sɿ21	
撕	sɿ21	
赐	tsʰɿ33	
知	tɕi21	
池	tsʰɿ13	
筛	sa21	~子
支	tsɿ21	
纸	tsɿ53	
匙	su33	钥~，调例外，阴去
是	sɿ21	
寄	tɕi33	
骑	tɕʰi13	
徛	tɕʰi53	立
宜	ni13	
戏	ɕi33	
移	i13	
易	i55	
比	pi53	~较
屁	pʰi33	
枇	pi13	~杷
鼻	pi55	
蓖	pi55	
眉	mi13	
地	ti55	
梨	li13	
利	li55	
姊	tɕi53	
次	tsʰɿ33	
自	tsʰɿ33	
私	sɿ21	
死	sɿ53	
四	sɿ33	
迟	tsʰɿ13	
师	sɿ21	
狮	sɿ21	
指	tsɿ53	
至	tsɿ33	
屍	sɿ21	~体
屎	sɿ53	
二	ni55	
饥	/	~饿
祁	tɕʰi13	
姨	i13	
你	ai53	训读
厘	li13	
李	li53	姓
里	li53	
理	li53	
子	tsɿ53	
字	tsʰɿ55	
司	sɿ21	
丝	sɿ21	
辞	tsʰɿ13	
祠	tsʰɿ13	
置	tsɿ33	
耻	tsʰɿ53	
痔	tsʰɿ33	
滓	tsɿ53	
事	sɿ55	
止	tsɿ53	
趾	tsɿ53	
志	tsɿ33	
痣	tsɿ33	
齿	tsʰɿ53	
诗	sɿ21	
始	sɿ53	
试	sɿ33	
时	sɿ13	
耳	ny53	
纪	tɕi53	年~
记	tɕi33	
欺	tɕʰi33	
起	ɕi53	
棋	tɕi13	
旗	tɕi13	
疑	ni13	
喜	ɕi53	
意	i33	
几	tɕi53	~个
气	tɕʰi33	和~
汽	tɕʰi33	
衣	i21	
嘴	tɕy53	
吹	tɕʰy21	
规	kuei21	
亏	kʰuei21	
跪	kʰuei53	
毁	fei53	
泪	ləu55	
醉	tɕy33	
追	tɕy35	调例外
锤	tɕʰy13	
锥	tɕʰy21	
水	ɕy53	
季	tɕi33	
柜	kuei55	
位	uei33	
飞	pəu21	
肥	fe13	
尾	mi53	
味	uei55	
归	kuei33	
鬼	kuei53	
贵	kuei33	
围	uei13	
违	uei13	
保	pau53	
宝	pau53	
报	pau13	
袍	pau13	
抱	pau33	
菢	pau55	~鸡
毛	mau13	
帽	mau55	
刀	tau21	
到	tau33	
倒	tau53	颠~
倒	tau53	~水
讨	tʰau53	
套	tʰau33	
桃	tau13	
逃	tau13	
淘	tau13	~米
道	tau53	
脑	nau53	
劳	lau13	
捞	lau13	
牢	lau13	
早	tsau53	
枣	tsau53	
蚤	tsau53	
灶	tsau33	
草	tsʰau53	
糙	tsʰau33	~米
曹	tsʰau13	
造	tsʰau33	建~
骚	sau21	
嫂	sau53	
扫	sau33	~帚
高	kau21	
膏	kau21	
告	kau33	
考	kʰau53	
靠	kʰau33	
薅	xau21	~草
好	xau53	~坏
毫	xau13	
包	pau21	
饱	pau53	
豹	pau33	
爆	pau33	
炮	pʰau33	枪~
泡	pʰau33	
茅	mau13	
猫	miau21	~狗
闹	nau55	
抄	tsʰau21	~写
炒	tsʰau53	
潲	sau33	猪食
交	kau21	
胶	kau21	
教	kau21	~书
绞	tɕiau53	
搞	kau53	
窖	tɕiau33	
敲	kʰau21	
巧	tɕʰiau53	
咬	ŋau53	
孝	xau33	
标	piau21	
表	piau53	
票	pʰiau33	车~
瓢	piau13	
苗	miau13	
庙	miau55	
焦	tɕiau21	
椒	tɕiau21	
锹	tɕʰiau21	
缲	tɕʰiau21	~边
消	ɕiau21	
硝	ɕiau21	
小	ɕiau53	
笑	ɕiau33	
朝	tsau21	
潮	tsʰau13	
招	tsau21	
照	tsau33	
烧	sau21	
少	sau53	多~
少	sau55	~年
娇	tɕiau13	
桥	tɕʰiau13	
荞	tɕʰiau13	
轿	tɕiau55	
妖	iau21	
腰	iau21	
窑	iau13	
刁	tiau21	
鸟	tiau35	
钓	tiau33	
吊	tiau33	
跳	tʰiau33	~皮
条	tiau13	
调	tiau13	~和
调	tiau55	音~
尿	niau55	
料	liau55	
箫	ɕiau21	
缴	tɕiau53	上~
晓	ɕiau53	
亩	mu53	
兜	tai21	
斗	tai53	一~
陡	tai53	
鬥	tau55	~争
偷	tʰai21	
敨	tʰai53	~气
透	tʰai33	
头	tai13	
投	tai13	
豆	tai55	
逗	tai21	调例外，阴平
楼	lai13	
漏	lau55	
走	tsai53	
凑	tsʰai33	
嗽	sai33	咳~
鉤	kai21	
狗	kai53	
够	kai33	
构	kai33	
抠	kʰai21	
口	kʰai53	
扣	kʰuei33	~住
藕	ŋai53	
喉	xe13	
猴	xai13	
後	xai53	
沤	ai33	
怄	ai33	~气
富	fu33	
副	fu33	
浮	fəu13	
妇	pʰəu53	
流	liəu13	
刘	liəu13	
留	liəu13	
柳	liəu53	
酒	tɕiəu53	
秋	tɕʰiəu21	~天
就	tɕʰiəu33	
修	ɕiəu21	
袖	tɕʰiəu33	例外，阴去
抽	tsʰəu21	
丑	tsʰəu53	子~
皱	tsai33	
搊	tsʰai21	~起
搜	səu21	
馊	sai21	饭~
瘦	sai33	
周	tsəu21	
州	tsəu21	
醜	tsʰəu53	~陋
臭	tsʰəu33	香~
收	səu21	
手	səu53	
守	səu53	
仇	tsʰəu13	
阄	kai21	拈~
