汉字	音	注释
一	ʑi33	一
七	tɕʰi55	七
九	ku55	九
二	ni22	二
八	peɪ55	八
力	ɣaʊ33	力
三	sä33	三
千	tɕʰin55	千
土	tʰv̩55	土
大	lä22	大
女	ȵʊŋ35	女兒
子	tsɿ55	兒子
五	ɣʊŋ33	五
六	fu55	六
分	pəŋ55	分，動詞
天	kʰəŋ33	天空
少	so55	“多少”的少，少量
心	säŋ33	心/心臓
手	ɕu55	手
日	ni35	日子，长tv̩55～：生日
水	sɿ55	水
火	fäɪ55	火
牛	ŋu21	牛
犬	kʰweɪ55	狗
出	tɕʰeɪ55	出
四	sɿ21	四
布	pv̩22	布
平	pin21	平
瓦	ŋä33	瓦
田	ləŋ21	田地
甲	kä55	手指～[ɕu55tɕɿ55kä55]，不單獨成詞
白	pjä33	白色
皮	pəʊ21	皮膚
石	tɕä33	～頭[tɕä33tu21]，不單獨成詞
伊	je33	他
名	mi21	名字
地	le22	地
年	nin21	年
死	sɿ55	死
江	kʊŋ33	大～水[lä22kʊŋ33sɿ55]：大河，不單獨成詞
百	pjä55	百
米	mje33	米
羊	ʑu21	羊
耳	ni33	～□[ni33kʰä33]：耳朵，不單獨成詞
□	kʰä33	耳～：耳朵
舌	tɕɿ33	～□[tɕɿ33tä22]：舌頭，不單獨成詞
□	tä22	舌～：舌頭
行	ɣä21	走（路）
衣	əʊ33	衣服
吠	pəʊ22	吠
含	käŋ33	含
吹	tɕʰɿ33	吹
坑	kʰa33	洞穴
尿	ȵo22	尿
我	ŋu33	我
村	tsʰɿ33	村子/寨子
灶	tso33	灶
肝	kä33	肝
見	kəŋ33	見/見到
角	ko55	角
豆	tu22	豆
赤	tɕʰɿ55	紅色
身	ɕəŋ33	～□[ɕəŋ33tʰʊŋ55]：身體，不單獨成詞
□	tʰʊŋ55	身～：身體
車	tɕʰäɪ33	車
來	ɣəʊ21	來
兔	tʰv̩35	兔子
命	mjä22	命
姊	tɕi55	姐姐
官	kwä33	官
岩	ŋäŋ21	石山
底	tje55	底
拍	pʰä55	拍
放	pv̩33	放
斧	pv̩55	斧頭
明	mjä21	亮，用於形容天色
□	tɕu22	亮，用於形容燈光照明
東	tʊŋ33	東面
松	tsʊŋ21	松
炙	tɕä33	燒，動詞
爬	pä21	爬
肥	pv̩21	胖
肺	pʰəʊ21	肺
芽	ȵe21	芽
虎	kʰv̩55	老虎
近	tɕin33	近
返	peɪ55	回去
金	käŋ33	金
長	tv̩55	長，動詞
長	tv̩21	長，形容詞
門	məʊ21	門
阺	ti21	山
青	tsʰɿ33	藍色
非	pv̩33	不
前	tɕin21	前面
厚	ku33	厚
客	kʰä55	客人
屋	o55	房屋
後	wu33	後面
指	tɕɿ55	手指
染	ȵäŋ21	染
柔	ȵu21	軟/嫩
竿	kä33	竿
苦	kʰv̩55	苦
茄	kä35	茄子
虺	feɪ55	蛇
軍	kwəŋ33	士兵
面	min22	旁～[pä22min22]：旁邊，外面[wä22min22]，不單獨成詞
革	kəʊ55	（動物）皮
風	päŋ33	風
飛	pv̩22	飛
首	ɕu55	量詞，用於修飾詩
香	kʰv̩33	香
個	ko22	量詞，用於修飾猪、牛、羊、馬等動物，但不包括禽畜
借	tsä33	借
埋	məʊ21	埋
孫	sɿ33	孫子
書	sv̩33	書
氣	kʰəʊ33	～□[kʰəʊ33ɕeɪ22]：空氣，不單獨成詞
□	ɕeɪ22	氣～：空氣
烏	u33	～□[u33pä33]：烏鴉，不單獨成詞
□	pä33	烏～：烏鴉
珠	tɕu33	珠子
破	pʰo33	劈
窄	tä55	窄
笑	so22	笑
紙	tɕɿ55	紙
索	sv̩55	绳
脂	tɕɿ33	油
臭	tɕʰo33	臭
草	tsʰo55	草
蚍	pä21	～蜉：螞蟻
蜉	pəʊ35	蚍～：螞蟻
起	kʰəʊ55	起來
逃	lo21	逃走
酒	tsu55	酒
針	tɕäŋ33	針
隻	tɕɿ55	量詞，用於修飾家禽
馬	mäɪ33	馬
骨	kweɪ55	～頭[kweɪ55tu21]，不單獨成詞
高	ko33	高
鬼	kweɪ55	鬼
乾	kä33	乾（乾濕）
剪	tɕin55	剪
庳	pi33	矮
掃	so55	掃，動詞
救	ku22	救
教	ko33	教
桶	tʰʊŋ55	桶
殺	ɕi33	殺
凉	läŋ21	凉
淋	läŋ21	澆（水）
深	ɕäŋ33	深
淺	tɕʰin55	淺
清	tsʰɿ33	清澈
牽	kʰəŋ55	牽/拉
眼	nin33	～□[nin33tɕɿ33]：眼睛，不單獨成詞
□	tɕɿ33	眼～：眼睛
第	tje22	第
粗	tsʰv̩33	粗
細	ɕje22	小
船	tɕəŋ21	船
袖	tsu22	衣袖
野	jä33	野外的，～犬：野狗；～鹿
鹿	lu21	野～，借詞
魚	ɣʊŋ21	大～[lä22ɣʊŋ21]，泛指時念[ɣʊŋ35]
單	tä33	單（單雙）
寒	kä21	冷（天氣冷）
□	ku33	物體冰冷
椒	so33	椒
猴	ku35	猴子
硬	ŋä22	硬
窗	tɕʰʊŋ35	窗户
紫	tsɿ55	紫色
腎	tɕəŋ35	腎
菜	tsʰəʊ22	菜
著	tv̩33	得到
蛛	tu33	蜘～[tä22tu33]
蜘	tä22	～蛛
貴	kweɪ22	貴
開	kʰəʊ33	開
項	kʊŋ33	□～[sʊŋ33kʊŋ33]：脖子
□	sʊŋ33	～項：脖子
飲	äŋ21	喝
黃	ɣʊŋ22	黃色
黑	kʰəʊ55	黑色
嫂	tsʰo55	嫂
搖	jo33	搖
□	tä55	二，原文作“搭”
搭	tä55	和
敬	kəŋ22	尊敬
新	ɕin33	新
滅	mi33	熄滅
滑	kweɪ33	滑
煙	ʑin35	煙
痺	pi22	痺
腦	no33	腦
腰	o33	腰
腳	kv̩55	腳
舅	ku33	舅舅
下	ɣä33	掉下，原文作“落”
裙	kwəŋ21	裙子
補	pv̩55	補（衣服）
過	kwä33	過
飽	pv̩55	飽
鼓	kv̩55	鼓
鼠	ɕv̩55	老鼠
夢	məŋ22	夢
伏	pv̩22	孵，原文作“孵”
慵	tɕʊŋ21	懶
榻	tʰä55	床
歌	ko33	歌
滿	mä33	滿
漏	wu22	漏
睡	tɕɿ22	睡
種	tɕʊŋ55	～子[tɕʊŋ55ɕu55]，不單獨成詞
子	ɕu55	種～
種	tɕʊŋ33	種植
稱	tɕʰäŋ33	稱（東西）
算	sä22	計算
箸	tv̩22	筷子
綠	lo33	綠色
緊	tɕin55	緊
蒜	sä22	蒜/大蒜
蜜	mi33	蜜蜂
語	ɣʊŋ22	語言
輕	tɕʰɿ33	輕（輕重）
酸	sä33	酸
銀	nin21	銀
銅	tʊŋ21	銅
鼻	pi22	～□[pi22ki55]：鼻子，不單獨成詞
□	ki55	鼻～：鼻子
寬	kʰwä33	寬
撒	sä55	撒
槽	tso21	槽
熟	tɕu33	熟
熬	ŋo21	炒
編	pin55	編
蝨	ɕeɪ55	蝨子
賭	tv̩55	賭
踞	kv̩22	坐
踢	tʰeɪ55	踢
醉	tsɿ21	醉
鋤	tv̩21	鋤頭
餔	pv̩33	晚飯
髪	peɪ55	頭髮
魄	pʰjä55	靈魂
麵	mjä22	麵
齒	tɕʰɿ55	～□[tɕʰɿ55peɪ55]：牙齒，不單獨成詞
□	peɪ55	齒～：牙齒
擔	tä55	擔
樹	tɕu22	樹
橋	ko22	橋
澡	tso55	□～[jä33tso55]：洗澡
□	jä33	～澡：洗澡
燈	täŋ33	燈
燔	peɪ21	熱
燙	tʰv̩33	燙
褲	kʰv̩21	褲子
蹄	tje21	蹄
錢	tɕin21	錢
頭	tu21	額～[ŋä33tu21]；骨～[kweɪ55tu21]，不單獨成詞
鴨	ä55	鴨子
龍	ɣʊŋ21	龍
償	tɕv̩21	還（錢）
燭	tɕo55	蠟～[ɣä33tɕo55]，不單獨成詞
膽	tä55	膽
膿	nʊŋ21	膿
薄	pv̩33	薄
薅	kʰo22	除（草）
錘	tʅ21	錘
鍪	mu21	鍋
霜	ɕv̩33	雪
䨨	tʅ33	雷電
瞻	tɕäŋ33	看
翻	pʰeɪ55	翻
舊	kv̩22	舊
藏	tsv̩22	藏
蟲	ȵʊŋ21	□～[məŋ21ȵʊŋ21]：蟲子
蟲	ȵʊŋ35	□～[məŋ21ȵʊŋ35]：蟲子
□	məŋ21	～蟲ȵʊŋ21/35：蟲子
覆	pʰv̩33	覆；蓋子
