[pi{32}]疲琵枇皮脾{～气}
[pi{33}]比畀{给}
[pi{24}]婢被{～子}
[pi{51}]臂蓖秘泌庇痹陛篦
[pi{31}]避备鼻痱被{～动}
[pʰi{55}]胚彼披脾{～胃}
[pʰi{33}]鄙砒纰秕痞
[pʰi{51}]屁
[mi{55}]靡糜
[mi{32}]眉楣媚微
[mi{24}]美尾
[mi{51}]氼{潜水}
[mi{31}]未味
[fi{55}]非妃飞思司
[fi{32}]肥
[fi{33}]匪翡榧死
[fi{51}]费废肺四肆
[fi{31}]吠
[θi{55}]斯厮撕资姿私兹滋丝
[θi{32}]瓷糍慈磁鹚辞词嗣饲祠伺
[θi{33}]紫子滓
[θi{24}]似祀巳
[ti{31}]地
[θi{31}]自字寺牸
[tʰi{55}]雌疵
[tʰi{33}]此
[tʰi{51}]刺咨次赐
[ni{32}]弥尼
[ni{24}]尔你
[ni{31}]腻
[li{55}]璃
[li{32}]离篱梨厘狸
[li{24}]李里理鲤
[li{31}]利痢蜊
[tʃi{55}]知蜘支枝肢脂之芝
[tʃi{32}]池驰迟持
[tʃi{33}]纸旨指止趾址只{～有}
[tʃi{51}]智致至志痣置誌
[tʃi{31}]稚痔治雉
[tʃʰi{55}]痴嗤
[tʃʰi{33}]侈耻齿始
[tʃʰi{24}]恃
[tʃʰi{51}]翅帜
[ȵi{55}]儿{孩～}
[ȵi{32}]宜谊而疑儿{～童}
[ȵi{24}]耳饵议拟
[ȵi{31}]义二贰仪
[ʃi{55}]施尸诗师狮蛳
[ʃi{32}]时匙鲥莳
[ʃi{33}]屎
[ʃi{24}]市是{～否}
[ʃi{51}]试
[ʃi{31}]豉示视氏誓逝柿事是{这}
[ki{55}]饥肌机讥饑几基
[ki{32}]奇骑崎祁其棋期旗麒祈鳍歧岐
[ki{33}]栀己纪杞几{～多}
[ki{24}]企徛
[ki{51}]寄记既
[ki{31}]技忌妓
[kʰi{51}]冀
[hi{55}]兮欺嬉熙希稀牺
[hi{33}]起喜岂
[hi{51}]戏器弃气汽
[i{55}]医衣依
[i{32}]移姨夷异矣
[i{33}]倚椅
[i{24}]已以
[i{51}]意
[i{31}]肄易{容～}
[pu{32}]葡脯{胸～}
[pu{33}]补
[pu{24}]簿
[pu{51}]布佈怖
[pu{31}]部步
[pʰu{55}]敷铺谱
[pʰu{33}]圃普蒲浦捕甫辅脯{果～}
[pʰu{51}]舖
[mu{55}]模巫诬
[mu{32}]无
[mu{24}]母拇武舞侮鹉
[mu{31}]暮慕墓募戊务雾
[fu{55}]俘孵夫肤苏酥傅
[fu{32}]符扶芙抚赋腐附驸负
[fu{33}]斧府腑俯釜
[fu{24}]妇父
[fu{51}]咐富副讣付赴
[tu{55}]都嘟
[θu{55}]租
[tu{32}]徒途涂图
[tu{33}]赌
[θu{33}]祖组漱{～口}
[tu{24}]肚
[tu{51}]妒堵睹
[θu{51}]做素诉嗉
[tu{31}]度渡镀杜屠
[tʰu{33}]土
[tʰu{51}]吐兔醋措
[nu{32}]奴
[nu{24}]努
[lu{55}]卢炉
[lu{24}]鲁橹虏卤
[lu{31}]路露鹭赂芦鸬庐
[tʃʰu{55}]粗
[ʃu{33}]数{动词}
[ʃu{51}]数{～量}
[ku{55}]姑孤鸪辜估{评～}
[ku{33}]古牯股鼓估{～堆}
[ku{51}]故固雇顾锢
[kʰu{55}]箍
[vu{55}]呼污乌乎麸枯
[vu{32}]浒胡湖葫鬍蝴糊狐壶
[vu{33}]苦虎
[vu{24}]互户沪
[vu{31}]护库裤戽芋
[θy{55}]须需鬚
[θy{32}]徐
[θy{24}]序叙聚
[ty{51}]螫蠚
[θy{51}]絮
[tʰy{55}]蛆趋
[tʰy{51}]趣
[ly{32}]驴
[ly{24}]吕稆旅缕履
[ly{31}]虑滤
[tʃy{55}]诸诛蛛株朱硃珠猪
[tʃy{33}]煮主
[tʃy{24}]苎杵拄柱驻蛀绪储
[tʃy{51}]著註注铸
[tʃy{31}]箸住
[tʃʰy{32}]厨橱除
[tʃʰy{33}]处{～理}
[tʃʰy{31}]处{四～}
[ȵy{32}]鱼渔虞
[ȵy{24}]语
[ȵy{31}]御禦娱遇寓愚
[ʃy{55}]书舒输
[ʃy{32}]如薯
[ʃy{33}]鼠黍戍
[ʃy{24}]殊
[ʃy{51}]暑署庶
[ʃy{31}]竖树汝儒恕
[ky{55}]居车{～马炮}
[ky{32}]渠佢{他}
[ky{33}]举
[ky{24}]巨拒距
[ky{51}]锯句据
[ky{31}]惧具
[kʰy{55}]拘驹俱区驱枢
[hy{55}]虚嘘墟
[hy{33}]许
[y{55}]於迂于
[y{32}]馀余臾盂
[y{24}]与雨羽禹舆宇
[y{51}]淤
[y{31}]誉预豫榆逾愉愈喻裕芋{又}
[pa{55}]巴芭疤笆爸
[pa{32}]爬琶杷耙
[pa{33}]把
[pa{51}]霸欛壩坝
[pa{31}]罢
[pʰa{55}]趴
[pʰa{51}]怕
[ma{55}]蟆妈
[ma{32}]麻痲蔴
[ma{24}]马码
[ma{31}]骂嘛
[ta{55}]打{量词}
[ta{33}]打{～仗}
[θa{51}]卅
[tʰa{55}]他它
[na{55}]□{疤}
[na{32}]那拿娜哪
[na{33}]乸{母}
[la{24}]旯
[tʃa{55}]楂渣抓
[tʃa{32}]茶搽查
[tʃa{51}]诈榨炸乍栅
[tʃʰa{55}]叉杈钗差{～别}
[tʃʰa{51}]岔汊
[ʃa{55}]沙纱莎
[ʃa{33}]耍
[ʃa{51}]洒
[ka{55}]家加痂嘉傢稼
[ka{33}]假贾假
[ka{51}]架驾嫁价
[ka{31}]□{丢～：失礼}
[kʰa{51}]卡
[ŋa{55}]桠伢
[ŋa{32}]牙芽
[ŋa{24}]衙雅瓦
[ŋa{31}]砑
[ha{55}]蝦虾哈
[kva{55}]瓜
[kva{33}]寡剐
[kva{51}]挂卦
[kʰva{55}]夸垮跨胯
[ja{32}]下
[va{55}]蛙洼蛙花划{～船}
[va{32}]华铧桦
[va{51}]化
[va{31}]畵话
[a{55}]鸦丫霞
[a{33}]哑亚阿
[a{31}]厦夏遐暇
[po{55}]波菠玻
[po{32}]菩婆
[po{51}]簸播
[pʰo{55}]坡樖{棵}
[pʰo{33}]颇
[pʰo{51}]破
[mo{55}]魔摩摸么
[mo{32}]磨{折～}
[mo{31}]卧磨{石～}
[to{55}]多
[θo{55}]梭蓑唆
[to{32}]驼驮
[to{33}]朵躲垜
[θo{51}]左佐
[to{31}]舵堕
[tʰo{55}]拖
[tʰo{24}]椭
[tʰo{51}]挫锉
[tʰo{31}]唾
[lo{55}]箩啰{～嗦}
[lo{32}]萝罗锣螺瘰脶
[lo{33}]裸颗攞
[lo{31}]啰{语助词}
[tʃo{32}]锄
[tʃo{33}]阻
[tʃo{31}]助
[tʃʰo{55}]初雏
[tʃʰo{33}]楚础
[ʃo{55}]梳疏蔬
[ʃo{33}]所
[ʃo{31}]傻
[ko{55}]哥歌
[ko{51}]个
[ŋo{32}]蛾鹅俄讹
[ŋo{24}]我
[ŋo{31}]饿
[ho{33}]可
[kvo{55}]锅戈
[kvo{32}]果餜
[kvo{51}]过
[vo{55}]蜗窠窝涡莴倭科蝌
[vo{32}]和禾
[vo{33}]火伙夥
[vo{24}]祸
[vo{51}]课货涴
[o{55}]坷阿苛柯
[o{32}]河何
[o{31}]荷贺
[θø{33}]锁琐
[θø{24}]坐
[θø{31}]座
[tʰø{24}]妥
[nø{31}]糯懦
[kʰø{32}]瘸
[hø{55}]靴
[pe{55}]啤{～酒}
[pʰe{55}]啤{扑克}
[me{55}]咩
[me{33}]乜{歪}
[me{51}]□{揹}
[fe{33}]写
[te{55}]爹
[θe{55}]些
[θe{32}]邪斜
[θe{33}]姐
[θe{51}]借泻卸藉且
[θe{31}]谢
[tʰe{51}]笡
[ne{55}]呢
[ne{32}]呢
[ne{24}]呢
[ne{31}]呢
[tʃe{55}]遮
[tʃe{33}]者
[tʃe{51}]蔗鹧
[tʃʰe{55}]车奢
[tʃʰe{33}]扯
[ȵe{24}]惹嘢{东西}
[ʃe{55}]赊
[ʃe{32}]蛇佘
[ʃe{33}]捨
[ʃe{24}]社
[ʃe{51}]赦舍
[ʃe{31}]射麝
[ke{32}]茄
[je{55}]爷
[je{32}]椰
[je{24}]也野
[je{31}]夜
[pai{32}]排牌簰
[pai{33}]摆
[pai{51}]拜
[pai{31}]败稗
[pʰai{55}]派{时髦，流行}
[pʰai{33}]派{～发}
[mai{32}]埋
[mai{24}]买
[mai{31}]卖迈
[tai{55}]獃待殆代
[θai{55}]腮鳃灾栽
[tai{32}]臺苔台抬
[θai{32}]才材财裁
[θai{33}]彩采睬
[θai{24}]在
[tai{51}]戴带载宰
[θai{51}]再
[tai{31}]大袋怠
[tʰai{55}]胎
[tʰai{51}]态贷太泰钛汰菜蔡
[nai{55}]奶{少～}
[nai{24}]乃奶{～奶}
[nai{31}]内耐奈
[lai{55}]癞拉
[lai{32}]来
[lai{31}]赖
[tʃai{55}]斋
[tʃai{51}]债
[tʃai{31}]寨
[tʃʰai{55}]猜差{出～}
[ȵai{55}]搋
[ȵai{33}]踩
[ʃai{32}]柴
[ʃai{51}]晒赛
[ʃai{31}]豺
[kai{55}]皆佳街
[kai{33}]解
[kai{51}]介界芥疥届戒尬鎅
[kʰai{55}]楷阶谐
[ŋai{55}]埃挨
[ŋai{32}]涯崖捱
[ŋai{31}]艾挨捱
[kvai{55}]乖
[kvai{33}]拐
[kvai{51}]怪
[vai{55}]歪
[vai{32}]怀槐淮
[vai{51}]块快筷韭
