#a
p[1]巴疤[3]八拨把{一～刀}[5]把{刀～}坝爸拔雹
pʰ[1]趴[5]怕爬钯
m[1]蟆妈[3]马码抹{～布}[5]骂麻
f[3]法发[5]乏伐筏罚
t[3]打搭答沓达[5]大
tʰ[1]他坍它[3]塌溻塔
n[1]拿[3]哪[5]那納捺
l[1]邋[3]拉{～车子}[5]腊蜡辣拉{闲～}
ts[5]杂
tsʰ[3]擦{～桌子}
s[1]仨[3]洒撒[5]萨
tʂ[1]楂渣踏{脚～车}[3]扎眨扎轧栅闸[5]炸铡
tʂʰ[1]杈差{～别}[3]插[5]茶岔差{～多少钱}茬查察{检～}
ʂ[1]沙纱[3]傻杀[5]厦{商～}
ʃ[3]傻[5]啥
kʰ[3]磕渴
x[1]喝{白，~水}
#ia
l[3]俩
c[1]家加佳[3]假{真～}夹甲胛[5]架嫁价驾
cʰ[3]掐恰{～好}[5]洽恰
ç[1]虾[3]瞎[5]吓{～一跳}下狭峡匣辖霞夏
Ø[1]牙芽崖涯押[3]亚鸭压哑[5]衙
#ua
tʂ[1]抓[3]爪{～子}
ʂ[3]耍刷
k[1]瓜[3]寡刮[5]挂褂
kʰ[1]夸[3]刮{~玻璃}[5]跨
x[1]花[5]化华划画话滑猾
Ø[3]瓦挖[5]娃袜
#i
p[1]避逼[3]比笔毕必壁[5]币毙蓖闭箅鼻臂璧
pʰ[1]批[3]匹僻痞[5]皮脾屁辟
m[1]泥[3]米[5]迷谜秘密蜜
t[1]低[3]抵滴敌[5]弟第地的{目～}笛
tʰ[1]梯[3]体踢剔[5]替剃屉题提蹄
l[1]璃梨厘离□{用刀等划}[3]礼李里理里鲤[5]丽利例厉励离篱{笊～}立粒栗力历
ts[3]挤鲫积脊绩集籍[5]际济即迹疾
tsʰ[1]妻[3]七漆[5]齐脐戚
s[1]西[3]洗悉息熄媳惜锡析习袭[5]细夕席
ȵ[3]你[5]尼逆
c[1]鸡技肌几{茶～}基期机级给{白读}击激[3]己几{～个}急吉[5]寄纪记忌季及极计继系
cʰ[1]欺期泣[3]企吃起[5]契企奇骑器棋旗其气汽乞
ç[1]嘻希稀吸[3]禧喜[5]系{～统}畦戏
Ø[1]医衣移姨乙[3]椅倚以已揖一[5]宜仪义议易意艺疑饴沂忆益日逆译疫役
#u
p[3]补不卜[5]布部步不
pʰ[1]铺{～开}[3]谱普朴扑仆瀑[5]铺葡
m[3]母[5]墓幕木目穆牧
f[1]夫肤麸{麦～}[3]府斧付腐辅福[5]敷符扶父附富副浮负妇佛{仿～}幅蝠腹复{重～}覆服伏
t[1]都{～市}[3]堵肚{猪～}犊赌[5]肚{～子}督独读毒度
tʰ[1]秃[3]土吐秃[5]兔徒图突
l[1]炉芦[3]辱陆录鲁[5]路露庐鹿
ts[1]租卒[3]祖组足族
tsʰ[1]粗[3]促[5]醋
