"拼音"	"IPA"	"調號"	"單字"
"z"	"tsɿ"	1	"資姿咨諮茲滋"
"z"	"tsɿ"	2	"瓷糍慈磁辭詞祠"
"z"	"tsɿ"	3	"滓子[～女；鼻～]仔籽紫姊梓"
"z"	"tsɿ"	5	"飼寺[(2)少林～]"
"z"	"tsɿ"	6	"自字巳[～時]寺[(1)～廟]侍[服～]"
"c"	"tsʰɿ"	1	"雌"
"c"	"tsʰɿ"	3	"此"
"c"	"tsʰɿ"	5	"次賜刺"
"s"	"sɿ"	1	"絲斯廝撕私俬司思師獅廁[茅～]"
"s"	"sɿ"	3	"死"
"s"	"sɿ"	5	"士[(2)战～]四肆似嗣恃"
"s"	"sɿ"	6	"士[(1)道～]事"
"zr"	"tʂʅ"	1	"知支枝肢梔之芝"
"zr"	"tʂʅ"	2	"持遲池馳弛"
"zr"	"tʂʅ"	3	"指旨脂纸止趾址"
"zr"	"tʂʅ"	5	"智制製至致緻稚置翅志誌痣蟄[驚～]炙[(2)膾～人口]"
"zr"	"tʂʅ"	6	"痔"
"zr"	"tʂʅ"	7	"治汁質執隻[(2)船～]織[(2)～布]職蜘熾"
"cr"	"tʂʰʅ"	1	"攡[伸：～手]癡匙[鎖～：鑰匙]"
"cr"	"tʂʰʅ"	3	"耻齒侈"
"cr"	"tʂʰʅ"	5	"滯[喫～嘚：因喫得過多而傷胃]"
"cr"	"tʂʰʅ"	7	"直值侄尺[(2)市～]赤[(2)金無足～]秩吃[(2)口～]斥織[(1)～女星]"
"sr"	"ʂʅ"	1	"施尸屍詩"
"sr"	"ʂʅ"	2	"時"
"sr"	"ʂʅ"	3	"屎史使駛始"
"sr"	"ʂʅ"	5	"世勢視試誓逝釋式蝕"
"sr"	"ʂʅ"	6	"是市柿豉[豆～]"
"sr"	"ʂʅ"	7	"識氏示食十什拾室實濕適失[(2)～蹤]石[(2)鑽～]"
"bi"	"pi"	1	"屄[女陰]"
"bi"	"pi"	2	"陪[(1)～同：陪客者]培[(1)～養]琵枇皮疲脾"
"bi"	"pi"	3	"比彼瘪[凹陷]"
