注：《通州鄉音字匯》由孫錦標作於1905年，相關資料不多，近年才從孫錦標後人處尋得。由《自怡軒自序》可知，孫錦標69歲時（1924年）開始修訂19年前所著的《通州鄉音字匯》，計劃補入《說文》小篆，標記羅馬音，約計十六冊，但未能全部完成就已離世，未完成的修訂手稿也散佚不存。現存稿本沒有標註聲母，每個同音字為一組，只能歸納出聲母、韻母和聲調的情況。全書分為上中下三冊，對應平上去三聲，沒有列入入聲，依平水韻，沿用傳統韻書編排方式將同音字聚類排列。其中上冊（平聲卷）儘十五韻，所缺甚多。今參照論文擬音，結合如今南通方言予以修改，書中所缺而今南通方言存在的音節以□代替，整理為本同音字表。\n本表應當反映的是19世紀末南通城内方言的文讀音/讀書音，摻雜了零星白讀音。舒聲共有5個聲調，參考今南通/金沙各地方言調值及南通話中陰平殘留升調的情況，分別擬為陰平23、陽平14、上聲44、陰去53、陽去31，音係與今南通話大抵相同，不同在於見二絕大多數讀細、部分韻攝影疑對立、入虞極少等。					
	[1]阴平	[2]阳平	[3]上	[5]阴去	[6]阳去
#ɿ					
tsɿ	支枝肢之芝咨諮資粢姿兹1茲滋鎡孳鷀錙緇菑(~畬)葘(同菑)衹胝(皮厚)氏(月~) 祇(惟也)知(~識)蜘卮栀巵栀脂貲齊(衣下縫)		紙底底砥止址沚芷祉趾子魣只枳旨指梓滓第(牀板)姊紫訾訿徵(樂名)豸(無足 曰~)	至輕致緻識(記也)幟熾志誌痣制製贄摯鷙質(典~)躓知(同智)智積(露~)  清忮翅寘置恣胾啻懥觶	
tsʰɿ	雌髭疵蚩嗤摛螭癡痴笞差(參~) 絺鴟	池馳祠詞辭辤磁慈墀遲茨瓷持治踟篪匙蚔	此泚眥齒耻恥	侈哆雉稚稺眙滯賜次刺 (~殺)伺豕彘	士仕寺峙痔蒔嗣笥飼柿柹舐巳治(己理)耜自字
sɿ	師獅思偲緦斯澌嘶尸屍私司施(~行)詩絲蓍	時塒鰣	史駛使(遣也)施(棄也)弛始矢死	四泗駟筮噬耆(同嗜)嗜試弒厠廁施(布~)使(~者)思(意~)世勢示肆  視誓逝	是諟似姒涘俟祀事食氏諡兕
#i					
tɕi	雞鶏幾(~乎)磯機璣譏饑畿其(酈食~)期(周年)箕朞基綦飢肌躋薺(荸~ )稽嵇羈羇奇  (~數)居(何~)姬筓		几机己紀幾蟣濟(~~)劑薺姐	季悸祭(~祀)際霽濟(渡也)旣(已也)曁冀驥記計繼寄覬洎薊髻	
tɕʰi	妻淒凄棲萋悽奚谿溪蹊徯期(星~)欺岐歧栖	其淇旗棋琪祺麒棊碁竒奇(~異) 崎琦攲騎(~馬)齊(整~)臍蠐耆鰭圻旂祈祁祇(神~)俟(姓万~)蘄	敵啓屺艺杞起豈	氣汽契(~合)揭(攝衣涉水)棄器憩亟(每也)妻(動詞)	技妓芰跂忌跽切(一~)砌企騎(一~)
ɕi	西僖禧嬉嘻希稀兮羲犧攜攜熙煕畦醯犀		喜蟢徙蓰屣蹝洗跣洒(同洗)璽葸	細系係繫餼旣(同餼)戲(游~)盻禊(祓除不祥之祭)	
ti	低氐羝		底邸柢弤詆觗抵	帝禘諦締蒂蔕	
tʰi	梯鵜	提隄堤題緹啼蹄嗁蹏荑稊	體	剃鬀薙替遞	弟悌娣涕睇第(次~)地棣
pi	□		庇妣比(近也)匕牝髀否(~極泰來)	泌祕秘閟毖費(~邑)賁(飾也)  嬖臂閉詖	
pʰi	披批	皮疲枇琵毗罷(同疲)羆脾裨(偏、副)丕邳篦			被敝幣蔽弊斃辟(同避)避譬薜畀鼻庫痺比(周而不~)枇備轡
mi		眉湄楣迷麋糜縻彌	米羋(楚姓)弭靡		
ni		尼泥呢怩霓輗倪麑麛鯢	禰旎		泥(滯~)睨膩
li		梨蜊梨黧犁黎璨藜離籬漓璃麗(高～國)鸝驪梩貍狸鳌厘嫠	里理俚娌裏鯉禮澧醴鱧李蠡履		利莉痢厲勵礪蠣癘涖莅麗(美~)儷吏例隸詈荔離(~去)
i	衣(~裳)依伊咿吚醫鷖猗噫	宜夷姨胰痍洟飴怡貽詒匜訑迤蛇(委~)移遺(~棄)疑彝施颐儀沂爺(老～)	以苡錡綺椅倚踦旖蟻螘苢已矣擬	意懿饐殪衣(穿)裔瘞翳縊	義議乂刈艾(同刈)羿異藝易(難~)施(移也)誼肄曳貰劓  毅泄(狎也)食(郿~其)
#e					
tse	□		走肘帚	晝呪祝(同呪)皺縐奏	
tsʰe	□	□	丑醜		胄胄宙湊凑輳籀紂
se	□		手首守狩	叟瘦瞍漱嗽	受授綬壽售驟獸
ke	□		苟笱耉狗	撙構遘覯媾購 垢逅詬彀毂雊	
kʰe	□	□	口	叩扣寇觳	
xe	□	□	吼		後后候厚
ŋe		□	偶耦藕		
te	堆兜追(鐘紐)		斗蚪陡	對懟憝譈碓鬬	
tʰe	推偷	頹魋	腿骽	退褪透蛻	豆痘兌隊寶讀(句~)
ne			餒餧耨		内
le		雷靁纍縲累婁樓摟髏螻贏	累(積~)藟壘蕾屢簍縷誄磊絫	溜	戻涙唳類陋漏累(連~)
pe	卑裨碑鼙杯盃桮悲陂掊(~克)		彼俾比(~較)鄙	倍蓓貝狽背陛輩婢	
pʰe	坯	陪培醅賠裴		剖焙瓿掊(擊也)	沛霈孛(彗星) 悖(逆也)佩珮配妃(同配)邶
fe	非霏菲(芳～)扉啡腓蜚飛妃	浮桴(鼓槌)肥罘	匪篚翡斐菲(薄也)悱屝否阜缶	吠肺芾(蔽～)沸(渲也)費(～用)覆(～蓋)廢	費(姓)
me		梅莓霉煤媒謀枚玫牟侔麰眸矛蟊蝥繆	每畝美某浼牡丘軻		妹昧寐魅楙懋茂袤貿媚瑁袂
e	□		漚嘔		
#ue					
tsue	追錐		嘴捶箠	墜隊  (同墜)醉贅最縋惴	
tsʰue	吹炊崔催摧衰(齊～)榱	垂錘隋隨槌搥椎	□	翠粹萃瘁悴睟淬啐脆毳吹(鼓~)	罪辠
sue	雖綏	誰	水	歲歲帨稅(租~) 說 ( 游 ~)瑞睡祟碎	
zue			蕊藥		汭芮蚋蜹睿叡銳
kue	圭珪閨龜瑰瓌規歸嬀		癸揆宄軌晷簋詭鬼	澮燴檜膾繪薈儈獪會(~稽)貴績桂鱖(~魚)	
kʰue	魁窺虧	葵睽奎逵夔		快筷塊	匱櫃閡簣饋潰憒瞶聵愧媿餽蹶(顛覆)跪
xue	揮輝煇翬灰恢徽麾悝	回洄迴徊茴囘囬	毀燬悔誨晦	卉彗篲翽噦穢賄諱喙虺	惠蕙恚慧匯滙會(聚~)彙
