#参考资料 《宣州片吴语音韵研究》
#调值 [1]阴平53 [2]阳平31 [3]上声214 [5]去声35 [7]入声5

#ɿ
ts [1]知支资脂滋 [3]紫姊指子滓 [5]智至
tsʰ [1]雌 [2]匙瓷慈词 [3]此齿 [5]刺赐次
s [1]撕私师尸丝 [2]时 [3]死史 [5]是自四字伺祀寺柿事

#i
p [3]比 [5]闭秘
pʰ [1]批披 [2]皮枇 [5]币避庇屁篦
m [2]迷弥眉 [5]米谜
t [1]低 [3]底 [5]帝
tʰ [2]题 [3]体 [5]替弟第地
l [2]犁篱梨狸 [5]例礼丽离利李吏
ts [5]治
tɕ [1]鸡肌之基机 [3]姐挤纸几止纪几 [5]祭济计寄技致痔志记既季
tɕʰ [1]蛆妻溪痴嗤欺 [2]池骑迟祁期 [3]启企耻起 [5]去砌契器岂气
ȵ [2]泥宜尼疑 [5]艺义毅
ɕ [1]些西施牺诗嬉熙稀 [2]齐 [3]洗屎始喜 [5]世细系戏示视试市忌
Ø [1]医衣 [2]移姨遗 [3]椅 [5]易意以异

#u
p [3]补 [5]布
pʰ [1]铺 [2]菩 [3]普 [5]铺部步
m [2]模 [5]墓亩母
f [1]夫敷 [2]符浮 [3]虎斧抚 [5]戽户护付赴父富副妇
t [1]都 [3]赌
tʰ [2]图 [3]土 [5]兔肚度
l [2]奴芦庐 [5]努怒鲁路
ts [1]租 [3]祖阻 [5]做
tsʰ [1]粗初 [3]楚 [5]醋助
s [1]苏 [3]所 [5]素漱
k [1]姑 [3]古 [5]固
kʰ [1]枯 [3]苦 [5]库
x [1]呼
Ø [1]乌 [2]吴胡诬 [5]五误舞雾

#y
l [2]驴 [5]吕滤
tɕ [1]猪居蛛朱拘 [2]殊 [3]举矩主 [5]著拒驻句具锯
tɕʰ [1]区 [2]徐除锄厨 [3]杵鼠取 [5]处趣柱住竖树
ȵ [2]鱼愚 [5]女语
ɕ [1]梳书虚须输 [3]暑数 [5]絮绪恕数输
Ø [2]如余于榆 [5]与预遇雨芋裕

#a
t [3]打
l [5]赖
s [3]洒
ŋ [5]我

#ua
Ø [5]彀

#o
p [1]波巴 [3]跛把 [5]霸
pʰ [2]婆爬 [5]破怕耙罢稗
m [2]磨麻 [5]马
t [1]多 [3]朵
tʰ [1]妥 [2]驼 [5]大
l [2]罗脶 [5]哪糯
ts [1]渣遮 [5]榨
tsʰ [1]搓叉车钗 [2]茶查 [5]岔
s [1]沙赊杉 [2]蛇 [3]锁舍 [5]坐座舍
k [1]哥锅家 [3]果假{真假}寡 [5]个过价
kʰ [1]棵 [3]可侉 [5]课
ŋ [1]丫 [2]鹅讹牙 [3]哑 [5]饿瓦
x [1]虾花 [2]河和划 [3]火 [5]贺货祸下{底下}化
Ø [1]窝 [5]亚

#io
tɕ [5]借
tɕʰ [3]扯
ȵ [5]惹
ɕ [2]邪 [3]写 [5]泻射
Ø [5]也夜

#uo
k [1]瓜 [5]卦
Ø [5]画话

#ɛ
p [2]牌 [3]摆 [5]拜
pʰ [2]排 [5]派败痱
m [2]埋 [5]买卖
t [1]呆 [5]戴带
tʰ [1]胎梯 [2]台 [5]态贷待代太探
n [5]奶
l [2]来 [5]乃耐奈
ts [1]栽斋 [3]宰 [5]再债
tsʰ [1]猜 [2]才 [3]彩 [5]菜蔡
s [1]鳃筛 [2]豺柴 [5]在赛晒帅
k [1]该街 [3]改解 [5]概盖戒械
kʰ [1]开揩 [3]凯楷 [5]慨
ŋ [1]哀 [2]挨 [3]矮 [5]碍爱艾外
x [2]鞋还{还有} [3]海 [5]亥害蟹
Ø [2]儿 [3]耳 [5]二饵

#uɛ
k [1]乖 [3]拐 [5]怪
kʰ [5]块会筷
x [1]灰 [2]槐
Ø [1]歪 [5]坏

#yɛ
ɕ [1]靴

#ɔ
p [1]包 [3]保饱 [5]报爆
pʰ [1]抛 [2]袍跑 [5]暴炮鲍炮雹
m [2]毛茅 [5]冒卯貌牡
t [1]刀 [3]岛 [5]到
tʰ [1]掏 [2]桃 [5]讨套稻盗
l [2]劳 [5]脑老涝闹
ts [1]遭抓招 [3]早爪找 [5]灶罩笊召
