汉字	芦浦	筱村	雅阳	注释
多	tu1		tɔ1	
拖	tʰo1	tʰa1	tʰa1	
大	do6	ta6	tai6	~小
罗	lu2	lou2	lɔ2	
箩	lu2	la2	la2	
做	tsɑu5	tsou5	tsɔ5	
搓	tsʰɑu1	tsʰou1	tsʰɔ1	
歌	ku1	kou1	kɔ1	
个	kø5	kuə5	kɔi5	一~
我	o3	ŋa3	ua3	
饿	ɑu1	ŋou6	ŋɔ6	
驮	dɑu2	tou2	tɔ2	拿
舵	dɑu6	tou6	tɔ6	
鹅	ŋɑu2	ŋou2	ŋɔ2	
荷	vu2	ou2	hɔ2	
破	pʰu5	pʰou5	pʰua5	
破			pʰɔ5	
婆	bu2	pou2	pɔ2	
磨	mo2	ma2	mua2	动
磨	mo6	ma6	mɔ6	名词
磨		mou6		名词
朵	tɑu3	tou3	tɔ3	耳~
糯		nou6	nɔ6	
螺	lø2	luə2	lɔi2	
脶		luə2	lɔi2	
坐	zø6	suə6	sɔi6	
座		suə6	sɔi6	
锁	sɑu3	sou3	sɔ3	
果	ku3	kou3	kuɔ3	
裹		kou3	kuɔ3	
过	ku5	kou5	kuɔ5	
窠	kʰu1	kʰou1	kʰuɔ1	
火	hø3	fuə3	hɔi3	
货	fu5	hou5	huɔ5	
把	po3	pa3	pa3	
簸	po5	pa5	pua5	
霸	po5	pa5		
怕	pʰo5			
爬	bo2	pa2	pa2	
耙	bo6	pa2	pa2	犁~
麻	mo2	ma2	mua2	
马	mo3	ma3	ma3	
骂	mã5			
茶	dzo2	ta2	ta2	
查	dzo2	tsa2	tsa2	调~
沙	so1	sa1	sa1	
锁	so3			
糯	no6			
加	ko1	ka1	ka1	
假	ko3	ka3	ka3	真~
嫁	ko5	ka5	ka5	
牙	go2	ŋa2	ŋa2	
下	o6	a6	ŋa2	方位
哑	o3	a3	a3	~巴
借	tɕi5	tɕia5	tɕyɛ5	
写	ɕi3	ɕia3	ɕia3	
斜	dʑi2	tɕʰia2	tɕʰia2	
遮	tɕi1	tɕia1	tɕia1	
赊	tɕi1			
车	tsʰo1	tɕʰia1	tɕʰia1	汽~
渣	tso1	tsa1	tsa1	
射	ʑi6	ɕia6	ɕia6	
麝	ʑi6	ɕia6	ɕia6	
谢	ʑi6			
蛇	zo2	ɕia2	ɕia2	
爷	i3	ia3	ia3	
瓜	ko1	kua1	kua1	
寡	kua3	kua3	kua3	
瓦	ŋo6	ŋua6	ŋua6	名
瓦	ŋɔ̃6			
家	ko1	ka1	ka1	
花	ho1	fa1	hua1	
化	ho5	fa5	hua5	
谱	pu3	pʰou3	pʰuɔ3	
谱	pʰu3			
妇		pu6	pu6	
河	ɑu2	ou2	ɔ2	
喉	ɑu2			
候	ɑu6			
环	gue2	vã2	kʰuaŋ2	
环	ve2		uaŋ2	
布	pu5	pou5	puɔ5	
铺	pʰu1	pʰou3	pʰuɔ1	十里
簿	bu6	pou6	puɔ6	
步	bu6	pou6	puɔ6	
赌	tu3	tu3	tu3	
土	tʰu3	tʰu3	tʰu3	
涂	du2	tu2	tʰu2	
路	lu6	lu6	lu6	
墿		təu6	tyɛ6	
组	tsu3	tsɿ3	tsu3	
祖	tsu3	tsɿ3	tsu3	
租	tsɿ1	tsɿ1	tsu1	
粗	tsʰɿ1	tsʰɿ1		
粗	tsʰu1		tsʰu1	
阻	tsu3	tsɿ3	tsu3	
滋		tsɿ1	tsu1	
芝		tsɿ1	tɕiɛ1	
基	tsɿ1	tsɿ1	ki1	
牺		sɿ1	ɕi1	
撕		sɿ1	ɕiɛ1	
撕			su1	
施		sɿ1	su1	
楚	tsʰu3	tsʰɿ3	tsʰu3	
础	tsʰu3	tsʰɿ3	tsʰu3	
醋	tsʰɿ5	tsʰɿ5	tsʰu5	
苏	su1	sɿ1	su1	
酥	su1	sɿ1	su1	
疏	su1	sɿ1	su1	
蔬	su1	sɿ1	su1	
塑	su5	sɿ5	su5	
素	sɿ5	sɿ5	su5	
素	su5			
诉	sɿ5	sɿ5	su5	
诉	su5			
箍	kʰɔ1	kʰau1	kʰau1	
牯	ku1	ku3	ku3	
裤	kʰu5	kʰu5	kʰu5	
吴	ŋu2	ŋ̍2	ŋu2	
五	ŋ̍6	ŋ̍6	ŋ̍6	
五			ŋu6	
胡	vu2	hu2	hu2	
虎	fu3	hu3	hu3	
糊	gu2	ku2	kʰu2	
乌	u1	ou1	uɔ1	
乌		u1		
女	ȵy3	ȵy3	ȵy3	
徐	ʑy2	ɕy2	ɕy2	
猪	ty1	ty1	ty1	
苎		te6	te6	
箸	dʑy6	ty6	ty6	
初	tsʰu1	tɕʰyəu1	tsʰe1	
锄	dʑy2	ty2	tʰy6	
梳	sai1	ɕyəu1	se1	
煮	tɕy3	tɕy3	tɕy3	
书	ɕy1	ɕy1	ɕy1	
鼠	tɕʰy3	tɕʰy3	tɕʰy3	
锯	tɕy5	tɕy5	ky5	
去	tɕʰy5	tɕʰyəu5	kʰyɛ5	来~
去			kʰeʔ7	
巨	dʑy6	tɕy6	ky2	
鱼	ȵy2	ȵy2	ȵy2	
许	ɕy3	ɕy3	ɕy3	
于		yəu1	yɛ1	
斧		pou3	puɔ3	
斧	fu3	fu3		
麸	pʰu1	pʰou1	pʰɔi1	
扶	vu2	hu6	hu1	
无	m̩2	mou2	mɔ2	
无	vu2		u2	
舞	vu3	u3	u3	
雾	mo6	mou6	muɔ6	
雾		mou5		
取	tɕʰy3	tɕʰy3	tɕʰy3	
须	ɕy1	ɕyəu1	ɕy1	
需	ɕy1	ɕy1	ɕy1	
虚	ɕy1	ɕy1	ɕy1	
厨	dy2	təu2	ty2	
厨	dʑy2			
柱	dieu6	tʰiou6	tʰieu6	
柱	dʑy6			
数	ɕy3	sɿ5	su5	动
