傳教士拼音			IPA		今音	1890會城話《主禱文》								1890瀧水話《主禱文》					
A					今音	ŋɔk21kɛ23fu32tsɔɪ32tʰin/hin23卬個父在天								ŋɔɪ21/23kɛ23fu32tsɔɪ32hin32卬個父在天					
	Á	吖	ʔ	a	ʔɑ	ŋin32nei23kɛ23mɪɛŋ22hɐɪ32ʃɪŋ23願你個名系聖								ŋun32nei23kɛ23mɪɛŋ22hɐɪ32ʃɪŋ23願你個名系聖					
	Ái	屭	ʔ	aɪ	ʔɑj	nei23kɛ23kʷɔk45kɔŋ23lɛm/lim22你個國降臨								nei23kɛ23kɔk/kʷɔk45kɔŋ23lɛm22你個國降臨					
	Ái	挨	ʔ	aɪ	ʔɑj	nei23kɛ23tʃi45ji23tɐk45ʃɪɛŋ22tsiu32你個旨意得成就								nei23kɛ23tʃi45ji23tɐk45ʃɪɛŋ22tsɛu32你個旨意得成就					
	Ák	握	ʔ	ak	ʔɑk	tsɔɪ32tei32ho45sɿ21tsɔɪ32tʰin23jit45jœŋ32在地好似在天一樣								tsɔɪ32tei32ho45sɿ21tsɔɪ32hin32jit45jœŋ32在地好似在天一樣					
	Ák	鈪	ʔ	ak	ʔɑk	ŋɔk21jʊŋ32kɛ23lœŋ22kim/kɛm23ŋɛt32sɿ23ŋɔk21卬用個糧今日賜卬								ŋɔɪ21jʊŋ32kɛ23lœŋ22kɛm23ŋɛt32sɿ23ŋɔɪ21卬用個糧今日賜卬					
	Ám	唵	ʔ	am	ʔɑm	jiu32min21ŋɔk21kɛ23him23fu32又免卬個欠負								jiu32min21ŋɔɪ21kɛ23him23fu32又免卬個欠負					
	Ám	庵	ʔ	am	ʔɑm	ho45sɿ21ŋɔk21min21liu45ŋɛn/ŋin22him23fu32ŋɔk21kɛ23好似卬免了人欠負卬個								ho45sɿ21ŋɔɪ21min21liu45ŋɛn22him23fu32ŋɔɪ21kɛ23好似卬免了人欠負卬個					
	Án	晏	ʔ	an	ʔɑn	mo22jin32ŋɔk21jip32ʃi23wak32毋引卬入試惑								mo22jin32ŋɔɪ21jip32ʃi23wak32毋引卬入試惑					
	Áng	鶯	ʔ	aŋ	ʔɑŋ	tʃʰɪŋ45kiu23ŋɔk21tʃʰɐt45tsui32ʔɔk45拯救卬出罪惡								tʃʰɪŋ45kɛu23ŋɔɪ21tʃʰut45tsui32ʔɔk45拯救卬出罪惡					
	Áng	甖	ʔ	aŋ	ʔɑŋ	jɐn23wɐɪ32kʷɔk/kɔk45ʔa23,kʰin22ʔa23,wɪŋ22ʔa23因爲國啊權啊榮啊								jin23wui32kɔk/kʷɔk45ʔa23,kʰun22ʔa23,wɪŋ22ʔa23因爲國啊權啊榮啊					
	Áp	洽	ʔ	ap	ʔɑp	kai23hɐɪ32nei23/nɛk21jɐu21皆係你/若有								kai23hɐɪ32nei23/nɛk21jiu21皆係你/若有					
	Áp	鴨	ʔ	ap	ʔɑp	tʃi23to23ʃai23ʃai23至到世世								tʃi23to23ʃai23ʃai23至到世世					
	At	扼	ʔ	ɐt	ʔɑk	ʃɪŋ22sim23ʃɔ45ŋin32誠心所願								ʃɪŋ22sɛm23ʃɔ45ŋun32誠心所願					
	Át	扼	ʔ	at	ʔɑk														
	At	壓	ʔ	ɐt	ʔɑt														
	Áu	區	ʔ	aʊ	ʔɑw														
	Áu	拗	ʔ	aʊ	ʔɑw														
C																			
Ch	á	揸	tʃ	a	tsɑ	聲韻調配合表													
Ch'	á	茶	tʃʰ	a	tsʰɑ	韻	空	i	u	a	ɛ	ɔ	ai	ɐi	ei	ɔi	ui	iu	am
Ch	ái	製	tʃ	aɪ	tsɑj	ʃ		尸		沙		疏	世			使	衰	收	衫
Ch	ái	砦	tʃ	aɪ	tsɑj	f			父	花		火	塊		非		費		
Ch'	ái	差	tʃʰ	aɪ	tsʰɑj	h				下	靴	何	鞋	係	喜	開		曉	咸
Ch	ák	窄	tʃ	ak	tsɑk	hʰ													
Ch'	ák	測	tʃʰ	ak	tsʰɑk	j		雨						𠯋				有	
Ch'	ák	冊	tʃʰ	ak	tsʰɑk	k				加		哥	鷄	個	基	該		轎	監
Ch	ám	斬	tʃ	am	tsɑm	kʰ				誇			𢬿	啟	其	蓋		橋	
Ch'	ám	杉	tʃʰ	am	tsʰɑm	kw				瓜									
Ch	an	珍	tʃ	ɐn	tsɜn	kʷ			古				乖	鬼			居		
Ch	án	盞	tʃ	an	tsɑn	kʷʰ			軲	*							區		
Ch'	án	產	tʃʰ	an	tsʰɑn	l				罅	哩	羅	犂		梨	來	*	了	藍
Ch	áng	箏	tʃ	aŋ	tsɑŋ	m	唔	*		馬		摩	米		㖇	妹		苗	
Ch	áng	爭	tʃ	aŋ	tsɑŋ	mʷ													
Ch'	áng	橙	tʃʰ	aŋ	tsʰɑŋ	n				拏		糯	泥		你	耐	女	鳥	男
Ch	áp	閘	tʃ	ap	tsɑp	ŋ	五	𠼮		牙		鵝	蟻	*		呆	愚		唅
Ch'	áp	插	tʃʰ	ap	tsʰɑp	p				把	啤	波	閉		俾	杯		票	
