#ɿ
ʦ[1]资咨姿雉兹滋[3]紫姊子梓滓[5]自字痔
ʦʰ[1]雌[2]磁瓷慈辞祠词饲[3]此[5]刺赐次寺
s[1]斯厮撕私师狮司丝思[3]死什{~么；为~么}[5]四肆嗜似祀巳伺寺嗣士仕事恃侍

i
p[1]屄{（脏话）}[2]鼻笔毕必弼逼璧壁[3]比譬彼[5]蔽敝弊币闭毙篦被{（〜子）}臂被{（〜迫）}避庇痹备
pʰ[1]蓖批披[2]劈皮疲脾琵枇匹僻[3]丕俾鄙[5]屁庇
m[1]眯[2]迷眉楣媚密{（浓〜）}蜜觅[3]米靡[5]秘{（〜密）}密{（秘〜）}泌谜
x[1]溪奚兮牺嬉熙希稀[3]喜[5]戏系弃
t[1]低的[2]的{（目的）}滴嫡笛敌狄[3]底抵[5]弟帝第递隶地{（〜方）}地{（红红〜}
tʰ[1]梯[2]堤题提蹄啼屉踢剔[3]体[5]替涕
n[2]泥倪谊尼匿逆溺宜{（便〜）}[3]你拟[5]腻
l[2]犁黎离篱璃梨厘狸立笠粒栗力历[3]礼李里理鲤[5]例厉丽荔利痢吏
ŋ[3]蚁
k[1]鸡稽饥肌基机讥[2]吉极击激急级及吸[3]几{（茶〜）}己纪几{（〜乎）}几{（〜个）}[5]计继寄记忌既季
kʰ[1]欺[2]奇骑歧祁鳍其棋期旗祈讫乞吃[3]启起岂[5]契企器汽气
ʦ[1]知蜘支枝肢之芝[2]缉集辑蛰{（惊〜）}执汁置疾侄秩质直值殖植积跡迹脊籍掷绩寂织职[3]挤纸只脂旨指止趾址[5]祭际滞制济剂技智致稚至治志痣
ʦʰ[1]妻痴嗤[2]齐脐荠池驰迟持七漆膝赤斥尺戚[3]侈耻齿[5]沏砌
s[1]西栖施尸诗犀[2]席匙时习袭十什{（〜么）}什{（〜锦）}拾悉实失室息熄媳识饰夕适释石锡析食蚀[3]洗玺徙矢屎使史驶始[5]世势誓逝细舐是氏是示视柿市试式
Ǿ[1]伊医衣依[2]移夷姨饴沂遗揖日乙一逸益亦译液腋缢抑[3]椅矣已以[5]艺义议易翼意异毅忆亿冀
a
p[1]巴芭疤爸[2]八拔跋[3]把[5]霸把{（柄）}坝罢
pʰ[1]趴[2]耙杷爬琶杷[3]擘{（〜开张开两腿）}[5]怕
m[1]蟆妈[2]麻抹[3]马码[5]骂
f[1]发{（头〜）}[2]法乏发{（分〜）}伐筏罚
t[2]答搭沓达[5]大{（〜小）}大{（〜夫）}
tʰ[1]他[2]踏塌塔塌榻
n[2]拿纳捺娜[3]哪[5]那
l[1]拉[2]腊蜡辣[5]□{（la53 ta53地名）}
ŋ[1]桠□{（指乱说）}[2]腌{（〜臜:形容嚣张）}
k[3]尬
kʰ[1]咖[3]卡
ʦ[1]渣[2]杂眨闸札扎锄栅轧[5]炸
ʦʰ[1]叉杈差{（〜错）}岔[2]茶搽查茬擦插察
s[1]沙纱萨{（菩〜）}[2]萨{（拉〜）}杀[3]洒傻撒
Ǿ[1]阿{（〜胶、〜哥）}

ɤ
p[1]□{（剥开）}[2]北百白伯[3]□{（指农伯）}[5]伯
pʰ[2]帕泊柏迫拍
m[2]没{（沉没）}墨默麦脉陌[3]□{（表示大）}□{~倒：估计，猜想}
x[2]吓核黑赫
t[2]得德
tʰ[2]特
l[2]肋勒
ŋ[2]额扼扼[5]□{（用刀来回切）}
k[2]格革隔
kʰ[2]刻克客[5]去-
ʦ[2]则贼泽择宅窄摘责
ʦʰ[2]厕侧测拆策册
s[2]涩瑟虱塞色啬
Ǿ[1]儿[2]尔耳饵[5]二贰

o
p[1]波菠玻[2]薄钵拨博泊剥驳[3]跛[5]簸
pʰ[1]坡[2]婆泼[3]剖[5]破
