pan平	斑班頒扳般搬
pan上	板版
pan去	半伴拌辦扮瓣
pʰan平	攀潘盤磐
pʰan去	盼判叛畔
man平	蠻饅
man上	瞞滿
man去	漫慢謾幔
fan平	凡帆番翻煩繁返
fan上	反泛
fan去	範犯販飯
tan平	擔(~任)丹單耽
tan上	膽
tan去	旦擔(挑~)但彈淡蛋誕耽
tʰan平	坍灘攤譚檀談痰彈貪曇
tʰan上	毯坦袒
tʰan去	探炭嘆
nan平	男難南楠
lan平	蘭攔欄籃藍婪瀾纜
lan上	懶覽攬
lan去	爛濫
tsan平	嶄
tsan上	暫斬
tsan去	贊站蘸棧
tsʰan平	參慘餐蠶殘饞攙讒慚
tsʰan上	產鏟燦
san平	三山衫
san上	傘饊
san去	散
tʂan平	沽粘氈瞻
tʂan上	盞展輾
tʂan去	占佔戰
tʂʰan平	蟬纏
tʂʰan上	闡
tʂʰan去	顫
ʂan平	羶煽杉刪
ʂan上	陜閃
ʂan去	善繕扇擅
ʐan平	燃
ʐan上	染然冉
kan平	甘柑泔乾(~湿)肝竿搟
kan上	感趕桿稈敢
kan去	幹(~部)桿贛
kʰan平	刊勘堪
kʰan上	坎砍檻
kʰan去	看
ŋan去	岸暗
xan平	函寒韓含
xan上	喊
xan去	旱焊漢汗翰撼憨罕
an平	安按鞍案氨
paŋ平	邦幫梆濱
paŋ上	榜謗綁
paŋ去	棒
pʰaŋ平	旁膀磅傍龐
pʰaŋ去	胖乓
maŋ平	忙盲芒茫氓
maŋ上	蟒
faŋ平	方防房芳妨
faŋ上	紡仿訪
faŋ去	放
taŋ平	當(~家)襠
taŋ上	擋檔黨
taŋ去	當蕩
tʰaŋ平	堂蝗棠唐糖塘搪湯
tʰaŋ上	倘躺
tʰaŋ去	燙趟
naŋ平	囊饢
naŋ上	攘
laŋ平	郎狼廊螂
laŋ去	浪朗
tsaŋ平	贓臟藏(西~)
tsaŋ去	葬
tsʰaŋ平	倉蒼槍艙昌藏
saŋ平	喪桑
saŋ上	嗓
tʂaŋ平	張丈杖章獐蟑樟
tʂaŋ上	長漲掌
tʂaŋ去	仗帳賬脹障
tʂʰaŋ平	長腸暢場常嘗償倡猖廠敞
tʂʰaŋ去	唱悵
ʂaŋ平	商傷響
ʂaŋ上	賞
ʂaŋ去	上尚
ʐaŋ平	瓤
ʐaŋ上	嚷壤攘
ʐaŋ去	讓
kaŋ平	岡剛崗綱鋼缸肛扛杠
kaŋ上	港
kaŋ去	杠
kʰaŋ平	康慷糠
kʰaŋ去	抗炕
xaŋ平	行航杭
xaŋ上	夯絎
xaŋ去	巷
aŋ平	昂骯
aŋ上	盎
pa平	巴疤芭八扒叭拔跋霸灞爸靶
pa上	把鈀
pa去	罷壩笆
pʰa平	爬耙趴扒
pʰa去	怕
ma平	麻媽瑪螞
ma上	馬碼抹
ma去	罵
fa平	乏發罰法伐閥筏
ta平	答搭褡瘩達韃
ta上	打
ta去	大
tʰa平	他塌蹋遏塔踏
na平	拿納鈉那娜
na上	哪
la平	拉垃臘蠟辣
la上	喇
tsa平	雜渣紮劄鍘詐炸榨咂砸眨
tsa去	閘
