// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	z	k	kʰ	ŋ	x
@FIN	a
@TON	平聲	22
@TON	上聲	312
@TON	去聲	45

// Initial	Final	Tone	CharList (Space separated)
p	a	平聲	班 斑 頒 扳{~開} 般 搬 扁{~擔} □{~火罐}
p	a	上聲	板 版 阪 坂 □{把水或飯灑了} □{~達：木頭做的糧倉} 扳{二鬼~跌}
p	a	去聲	扮 瓣 辦 伴 拌 半 絆 □{~牙：硌掉牙}
pʰ	a	平聲	攀 片 潘 盤 蟠 磐 瞞
pʰ	a	去聲	盼 判 叛 畔
m	a	平聲	蠻 瞞 埋{~怨} 饅 □{扔掉不要}
m	a	上聲	滿 蟎
m	a	去聲	曼 慢 漫 幔 蔓 謾 縵{~磚}
f	a	平聲	凡 帆 藩 翻 番 煩 礬 繁 樊 梵 繁 蕃
f	a	上聲	反 返
f	a	去聲	泛 販 飯 範 犯
v	a	平聲	豌 剜 完 丸 彎 灣 紈
v	a	上聲	皖 碗 腕 惋 婉 晚 挽 □{拔}
v	a	去聲	玩 遊{~萬} 蔓
t	a	平聲	耽 擔 丹 單 鄲 邯{~□~工：明知故犯}
t	a	上聲	膽
t	a	去聲	擔{~子} 誕 旦 但 彈{子~} 蛋 淡 氮 憚 石{量詞} □{在空中架著}
tʰ	a	平聲	貪 譚 譚 坍 灘 攤 撣 談 彈{~琴} 痰 癱 曇 覃 檀 壇
tʰ	a	上聲	毯 坦 撣{志~} 袒
tʰ	a	去聲	探 炭 嘆 碳
n	a	平聲	南 男 難{~易} 楠 喃
n	a	上聲	暖
n	a	去聲	難{患~} □{道路泥濘；陷進泥水中}
l	a	平聲	藍 籃 纜 蘭 攔 欄 闌 斕 瀾 斕 嵐 婪
l	a	上聲	漤 覽 攬 欖 懶 襤
l	a	去聲	濫 爛
ts	a	平聲	占{~卜} 沾 粘{~貼} 瞻 氈 簪
ts	a	上聲	斬 盞 展 攢 嶄
ts	a	去聲	贊 暫 蘸 站{~立} 占{~領} 綻 棧 戰 顫{打~} 湛
tsʰ	a	平聲	參{~加} 蠶 慚 摻 讒 饞 蟾 殘 纏 蟬 禪 餐 摻{單~}于 蟾
tsʰ	a	上聲	慘 鏟 產
tsʰ	a	去聲	燦 顫{~抖} 璨 □{脫~：線脫開}
s	a	平聲	三 杉 衫 山 膻 扇{~風} 煽 刪 珊 姍 跚 煽 潸
s	a	上聲	陝 閃 散{~開} 傘
s	a	去聲	散{分~} 扇{~子} 善 擅 膳 鱔 單{姓} 禪{~讓} 疝 汕 贍
z	a	平聲	然 燃 □{說話嘮叨、說話不清楚} □{粘手}
z	a	上聲	染 冉
k	a	平聲	甘 柑 泔 肝 竿 杆 乾{~濕} 尷 □{牙~：牙垢}
k	a	上聲	感 敢 橄 杆 擀 趕 漢
k	a	去聲	幹{~活} 贛 淦
kʰ	a	平聲	堪 龕 勘 看{~守}
kʰ	a	上聲	坎 刊 砍 侃 □{扔掉} □{~痢：頭腦不清楚，二百五} □{扔}
kʰ	a	去聲	看{~見}
ŋ	a	平聲	安 庵 鞍 氨 諳 鵪 □{~眼子：牲口拉磨時的蔽眼物}
ŋ	a	上聲	俺 □{胡亂吃} □{密封嚴實}
ŋ	a	去聲	揞{住} 暗 岸 按 案 □{表疑問的語氣詞}
x	a	平聲	含 函 憨 酣 鼾 寒 韓 涎{~水} 還{~有} 涵 邯{~鄲} 頡
x	a	上聲	喊
x	a	去聲	撼 憾 旱 漢 汗 翰 罕 焊 悍 瀚 □{~長：長工}
// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	z	k	kʰ	x	ŋ
@FIN	aʔ
@TON	陰入	22
@TON	陽入	312

// Initial	Final	Tone	CharList (Space separated)
p	aʔ	陰入	八 缽 拔 鈸 餑{麵~} 剝 駁 卜{蘿~} □{飯~了：飯糊了。}
p	aʔ	陽入	拔 博 薄 □{~了：湯等糊了，沒焦}
pʰ	aʔ	陰入	潑 勃 朴 撲 醭{醋生白~} □{小孩子身體好} □{一~~尿} □{~~：愛吃，胃口好} □{~文文：反文旁}
pʰ	aʔ	陽入	僕
m	aʔ	陰入	莫 膜 寞 摸 抹 沫 末
f	aʔ	陰入	法 髮{頭~}
f	aʔ	陽入	乏 伐 筏 罰
v	aʔ	陰入	襪 握 沃
t	aʔ	陰入	搭 嗒
t	aʔ	陽入	達 答 踏{老。~著地雷了}
tʰ	aʔ	陰入	踏 沓{一~紙} 塔 塌 托 榻 溻 □{感~：乖}
n	aʔ	陰入	納 捺{撇~} 諾 匿 □{~煞人：喘不過氣來} □{口語，表提醒} □{睡~住了：夢魘}
l	aʔ	陰入	臘 蠟 鑞 錫{~辣} 落 洛 絡 樂{快~} 洛{~鉤：一種農具} □{~姑：螻蛄} □{叨~：聊天}
ts	aʔ	陰入	扎{用針~} 眨{折~} 疊{褶~子} 札{書~} 扎{~口袋} 哲 蟄{蠍子~人} 著{衣~} 酌 宅 紙~
ts	aʔ	陽入	雜 閘 炸{~糕} 轍 著{睡~} 浙
tsʰ	aʔ	陰入	插 冊 涉 擦 察 徹 撤 設{建~} 綽 鑔{~子}
s	aʔ	陰入	攝 撒{~手} 殺 鍘{~刀} 舌 設 索{繩~} 煞{不~子：馬桶} □ □{ŋaʔ22-44~：垃圾}
s	aʔ	陽入	折{弄~} 勺{~藥花}
z	aʔ	陰入	熱 若 弱
k	aʔ	陰入	合{十~一升} 鴿 割 葛 各 閣 擱 胳 骼 革 隔 戈
kʰ	aʔ	陰入	磕 渴 克1 殼 咳{~嗽}
x	aʔ	陰入	喝{~水} 郝 赫
x	aʔ	陽入	合{~體} 盒 鶴
ŋ	aʔ	陰入	鄂 惡{善~} 額 扼 □{一~~眼：單眼皮} □{~saʔ22：垃圾}
// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	p	pʰ	m	f	v	t	tʰ	l	ts
@FIN	ei
@TON	平聲	22
@TON	上聲	312
@TON	去聲	45

// Initial	Final	Tone	CharList (Space separated)
p	ei	平聲	杯 碑 卑 悲
p	ei	去聲	倍 輩 背{後~、~誦} 焙{~乾} 貝 臂
pʰ	ei	平聲	胚{~胎} 培 陪 裴 丕
pʰ	ei	去聲	配 佩 沛
m	ei	平聲	梅 枚 媒 煤 埋{口~土地：兩山之間水沖積形成的土地}
m	ei	上聲	每 美
m	ei	去聲	妹 昧
f	ei	平聲	非 飛 妃 肥 匪
f	ei	上聲	吠 翡{~翠} □{嘆詞，身體疼痛時用}
f	ei	去聲	廢 肺 痱{~子} 費{~用} 沸
v	ei	平聲	煨 危 為{作~} 維 帷 唯 威 違 圍 微 兀1{這瓶酒，~瓶酒}
v	ei	上聲	偽 委 萎 偉 葦
v	ei	去聲	外 衛 為{為什麼} 位 魏 畏 慰 緯 胃 謂 未 味
t	ei	平聲	低 丁 釘{鐵~} 疔
t	ei	上聲	底 抵 頂 鼎
t	ei	去聲	地 弟 帝 第 遞 錠 釘{~住} 訂{~約} 定
tʰ	ei	平聲	聽{~見} 廳 汀 亭 停 廷 庭 蜓{蜻~}
tʰ	ei	上聲	艇 挺
l	ei	平聲	離{~別} 璃{玻~} 梨 狸{~貓} 黎 犁 厘 鄰 鱗 陵 凌 菱 靈 零 鈴 伶 拎 翎 林
l	ei	上聲	李 里{公~} 裡{~子} 理 鯉 禮 領 嶺
l	ei	去聲	利 痢 吏 例 歷 勵 麗{美~} 隸 吝{~嗇} 令 另 □{~把：外行}
ts	ei	去聲	這2{~孩子，兀孩子}
// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	p	pʰ	m	t	tʰ	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	i
@TON	平聲	22
@TON	上聲	312
@TON	去聲	45

// Initial	Final	Tone	CharList (Space separated)
p	i	平聲	□{~住：由於吃驚而發愣}
p	i	去聲	□{~豆子：用敲打豆子的方式給豆子去皮}
pʰ	i	平聲	漂 飄
pʰ	i	上聲	苤{~藍} □{~玉茭}
pʰ	i	去聲	□{打瞭~：放棄}
m	i	平聲	苗 □{藏~~：捉迷藏} □{圪~：打盹}
m	i	去聲	廟
t	i	平聲	刁 爹
t	i	去聲	萆{灰~菜} 吊 調 銚
tʰ	i	平聲	堤 梯 題 提 蹄 啼 調{~和} 條 笤 替 涕 剃 屜 跳柴{~米} 嚏
tʰ	i	上聲	體
n	i	平聲	崖 □{~住：人發呆 你僅限於所有格}
n	i	上聲	□{動詞，向後倒}
n	i	去聲	尿
l	i	平聲	燎 繚{~邊} □{羯骨~：公羊} □{~油：炒菜時向鍋裡倒油}
l	i	上聲	燎{火~眉毛}
l	i	去聲	□{~米} 料{飼料} 瞭{~一~：看一看}
tɕ	i	平聲	皆 秸 街 椒 嬌 澆 □{貼~：縫紉材料}
tɕ	i	上聲	姐 解 絞 己
tɕ	i	去聲	借 藉 介 界 芥 疥 屆 戒 季 噍{牛倒~} 叫 械 誡
tɕʰ	i	平聲	悄 養 劁 茄 □{~住：撒嬌，耍賴}
tɕʰ	i	上聲	且 趄{背靠著東西坐}
tɕʰ	i	去聲	篋
ɕ	i	平聲	些 邪 斜 諧 鞋 消{冰~了}
ɕ	i	上聲	寫 小
ɕ	i	去聲	謝 瀉 卸 席 懈 解{姓氏} 解{理解，懂了} 蟹 笑
Ø	i	平聲	爺 腰 要 搖 謠 窯 姚 鑰{~匙}
Ø	i	上聲	也 野 舀 耶
Ø	i	去聲	夜 鷂{~子} 要
// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	p	pʰ	m	t	tʰ	l	tɕ	tɕʰ	n	ɕ	Ø
@FIN	iaʔ
@TON	陰入	22
@TON	陽入	312

// Initial	Final	Tone	CharList (Space separated)
p	iaʔ	陰入	鱉 憋 百 柏 擘
p	iaʔ	陽入	別{分~} 伯 白 帛
pʰ	iaʔ	陰入	撇{~捺} 迫 拍 魄 □{吹牛}
m	iaʔ	陰入	蔑{竹~} 陌{~生} 麥 脈
t	iaʔ	陰入	跌 滴
t	iaʔ	陽入	疊 碟 牒 蝶 諜
tʰ	iaʔ	陰入	帖 貼 鐵
l	iaʔ	陰入	獵 列 烈 裂 劣 略 掠 冽 □{~絲絲：絞絲旁}
tɕ	iaʔ	陰入	夾 狹 甲 胛 接 捷 挾{~菜} 給{供~} 揭 節 截 結 潔 腳 覺{知~} 角 餃{~子} □{日~：生硬地罵} □{~記：牽掛} 黠{乖~：滑頭}
tɕ	iaʔ	陽入	傑 嚼 爵
tɕʰ	iaʔ	陰入	恰 掐 洽 妾 劫 怯 切 卻 確 戚 客2{人：專指來訪的親戚}
n	iaʔ	陰入	鴨 聶 鑷{~子} 躡{~手~腳} 業 孽 捏 虐
ɕ	iaʔ	陰入	狹 峽 肋 協 瞎 薛 歇 蠍 屑{木~} 楔{~子} 血
ɕ	iaʔ	陽入	匣{~子} 轄 學 □{~跟：相跟}
Ø	iaʔ	陰入	葉 頁 噎 約 藥 樂{音~}
// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	p	pʰ	m	v	t	tʰ	n	l	ts	tɕ	tɕʰ	ɕ	Ø
@FIN	ie
@TON	平聲	22
@TON	上聲	312
@TON	去聲	45

// Initial	Final	Tone	CharList (Space separated)
p	ie	平聲	鞭 編 邊
p	ie	上聲	蝙 匾 扁{~食} 貶
p	ie	去聲	辨 辮 辯 變 汴 卞 便{方~} 遍{~地}
pʰ	ie	平聲	偏 便{~宜}
pʰ	ie	上聲	篇 諞{吹噓}
pʰ	ie	去聲	騙{欺~} 片{一~~、~柴}
m	ie	平聲	綿 棉 眠
m	ie	上聲	免 勉 娩 澠 靦 緬{~懷}
m	ie	去聲	緬{~甸} 面
v	ie	去聲	兀3{兀一個的合音}
t	ie	平聲	掂 顛 踮
t	ie	上聲	點 典 奠 碘
t	ie	去聲	店 電 殿 佃 墊 甸 淀 玷 惦
tʰ	ie	平聲	添 甜 田 填 天 恬
tʰ	ie	上聲	舔 腆 □{~出去：攆出去}
n	ie	平聲	巖 黏 閹 嚴 儼 拈 顏 言 年 研
n	ie	上聲	眼 輦 捻 攆
n	ie	去聲	釅 念 雁 諺 硯 艷{直~~：形容陽光直射}
