	注释：-白读，=文读
#a	
p	[1]爸巴疤芭笆爬筢{竹～}扒[3]把饱-{食～}[5]霸欛坝百-掰[6]罢钯爸{郎～}耙{犁～}
pʰ	[5]怕帕
m	[1]妈{阿～}□{用五指抓}[2]麻蔴痳=蟆猫-[3]马玛码蚂妈{老～}[5]骂嬷{～～，姑姑}
t	[1]□{喙～，干，焦}[2]茶[3]打[5]□{～油，榨油}
tʰ	[1]他她它[5]䖳
n	[1]□{疤}[2]□{拉屎}□{两～长}[3]拿{抓～}
l	[1]拉{拖～}啦垃喇
ts	[1]渣碴[2]查[3]早-[5]炸榨诈[6]乍
tsʰ	[1]叉差杈[2]柴
s	[1]沙=砂纱疏{～密}娑{～罗门}
k	[1]家加傢嘉佳胶-{～水}铰-{～刀}[3]假贾绞{～索}[5]架嫁稼价教{～书}[6]咬
kʰ	[1]骹{脚}[3]□{奇～，奇异}[5]卡客-
ŋ	[2]牙芽衙[3]雅[6]讶
x	[1]哈[2]霞虾遐瑕[5]孝-{带～}[6]厦夏下={三～}
∅	[1]丫鸦{老～}啊[2]阿{～弟}[3]哑拗{～断}[5]亚{～洲}[6]下-{～爿}
#ɔ	
p	[1]褒{～扬}[2]婆[3]保堡宝[5]报[6]暴
pʰ	[1]坡波玻袍[3]颇[5]破={～坏}[6]抱
m	[1]馍□{血～}[2]毛摩磨={折～}[3]母{鸡～}拇[5]□{打，击}[6]磨{～米}帽冒
t	[1]多刀[2]驼驮陀逃掏{拿}淘涛舵焘陶萄[3]倒{～下}岛祷[5]到桌倒{～去，回去}[6]惰道导稻盗
tʰ	[1]滔[2]桃[3]讨[5]套
n	[2]□{转，旋}挪{～用}[3]脑恼[6]糯
l	[1]唠啰[2]劳痨{肺～}牢逻[3]老={年～}[6]□{找}
ts	[1]遭{～害}[2]曹艚槽=遭{～遇}[3]左早=枣佐[5]做[6]坐=座皂
tsʰ	[1]搓[3]草[5]躁错锉燥={干～}澡造挫
s	[1]骚搔梭唆[2]槽-{猪～}[3]嫂锁琐[5]燥{～水}
k	[1]哥歌高糕羔篙[2]□{鱼～，捕鱼器}[3]稿搞犒[5]告诰
kʰ	[1]苛轲□{煮}[2]□{刁难}□{打鼾}□{煮}[3]考可烤洘[5]靠
ŋ	[2]鹅={天～}俄莪峨敖熬邀鳌娥哦□{谷仓}[3]我={自～}[6]傲{骄～}饿
x	[2]何荷{～花}豪毫河嚎[3]好{～坏}[5]耗好{～食}[6]浩贺号
∅	[1]阿{～胶}[2]河-[3]袄何{为～}[5]奥懊{～悔}□{乖，听话}
#ɛ	
p	[1]□{女阴}[2]排{～除}牌
pʰ	[3]□{面～，脸颊}[5]稗
m	[3]买卖[6]□{苦～菜}𣍐{不会}卖{见“买卖”连读}
t	[1]低[2]题蹄啼=[3]底抵[5]帝[6]弟=第递隶
tʰ	[3]体[5]替缔
n	[2]泥[3]奶{娘～，母亲}
l	[2]犁黎[3]礼[6]丽
ts	[2]齐[3]挤[5]济[6]剂
tsʰ	[1]妻棲栖凄萋
s	[1]西犀{～溪，乡名}[3]洗玺徒[5]细婿[6]□{多}
k	[1]街[3]解-{～开}[5]疥
kʰ	[1]溪[3]□{啃}[5]快-
ŋ	[2]倪[3]□{白眼}
∅	[1]挨{～延}[2]鞋[3]矮[6]解{会}
#œ	
p	[2]□{跃起}
tʰ	[2]□{滑}[5]□{～被}
l	[1]□{肥～，猪肉或鸡肉的肥肉多}[2]驴□{头～起}[5]鑢{锉}[6]耢{～草}
ts	[2]□{挤，拥入}
tsʰ	[2]□{倒水}
s	[2]□{假冒}□{牙外突}
k	[2]□{粗～}
kʰ	[3]□{笨拙}□{～茶，倒掉}
x	[5]□{起哄}
#i	
p	[1]碑[2]枇{～杷}[3]比彼俾[5]秘泌庇痹篦[6]备婢被={～动}
pʰ	[1]披丕[2]脾疲皮={刁～}肥={合～，地名}[3]鄙痞{地～}[5]鼻
m	[1]咪{猫～}[2]㳽弥维糜={～烂}遗惟眉楣唯媚谜迷[3]米美[6]未{～来}味{～道}
t	[1]知鸱[3]抵牴[5]智蒂置致□{低头钻}豸[6]地治痔雉稚
tʰ	[1]黐{粘状物}□{丝条}[2]提堤鳀苔-迟[5]涕
n	[2]呢{布料}腻二贰
l	[2]梨来-[3]李里理鲤[5]利{胜～，～益}[6]利{锋～}痢吏
ts	[1]之□{～毛，阴毛}[2]□{吱，水入火声}[3]只{～有}子-{籽}旨指={～示}止趾姊{阿～}[5]至志志痣[6]字
tsʰ	[1]痴嗤眵□{揪}[2]□{齿不平，粗糙}[3]齿={牙～}耻{无～}[5]饲-{～鸡}[6]市{豆～}示
s	[1]诗丝尸屍司{公～}[2]糍时[3]死-始-[5]四-试[6]是氏视寺{～庙}峙
k	[1]基机饥={～饿}几{～何}技{杂～}讥羁枝-{柴～}[2]奇{～怪}祁耆其淇棋旗期{学～}祈沂[3]几{茶～}己纪杞[5]记既冀[6]技{～术}妓忌
kʰ	[1]㩻{斜}欺[2]骑[3]企起岂齿-{～轮}[5]器气汽弃[6]柿
ŋ	[2]宜疑仪[3]拟耳={聂～}你=尔[6]耳-{聋～}
x	[1]牺嬉嘻禧希稀熙[3]喜
