pa⁵⁵疤爸巴
pa²¹³拔八
pa⁵³把
pa³⁵把坝耙霸
pʰa²¹³爬
pʰa³⁵怕
ma²¹³麻
ma⁵³马
ma³⁵骂
fa²¹³法乏发罚伐
ta²¹³答搭达
ta⁵³打
ta³⁵大
tʰa⁵⁵他{白tʰɛ⁵⁵}
tʰa²¹³塔塌踏
na²¹³纳拿
la⁵⁵拉
la²¹³蜡辣腊
kʰa²¹³卡
tsa²¹³杂
tsʰa²¹³擦
tʂa⁵⁵渣
tʂa²¹³扎铡眨
tʂa³⁵榨诈
tʂʰa⁵⁵差
tʂʰa²¹³茶插查察
tʂʰa³⁵差叉
ʂa⁵⁵沙纱
ʂa²¹³杀
ʂa⁵³傻
ʂa³⁵厦
a⁵⁵阿
tɕia⁵⁵家加佳嘉
tɕia²¹³闸甲胛夹
tɕia⁵³假贾
tɕia³⁵假驾架价嫁
tɕʰia²¹³恰洽掐
ɕia⁵⁵虾
ɕia²¹³霞狭{白tɕia²¹³}匣狭{白读tɕia²¹³}辖瞎
ɕia³⁵下厦夏
ia⁵⁵鸦丫
ia²¹³牙芽涯鸭押压
ia⁵³哑雅
ia³⁵亚
kua⁵⁵瓜
kua²¹³括刮
kua⁵³寡
kua³⁵挂卦
kʰua³³夸
kʰua⁵³垮
kʰua³⁵跨
xua⁵⁵花
xua²¹³华滑
xua³⁵化华画话划
tʂua⁵⁵抓
tʂua²¹³啄
tʂua⁵³爪
ʂua²¹³刷
ʂua⁵³耍
ua⁵⁵蛙挖
ua²¹³袜
ua⁵³瓦
tsɿ⁵⁵资姿滋
tsɿ⁵³紫姊子
tsɿ³⁵自字
tsʰɿ²¹³雌此慈磁词辞祠瓷
tsʰɿ⁵³此
tsʰɿ³⁵刺赐次
sɿ⁵⁵斯撕私师狮丝思厕
sɿ⁵³死
sɿ³⁵四巳寺饲士柿事
tʂʅ⁵⁵知蜘支枝栀脂之芝只蔗
tʂʅ²¹³执汁直值织侄质殖
tʂʅ⁵³纸指止趾址
tʂʅ³⁵制智致稚至置痔治志痣
tʂʰʅ²¹³池迟持赤尺吃
tʂʰʅ⁵³耻齿
tʂʰʅ³⁵翅匙
ʂʅ⁵⁵施诗尸
ʂʅ²¹³食石湿十什实失室识适释
ʂʅ⁵³屎使驶史始
ʂʅ³⁵世势誓视试时市侍舐是示
ʐʅ²¹³日
pi²¹³鼻逼笔毕必碧壁逼
pi⁵³比
pi³⁵币毙闭被{被动}避备
pʰi⁵⁵批匹
pʰi²¹³皮脾枇僻癖劈
pʰi³⁵痹屁
mi²¹³糜密蜜
mi⁵³米
ti⁵⁵低的{白读tɛ⁵⁵}
ti²¹³笛敌滴
ti⁵³底
ti³⁵帝弟第{白读tiɛ³⁵}地
tʰi⁵⁵梯堤
tʰi²¹³提题蹄啼踢
tʰi⁵³体
tʰi³⁵替剃
ȵi²¹³凝泥尼逆宜疑{文读i²¹³}
ȵi⁵³女你蚁
li²¹³犁离黎立笠粒栗律力历
li⁵³里鲤吕旅礼李
tɕi⁵⁵居车鸡机饥基屐
tɕi²¹³急级及吉极击
tɕi⁵³举矩挤己几
tɕi³⁵锯巨据聚句具系继记髻季忌剧寄
tɕʰi⁵⁵区欺期
tɕʰi²¹³渠齐脐奇骑岐棋旗乞
tɕʰi⁵³启起杞
tɕʰi³⁵器契气
ɕi⁵⁵虚墟须溪希
ɕi²¹³吸
ɕi⁵³许喜
ɕi³⁵隙戏
tsi²¹³鲫疾积迹脊籍绩寂
tsi³⁵集祭际聚
tsʰi⁵⁵蛆妻趋
tsʰi²¹³七漆戚
tsʰi⁵³取娶
tsʰi³⁵趣
si⁵⁵西须需
si²¹³徐习袭悉膝熄息惜席锡析
si⁵³洗徙
si³⁵序叙绪细{白读sai³⁵}婿
i⁵⁵伊医衣
i²¹³鱼移夷姨乙一亿翼益译
i⁵³屿语与椅倚雨羽以已
i³⁵预遇芋愈艺义议役疫易异亦玉
pɛ²¹³北百伯柏白擘{白读pʰi²¹³}
pʰɛ²¹³拍
mɛ²¹³墨默麦脉
tɛ²¹³得德
tʰɛ²¹³特
lɛ²¹³勒肋
kɛ²¹³格革隔
kʰɛ²¹³刻克客
xɛ²¹³核黑吓
tsɛ²¹³则贼窄摘责
tsʰɛ²¹³侧拆择宅策册
sɛ²¹³涩塞{堵塞}虱色
tʂɛ⁵⁵遮
tʂɛ²¹³哲折浙
tʂɛ⁵³者
tʂʰɛ⁵⁵车
tʂʰɛ²¹³彻撤
ʂɛ⁵⁵赊
ʂɛ²¹³摄涉舌设
ʂɛ³⁵射舍
ʐɛ⁵³惹
ʐɛ²¹³热{形容词}
ɛ²¹³额扼轭
piɛ²¹³鳖别
miɛ²¹³灭蔑
tiɛ²¹³碟迭蝶碟跌
tʰiɛ²¹³帖贴铁
ȵiɛ²¹³聂业孽捏
liɛ²¹³梨裂列烈劣猎
tɕiɛ⁵⁵揭
