1890會城			IPA	
A				
	Á	吖	ʔ	a
	Ái	屭	ʔ	aɪ
	Ái	挨	ʔ	aɪ
	Ák	握	ʔ	ak
	Ák	鈪	ʔ	ak
	Ám	唵	ʔ	am
	Ám	庵	ʔ	am
	Án	晏	ʔ	an
	Áng	鶯	ʔ	aŋ
	Áng	甖	ʔ	aŋ
	Áp	洽	ʔ	ap
	Áp	鴨	ʔ	ap
	At	扼	ʔ	ɐt
	Át	扼	ʔ	at
	At	壓	ʔ	ɐt
	Áu	區	ʔ	aʊ
	Áu	拗	ʔ	aʊ
C				
Ch	á	揸	tʃ	a
Ch'	á	茶	tʃʰ	a
Ch	ái	製	tʃ	aɪ
Ch	ái	砦	tʃ	aɪ
Ch'	ái	差	tʃʰ	aɪ
Ch	ák	窄	tʃ	ak
Ch'	ák	測	tʃʰ	ak
Ch'	ák	冊	tʃʰ	ak
Ch	ám	斬	tʃ	am
Ch'	ám	杉	tʃʰ	am
Ch	an	珍	tʃ	ɐn
Ch	án	盞	tʃ	an
Ch'	án	產	tʃʰ	an
Ch	áng	箏	tʃ	aŋ
Ch	áng	爭	tʃ	aŋ
Ch'	áng	橙	tʃʰ	aŋ
Ch	áp	閘	tʃ	ap
Ch'	áp	插	tʃʰ	ap
T	at	枳	t	ɐt
Ch	at	枳	tʃ	ɐt
Ch	át	札	tʃ	at
Ch'	át	察	tʃʰ	at
Ch	áu	籕	tʃ	aʊ
Ch	áu	爪	tʃ	aʊ
Ch'	áu	炒	tʃʰ	aʊ
Ch'	e	池	tʃʰ	ɛ
Ch	em	針	tʃ	ɛm
Ch'	em	沈	tʃʰ	ɛm
Ch'	en	塵	tʃʰ	ɛn
Ch	ep	摺	tʃ	ɛp
Ch	et	浙	tʃ	ɛt
Ch	eu	朝	tʃ	ɛʊ
Ch'	eu	綢	tʃʰ	ɛʊ
Ch'	eu	甎	tʃʰ	ɛʊ
Ch	í	治	tʃ	i
Ch	í	朱	tʃ	i
Ch'	í	痴	tʃʰ	i
Ch	íá	遮	tʃ	ia
Ch'	íá	車	tʃʰ	ia
Ch'	iak	尺	tʃʰ	ɪɐk
Ch'	iak	赤	tʃʰ	ɪɐk
Ch	ím	㮳	tʃ	im
Ch	ím	占	tʃ	im
Ch	ím	浸	tʃ	im
Ch'	ím	諂	tʃʰ	im
Ch	ín	陣	tʃ	in
Ch	ín	陣	tʃ	in
Ch'	ín	廛	tʃʰ	in
Ch	ing	正	tʃ	ɪŋ
Ch'	ing	秤	tʃʰ	ɪŋ
Ch	íp	汁	tʃ	ip
Ch	ít	質	tʃ	it
Ch'	íú	超	tʃʰ	iu
Ch	o	阻	tʃ	ɔ
Ch'	o	初	tʃʰ	ɔ
Ch	ök	著	tʃ	œk
Ch'	ök	卓	tʃʰ	œk
Ch	ong	壯	tʃ	ɔŋ
Ch'	ong	瘡	tʃʰ	ɔŋ
Ch	öng	丈	tʃ	œŋ
Ch'	öng	昌	tʃʰ	œŋ
Ch	úí	追	tʃ	ui
Ch'	uí	廚	tʃʰ	ʊi
Ch'	úí	吹	tʃʰ	ui
Ch	uk	竹	tʃ	ʊk
Ch'	uk	畜	tʃʰ	ʊk
Ch	ún	準	tʃ	un
Ch'	ún	春	tʃʰ	un
Ch'	ún	串	tʃʰ	un
Ch	ung	中	tʃ	ʊŋ
Ch'	ung	蟲	tʃʰ	ʊŋ
Ch'	út	出	tʃʰ	ut
F				
F	á	花	f	a
F	áí	塊	f	ai
F	ák	拂	f	ak
F	án	凡	f	an
F	áng	捹	f	aŋ
F	áng	宏	f	aŋ
F	át	法	f	at
F	áu	浮	f	aʊ
F	éí	非	f	ei
F	et	闊	f	ɛt
F	o	火	f	ɔ
F	ok	矍	f	ɔk
F	ong	方	f	ɔŋ
F	ú	父	f	u
F	úí	費	f	ui
F	úí	灰	f	ui
F	uk	福	f	ʊk
F	ún	分	f	un
F	ún	寬	f	un
F	úng	風	f	uŋ
F	úng	𩗴	f	uŋ
H				
H	á	下	h	a
H	á	他	h	a
H	aí	係	h	ɐi
H	áí	鞋	h	ai
H	áí	啼	h	ai
H	áí	太	h	ai
H	ak	黑	h	ɐk
H	ák	客	h	ak
H	ám	咸	h	am
H	ám	氹	h	am
H	ám	貪	h	am
H	an	恨	h	ɐn
H	án	閒	h	an
H	án	莧	h	an
H	án	炭	h	an
H	áng	亨	h	aŋ
H	áng	坑	h	aŋ
H	áng	藤	h	aŋ
H	ap	恰	h	ɐp
H	áp	峽	h	ap
H	áp	合	h	ap
H	áp	搭	h	ap
H	at	乞	h	ɐt
H	át	核	h	at
H	át	撻	h	at
H	áu	口	h	aʊ
H	áu	考	h	aʊ
H	áu	偷	h	aʊ
H	áu	逃	h	aʊ
H	e	靴	h	ɛ
H	eng	㕔	h	ɛŋ
H	öng	香	h	œŋ
H	éí	喜	h	ei
H	iak	喫	h	ɪɐk
H	ím	欠	h	im
H	ím	添	h	im
H	ín	顯	h	in
H	ín	天	h	in
H	ing	兄	h	ɪŋ
H	íp	協	h	ip
H	íp	帖	h	ip
H'	íp	*	hʰ	ip
H	ít	歇	h	it
H	ít	鐵	h	it
H	íú	曉	h	iu
H	íú	條	h	iu
H	o	何	h	ɔ
H	o	拕	h	ɔ
H	ò	好	h	oʊ
H	ò	圖	h	oʊ
H	ö	*	h	œ
H	oí	開	h	ɔi
H	oí	胎	h	ɔi
H	ok	學	h	ɔk
H	ok	托	h	ɔk
H	òm	含	h	om
H	on	看	h	ɔn
H	on	團	h	ɔn
H	ong	行	h	ɔŋ
H	ong	湯	h	ɔŋ
H	òt	脫	h	ot
H	òt	喝	h	ot
H	uí	墟	h	ʊi
H	uk	哭	h	ʊk
H	uk	禿	h	ʊk
H	ún	犬	h	un
H	ún	吞	h	un
H	ún	𣎀	h	un
H	ung	兇	h	ʊŋ
H	üt	血	h	yt
I				
	Í	*	ʔ	i
	Íp	*	ʔ	ip
	Íu	*	ʔ	iʊ
K				
K	á	加	k	a
K'	á	誇	kʰ	a
K	aí	個	k	ɐi
K'	aí	啟	kʰ	ɐi
K	áí	鷄	k	ai
K	áí	皆	k	ai
K'	áí	𢬿	kʰ	ai
K'	ak	喀	kʰ	ɐk
K	ák	革	k	ak
K	ák	摑	k	ak
K'	am	𠹸	kʰ	ɐm
K	ám	監	k	am
K	an	*	k	ɐn
K	án	奸	k	an
K	áng	更	k	aŋ
K	áng	耕	k	aŋ
K'	áng	掯	kʰ	aŋ
K'	áng	逛	kʰ	aŋ
K	áp	夾	k	ap
K	áp	合	k	ap
K'	áp	*	kʰ	ap
K	át	甴	k	at
K	áu	溝	k	aʊ
K	áu	溝	k	aʊ
K'	áu	摳	kʰ	aʊ
K	éí	基	k	ei
K'	éí	其	kʰ	ei
K	em	金	k	ɛm
K'	em	琴	kʰ	ɛm
K	en	巾	k	ɛn
K'	en	勤	kʰ	ɛn
K	eng	薑	k	ɛŋ
K	ep	急	k	ɛp
K'	ep	汲	kʰ	ɛp
K	et	吉	k	ɛt
K'	et	咳	kʰ	ɛt
K	eu	九	k	ɛʊ
K	ia	茄	k	ɪɐ
K	iak	屐	k	ɪɐk
K	ik	極	k	ɪk
K'	ik	隙	kʰ	ɪk
K	ím	劍	k	im
