	序号	字		合浦党江	灵山陆屋
	1	多		to45	tɔ11
	2	拖		tʰo45	tʰɔ11
	3	他		tʰɒ45	tʰa11
	4	駝		tʰo33	tʰɔ21
	5	馱		tʰo33	tʰɔ21
	6	舵		tʰo33	tʰɔ33
	7	大		tʰai33	tai33
	8	馱		tʰo33	tʰɔ21
	9	挪		no33	nɔ21
	10	哪		no21	na33
	11	那		no33	na33
	12	羅		lo33	lɔ21
	13	鑼		lo33	lɔ21
	14	籮		lo33	lɔ21
	15	左		tso13	tsɔ55
	16	佐		tso13	tsɔ55
	17	搓		tsʰo45	tsʰɔ11
	18	歌		ko45	kɔ11
	19	哥		ko45	kɔ11
	20	個		ko33	ko35
	21	可		ho13	hɔ55
	22	蛾		ŋo33	ŋɔ21
	23	鵝		ŋo33	ŋɔ21
	24	俄		ŋo33	ŋɔ21
	25	我		ŋo13	ŋɔ33
	26	餓		ŋo21	ŋɔ33
	27	荷		ho21	hɔ35
	28	何		ho33	hɔ21
	29	河		ho33	hɔ21
	30	荷		ho33	hɔ21
	31	賀		ho21	hɔ33
	32	阿		ɒ45	a11
	33	茄		kʰɛ33	kʰɛ21
	34	波		po45	pou11
	35	菠		po45	pou11
	36	跛		pɐi45	pɐi11
	37	簸		po33	pou35
	38	簸		po33	pou35
	39	頗		pʰo45	pʰou11
	40	坡		pʰo45	pʰou11
	41	玻		po45	pou11
	42	破		pʰo33	pʰou35
	43	婆		pʰo33	pʰou21
	44	薄		pʰok21	pʰuk22
	45	魔		mo45	mou11
	46	磨		mo33	mou21
	47	摩		mo45	mou11
	48	饃		mo33	mou21
	49	磨		mo33	mou21
	50	朵		to13	tou55
	51	躲		to13	tou55
	52	剁		to33	tou35
	53	妥		tʰo13	tʰou55
	54	橢		tʰo21	tʰou33
	55	唾			
	56	惰		tʰo21	tʰou33
	57	𥞛			
	58	糯		no33	nou21
	59	騾		lo33	lou21
	60	螺		lo33	lou21
	61	腡		lo33	lou21
	62	囉		lo45	lou11
	63	裸		lo13	lou55
	64	瘰			
	65	摞			
	66	銼		tsʰo33	tsʰou35
	67	莝			
	68	矬			
	69	坐		tsʰo21	tsʰou33
	70	座		tsʰo21	tsʰou33
	71	蓑		ɬo45	ɬou11
	72	梭		ɬo45	ɬou11
	73	唆		ɬo45	ɬou11
	74	莎		sɒ45	sa11
	75	鎖		ɬo13	ɬou55
	76	瑣		ɬo13	ɬou55
	77	過		ko33	kou35
	78	鍋		ko45	kou11
	79	戈		ko45	kou11
	80	果		ko13	kou55
	81	裹		ko13	kou55
	82	餜		kʰo45	kʰou11
	83	過		ko33	kou35
	84	科		kʰo45	hou11
	85	窠		kʰo45	hou11
	86	棵		kʰo45	hou11
	87	顆		kʰo45	hou11
	88	課		kʰo33	hou35
	89	訛			
	90	卧		ŋo21	ŋou33
	91	火		fo13	hou55
	92	夥		fo13	hou55
	93	貨		fo33	fɔ35
	94	和		vo33	vou21
	95	禾		vo33	hou21
	96	禍		vo21	vou55
	97	和		vo33	vou21
	98	倭		vo45	vou11
	99	踒			
	100	窩		vo45	vou11
	101	涴			
	102	瘸			
	103	靴		hɛ45	vɛ11
	104	𦚢			
	105	巴		pɒ45	pa11
	106	芭		pɒ45	pa11
	107	疤		pɒ45	pa11
	108	把		pɒ13	pa55
	109	霸		pɒ33	pa35
	110	欛		pɒ33	pa35
	111	壩		pɒ33	pa35
	112	壩		pɒ33	pa35
	113	爸		pɒ45	pa11
	114	怕		pʰɒ33	pʰa35
	115	帕		pʰæk13	pʰɛk33
	116	爬		pʰɒ33	pʰa21
	117	琶		pʰɒ33	pʰa21
	118	杷		pʰɒ33	pʰa21
	119	鈀		pʰɒ33	pʰa21
	120	耙		pʰɒ33	pʰa21
	121	麻		mɒ33	ma21
	122	痲		mɒ33	ma21
	123	蟆		mɒ33	ma11
	124	媽		mɒ45	ma11
	125	馬		mɒ13	ma33
	126	碼		mɒ13	ma33
	127	駡		mɒ33	ma33
	128	拿		nɒ13	na33
	129	茶		tsʰɒ33	tsʰa21
	130	搽		tsʰɒ33	tsʰa21
	131	䖳			
	132	楂		tsɒ45	tsa11
	133	渣		tsɒ45	tsa11
	134	詐		tsɒ33	tsa35
	135	榨		tsɒ33	tsa35
	136	炸		tsɒ33	tsa35
	137	叉		tsʰɒ45	tsʰa11
	138	杈		tsʰɒ45	tsʰa11
	139	差		tsʰɒ45	tsʰa11
	140	岔		tsʰɒ45	tsʰa11
	141	茬			
	142	查		tsʰɒ33	tsʰa21
	143	乍			tsa35
	144	沙		sɒ45	sa11
	145	紗		sɒ45	sa11
	146	灑		sɒ13	sa55
	147	廈		hɒ21	ha35
	148	家		kɒ45	ka11
	149	加		kɒ45	ka11
	150	痂		kɒ45	ka11
	151	嘉		kɒ45	ka11
	152	傢		kɒ45	ka11
	153	假		kɒ13	ka55
	154	賈		kɒ13	ka55
	155	假		kɒ33	ka35
	156	架		kɒ33	ka35
	157	駕		kɒ33	ka35
	158	嫁		kɒ33	ka35
	159	稼		kɒ33	ka35
	160	價		kɒ33	ka35
	161	揢			
	162	牙		ŋɒ33	ŋa21
	163	芽		ŋɒ33	ŋa21
	164	衙		ŋɒ33	ŋa21
	165	伢			
	166	雅		jɒ13	ŋa33
	167	砑			
	168	蝦		hɒ45	ha11
	169	哈		hɒ45	ha11
	170	嚇		hæk21	hɛk33
	171	霞		hɒ33	ha21
	172	瑕		hɒ33	ha21
	173	遐		hɒ33	ha21
	174	蝦		hɒ45	ha11
	175	下	底下	hɒ21	ha33
	176	夏		hɒ21	ha33
	177	厦	厦门	hɒ21	ha33
	178	下	下降	hɒ21	ha33
	179	夏		hɒ21	ha33
	180	暇		hɒ21	ha33
	181	鴉		ɒ45	a11
	182	丫		ɒ45	a11
	183	椏		ɒ45	a11
	184	啞		ɒ13	a55
	185	亞		ɒ33	a35
	186	姐		tsɛ13	tsi55
	187	借		tsɛ21	tsi35
	188	且		tsʰɛ13	tsʰi55
	189	笡			
	190	藉		tsɛ33	tsi33
	191	褯			
	192	些		ɬɛ45	ɬi11
	193	寫		ɬɛ13	ɬi55
	194	瀉		ɬɛ33	ɬi35
	195	卸		ɬɛ33	ɬi35
	196	邪		tsʰɛ33	tsʰi11
	197	斜		tsʰɛ33	tsʰi11
	198	謝		tsʰɛ21	tsʰi33
	199	爹		tɛ45	tɛ11
	200	遮		tsɛ45	tsi11
	201	者		tsɛ13	tsi55
	202	蔗		tsɛ33	tsi35
	203	車		tsʰɛ45	tsi11
	204	扯		tsʰɛ13	tsʰi55
	205	蛇		sɛ33	si21
	206	射		sɛ21	si33
	207	麝		sɛ21	si33
	208	奢		sɛ45	si11
	209	賒		sɛ45	si11
	210	捨		sɛ13	si55
	211	赦		sɛ33	si35
	212	舍		sɛ33	si35
	213	騇			
	214	佘		sɛ33	si21
	215	社		sɛ21	si33
	216	惹		jɛ13	ji33
	217	耶		jɛ33	ji21
	218	爺		jɛ33	ji21
	219	也		jɛ13	ja33
	220	野		jɛ13	ji33
	221	夜		jɛ21	ji33
	222	髽			
	223	傻		ɬo21	sɔ55
	224	耍		sɒ33	sa21
	225	瓜		kuɒ45	ka11
	226	蝸		vo45	wɔ11
	227	寡		kuɒ13	ka55
	228	剮		kuɒ13	ka55
	229	誇		kʰuɒ45	kʰa11
	230	侉		kʰuɒ45	kʰa11
	231	垮		kʰuɒ13	kʰa11
	232	跨		kʰuɒ33	kʰa11
	233	瓦		vɒ13	va33
	234	瓦		vɒ13	va33
	235	花		fɒ45	va11
	236	化		fɒ33	va35
	237	華		vɒ33	va21
	238	鏵			
	239	劃		vɛk21	vɛk22
	240	華		vɒ33	va21
	241	樺		vɒ33	va21
	242	蛙		vɒ45	va11
	243	窪		vɒ45	va11
	244	補		pu13	pou55
	245	譜		pʰu13	pʰou55
	246	布		pu33	pou35
	247	佈		pu33	pou35
	248	鋪	铺设	pʰu45	pʰou11
	249	普		pʰu13	pʰou55
	250	浦		pʰu13	pʰou55
	251	鋪	店铺	pʰu33	pʰou35
	252	怖		pu33	pou35
	253	蒲		pʰu13	pʰou55
	254	菩		po33	pou21
	255	脯	胸脯	pʰu33	pou21
	256	部		pʰu21	pʰou33
	257	簿		pʰu21	pʰou33
	258	步		pʰu21	pʰou33
	259	捕		pʰu21	pʰou33
	260	埠		pʰu21	pʰou33
	261	模		mu33	mou21
	262	模		mu33	mou21
	263	摹		mu33	mou21
	264	暮		mu21	nou33
	265	慕		mu21	nou33
	266	墓		mu21	nou33
	267	募		mu21	nou33
	268	都		tu45	tou11
	269	都		tu45	tou11
	270	堵		tu13	tou55
	271	賭		tu13	tou55
	272	肚		tʰu13	tʰou55
	273	妒		tʰu21	tʰou35
	274	土		tʰu13	tʰou55
	275	吐		tʰu33	tʰou35
	276	吐		tʰu33	tʰou35
	277	兔		tʰu33	tʰou35
	278	徒		tʰu33	tʰou21
	279	屠		tʰu33	tʰou21
	280	途		tʰu33	tʰou21
	281	塗		tʰu33	tʰou21
	282	圖		tʰu33	tʰou21
	283	杜		tʰu21	tʰou55
	284	肚		tʰu21	tʰou33
	285	度		tʰu21	tʰou33
	286	渡		tʰu21	tʰou33
	287	鍍		tʰu21	tʰou33
	288	奴		nu33	nou21
	289	努		nu13	nou33
	290	怒		nu21	nou33
	291	盧		lu33	lou21
	292	爐		lu33	lou21
	293	蘆		lu33	lou21
	294	鸕		lu33	lou21
	295	魯		lu13	lu33
	296	櫓		lu13	lu33
	297	虜		lu13	lu33
	298	滷		lu13	lu33
	299	路		lu21	lou33
	300	賂		lɛk13	lou33
	301	露		lu21	lou33
	302	鷺		lu21	lou33
	303	租		tsu45	tsou11
	304	祖		tsu13	tsou55
	305	組		tsu13	tsou55
	306	做		tsu33	tsou35
	307	粗		tsʰu45	tsʰou11
	308	醋		tsʰu33	tsʰou35
	309	措		tsʰo33	tsʰou35
	310	錯		tsʰo33	tsʰou35
	311	蘇		ɬu45	ɬou11
	312	酥		ɬu45	ɬou11
	313	素		ɬu33	ɬou35
	314	訴		ɬu33	ɬou35
	315	塑		ɬɛk13	ɬɛk33
	316	嗉		ɬu33	ɬou35
	317	姑		ku45	kɐu11
	318	孤		ku45	kɐu11
	319	箍		kʰu45	kʰɐu11
	320	古		ku13	kɐu55
	321	估		ku13	kɐu11
	322	䀇			
	323	牯		ku13	kɐu55
	324	股		ku13	kɐu55
	325	鼓		ku13	kɐu55
	326	故		ku33	kɐu35
	327	固		ku33	kɐu35
	328	錮			
	329	雇		ku33	kɐu35
	330	顧		ku33	kɐu35
	331	枯		kʰu45	hou11
	332	苦		fu45	hou11
	333	庫		kʰu33	kʰou35
	334	褲		fu33	hou35
	335	吴		ŋ33	ŋou21
	336	蜈		ŋ33	ŋou21
	337	吾		ŋ33	ŋou21
	338	梧		ŋ33	ŋou21
	339	五		ŋ13	ŋou33
	340	伍		ŋ13	ŋou33
	341	午		ŋ13	ŋou33
	342	誤		ŋ21	ŋou33
	343	悟		ŋ21	ŋou33
	344	呼		fu45	hou11
	345	虎		fu13	hou55
	346	滸		fu13	hou55
	347	戽		fu33	hou35
	348	胡		fu33	hou21
	349	湖		fu33	hou21
	350	狐		fu33	hou21
	351	壺		fu33	hou21
	352	乎		fu45	hou21
	353	瓠		fu33	hou21
	354	鬍		fu33	hou21
	355	户		fu21	hou33
	356	滬		fu21	hou33
	357	互		fu21	hou33
	358	護		fu21	hou33
	359	瓠			
	360	烏		vu45	ɐu11
	361	污		vu45	ɐu11
	362	塢		vu45	ɐu11
	363	惡	可恶	vu33	ɐu35
	364	女		nu13	nui33
	365	廬		lu33	lu21
	366	驢		lu33	lɐu21
	367	吕		lu13	lui33
	368	稆		lu13	lui33
	369	旅		lu13	lui33
	370	慮		lu21	lui33
	371	濾		lu21	lui33
	372	蛆		tsʰu45	tsʰui11
	373	絮		ɬu33	ɬui35
	374	徐		tsʰu33	tsʰui21
	375	序		ɬu33	tsʰui33
	376	叙		ɬu33	tsʰui33
	377	緒		ɬu33	tsʰui33
	378	豬		tsu45	tsui11
	379	著		tsu33	tsui35
	380	褚		tsu13	tsui55
	381	除		tsʰu33	tsʰui21
	382	儲		tsʰu33	tsʰui21
	383	苧		tsʰu21	tsʰui33
	384	箸		tsʰu21	tsʰui33
	385	阻		tso13	tsɔ55
	386	初		tsʰo45	tsʰɔ11
	387	楚		tsʰu13	tsʰɔ55
	388	礎		tsʰu13	tsʰɔ55
	389	鋤		tsʰo33	tsʰɔ21
	390	助		tsʰo21	tsʰɔ33
	391	梳		so45	sɔ11
	392	疏		so45	sɔ11
	393	蔬		so45	sɔ11
	394	所		ɬo13	ɬɔ55
	395	疏		so45	sɔ11
	396	諸		tsu45	tsui11
	397	煮		tsu13	tsui55
	398	處	相处	tsu33	tsʰui35
	399	杵		tsu21	tsʰui35
	400	處	处所	tsu33	tsʰui35
	401	書		su45	sui11
	402	舒		su45	sui11
	403	暑		su13	sui55
	404	鼠		su13	sui55
	405	黍		su4	sui35
	406	庶		su33	sui35
	407	恕		su33	sui35
	408	署		su33	sui33
	409	薯		su33	sui33
	410	如		ju33	jui21
	411	汝		ju13	nui33
	412	居		ku45	kui11
	413	車	车马炮	ku45	kui11
	414	舉		ku13	kui55
	415	據		kʰu21	kui35
	416	鋸		ku33	kui35
	417	墟		hu45	hui11
	418	去		hu33	hui35
	419	渠		kʰu33	kʰui21
	420	𠍲			
	421	巨		kʰu21	kʰui33
	422	拒		kʰu21	kʰui33
	423	距		kʰu21	kʰui33
	424	魚		ȵu33	ȵui21
	425	漁		ȵu33	ȵui21
	426	語		ju13	ȵui33
	427	御		ju21	ȵui33
	428	禦		ju21	ȵui33
	429	虚		hu45	hui11
	430	嘘		hu45	hui11
	431	許		hu13	hui55
	432	於		ju45	ʔui11
	433	淤		ju45	ʔui11
	434	余		ju33	jui21
	435	餘		ju33	jui21
	436	舁			
	437	與		ju13	jui33
	438	譽		ju33	jui33
	439	預		ju33	jui33
	440	豫		ju33	jui33
	441	夫		fu45	fɐu11
	442	膚		fu45	fɐu11
	443	跗		fu45	fɐu11
	444	府		fu13	fɐu55
	445	腑		fu13	fɐu55
	446	俯		fu13	fɐu55
	447	甫		pu13	fɐu55
	448	脯	杏脯	pu13	fɐu55
	449	斧		fu13	fɐu55
	450	付		fu21	fɐu35
	451	賦		fu21	fɐu35
	452	傅		fu21	fɐu35
	453	敷		pu45	fɐu11
	454	俘		fu45	fɐu11
	455	孵		fu45	fɐu11
	456	麩		fu45	fɐu11
	457	撫		fu13	fɐu55
	458	殕			
	459	赴		fu21	fɐu35
	460	訃		fu21	fɐu35
	461	符		fu33	fɐu21
	462	扶		fu33	fɐu21
	463	芙		fu33	fɐu21
	464	父		fu21	fɐu33
	465	釜		fu13	fɐu33
	466	腐		fu13	fɐu33
	467	輔		fu21	fɐu33
	468	附		fu21	fɐu33
	469	無		mɐu21	mɐu21
	470	巫		mu45	mɐu21
	471	誣		mu45	mɐu21
	472	武		ŋ13	mɐu33
	473	舞		mu13	mɐu33
	474	侮		mu13	mɐu33
	475	鵡		ŋ13	mɐu33
	476	務		mu21	mɐu33
	477	霧		mu21	mɐu33
	478	縷		lɐu13	lɐu33
	479	屢		lɐu13	lui33
	480	趨		tsʰu45	tsʰui11
	481	取		tsʰu13	tsʰui55
	482	娶		tsʰu13	tsʰui55
	483	趣		tsʰu33	tsʰui35
	484	聚		tsʰu21	tsʰui33
	485	須		ɬu45	ɬɐu11
	486	鬚		ɬu45	ɬɐu11
	487	需		ɬu45	ɬui11
	488	續		tsʰok21	tsʰuk22
	489	誅		tsu45	tsi11
	490	蛛		tsu45	tsi11
	491	株		tsu45	tsi11
	492	拄		tsʰu21	tsʰi35
	493	駐		tsʰu21	tsui35
	494	註		tsu33	tsui35
	495	厨		tsʰu33	tsʰui21
	496	柱		tsʰu21	tsʰui33
	497	住		tsʰu21	tsʰui33
	498	雛		tsʰu33	tsʰui21
	499	數	动词	ɬu13	sɐu55
	500	數	名词	ɬu33	sɐu35
	501	朱		tsu45	tsui11
	502	硃		tsu45	tsui11
	503	珠		tsu45	tsui11
	504	主		tsu13	tsui55
	505	注		tsu21	tsui35
	506	蛀		tsu21	tsui35
	507	鑄		tsu21	tsui35
	508	樞		kʰu45	kʰui11
	509	輸		su45	sui11
	510	戍		su33	sui35
	511	輸		su45	sui11
	512	殊		su33	sui21
	513	豎		su21	sui33
	514	樹		su21	sui33
	515	儒		ju33	ji21
	516	乳		ȵui13	ȵui33
	517	擩			
	518	拘		kʰu45	kʰui11
	519	駒		kʰu45	kʰui11
	520	俱		kʰu45	kʰui11
	521	矩		ku13	kui55
	522	句		ku33	kui35
	523	區		kʰu45	kʰui11
	524	驅		kʰu45	kʰui11
	525	瞿		kʰu33	kʰui21
	526	具		kʰu21	kʰui33
	527	懼		kʰu21	kʰui33
	528	愚		ju33	ȵui21
	529	虞		ju33	ȵui21
	530	娱		ju33	ȵui21
	531	遇		ju21	ji35
	532	寓		ju21	ji35
	533	吁		vu45	vui11
	534	迂		vu45	vui11
	535	于		vu45	ʔui21
	536	盂		vu45	ʔui21
	537	雨		vu13	hui33
	538	宇		ju13	hui33
	539	禹		ju13	hui33
	540	羽		ju13	hui33
	541	芋		vu21	hui33
	542	榆		ju21	jui21
	543	逾		ju21	jui21
	544	愉		ju21	jui21
	545	愈		ju21	jui33
	546	喻		ju21	jui33
	547	裕		ju21	jui33
	548	獃			
	549	戴		tai33	tai35
	550	胎		tʰui45	tʰai11
	551	台		tʰui33	tʰai21
	552	𤗿			
	553	奤			
	554	態		tʰai33	tʰai35
	555	貸		tʰai33	tʰai35
	556	臺		tʰui33	tʰai21
	557	苔		tʰui33	tʰai21
	558	抬		tʰui33	tʰai21
	559	待		tʰui21	tʰai33
	560	怠		tʰui21	tʰai33
	561	殆		tʰui21	tʰai33
	562	代		tʰui21	tʰai33
	563	袋		tʰui21	tʰai33
	564	乃		nai13	nai33
	565	耐		nai21	nai33
	566	來		lui33	lɐi21
	567	災		tsui45	tsai11
	568	栽		tsui45	tsai11
	569	宰		tsui13	tsai55
	570	載	年载	tsui13	tsai55
	571	再		tsui33	tsai35
	572	載	载重	tsui33	tsai33
	573	猜		tsʰai45	tsʰai11
	574	彩		tsʰui13	tsʰai55
	575	採		tsʰui13	tsʰai55
	576	睬		tsʰui13	tsʰai55
	577	菜		tsʰui33	tsʰai35
	578	棌			
	579	才		tsʰui33	tsʰai21
	580	材		tsʰui33	tsʰai21
	581	財		tsʰui33	tsʰai21
	582	裁		tsʰui33	tsʰai21
	583	纔		tsʰui33	tsʰai21
	584	在		tsʰui21	tsʰai55
	585	載	满载	tsui33	tsai33
	586	腮		ɬui45	ɬai11
	587	鰓		ɬui45	ɬai11
	588	賽		sai21	sai35
	589	該		kui45	kɔi11
	590	改		kui13	kui55
	591	概		kʰai33	kʰui35
	592	溉		kʰai33	kʰui35
	593	開		hui45	hai11
	594	凱		hui13	hai55
	595	慨		kʰai33	hai35
	596	咳		kʰɐt33	kʰɐt33
	597	呆		tai45	tai11
	598	磑			
	599	礙		ŋui21	ŋai33
	600	海		hui13	hui55
	601	孩		hai33	hai21
	602	亥		hai33	hai21
	603	哀		ui45	ɔi11
	604	埃		ui45	ɔi11
	605	愛		ui33	ŋɔi35
	606	貝		pui33	pui35
	607	沛		pʰui33	pʰui35
	608	帶		tai33	tai35
	609	太		tʰai33	tʰai35
	610	泰		tʰai33	tʰai35
	611	大		tʰai21	tʰai33
	612	奈		nui21	nai33
	613	賴		lai33	lai33
	614	癩		lai33	lai33
	615	蔡		tsʰɔi33	tsʰai35
	616	蓋		kui33	kɔi35
	617	丐		kui33	kɔi35
	618	艾		ŋui21	ŋɔi33
	619	害		hui21	hɔi33
	620	蔼		ui13	ŋɔi35
