#ɿ			
ts	[1]之芝支枝肢只知栀脂孳孜兹滋资咨赀 [3]旨止子仔只籽秭 [5]窒智翅(∽膀) [7]汁织执直值植侄职质职殖		
tsʰ	[1]疵痴 [2]瓷糍慈雌辞词驰池持迟祠 [3]此耻齿启 [5]次刺赐 [7]吃尺赤		
s	[1]师狮诗施丝私司思 [2]时匙 [3]史使屎始死 [5]市视式试示士仕逝是势事肆饲似寺四 [7]释室蚀拾湿十什石识食		
z	[7]日		
#ʅ			
tʂ	[7]汁织执直值植侄职质职殖		
tʂʰ	[7]吃尺叱赤		
ʂ	[7]释室蚀拾矢湿十什石识食		
ʐ	[7]日		
#i			
p	[1]逼蓖 [3]比妣彼 [5]闭备避 [7]笔必毕碧壁鼻别		
pʰ	[2]皮琵脾啤 [3]鄙 [5]屁㡀 [7]劈霹僻撇别(∽针)		
m	[1]眯咪 [2]迷谜弥篾 [3]米 [5]沕 [7]灭密蜜		
t	[1]低爹 [3]底抵 [5]弟地帝蒂递逮 [7]滴的狄敌笛迭碟蝶牒谍嫡		
tʰ	[1]梯剔 [2]提堤题 [3]体 [5]剃替嚏 [7]跌踢惕帖铁		
n	[2]离漓厘梨黎 [3]礼李里理鲤 [5]利吏励荔 [7]力历沥立粒列烈猎		
k	[1]给		
tɕ	[1]几机讥肌饥姬稽鸡基 [3]几姐挤虮 [5]济枝妓记剂计继借寄纪忌既际祭季 [7]击迹积绩激及级极即急疾集籍结洁接揭节杰		
tɕʰ	[1]期溪欺凄妻栖 [2]齐脐棋其旗奇骑祈茄(∽子) [3]起启岂 [5]气汽弃器去(白)[7]七戚漆乞切窃		
ɕ	[1]西牺希稀些熙 [2]邪 [3]喜洗写徙 [5]系戏谢 [7]夕昔息熄悉锡析习席隙协血		
ȵ	[2]泥尼 [3]你拟 [5]腻义议艺 [7]溺镊聂镊镍业		
Ø	[1]衣依医伊椰 [2]移爷蚁(蚂∽子) [3]以椅已野 [5]意夜 [7]一壹乙亦译驿揖页益抑弈		
#u̜			
p	[3]补[5]布步部薄		
pʰ	[1]铺[2]菩蒲葡 [3]普谱[5]铺		
m	[2]模[3]母拇[5]□(眼睛看不清)		
f	[1]夫呼敷麸俘[2]扶浮孚符凫壶胡狐湖糊葫瑚蝴[3]虎府腐辅抚斧  [5]父傅富副付赴户护互妇负		
t	[1]都嘟[3]堵赌[5]杜度肚渡镀		
tʰ	[2]图途涂[3]土吐[5]兔		
n	[2]奴炉芦驴卢[5]怒路露		
k	[1]姑孤辜[3]鼓古估股 [5]故固雇顾		
kʰ	[1]箍枯[2]跍(下蹲)[3]苦 [5]库裤		
ts	[1]租猪渚蛛朱珠[3]主祖阻煮[5]著驻住注铸做箸助		
tsʰ	[1]粗初[2]除锄储厨[3]处楚础 [5]处醋		
s	[1]苏书酥梳舒[3]鼠曙署数 [5]素竖漱树数		
z	[2]如儒[3]汝乳 [5]裕		
#y			
tɕ	[1]居车拘[3]举炬[5]剧聚巨拒距		
tɕʰ	[1]区趋躯驱[2]渠[3]取[5]去趣		
ɕ	[1]需须虚墟荽(芫∽)[2]徐[3]许[5]序叙絮		
ȵ	[3]女		
Ø	[1]迂[2]鱼渔余于愚愉[3]语宇雨与羽[5]玉芋寓遇愈御预豫		
#a			
p	[1]巴爬(白)[2]爸 [3]把靶  [5]霸坝罢把(手柄)[7]八北百柏白		
pʰ	[1]汃 [2]爬耙 [5]怕帕 [7]拍		
m	[1]妈 [2]麻 [3]马码 [5]骂 [7]抹麦脉墨		
f	[7]发乏伐筏罚法砝		
t	[3]打 [5]大 [7]达答搭得德		
tʰ	[1]她他它 [7]塌塔踏沓特		
n	[1]拉啦垃 [2]拿 [3]哪喇 [5]那 [7]腊蜡辣邋		
k	[3]嘎尬 [7]割革格隔各		
kʰ	[7]磕瞌壳咳渴克刻		
x	[1]哈 [3]傻(白)[5]下(白，打了你一∽)[7]核黑		
ŋ	[7]额		
ts	[1]渣查(姓)[3]鲊 [5]炸榨 [7]扎咂砸眨铡闸炸(烹调方法)浙责则仄贼哲摘窄		
tsʰ	[1]差叉杈 [2]茶查 [3]衩 [5]诧岔 [7]擦插策侧册彻		
s	[1]沙娑 [3]酒撒傻□(∽午，中午)[5]啥 [7]杀刹煞色塞涩舌设折(∽本)摄		
z	[7]热		
#ia			
p	[3]扁(形容词)		
pʰ	[3]扁(形容词)		
t	[1]□(提东西)		
tɕ	[1]加袈嘉佳家 [3]假贾  [5]价架驾嫁[7]夹甲		
tɕʰ	[1]卡[2]□(跨过)[3]卡 [5]胯(人及动物的两股之间叫~) [7]掐(县内部分口音)洽(县内部分口音)恰(县内部分口音)		
ɕ	[1]虾□(手乱舞)[2]下(白，地∽)[3]下 (放水叫～水)[5]夏下吓 [7]瞎		
ȵ	[5]压(俗读)[7]捏(县内部分口音)		
Ø	[1]丫鸦垭 [2]牙芽衙[3]哑雅[5]亚压[7]押(语保青男音)鸭(语保青男音)		
#ua			
k	[1]瓜呱[3]剐寡[5]挂卦[7]刮(县内部分口音)		
kʰ	[1]夸[3]垮胯[5]挎跨[7]括(县内部分口音)		
x	[1]花划[2]划华铧[5]话划画化  [7]滑(语保青男音)或(语保青男音)		
ts	[1]抓[5]□(“做啥”的合音，即“干什么")[7]啄(县内部分口音)		
s	[3]耍[7]刷(县内部分口音)		
z	[2]挼		
Ø	[1]蛙洼哇娲[2]娃[3]瓦[5]洼[7]袜(县内部分口音)		
#o			
p	[1]波菠波 [3]跛簸 [5]薄(∽荷)播 [7]拨博搏薄剥不驳		
pʰ	[1]坡 [2]婆 [3]颇 [5]破剖 [7]泼朴扑璞		
m	[1]摸摹 [2]磨蘑魔馍 [3]抹 [5]磨(∽子)[7]末沫莫没寞		
f	[7]佛福覆腹服伏		
t	[1]多朵(耳∽)[3]朵躲 [5]舵惰堕跺 [7]督读毒独戳(白，动词)		
tʰ	[1]拖 [2]沱柁砣鸵驮 [3]椭妥 [5]唾 [7]突秃托脱柘		
n	[1]啰 [2]罗萝箩逻螺 [3]裸 [5]懦糯 [7]六录陆鹿律落洛绿䘵碌骆络		
k	[1]锅 [3]果裹 [5]个过 [7]骨谷郭		
