	注释：-白读，=文读
#i	
p	[1]陂{俗作坡，地名用字}卑=碑裨蓖□{喇叭}[2]啤脾{～脏}[3]彼比妣[4]币备惫婢陛被[5]痹背-{～条}臂秘泌庇[6]闭避蔽弊
pʰ	[1]披帔[2]琵枇疲脾{～气}□{小憩}[3]痞否丕譬疕{痂}[4]□{漏屎～：小孩拉肚子}
b	[2]□{过～：不当季}[3]米[6]未{丁～路}味□{鸭子用嘴在水里觅食}□{头没在水中}
m	[1]咪眯□{掩盖得严实}[2]糜={糜烂}迷[3]靡[4]谜媚□{不是}
t	[1]低知={～县}蜘的{助词；～士}[2]池递[3]抵={～押}底={到～}诋[4]弟第={门～}隶[5]帝戴-{～帽}智知={～识}置致[6]地治
tʰ	[1]黐{粘稠}[2]啼提菭{青苔}[3]体□{敞开}[4]痔[5]替屉剃滞翅{～膀}缔□{撕}
n	[1]奶{～粉：奶粉，原文作“妳”}[2]尼泥妮呢[3]猕弥弭□{小鱿鱼}□{女友}[4]奶{乳房；乳汁，原文作“妳”}[5]□{肥～：胖嘟嘟的}
l	[1]哩{助词}[2]黎鹂离厘璃漓篱={～笆}狸={海～}[3]里理李礼={彬彬有～}鲤旅履醴鳢=[4]丽痢利={顺～}荔=莉厉俪莅蛎蜊俐[5]詈捸{撕开}[6]例吏
ts	[1]□{女阴}[2]餈糍{柿～：柿饼}[3]紫只姊籽止址趾祉旨咫指={手～：戒指}[4]巳舐{舔}[5]志事{吃，粗鲁说法}祭济际制剂至帜贽
tsʰ	[1]妻凄萋栖鳃痴嗤[2]迟驰齐={姓，～国}荠[3]耻[4]市[5]试刺眥{目～毛：睫毛}翅{鱼～}[6]饲
s	[1]丝诗尸{～虫：小虫}施司鸶[2]时辞={推～}匙[3]死矢豕[4]是视氏侍恃峙[5]世四势[6]示誓逝视豉寺嗜
z	[2]儿□{～～，憨笑貌}[4]二[6]二字寺
k	[1]枝几={～乎}饥玑机讥叽稽姬箕基奇={～数}[2]棋旗鳍[3]指-{动词}几={茶～}己=纪杞[4]忌{避～}技妓伎冀骥企=[5]记{书记}痣继既暨[6]己-{家～：自己}
kʰ	[1]欺蹊崎攲{倾斜}㩻{倾斜}[2]其期琪蜞祺麒奇={～怪}琦畸芪祈祁[3]起齿启[5]气={生～}汽器弃[6]忌{忌日}
ɡ	[2]疑
ŋ	[2]宜仪霓羿[3]拟议[4]义蚁=[5]毅谊
h	[1]熹禧嬉嘻希晞稀羲曦牺熙兮奚[3]喜[4]系携[5]戏呬{喝～：打哈欠}
∅	[1]衣={～服}于依伊[2]贻怡饴夷姨移彝[3]倚=[4]易={容～}异裔[5]意薏忆燕{俗}[6]矣
#iʔ	
p	[7]鳖
b	[7]沕{躲藏}[8]篾
m	[8]乜{什么}
t	[7]滴[8]碟□{骚扰}
tʰ	[7]铁
n	[7]□{夹，钳取}痆{被虫子咬}□{小}□{瓜蔕}[8]□{～～叫：长痱子的刺痛感}
l	[8]裂
ts	[7]接-{～送}折{存～}摺祉{五～(地名)}[8]舌折{～断}
tsʰ	[7]□{躲藏}[8]蠘{梭子蟹}蠞{梭子蟹}
s	[7]薛□{颤抖}[8]折{～本}蚀□{沉降}
z	[8]廿□{按压}
k	[7]砌□{蹄子}
kʰ	[7]缺-{～喙：兔唇}[8]□{突然发笑声}
∅	[7]燕{俗}摺{折纸}
#u	
p	[1]晡□{～螺}□{用脚尖踢}[2]瓠烰[4]哺捕胕{浮肿貌}[5]富布={分～}怖[6]孵
pʰ	[2]浮桴□{油炸}葡芙蒲菩[3]□{交媾}□{～落：摔倒}誧{拉～：吹牛}
b	[2]芜巫诬无={～数}[3]舞武鹉拊{击打}抚妩侮[4]务婺骛鹜[6]雾{雾气；朦胧；～药：喷药}
t	[1]嘟蛛诛株-堆-{土～}[2]橱□{囤}[3]赌睹堵□{支撑}[4]□{怄气}□{喌鸡声}[5]著
tʰ	[2]涂躇荼储途[6]□{鸟飞声}
l	[1]夵{不尖}□{不尖}□{偷窃}[2]□{用石子扔}[3]鲁橹屡缕褛虏[4]□{浮～：凸起}
ts	[1]朱珠铢侏株=诸组疽[2]□{央求}[3]主沮诅=俎[4]聚住驻[5]注蛀铸蠹[6]□{就}
tsʰ	[1]刍雏趋□{去除枝丫}[2]滁□{高压锅上汽}□{在沙地打滑}[3]取娶={迎～}[5]厝趣措处[6]□{以水灭火}
s	[1]舒抒输需须={必须}[2]殊蜍□{喷水}[3]暑署墅绪曙黍[4]叙序竖树={～立}[5]恕庶素数={无～}诉[6]□{喷水}
z	[2]如茹愉瑜逾儒榆[3]乳愈[4]裕
k	[1]龟痀{驼背}辜={～负}[2]□{用大石块扔}[3]久韭[4]舅具{～有}俱惧[5]固顾灸句故{事～}锢[6]旧故{～事}
kʰ	[1]丘-邱区拘驱躯[2]跍{蹲}[4]臼具{工～}
ɡ	[2]牛
h	[1]灰夫孚肤乎呼={～叫}俘腐{～烂}□{面面的}[2]壶胡={小柴～}符扶瑚鹕糊={～涂}弧狐=[3]糊{～弄：骗人}釜俯府腑□{沾染}[4]辅妇互负护驸父={师～}扈沪[5]傅副附咐赋付赴讣[6]腐{豆～}
∅	[1]污呼-{～喊}于{～归}竽迂呜[2]娱吾[3]羽栩雨={谷～}宇禹[4]有-[5]□{沾染}恶{厌～}
#uʔ	
p	[7]□{用尖硬物戳}[8]□{嘴巴鼓气，以手指弹之}
t	[7]□{触碰}[8]□{触}
tʰ	[8]□{滑坡}腯
l	[7]□{喝}
ts	[7]嘬{吻；吮吸}
tsʰ	[7]□{触碰}[8]□{在沙地打滑}
s	[7]欶{吮吸汁液}[8]□{喷水；快速滑行}
k	[7]□{～熏：吸烟}
h	[7]□{风声，～一叫：时间短}
∅	[7]□{小坑}[8]□{睡觉}
#a	
p	[1]巴芭笆粑爸疤[2]爸[3]饱把=靶[4]爸罢[5]霸豹坝[6]吧骲{用指节击人头}□{鸡用喙啄}
pʰ	[1]抛{撒网}葩脬{尿～：膀胱；卵～：阴囊}[4]泡
b	[2]□{麻}[4]□{哑～：哑巴}[5]□{趴着}□{～牙：龅牙}[6]□{前扑}
m	[1]妈吗[2]妈[3]嬷玛蚂马=妈
t	[1]大{～家：婆婆}灱{干燥}□{干燥}[2]禾{训读，嘉～}□{滴～：唢呐，也指死亡}[3]打
tʰ	[1]他她它[5]□{扒开，弄散}
n	[3]那哪拿[4]□{用火/被火轻微地灼烧}
l	[1]拉啦垃[2]膋[4]□{够}□{用棍子搅动}[5]□{敞着晾开}
ts	[1]昨渣扎㜁{～𫰇}[3]早[5]炸榨诈蚱[6]□{起鸡皮疙瘩的感觉}
tsʰ	[1]差={～别}叉={交～}[2]柴[3]炒[5]吵诧
s	[1]沙={～茶}莎砂={束～}抄-{用手乱抓}[4]傻[5]□{根须多}[6]□{～～叫，小雨声}
z	[5]□{根须多}
k	[1]胶铰咖{～喱}[3]搅-绞[4]咬[5]教校较窖□{粥稀}[6]□{吵闹声}
kʰ	[1]骹尻{～脊：脊背；尻仓：屁股}咖{～啡}[3]卡巧[5]敲扣-
ɡ	[6]□{～～叫，形容人声鼎沸}
ŋ	[5]□{愚蠢}
h	[1]呵哈□{～味：臭味}[2]□{用布条或者腰带围在腰间}[6]□{人声鼎沸}
∅	[1]亚{～洲}鸦阿丫桠[3]拗-[4]□{猪～：小猪，与漳泉词尾“仔”意思相同，但新圩方言仅用于“猪”之后，其他不用}[5]詏{争执}亚{～军}
#aʔ	
p	[7]爸
pʰ	[7]拍
b	[7]□{肉}肉{训读}
t	[7]搭□{贴}□{寄放在别人处，或托别人带东西}遢{邋～}[8]踏
tʰ	[7]塔[8]叠沓
n	[7]□{被咬，尤指被狗咬}
