音標	調類	調值	
pa	2	12	排牌
pa	3	43	擺
pa	5	45	拜敗
pa	6	21	敗
pã	1	334	班頒斑扳
pã	3	43	板版
pã	5	45	絆扮瓣辦
pã	6	21	辦瓣
pi	2	12	皮疲脾琵枇
pi	3	43	比彼
pi	7	24	鼻筆必畢碧逼煏壁
piã	2	12	平
piã	3	43	餅
piã	6	21	病
pie	7	24	憋
pin	1	334	冰兵
pin	2	12	貧平瓶
pin	3	43	柄餅
pin	6	21	病
pĩ	3	43	扁
pĩ	5	45	變
pĩ	6	21	便
piɑ	3	43	表
piɔ	7	24	壁
po	2	12	婆
po	7	24	撥薄剝
pu	5	45	布
pu	6	21	簿步
puŋ	1	334	幫
puŋ	3	43	綁
puŋ	5	45	棒
pæ	7	24	北百白
pɑ	1	334	包
pɑ	2	12	浮
pɑ	3	43	寶飽
pɑ	6	21	抱
pən	2	12	盆朋棚蓬
pən	3	43	本
pɜ	1	334	杯碑
pɜ	2	12	賠
pɜ	5	45	貝幣
pɜ	6	21	背被
pø̃	1	334	搬
pø̃	2	12	盤
pø̃	5	45	半
pɔ	2	12	爬
pɔ	3	43	把
pɔ	7	24	八
pʰa	5	45	派
pʰi	5	45	屁鼻
pʰi	7	24	匹劈
pʰie	7	24	別
pʰin	3	43	品
pʰĩ	5	45	騙片
pʰiɑ	5	45	票
pʰiɔ	7	24	劈
pʰo	5	45	破
pʰo	7	24	潑
pʰu	1	334	鋪
pʰu	3	43	譜
pʰuŋ	5	45	胖
pʰæ	7	24	拍
pʰɑ	5	45	炮
pʰɜ	5	45	配
pʰø̃	5	45	判
ma	2	12	埋
ma	3	43	買賣
ma	5	45	賣
mã	3	43	晚
mã	6	21	慢
mi	3	43	米
mi	7	24	密
miã	2	12	明名
miã	6	21	命
mie	7	24	滅篾
min	2	12	民明名
min	6	21	命
mĩ	2	12	棉
mĩ	5	45	面
mĩ	6	21	面面
miɑ	1	334	貓
miɑ	6	21	廟
mo	1	334	摸
mo	2	12	磨
mo	3	43	母
mo	6	21	磨
mo	7	24	末木目
muŋ	2	12	忙
mæ	7	24	墨麥
mɑ	1	334	貓
mɑ	2	12	毛
mɑ	6	21	帽
mən	1	334	蚊
mən	2	12	門
mən	3	43	猛
mən	5	45	夢
mən	6	21	夢
mɜ	2	12	煤眉
mɜ	5	45	妹
mɜ	6	21	妹
mø̃	3	43	滿
mɔ	3	43	馬
mɔ	6	21	罵
ɸa	2	12	懷
ɸa	6	21	壞
ɸã	1	334	翻
ɸã	2	12	還
ɸã	3	43	反
ɸã	6	21	犯飯
ɸu	2	12	壺
ɸu	3	43	虎府
ɸu	5	45	付父富副婦縛
ɸu	6	21	戶付
ɸu	7	24	佛福服
ɸən	1	334	婚分風豐封蜂
ɸən	2	12	魂墳橫
ɸən	3	43	粉
ɸən	5	45	糞鳳
ɸən	6	21	縫
ɸɘ	2	12	浮
ɸɜ	1	334	灰飛
ɸɜ	2	12	回肥
ɸɜ	5	45	肺費
ɸɜ	6	21	會
ɸɔ	1	334	花
ɸɔ	2	12	華
ɸɔ	5	45	化罰
ɸɔ	6	21	畫話劃
ɸɔ	7	24	法發
ta	2	12	台
ta	5	45	帶
ta	6	21	大袋
tã	1	334	單
tã	2	12	潭彈
tã	3	43	膽
tã	6	21	淡
ti	1	334	低
ti	5	45	弟地
ti	6	21	弟地
ti	7	24	笛
tiã	1	334	釘
tie	6	21	豆
tie	7	24	跌
tin	1	334	釘
tin	2	12	停
tin	3	43	頂
tin	5	45	定
tin	6	21	定
