	注释：-白读，=文读
#i	
p	[1]碑婢俾[2]脾{～炎}琵枇[3]彼比鄙{卑～}[5]箅{饭甑～}痹{手～：手麻}□{～□pɔ55：蜻蜓}□{～□pɔ33：蝙蝠}[6]被{～告}备庇蔽弊币毙闭鼻{闻}啤[7]蓖{～麻}篦{梳头的篦子}陛臂秘{～密，～书}笔毕{～业}必{～须}弼{～马温}逼碧滗{沥：～汤}煏□{□tu55～：马蜂}
pʰ	[1]披{～风}[3]鄙{～人}丕疕{痂}□{壁～：蝠蛛结的网}□{□kʰɛ24～：翅膀}[5]疲僻辟{开～}[6]鼻{名词}[7]脾{～气}匹{—～布}
m	[2]米-{大～}弥寐{～憩：睡觉}[3]米={五百～}美微目{～珠屎：眼眵}[5]迷谜靡眉楣媚[6]昧寐{梦～以求}未味{冇～道：害羞}沕{～水：潜水}□{～牌：抓牌}[7]糜{～□mʊ33：（食物）松软，脆}秘{～书}泌密={～切}蜜{甜～}□{蠓～屑：蠓虫}□{～嘴：亲嘴}
t	[1]知[2]第递雉{～斗：山鸡}鲤治{统～}蛰{惊～}值□{肉虫；～□tɔ42：灶蟋蟀}[3]低{降～}堤抵题里{～面}提{～审}持{坚～}迟{～到}[5]帝智置□{去□ni55～：去哪里}[6]事{话～：说话}[7]侄{～女（曹）}的{目～}滴{十～水}嫡笛狄敌{～人}适{～当}□{～好：最好（“第一”合音）}
tʰ	[3]体[5]治{～鱼：杀鱼}[6]滞[7]痔{～子：痔疮}
n	[1]□{去～□ti33：去哪里}[2]入日匿{～名信}[3]尼={～龙}[5]尼-{～姑}[6]二贰
l	[2]立力[3]礼李={姓；桃～}里{公～}理[5]黎璃梨厘狸={狐～}榴{手～弹}硫笠={戴～}栗={□kʊ33～□pɑu22：打栗暴}□{lai22～：干净}[6]厉{～害}隶{～书}利痢吏{贪官污～（曹）}□{kai22～䘆：蚯蚓}[7]厉{严～}励歷{～史}丽莉{茉～}沥{～水}
ts	[1]疾-{痛}[2]济集{～邮}[3]只{～有}脂{～肪}旨指={～示}止址姊{～妹}枳{～壳：中药}[5]鹚际荠{□mu21～：荸荠}製{～造}制{～服}致至之芝{人名用字，～麻}志{～向}誌{杂～}痣糍{～粑}[6]字寺己{～厝：同族人}□{□ku33～下：腋下}□{月～奶：月亮}[7]稚执{～照}汁{墨～}矢缉{通～}辑{编～}疾={痢～}侄{～女（杨）}质{～量}即鲫职织积殖植绩寂戢{姓}□{～□si24□py22：蜥蜴}
tsʰ	[1]妻尸{～体}痴□{□ai24～：喷嚏}[3]耻齿[5]栖刺{名词}试[6]豉{豆～子：豆鼓}市莳{～塍：插秧}□{眯；～目蝇：眯眼睛的人}[7]七柒戚{～继光}
s	[1]鸶{鹭～}犀誓{发～}施是氏司{～机}丝伺诗十什{～锦}拾{十}饲{～料}食={～堂}蚀□{□ka55～子：阴茎}[3]玺死屎始{秦～皇}□{～□kai21婆：癞蛤蟆}[5]势{有～}兮四肆时□{□kiãŋ42～：富有}[6]饲{～豨：喂猪}事={故～}[7]示势{形～}誓{宣～；～不两立}逝式{雅～：好看}祁{姓}似习{～惯}袭{～击}悉{熟～}失室惜{可～}昔夕席={主～}适{合～}释息熄媳识式饰析石={～榴}□{□li24～□py22：蜥蜴}
k	[1]稽枝肢技妓肌基机饥={～荒}姬箕{斗～：一种制作精致的竹篮子}萁{豆□kai24～：豆萁}□{面～子：面片}□{～□niɛ42：不错；挺好的}□{～□niɛ21的：什么样的}□{～□iɛ24：这么}[2]祁={～山}奇骑棋旗{红～}级葵{～菜，冬～}蕲{～蛇}□{～□tɔŋ22□a21：连接上下梁的柱子}[3]几{茶～；～乎；～个}祁={～山}己纪杞期[5]继记计{会～}[6]忌-{～日}□{赤～：地痞流氓}[7]既吉{～阳}戟击{游～队}激急级极及{～格}
kʰ	[1]柿{～饼}欺讥㩻{倾斜}[3]企启起其岂祈乞{～求}[5]器弃气汽斥虮{鼻涕虫，蚂蝗，蜗牛}[6]忌={妒～}
ŋ	[3]宜{适～}仪{司～；～器}谊疑拟凝{混～土}[6]艺义议毅
h	[1]牺箕{畚～子：簸箕}嬉{玩}熙希稀非{是～}飞={～机}妃[3]喜蟢匪[5]废肺戏费[6]系{是；联～；中文～}[7]吸橘{～梗：橘子}熻{～饭：焖饭}□{臭～：狐臭}
∅	[1]伊医衣依□{～昼：半天}□{～□ia22：母亲}□{固执而不听劝}[2]指-{手～子：手指，皮～子：顶针}栀{黄～子：栀子花}冀{伏～；～王}姨{大～；～丈（张）}肄异实{～在}亦易{交～}抑翼萁{狼～：长老了的蕨}[3]移已以遗[5]姨{～嫲□tse22：小姨（曹，杨）}意[6]易{容～}亿忆□{扎：～针}[7]夷矣沂揖{作～}乙一逸{一劳永～}益译疫
#u	
p	[1]□{～□lu55子：刨花}[2]葡部{干～，一～车}簿{分关～：阄书；～子：本子}□{～子：山坳}□{～蝶：蝴蝶}□{□tsia22～子：平房}[3]补={～贴}□{～□lu21□se22：橡树籽}[5]佈{公～}怖[6]步[7]不
pʰ	[3]谱普浦{～城：地名}蒲{～公英}菩捕甫辅莆[7]讣{～告}仆{倒，前～后继；～人}
m	[2]暮目{针～：针鼻儿；～汁：眼泪}木□{陷；扎}[3]母{～子}□{～荠：荸荠}[5]模{～子；～范}摹媒{～人}[6]慕墓{公～}□{昏暗的，天～～子光：凌晨}□{□su33～：什么}[7]募戊穆{～斯林}牧
t	[1]都{～城；～是}肚{鱼～，猪～}□{～□pi24：马蜂}[2]妒{～忌}徒{～弟}涂{～抹，糊～}图杜{姓；～仲}毒{中～；～死}□{戳}[3]堵赌徒{叛～}屠途睹{耳闻目～}[6]度渡镀[7]独读牍督筑□{～眠：打瞌睡}
tʰ	[3]土[5]吐{呕～；～唾：～痰}兔[7]突秃{～头□tɔŋ33：淋雨；野～驴：不守清规的和尚}
n	[3]努□{眨眼}[5]奴{～狗：男仆}[6]怒
l	[1]□{□pu55～子：刨花}□{～□su24：垃圾}[2]芦={葫～}鹿禄[3]乳{麦～精}辱鲁橹掳卤□{□pu21～子：橡树籽}□{□ku21～喙：漱口}[5]炉庐{三顾茅～；～山}鸬{～鹚}□{搭～架：可以让小孩站着玩耍的凳子}[6]路{公～}露={暴～，寒～}鹭{～鸶}[7]□{山坑谷～磡：人迹罕至的地方}□{柜子；药～子：药罐子；盒子；匣子}
ts	[1]租资姿咨瓷兹滋磁撮{—～米}[2]自{～留地}慈辞族嘱{医～}[3]祖组阻紫子梓词祠□{拧（毛巾）使干；攥：～拳头}[6]助自{～己}
tsʰ	[1]粗初凿□{雷击：大树被～}[3]楚础雌此[5]醋刺{～刀}次[6]觑{看}[7]触
s	[1]苏酥稣{耶～}梳疏{亲～}蔬斯厮私师{当家～：住持}狮思巳司{东～：厕所}□{～食：馋}□{～起来：囚禁}[2]嗜{～食窟：后脑窝子}□{吸溜：～鼻涕}[3]所始{有～有终}史驶蜀[5]芦-{～苇}素诉塑{～像}疏{～文：注释佛经的文字}数{动词、名词}赐{舍～：施舍}嗣[6]露-{白～，～水}树{～立}士仕事={实～求是，～故}侍□{～□mu33：什么}[7]速束□{□lu55～：垃圾}
k	[1]姑孤估{～价}鸪{鹧～}□{篾～：篾片里的节}□{蹲}[2]糊{浆～}□{～□u24：那样}[3]古估{～对：猜谜}牯{动物性别语素，表示雄性，牛～子：小公牛}股鼓{饱满}故{～事}□{～□lu21喙：漱口}□{□～□iɔŋ33：上供}□{跌tiɛ24～：丢脸}[5]故{事～}固雇顾□{黄尾～：春笋尖}□{低：～头}句{句：一～事}□{还是}[6]□{～□tsi33下：腋下}[7]角{牛～豆：豇豆}穀{～物}谷{山坑～□lu24磡：人迹罕至的地方}
kʰ	[1]枯{～饼；干～}箍{金～棒}[3]苦虎{～球：蝗虫；老～}[5]库裤酷[7]壳={谷～}
ŋ	[2]吾五伍[3]午[5]吴[6]误悟
h	[1]户互{～助组}护{～士}夫肤父驸{招～马：入赘}妇={～女}缚斛{石～}服伏{三～天}呼{称～}[2]湖={～南}沪[3]府腑{肺～}腐{～败}釜□{下～板：一种面宽而可深挖的锄子}[5]狐乎腐{豆～}付咐{吩～}赋傅敷扶={～贫}芙附覆{～藨：覆盆子}负{正～}富副幅[6]赴护{看家～院}互{相～}负{～责}[7]復{～原；～兴}複{～习}俘获福腹={心～}覆伏{埋～}忽佛{仿～}茯{～苓}
∅	[1]乌污巫诬[2]壶瓠{水～芦}糊{～涂}符无{～中生有}勿喉{～咙管：喉咙}[3]菇{香～}胡{姓}鬍{～须}湖{西～}抚武舞侮鹉仵{～作}忤{～逆}□{冬～子：蚕蛹；冬～：蝼蛄}[6]务雾{喷～器}□{（用针）扎}[7]屋{房～}物□{那；～个：那个；ku42～：那样}
#y	
p	[2]背{～脊}匏{～桸：瓢}妇-{新～：媳妇}陂{石～}□{石～：石头}□{酵子}[3]脯{干果，杏～；桃～}[5]蒲-{菖～}斧痱{～子，生～}肥埠{～子头：山脊}㘵{地名用字}□{埋；生～：活埋}□{□li24□si24～：蜥蜴}[6]吠[7]剥{～花生}腹-{～脐：肚脐}
pʰ	[1]铺{～床；店～}麸{麦～子}雹{龙～}曝-{～晒}[3]殕{食物上生毛}[5]扶-{～拼；拼接房屋的木构件}屁{放～}[7]覆{趴着，原文“匍”}
t	[1]蛛{吊～子：蜘蛛}追株{苦～}□{顿齐；放，搁}[2]除苎{～麻}捶{～背脊}术{白～；金兀～}逐{～家～户}橱{豨～：猪圈}[3]躲[5]厨橱[6]箸{筷子}队坠{～袖䘼：结婚时女方长辈给新娘的礼金}[7]竹
tʰ	[5]锄槌锤□{～子：拐杖}[7]秃{野～驴：不守清规的和尚}畜{～牲}
