漢字	iPA	注釋
多	tɔ1	
他	tʰa1	
舵	tua4	
拖	tʰua1	
拖	tʰɔ1	推~
駝	tʰɔʔ8	
陀	tʰɔ2	
馱	tʰɔ2	
挪	nɔ2	
羅	lɔ2	
鑼	lɔ2	
籮	lɔ2	
左	tsɔ3	
佐	tsɔ3	
做	tsɔ5	
搓	sɔ1	
搓	tsʰɔ1	文
娑	sɔ1	
歌	kua1	
歌	kɔ1	文
哥	kɔ2	口
哥	kɔ1	
個	kai2	白
個	kɔ4	文
軻	kɔ1	
可	kʰɔ3	
蛾	ŋɔ2	
鵝	gɔ2	
俄	ŋɔ2	
我	ua3	
我	ŋɔ3	文
餓	gɔ6	
何	hɔ2	
河	hɔ2	
荷	ɔ4	負~
荷	hɔ5	薄~
荷	hɔ2	~花
苛	kʰɔ1	
賀	hɔ6	
阿	a1	
阿	ɔ1	又
茄	kiɔ2	
茄	kia1	又，雪~
笳	kia1	
波	pɔ1	
跛	pʰɔ3	
播	pua5	
簸	pua5	
坡	pɔ1	
玻	pɔ1	
頗	pʰua ̃3	白
頗	pʰɔ1	文
頗	pʰɔ3	又文
婆	pʰua2	
魔	mɔ2	
磨	bua2	
摩	mɔ2	
朵	tɔ3	
躲	tɔ3	
剁	tɔk	訓
剁	tɔ5	文
妥	tʰɔ3	
唾	tʰɔ3	
惰	tua ̃4	
墮	tui4	訓“墜”
囉	lɔ2	
糯	nɔ5	
糯	tsuk8	訓“秫”
騾	lɔ2	
螺	lɔ2	
腡	lɔ2	
裸	lɔ3	
摞	lɔʔ8	
銼	tsʰɔ4	
矬	tsʰɔ2	
坐	tsɔ4	
座	tsɔ6	
蓑	sui1	
蓑	sɔ1	文
梭	sɔ1	
唆	sɔ1	
鎖	sɔ3	
瑣	sɔ3	
鍋	uɛ1	
過	kuɛ5	
戈	kʰɔ1	
果	kuai ̃3	白
果	kuɛ3	又白
果	kua ̃3	文
裹	kuɛ3	
科	kʰuɛ1	
棵	kʰɔ1	
窠	kʰuɛ1	
窠	kʰɔ1	文
顆	kʰɔ1	
課	kʰuɛ5	
訛	hɔ5	
臥	ɔ4	
火	huɛ3	
夥	huɛ3	
貨	huɛ5	
禾	ta2	訓
禾	hua2	文
和	huɛ2	白，~尚
和	hua2	文
和	hɔ4	又
禍	hua4	
倭	ɔ1	
倭	ɔi1	俗
窩	ɔ1	
涴	u5	
瘸	kʰuɛ2	
靴	hia1	
巴	pa1	
疤	pa1	
芭	pa1	
把	pɛ3	白
把	pa3	文
爸	pa2	
爸	pa3	又
垻	pa5	
霸	pa5	
怕	pʰa ̃5	
琶	pɛ2	
爬	pɛ2	
麻	mua2	
蟆	pɔ2	蛤~
蟆	mɔ2	又
媽	ma2	口
媽	ma3	奶奶，~祖
媽	ma1	文
馬	bɛ3	
馬	ma3	文
碼	bɛ3	
罵	mɛ6	
拿	na3	
詫	tʰɛʔ8	俗
詫	tsʰa5	
茶	tɛ2	
搽	tsʰa2	
查	tsʰɛ2	
渣	tsa1	
詐	tsa5	
榨	tsa5	
炸	tsa5	
叉	tsʰɛ1	
杈	tsʰɛ1	
差	tsʰa1	
差	tsʰɛ1	欽~
差	tsʰi1	參~
岔	tsʰɛ1	
岔	tsʰa1	又
汊	tsʰɛ1	
查	tsʰɛ2	
查	tsa1	姓氏
乍	tsa5	
沙	sua1	
沙	sa1	文
紗	sɛ1	
紗	sa1	文
灑	sa5	
灑	sai5	又
嘉	kia1	
家	kɛ1	
加	kɛ1	~減
加	kia1	文
假	kɛ3	
假	kia ̃3	文
賈	kia3	
賈	ku3	
稼	kɛ5	
價	kɛ5	
架	kɛ5	
駕	kɛ5	
嫁	kɛ5	
牙	gɛ2	
芽	gɛ2	
衙	gɛ2	
雅	ŋia3	
訝	gia5	
迓	gia5	
蝦	hɛ2	
嚇	hɛ ̃ʔ7	
嚇	hɛʔ7	又
霞	hia2	
遐	hia2	
瑕	hia2	
下	kɛ4	懸~
下	ɛ4	白
下	hia4	文
夏	hɛ6	
廈	hɛ6	
暇	hia2	
暇	hia5	又
丫	a1	
鴉	a1	
啞	ɛ3	
亞	a1	
亞	a5	又
姐	tsia3	小~
姐	tsɛ3	文
借	tsiɔʔ7	
且	tsʰia ̃3	
藉	tsia4	
褯	tsɔiʔ7	
褯	tsia4	文
些	sɛ1	
寫	sia3	
瀉	sia5	
卸	sia5	
邪	sia2	
斜	sia2	
斜	sia1	又
謝	tsia6	白，姓氏
謝	sia6	
爹	tia1	
遮	tsia1	
者	tsia3	
蔗	tsia5	
車	kə1	
車	tsʰia1	
扯	tsʰɛ3	
蛇	tsua2	
射	sia6	
奢	tsʰia1	
賒	tsʰia1	
舍	sia5	
赦	sia5	
社	sia	
惹	dzia3	
耶	ia2	
耶	ia6	又
耶	ɛ6	又
椰	ia2	
爺	ia2	
冶	ia3	
也	ia3	
野	ia3	
夜	ia6	
傻	sa4	
耍	səŋ3	俗
瓜	kuɛ1	
蝸	ua1	
寡	kua3	
剮	kua3	
咵	kʰua1	
垮	kʰua1	
跨	kʰua1	
娃	ua1	
瓦	hia4	厝~
瓦	huɛ3	~刀
瓦	ua1	文
瓦	ua3	文
花	huɛ1	
花	hua1	文
化	huɛ5	
化	hua5	文
華	hua2	
華	hua1	又
蛙	ua1	
窪	ua1	
