#ɿ
ts[13]资姿兹滋咨孜淄孳滓[55]籽子紫姊仔{～细}[312]字恣自
tsʰ[13]疵呲{～牙咧嘴}[42]词辞瓷磁慈祠雌[55]此[312]次赐刺伺{～候}
s[13]思斯司丝私撕厮饲[55]死[312]四似泗寺嗣伺{～机}肆巳

#ʅ
tʂ[13]只{一～}之知支汁织枝肢蜘芝[42]直值职执侄植殖只{～有}置{位～}[55]纸指止址旨脂趾[312]置{～办}制至致智质志治滞痣稚掷峙痔秩
tʂʰ[13]吃痴尺嗤[42]持池迟弛驰茌[55]齿耻豉侈[312]翅赤斥叱
ʂ[13]适师湿诗失施尸视狮室虱[42]十时食拾石实蚀[55]使史屎始矢驶匙[312]是事式试市士似氏世仕逝誓噬弑柿轼嗜
ʐ[13]□{象声词，形容鸟飞的声音}[312]日

#i
p[13]逼必[42]鼻[55]比鄙彼蓖[312]必币毕闭壁碧避毙璧蔽弼敝陛
pʰ[13]披批劈坯{砖～子}霹[42]皮脾疲琵啤[55]匹痞[312]屁辟僻譬痹{白}庇{白}
m[13]咪眯[42]迷谜糜靡弥醚[55]米[312]秘密觅幂蜜泌谧
t[13]低滴堤嘀[42]迪敌笛狄涤嫡提{～留着包}[55]底抵的{目～}[312]地第帝弟递[0]的{助词}得{助词}地{助词}
tʰ[13]踢梯剃[42]题提{高}蹄[55]体[312]替剃涕屉惕
l[42]离厘梨黎犁漓篱[55]里李理礼狸鲤俚[312]历力立丽粒利例栗励厉荔沥笠吏隶痢雳戾莅呖[0]哩璃
tɕ[13]机级几{茶～}鸡基击积激姬绩饥肌叽脊稽髻鲫济缉戟羁圾奇{～数}[42]及集极籍疾辑棘汲亟急吉给{供～}[55]几{～个}己挤[312]记寄季剂继际纪既暨迹祭技忌冀妓寂系{～鞋带}悸荠{～菜}骑{量词}
tɕʰ[13]期七漆妻戚欺栖凄沏蹊[42]其齐骑奇{～怪}琪旗棋祁骑{动词}企祈歧鳍畦[55]起启乞[312]汽气器弃砌泣迄去{白}契[0]箕{簸～}
ȵ[13]妮[42]尼泥{名词}呢{～子}霓[55]你[312]腻泥{动词}溺逆匿昵拟
ɕ[13]西息吸希溪锡熙惜夕稀曦兮悉汐昔膝熄晰熹蟋蜥淅犀[42]习席袭媳畦{白}[55]洗喜玺[312]细戏系{联～}
∅[13]一衣依{按照}医伊壹[42]移姨怡仪疑遗谊夷颐沂役译熠彝异胰[55]椅倚依{～靠}已蚁尾{白}乙[312]艺意义忆易亿亦益翼易逸毅议溢轶邑抑驿屹羿疫

#u
p[13]不[55]补捕卜拨{～拉白}[312]部步布簿埠怖
pʰ[13]铺{平～}扑噗[42]葡菩[55]普谱朴仆璞浦匍蒲[312]堡{地名}铺{店～}
m[13]木[42]没{白}谋{白}模{～子}[55]亩母牡拇某{白}[312]木目幕牧墓穆慕暮募睦沐苜
