#a
p[33]巴芭疤[21]把[55]罢坝把{（柄）}霸爸[324]拔八
pʰ[33]趴[42]爬琶杷钯耙[55]怕帕[324]拍
v[33]挖蛙洼[21]瓦[55]凹[324]发罚袜法乏伐筏
m[33]妈[42]麻蟆{（蛤～）}[21]蚂马码[55]骂[324]抹
t[21]打[55]大[324]答搭达
tʰ[324]塌塔踏榻
n[42]拿[21]哪[55]那[324]纳
l[33]拉[324]腊辣蜡
ʦ[33]楂渣[55]诈榨炸乍[324]眨杂扎札轧铡
ʦʰ[33]叉差杈钗[42]茶搽查[55]岔[324]擦插
s[33]沙纱萨[21]撒洒傻[324]杀
z[33]鸦丫桠[42]牙芽衙[21]哑[55]亚[324]鸭闸
ʔ[33]阿{（～哥）}[55]阿

#ai
p[21]摆[55]败拜
pʰ[42]排牌[55]派
v[55]外
m[42]埋[21]买[55]卖迈{（～话）}
t[55]代带待怠殆戴贷袋大{（～夫）}
tʰ[33]胎苔[42]台抬[55]太态泰
n[21]奶乃[55]耐奈
l[42]来[55]癞赖
ʦ[33]斋灾栽[21]宰[55]在再载债
ʦʰ[33]猜差{（出～）}[42]才裁柴材财裁豺[21]彩采睬[55]菜蔡
s[33]腮筛鳃[55]赛晒寨
z[42]捱{（捱夜）}崖涯
k[33]街该皆阶楷谐[21]改解[55]盖丐介界芥尬疥届戒械
kʰ[33]开揩[21]凯[55]概溉慨
x[42]鞋孩[21]海蟹[55]亥害□{（疲劳）}骇
ŋ[33]哀[55]艾碍爱
ʔ[33]挨{（～骂；～近）}埃[21]矮蔼[55]唉[55]唉

#ɐi
p[33]杯碑悲[55]背贝倍辈配佩[324]北白百柏伯
pʰ[33]坯[42]培陪赔裴[55]沛[324]赔陪
v[33]飞非妃[42]肥微[21]尾匪翡[55]肺痱味未废吠费
m[42]媒煤梅霉[21]每美[55]妹昧寐[324]麦脉墨
t[33]堆碓[55]对队兑[324]得德
tʰ[33]推[21]腿[55]退蜕[324]特
n[55]内
l[42]来雷[21]儡累垒[55]累类泪[324]肋
ʦ[21]嘴[55]最醉罪[324]贼摘窄则泽择责
ʦʰ[33]催崔[55]脆翠[324]侧厕拆测策册
s[55]岁碎粹遂隧[324]塞涩虱色啬
k[21]给[324]隔刻格革
kʰ[324]客咳
x[324]黑吓
ŋ[324]额鄂扼轭

#an
p[33]扳班斑颁[21]板扳[55]办扮瓣贩
pʰ[33]攀[55]盼
v[33]翻番[42]完玩凡丸藩烦矾繁帆[21]反晚挽[55]范犯饭万
m[33]馒[42]蛮[55]慢馒幔蔓
t[33]单耽丹[21]胆[55]淡蛋担诞旦但
tʰ[33]贪瘫滩摊[42]谈坛痰谭潭檀弹掸[21]毯坦[55]探炭叹
n[42]男南难
l[42]栏蓝篮兰拦[21]懒览揽榄[55]滥烂
ʦ[33]簪毡钻沾粘蟾[21]斩暂錾盏[55]站赞绽
ʦʰ[33]参餐[42]残蚕蝉谗馋[21]产惨铲[55]灿
s[33]三山衫杉珊删疝[21]陕伞珊{（〜瑚）}[55]散
k[33]干柑肝甘泔尴竿[21]赶敢感橄杆擀赶
kʰ[33]堪勘刊[21]砍[55]看
x[33]憨鼾[42]含寒衔{（又in,军〜）}函韩[21]喊罕[55]旱汗苋撼陷汗汉焊翰
ŋ[33]安{（放）}鞍[42]颜[55]案按晏{（晚）}雁岸
ʔ[33]庵[55]暗

#ɐn
p[33]奔[21]本[55]笨
pʰ[42]盆[55]喷{（喷嚏）}
v[33]分芬纷[42]坟闻蚊焚文纹蚊[21]粉[55]粪喷{（喷嚏）}愤忿奋份问
m[42]门们[55]闷
t[33]敦墩蹲[55]盾顿钝遁
tʰ[33]吞[42]屯豚臀囤[55]饨
n[55]嫩
l[42]轮仑[55]论
ʦ[33]针斟珍真疹尊俊贞侦[21]枕诊[55]镇阵振震
ʦʰ[33]村[42]沉陈晨{（文读⑵）}臣存[55]趁衬{（帮衬）}慎寸
s[33]身深孙申伸逊[42]辰神晨{（白读）}巡笋榫唇纯莼[21]闪□{（〜鸡，未下蛋的小母鸡）}沈审婶损[55]肾甚甚
k[33]筋跟根
kʰ[21]啃恳垦
x[42]痕很恨[55]恨限
ŋ[33]恩[55]□{(~~:刚好）}

#æn
p[33]帮邦[21]膀{（肩膀）}绑榜[55]棒谤
pʰ[42]旁螃滂庞[55]胖傍
v[33]方汪芳[42]房王肪妨房防[21]网往枉{（冤〜）}访纺仿[55]望忘旺放妄
m[42]忙芒{（〜种）}茫亡盲[21]莽蟒
t[33]当[21]挡党[55]当{（〜铺）}
tʰ[33]汤[42]堂糖棠螳唐塘[21]躺倘[55]烫
n[42]瓤囊
l[42]螂{（蟑螂）}狼郎廊[21]朗[55]晾浪
ʦ[33]脏张蟑{（蟑螂）}赃章[21]掌{（撑腰；脚掌）}长{（长辈）}掌{（脚掌）}[55]仗{（炮仗）}葬涨丈杖帐账胀障瘴
ʦʰ[33]苍仓昌菖[42]藏{（藏起来）}长{（长工）}肠常场[21]厂[55]唱畅创倡
s[33]伤丧商[42]尝裳[21]嗓操偿赏[55]尚{（和尚）}上
z[33]壤央秧殃酿[42]羊阳洋烊杨扬疡[21]养痒仰[55]样让
k[33]刚缸冈岗纲钢豇[55]钢虹
kʰ[33]糠康[42]扛杭[55]抗炕
x[42]行{（一行字）}航{（〜行）}kʰ〜/x〜[55]项
ŋ[42]昂
ʔ[33]肮

#ein
p[33]鬓冰兵彬宾槟浜姘殡[21]饼丙禀秉柄[55]病乒并
pʰ[42]平苹瓶贫频凭坪评屏萍[21]品[55]拼聘
m[42]名明民鸣铭[21]敏闽悯皿[55]命
t[33]丁钉{（〜耙）}叮疔汀[21]鼎顶[55]锭订定
tʰ[33]听厅[42]亭停廷庭蜓[21]挺
n[33]拎[42]凝宁 
l[42]鳞怜邻林檩灵凌零龄铃淋临磷陵凌菱伶[21]领[55]岭另令恋吝
ʦ[33]睛{（眼〜）}精侵寝津晶蜻[21]井[55]净进静浸尽晋靖
ʦʰ[33]亲清青[42]寻秦尘情晴[21]请
s[33]星心辛新申伸身森新薪腥馨[21]醒[55]信讯性姓
z[33]鹰蝇阴音因殷应莺鹦樱英婴缨[42]人银云寅吟仁匀迎赢盈[21]饮演忍引隐允尹影[55]孕应{（答应）}认印壬任淫刃韧韵运晕{（晕车）}
k[33]军今金斤惊巾君军郡茎京鲸经[21]颈紧锦境景警[55]近镜禁襟劲擎敬竟竞径
x[33]兴{（兴旺）}[42]形型刑[55]幸杏训兴

#in
p[33]边鞭[21]扁贬蝙匾[55]瓣变辫便{（随便）}辨辩
pʰ[33]偏编篇[42]便{（便宜）}[55]片遍骗
m[42]棉绵眠[21]免勉抿[55]面缅
t[33]颠掂[21]点典腆[55]殿奠佃垫电淀店汴{（～京）}
tʰ[33]天添[42]田甜填[21]舔
n[33]拈[42]年粘[21]脸碾辇撵[55]念捻
l[42]莲镰廉帘连联[21]敛[55]练链殓炼楝
l[42]莲镰廉帘连联[21]敛[55]练链殓炼楝
j[33]烟淹阉腌荫渑蔫渊[42]然盐炎檐严俨涎燃延言研[21]染眼冉掩饮[55]®{（腻）}燕厌{（讨厌）}验艳焰雁筵谚咽宴
ʨ[33]尖煎砧瞻占[21]剪[55]贱箭溅践饯荐渐
ʨʰ[33]千签迁笺[42]钱前潜缠[21]浅[55]歼
ɕ[33]仙先宣鲜喧楦[42]旋禅[21]癣[55]扇羡鏾{（阉）}腺馅善线膳
k[33]坚肩监艰间奸涧铜捐[21]捡减碱茧检俭简绢[55]见鉴剑犍件建健腱
kʰ[33]兼谦牵圈[42]钳拳权[21]遣卷犬[55]欠劝歉眷倦券
x[33]掀欣[42]闲咸嫌衔贤弦玄悬眩[21]险显[55]宪献现县

#ɐŋ
p[33]崩
pʰ[55]蚌
t[33]灯登[21]等[55]凳瞪邓澄
tʰ[42]腾誉藤疼
n[42]能
l[21]冷
ʦ[33]曾争睁蒸正{（正月）}增僧蹭赠徵惩筝征[21]整[55]正证憎症郑政
ʦʰ[33]称{（称一称）}撑{（撑腰）}[42]城乘程橙层承丞拯剩锃呈程逞成诚[55]秤称{（称心）}
s[33]生升牲笙甥声[42]绳[21]省{（海南省）}[55]胜盛圣
k[33]庚耕粳羹[21]梗埂耿[55]更
kʰ[33]坑{（挖/坑）}
x[33]亨[42]恒衡
ŋ[55]硬

#i
p[21]比彼[55]被闭蔽敝弊币毙蓖算痹备[324]鼻笔毕必弼迫
pʰ[33]披批胚丕[42]脾皮卑疲琵枇[21]俾婢鄙庇[55]屁[324]壁劈霹臂譬避匹璧辟僻
m[42]眉眯迷谜倪糜弥楣媚[21]米[55]□{(ni)}[55]{（什么）}秘泌[324]密蜜
t[33]低的{（打〜）}[21]底抵[55]地第弟帝递[324]滴嫡笛敌狄
tʰ[33]梯[42]堤提题蹄啼[21]体[55]替剃涕屉剔[324]踢
n[33]的{（助词）}[42]尼泥[21]你女拟[55]匿[324]逆历
l[42]梨离犁黎篱璃厘狸[21]理李礼里吕旅鲤[55]利荔厉虑滤例励丽隶痢吏[324]力立履笠粒泣栗率律
j[33]衣依医蚁牺伊[42]如姨鱼芋渔于淤余儒愚虞娱寓吁迂盂榆逾宜仪谊移夷姨疑饴遗与[21]椅雨语宇禹羽倚已以[55]誉玉遇意易御预豫愉愈喻裕艺缢议义冀异毅逸忆亿翼役疫欲[324]日乙入一域益亦译液腋
ʨ[33]芝{（芝麻）}猪诸聚诛株朱珠知支枝肢妓之[42]鲫脊[21]挤只趾止指煮暑主挤纸脂旨址[55]治痣至柱著拄驻注住祭际济剂制智致痔志稚[324]侄集蛰疾直矢执汁置质卒鲫值织职识殖植积迹脊籍藉只炙绩寂
ʨʰ[33]蛆妻栖[42]齐徐脐池迟除储厨持[21]鼠齿娶取荠侈耻恃[55]翅处趣砌[324]漆七戚尺赤膝
ɕ[33]施舒输西书夕趋须需殊尸[42]时薯媳犀驰匙鲥[21]洗屎玺徙使史驶始[55]世示是婿树视豉{（豉油）}树细序叙绪絮庶竖势誓逝氏嗜柿市试式[324]湿十石食惜锡席熄实戌释息习拾悉秩失室戌恤术蟋蟀述蚀饰惜昔席夕适锡析
k[33]鸡箕居车{（象棋）}拘稽饥肌几基机讥[21]几己举矩纪杞[55]记季继锯具巨拒距据俱句具惧计继技寄忌既[324]急髻吸级及橘极戟剧屐击激菊掬锔
kʰ[33]欺期驹区驱[42]骑棋旗渠奇岐祁鳍其沂[21]起启祈[55]气汽契企器弃[324]吃倔掘乞讫窟屈曲
x[33]稀溪墟奚兮熙希虚嘘[42]嬉[21]喜许[55]戏系

#uan
x[42]还

#un
p[33]搬般[55]半伴
pʰ[33]潘[42]盘[55]拌绊判叛
v[33]温弯湾瘟[42]豌[21]腕碗稳[55]□{（蘸）}
m[42]瞒[21]满
t[33]端[21]短[55]段断锻缎椴
tʰ[42]团
n[21]暖
l[42]鸾[21]卵[55]乱
ʦ[33]砖专[21]转准[55]赚攒
ʦʰ[33]春穿川椿[42]传船全泉[21]喘揣蠢[55]串纂窜篡篆
s[33]酸闩拴[42]旬循殉醇[21]选[55]顺蒜算舜
z[33]冤[42]阎铅圆原员缘沿元源[21]软远[55]砚怨愿院阮
k[33]关棺官观[21]滚管馆[55]罐灌惯棍冠贯颧
kʰ[33]宽昆坤[21]捆款菌[55]困
x[33]欢昏婚浑熏勋薰荤[42]横魂[21]缓[55]换痪唤焕幻患宦混

#æ
pʰ[55]跛{（瘸）}
l[21]□{（蹄）}□{（~舌，伸出舌头）}
ʦ[21]者
ʦʰ[33]车[21]且扯
x[33]他

#au
p[33]包褒[21]宝保堡[55]报抱豹暴
pʰ[42]跑刨袍[55]炮泡
m[42]毛矛[21]卯[55]帽冒
t[33]刀叨[21]倒祷岛[55]到道稻盗导
tʰ[33]滔涛[42]淘掏桃逃陶萄[21]讨[55]套
n[21]脑恼[55]闹
l[33]涝[42]劳捞牢唠[21]老
ʦ[33]招遭糟召昭沼[21]臊早枣澡找皂[55]灶造赵照兆诏
ʦʰ[33]抄钞搜操超[42]曹槽巢朝潮[21]草吵炒[55]燥糙
s[33]烧稍[21]扫嫂少[55]少绍邵
z[33]腰妖邀要{（〜求）}[42]摇绕饶桡谣窑姚尧[21]舀咬扰杳[55]要{（重〜）}耀鹞
k[33]高膏篙羔糕[21]稿搞[55]告
kʰ[33]敲[21]考烤[55]靠
x[21]好[55]号
ŋ[42]熬

#ɐu
p[33]煲钵
pʰ[21]剖
v[42]浮
m[42]谋[21]某亩牡[55]茂贸
t[33]兜[21]陡斗{（一〜米）}抖[55]豆逗斗
tʰ[33]偷[42]头投[55]透
l[42]楼[21]篓搂[55]漏陋[324]缕屡
ʦ[33]周邹州洲[21]走[55]咒奏纣昼皱绉骤 
s[33]收飕[21]手守首[55]寿瘦叟嗽受兽授售
z[42]揉柔
k[33]勾钩沟[21]狗苟[55]够构购
kʰ[21]口[55]扣寇
x[42]喉猴侯[55]后厚候
ŋ[33]抠[21]偶
ʔ[33]欧瓯呕殴[21]藕[55]沤怄

#ie
p[324]别瘪鳖憋
pʰ[324]撇
m[324]灭蔑
t[33]爹[324]跌碟叠牒谍
tʰ[324]蝶帖贴铁
n[324]捏孽
l[324]烈列裂劣
j[42]爷耶[21]惹也野[55]夜[324]越热月叶页业
ʨ[33]遮[21]姐[55]借蔗[324]节接折捷褶劫哲蛰浙截绝
ʨʰ[324]妾怯彻撤辙切
ɕ[33]泻射[42]蛇斜奢[21]写[55]谢泻卸舍社射麝赦泄[324]说雪恤舌携聂摄涉薛设歇
k[324]结杰揭蝎决诀洁 
kʰ[324]缺
x[33]靴[324]歇血胁协穴

#o
p[33]菠波玻[55]簸{（〜箕）}[324]擘{（掰）}伯剥薄膊拨博泊缚驳帛陌
pʰ[33]坡[42]婆颇[55]破播[324]泼魄
