[pi34]悲陂{阪，坡，堤坝}碑卑
[pi13]皮疲琵枇
[pi44]比畀{给}
[pi23]被{～子}
[pi42]蓖篦
[pʰi34]披庇脾鄙痞
[pʰi44]彼
[mi13]眉微楣
[mi44]尾{又}
[mi23]尾{又}美
[mi55]媚
[fi34]飞非妃
[fi13]肥
[fi44]匪翡
[ti55]□{狗～：睾丸（用于对小孩说话）}
[ni34]呢{又}
[ni13]疑宜尼谊
[ni23]弥拟
[li34]璃
[li13]离篱梨厘狸
[li23]理李里鲤裏
[li55]□{麻～：麻雀}
[tsi34]枝资姿咨之芝遮支肢鹧蜘栀痴
[tsi13]迟瓷磁辞饲词祠池驰持糍鹚嗣
[tsi44]纸姊旨指止脂趾址
[tsi23]豸似雉稚巳慈滋
[tsi55]蔗借
[tsi42]谢
[tsʰi34]扯雌撕疵
[tsʰi44]齿此侈耻
[si34]畲施尸诗赊佘兮
[si13]匙蛇时□{打～梦（疑其原字为“睡”，因连读吞字造成）}
[si44]屎始矢
[si23]是社市
[si55]赦舍{宿～}
[ɬi34]丝司思斯私厮
[ɬi44]写□{溢出，从容器口往外洒}
[ȵi34]儿-
[ȵi13]儿=倪霓
[ȵi23]耳议仪而尔饵{又}
[ȵi42]二义贰
[ki34]箕饥肌基机讥饑几{茶～}
[ki13]鳍企奇骑其棋期旗岐歧麒
[ki44]几{～个}己纪杞
[ki23]徛
[hi34]欺牺嬉熙希稀
[hi13]姨移夷遗
[hi44]起岂喜
[hi23]以已
[hi42]夜
[i34]爷-{伯～}衣医瞖依
[i44]椅倚
[pu13]婆脯葡□{浮}
[pu44]补辅
[pu23]蒲
[pʰu34]敷铺{～垫}普
[pʰu44]谱浦捕甫圃
[mu34]模巫诬
[mu13]无
[mu44]拇
[mu23]母武舞侮鹉
[fu34]夫肤俘孵麸
[fu13]符扶{又}芙浮抚
[fu44]府腑俯斧
[fu23]妇
[fu42]扶{又}
[tu34]都{～城}
[tu13]徒屠途涂图
[tu44]堵赌
[tu23]肚
[tu55]都{～是}妒
[tʰu44]土
[nu34]□{□nɐk4～：肿起的包}
[nu13]奴
[nu23]努
[lu34]庐-{茅～}
[lu13]卢炉芦鸬庐={～山}
[lu23]鲁橹虏卤
[tsu34]租
[tsu13]雏
[tsu44]祖组阻
[tsu42]助锄
[tsʰu34]粗初
[tsʰu44]楚础娶
[su34]梳疏蔬
[su44]数{动词}
[ɬu34]苏酥
[ȵu55]□{有病，无精打采}
[ku34]姑锅孤辜箍鸪
[ku13]葫{又}
[ku44]古牯果股鼓餜裹
[ku55]过
[kʰu34]箍
[ŋu13]吴蜈吾梧
[ŋu23]五伍午杵
[hu34]呼科蝌枯乎
[hu13]禾胡和湖狐壶葫{又}糊鬍=蝴
[hu44]火苦伙虎夥
[hu23]祸户沪□{～□hɐk2□kiaŋ42:到处飞，到处跑的样子}
[hu55]货课
[wu13]□{～～横横：拿棍子乱舞的样子}
[u34]乌坞窝{又}
[u55]污
[py34]□{（粥等）烂糊}
[my23]□{脸皮厚，浑}
[my55]□{[壮]厌，腻烦}
[ty34]□{愚钝顽劣}
