"拼音"	"IPA"	"調號"	"單字"
"z"	"tsɿ"	"1"	"资姿咨滋辎"
"z"	"tsɿ"	"3"	"紫姊子籽梓"
"c"	"tsʰɿ"	"1"	"雌"
"c"	"tsʰɿ"	"3"	"此"
"c"	"tsʰɿ"	"5"	"刺赐次"
"z"	"dzɿ"	"2"	"疵瓷餈慈磁兹辞词祠"
"z"	"dzɿ"	"6"	"自祀巳[辰～]字牸侍-寺-"
"s"	"sɿ"	"1"	"斯厮撕私司丝思师狮伺"
"s"	"sɿ"	"3"	"死"
"s"	"sɿ"	"5"	"四肆厕[茅～]嗣饲似=侍=寺=士=仕=事="
"s"	"sɿ"	"6"	"似-士-仕-事-自[又]字[又]牸[又]"
"zr"	"tʂʅ"	"1"	"知蜘支枝=肢栀之芝"
"zr"	"tʂʅ"	"3"	"纸脂旨指[～点]止趾址"
"zr"	"tʂʅ"	"5"	"制[～度]製[～造]智致至置志痣翅稚治=蛰"
"zr"	"tʂʅ"	"7"	"执汁质织职侄只=[～有]隻=[一～]指[～甲子]"
"cr"	"tʂʰʅ"	"1"	"痴嗤"
"cr"	"tʂʰʅ"	"3"	"耻齿斥匙[又]"
"cr"	"tʂʰʅ"	"5"	"直值殖植"
"cr"	"tʂʰʅ"	"7"	"赤尺=秩"
"zr"	"dʐʅ"	"2"	"池驰迟持"
"zr"	"dʐʅ"	"6"	"痔治"
"sr"	"ʂʅ"	"1"	"施尸[～位]屍[死～]诗"
"sr"	"ʂʅ"	"2"	"时鲥匙"
"sr"	"ʂʅ"	"3"	"矢屎使史驶始"
"sr"	"ʂʅ"	"5"	"世势誓试逝是=示=视=式饰十什拾"
"sr"	"ʂʅ"	"6"	"是-氏柿市豉示-视-嗜"
"sr"	"ʂʅ"	"7"	"湿失室识适释实食蚀石="
"r"	"ʐʅ"	"2"	"儿="
"r"	"ʐʅ"	"7"	"日="
"bi"	"pi"	"3"	"彼比"
"bi"	"pi"	"5"	"闭蔽=敝=弊=币=毙=秘泌痹"
"bi"	"pi"	"7"	"笔毕必逼碧璧壁="
"pi"	"pʰi"	"1"	"批披"
"pi"	"pʰi"	"3"	"鄙庇痞"
"pi"	"pʰi"	"5"	"屁鼻"
"pi"	"pʰi"	"7"	"匹弼僻辟劈=霹譬避"
"bi"	"bi"	"2"	"皮疲脾"
"bi"	"bi"	"6"	"被[～子；～迫]篦"
"di"	"ti"	"1"	"爹=低"
"di"	"ti"	"3"	"底抵"
"di"	"ti"	"5"	"帝蒂弟=第=地="
"di"	"ti"	"7"	"的滴=嫡笛敌"
"ti"	"tʰi"	"1"	"梯="
"ti"	"tʰi"	"3"	"体"
"ti"	"tʰi"	"5"	"替涕剃递隶狄籴"
"ti"	"tʰi"	"7"	"踢剔屉"
"di"	"di"	"2"	"提=堤题蹄啼"
"di"	"di"	"6"	"弟-第-地-"
"ni"	"ni"	"2"	"犁黎梨离[～别，～开]篱璃厘驴-"
"ni"	"ni"	"3"	"礼李里[邻～]裏[～外]理鲤狸旅履"
"ni"	"ni"	"5"	"励丽吏例=厉=荔=利=痢=泪=笠粒栗力"
"ni"	"ni"	"6"	"例-厉-荔-利-痢-泪-"
"ni"	"ni"	"7"	"立律率[速～]力=歷[～史]曆[日～]"
"zi"	"tsi"	"3"	"挤毑[娭～：祖母]嘴-"
"zi"	"tsi"	"5"	"祭际济剂序=叙=绪=聚=最-醉-"
"zi"	"tsi"	"7"	"即鲫积迹绩辑[编～]集籍藉"
"ci"	"tsʰi"	"1"	"妻栖蛆趋"
"ci"	"tsʰi"	"3"	"取"
"ci"	"tsʰi"	"5"	"砌娶趣脆-翠-骤-"
"ci"	"tsʰi"	"7"	"七漆膝戚辑[～麻]疾寂"
"zi"	"dzi"	"2"	"齐脐徐随"
"zi"	"dzi"	"6"	"序-叙-绪-聚-"
"si"	"si"	"1"	"西犀须[必～]鬚[胡～]需胥髓虽绥"
"si"	"si"	"3"	"洗"
"si"	"si"	"5"	"细絮岁-夕-"
"si"	"si"	"7"	"悉蟋息熄媳惜昔锡=析戌恤壻[女～]习袭席夕="
"gi"	"ci"	"1"	"鸡稽飢[～饿]饑[～荒]肌基箕机讥屐[木～]枝-[～子]"
"gi"	"ci"	"3"	"几[茶～]幾[～乎；～个]己纪杞[枸～]"
"gi"	"ci"	"5"	"计继繫[～鞋带]寄冀记旣季企[～图]技妓忌="
"gi"	"ci"	"7"	"急给吉诘击棘戟激"
"ki"	"cʰi"	"1"	"欺"
"ki"	"cʰi"	"3"	"启起杞[～人忧天]岂"
"ki"	"cʰi"	"5"	"契器弃气汽企[～业]去-"
"ki"	"cʰi"	"7"	"讫迄乞喫=级及极吸"
"gi"	"ɟi"	"2"	"奇骑岐祁鳍其棋期旗祈"
"gi"	"ɟi"	"6"	"徛[站立]忌-"
"xi"	"çi"	"1"	"奚溪兮牺嬉嘻禧熙希稀"
"xi"	"çi"	"3"	"喜"
"xi"	"çi"	"5"	"戏系=[～统]繫=[连～；是]"
"xi"	"çi"	"6"	"系-[～统]繫-[连～；是]"
"i"	"i"	"1"	"伊医衣依"
"i"	"i"	"2"	"移夷姨饴怡贻遗"
"i"	"i"	"3"	"倚椅矣已以"
"i"	"i"	"5"	"懿意忆亿肄异="
"i"	"i"	"6"	"易[难～]异-"
"i"	"i"	"7"	"揖邑一日-益逸亦易[交～]翼="
"bu"	"pu"	"3"	"补"
"bu"	"pu"	"5"	"布[～匹；公～]怖部=步=簸[～一～]"
"bu"	"pu"	"7"	"不"
"pu"	"pʰu"	"1"	"铺[～设；床～]"
"pu"	"pʰu"	"3"	"谱普浦捕甫辅"
"pu"	"pʰu"	"5"	"铺[店～]讣"
"bu"	"bu"	"2"	"蒲菩脯[胸～]婆-"
"bu"	"bu"	"6"	"簿部-步-埠"
"fu"	"ɸu"	"1"	"夫肤敷麸孵"
"fu"	"ɸu"	"2"	"符扶芙俘胡[～琴]鬍[～子]湖葫[～芦]狐壶呼乎"
"fu"	"ɸu"	"3"	"府腑俯斧抚釜腐虎浒"
"fu"	"ɸu"	"5"	"赋傅赴富副付附=妇=戽户=互=护=服-伏袱[～子]斛"
"fu"	"ɸu"	"6"	"父附-妇-负户-互-护-瓠[～瓜]"
"fu"	"ɸu"	"7"	"福幅蝠複[～杂]腹覆[反～]彿[彷～]忽復[～原；～兴]服=佛勿"
"gu"	"ku"	"1"	"姑孤箍估锅-"
"gu"	"ku"	"3"	"古牯股鼓"
"gu"	"ku"	"5"	"故固雇顾过"
"gu"	"ku"	"7"	"骨=谷[山～]穀[～子]酷"
"ku"	"kʰu"	"1"	"枯窠-"
"ku"	"kʰu"	"3"	"苦"
"ku"	"kʰu"	"5"	"库裤"
"ku"	"kʰu"	"7"	"窟哭"
"u"	"u"	"1"	"乌污坞巫诬"
"u"	"u"	"2"	"吴蜈吾梧无禾-"
"u"	"u"	"3"	"五伍午武鹉舞侮"
"u"	"u"	"5"	"悟误务=雾=戊="
"u"	"u"	"6"	"务-雾-戊-"
"u"	"u"	"7"	"物屋沃握-"
"zry"	"tʂʯ"	"1"	"猪诸诛蛛株朱硃珠居车[～马炮]俱"
"zry"	"tʂʯ"	"3"	"煑主举矩"
"zry"	"tʂʯ"	"5"	"著[显～]拄驻注[～意；～解]蛀铸据锯=句拘驹巨=拒=距=具=惧=剧[～烈；戏～]"
"zry"	"tʂʯ"	"7"	"橘菊=局"
"cry"	"tʂʰʯ"	"1"	"区驱枢吹-"
"cry"	"tʂʰʯ"	"3"	"处[相～]杵"
"cry"	"tʂʰʯ"	"5"	"处[～所]去="
"cry"	"tʂʰʯ"	"7"	"出屈"
"zry"	"dʐʯ"	"2"	"除储薯厨渠瞿槌-锤-"
"zry"	"dʐʯ"	"6"	"苎柱住巨-拒-距-具-惧-柜-[大的]"
"ny"	"ɳʯ"	"3"	"女语"
"sry"	"ʂʯ"	"1"	"书舒输墟虚嘘"
"sry"	"ʂʯ"	"2"	"殊"
"sry"	"ʂʯ"	"3"	"暑鼠许水-"
"sry"	"ʂʯ"	"5"	"庶恕戍署[专～]竖=树=朮[白～]术[算～]述秫"
"sry"	"ʂʯ"	"6"	"竖-树-"
"y"	"ʯ"	"1"	"迂"
"y"	"ʯ"	"2"	"如儒鱼渔于盂於淤余[姓]餘[多～]愚虞娱榆逾愉"
"y"	"ʯ"	"3"	"乳与雨宇禹羽蕊"
"y"	"ʯ"	"5"	"禦[防～]御[～用]遇=誉预豫裕喻=喂-[饲]域-玉疫役"
"y"	"ʯ"	"6"	"遇-寓愈芋喻-纬-[～纱]"
"y"	"ʯ"	"7"	"入域="
"ba"	"pa"	"1"	"跛-[～子]"
"ba"	"pa"	"3"	"摆"
"ba"	"pa"	"5"	"拜败="
"ba"	"pa"	"7"	"八"
"pa"	"pʰa"	"5"	"派"
"ba"	"ba"	"2"	"排牌簰[筏]"
"ba"	"ba"	"6"	"败-"
"da"	"ta"	"3"	"打"
"da"	"ta"	"5"	"大=[～小；～夫，～黄]戴带"
"da"	"ta"	"7"	"答搭褡达"
"ta"	"tʰa"	"1"	"他="
"ta"	"tʰa"	"5"	"态太泰"
"ta"	"tʰa"	"7"	"踏搨[～本]榻塌溻[～湿了]蹋塔獭"
"da"	"da"	"6"	"大-[～小；～夫，～黄]"
"da"	"da"	"1"	"挪拿=拉"
"na"	"na"	"3"	"哪[～个]乃奶"
"na"	"na"	"5"	"那奈耐=赖=癞=辣"
"na"	"na"	"6"	"耐-赖-癞-"
"na"	"na"	"7"	"纳捺腊蜡[～烛]镴"
"za"	"tsa"	"1"	"斋"
"za"	"tsa"	"5"	"债寨="
"za"	"tsa"	"7"	"眨扎[～针；一～]札[信～]轧[～棉花]摘-杂闸="
"ca"	"tsʰa"	"1"	"叉=杈=差[出～；(文)～别]猜钗"
"ca"	"tsʰa"	"3"	"踩-"
"ca"	"tsʰa"	"5"	"岔=[～路]铡"
