字	发音	声调	注释												
篷	boŋ	2													
嘭	boŋ	6													
瓿	bu	2													
婆	bu	2													
匍	bu	2													
莆	bu	2													
菩	bu	2													
葡	bu	2													
蒲	bu	2													
簿	bu	3													
部	bu	4													
薄	bu	5	~荷												
哺	bu	6													
步	bu	6													
埠	bu	6													
孵	bu	6													
讣	bu	8													
仆	bu	8	~人												
剽	byə	2													
嫖	byə	2													
瓢	byə	2													
朴	byə	2	姓氏												
摽	byə	4													
肮	ɔ	1													
凹	ɔ	1													
拗	ɔ	1	~怒：互相不和												
汪	ɔ	1													
媪	ɔ	3													
拗	ɔ	3	~断												
盎	ɔ	5													
岙	ɔ	5													
坳	ɔ	5													
拗	ɔ	5	~口												
茜	ɕi	1													
西	ɕi	1													
希	ɕi	1													
晞	ɕi	1													
稀	ɕi	1													
犀	ɕi	1													
熙	ɕi	1													
嘻	ɕi	1													
嬉	ɕi	1													
熹	ɕi	1													
羲	ɕi	1													
䂀	ɕi	1													
屎	ɕi	3													
洗	ɕi	3													
玺	ɕi	3													
徙	ɕi	3													
喜	ɕi	3													
蟢	ɕi	3													
显	ɕi	3	程度副词												
写	ɕi	3													
癣	ɕi	3													
铣	ɕi	5													
戏	ɕi	5													
系	ɕi	5	白读 ~统												
潟	ɕi	5													
泄	ɕi	5													
泻	ɕi	5													
设	ɕi	7													
摄	ɕi	7													
歙	ɕi	7													
吸	ɕi	7	~管												
昔	ɕi	7													
析	ɕi	7													
息	ɕi	7													
浠	ɕi	7													
悉	ɕi	7													
淅	ɕi	7													
惜	ɕi	7													
晳	ɕi	7													
晰	ɕi	7													
皙	ɕi	7													
锡	ɕi	7													
熄	ɕi	7													
蟋	ɕi	7													
屑	ɕi	7													
亵	ɕi	7													
卸	ɕia	5													
屑	ɕia	7													
削	ɕia	7													
吸	ɕiai	7													
翕	ɕiai	7													
忻	ɕiaŋ	1													
昕	ɕiaŋ	1													
欣	ɕiaŋ	1													
歆	ɕiaŋ	1													
馨	ɕiaŋ	1													
兴	ɕiaŋ	1													
行	ɕiaŋ	3	白读 ~否：可不可以												
信	ɕiaŋ	5													
衅	ɕiaŋ	5													
兴	ɕiaŋ	5													
休	ɕiau	1													
咻	ɕiau	1													
修	ɕiau	1													
羞	ɕiau	1													
貅	ɕiau	1													
馐	ɕiau	1													
朽	ɕiau	3													
臭	ɕiau	5													
秀	ɕiau	5													
绣	ɕiau	5													
锈	ɕiau	5													
嗅	ɕiau	5													
溴	ɕiau	5													
扇	ɕie	1	~风												
仙	ɕie	1													
先	ɕie	1													
纤	ɕie	1													
籼	ɕie	1													
掀	ɕie	1													
鲜	ɕie	1													
鲜	ɕie	1													
暹	ɕie	1													
些	ɕie	1													
闪	ɕie	3													
陕	ɕie	3													
显	ɕie	3													
险	ɕie	3													
扇	ɕie	5	风~												
苋	ɕie	5													
线	ɕie	5													
献	ɕie	5													
楔	ɕie	7													
歇	ɕie	7													
申	ɕieŋ	1	~冤												
星	ɕieŋ	1													
猩	ɕieŋ	1													
腥	ɕieŋ	1													
醒	ɕieŋ	1													
省	ɕieŋ	3													
圣	ɕieŋ	5													
