#調值	[1] 陰平223 [2] 陽平445 [3]上声31 [5] 陰去35 [6] 陽去324
	
#ɿ
ts[1]知資[3]紫紙指子[5]制汁織
tsʰ[2]池遲祠[5]刺尺[6]字寺治侄直
s[1]師絲[2]時[3]死使[5]世四試失式[6]柿事市十實食石

#i
p[3]比[5]筆逼壁
pʰ[2]皮肥匹[5]屁劈[6]幣被鼻
m[2]煤眉[3]米尾[5]密
t[1]低
tʰ[1]梯[5]剃踢[6]弟遞地笛
l[2]犁梨[3]李[5]立栗律力曆
tɕ[1]雞饑[3]幾嘴[5]寄記醉季急及吉卒極積擊
tɕʰ[1]溪[2]徐騎棋[3]取[5]契器氣七吃[6]去集席
ȵ[2]泥[3]蟻[6]義
ɕ[1]西希[3]洗喜[5]歲戲吸息惜錫[6]系習席
Ø[1]衣[2]移姨[5]意一益[6]藝

#u
p[5]布
pʰ[1]鋪[3]譜[6]簿步
m[3]母[5]木目
f[2]浮[3]府[5]富副佛縛福[6]付父婦服
t[3]賭
tʰ[2]圖[3]土[6]杜讀毒
n[2]奴
l[5]鹿六肉綠[6]路
ts[1]租[5]竹粥足燭
tsʰ[1]初[2]鋤[5]畜[6]族
s[3]數贖[5]數宿縮叔[6]熟
k[3]古[5]骨穀
kʰ[1]箍[3]苦[5]褲哭
x[2]壺[3]虎[6]戶
Ø[1]烏[2]吳[3]五武[5]握屋[6]霧褥

#y
tɕ[1]豬[3]舉主[5]鋸句劇局
tɕʰ[1]區[2]除渠[3]鼠[5]出[6]柱住
ȵ[2]魚[3]女
ɕ[1]書輸[2]屬[3]許[6]豎樹
Ø[2]如余[3]呂雨[5]入玉[6]遇芋裕

#a
p[3]把[5]八
pʰ[2]爬
m[3]馬[6]罵
f[5]法發[6]罰
t[3]打[5]搭
tʰ[5]踏塔[6]達
l[1]拉[5]蠟辣
ts[5]雜閘紮窄
tsʰ[1]車[2]茶[5]插擦
s[1]沙杉[2]蛇[5]殺
k[5]嫁夾
ŋ[2]牙
x[1]蝦[5]瞎[6]下
Ø[3]啞[5]鴨[6]二

#ia
tɕ[1]姐[3]假[5]借甲
ɕ[6]夏
Ø[3]野[6]夜

#ua
k[1]瓜[5]掛刮
x[1]花[2]華[5]化滑[6]畫劃
Ø[3]瓦[5]挖襪[6]話

#o
p[5]撥剝
pʰ[2]婆[5]破潑[6]薄
m[2]磨[5]末摸[6]磨
t[1]多[3]躲
tʰ[1]拖[5]脫托[6]奪
l[2]鑼螺[5]落
ts[3]左[5]做作桌
tsʰ[5]錯著[6]坐鐲
s[3]鎖所[5]索
k[1]歌[3]果[5]個過鴿割各郭角
kʰ[3]可[5]課渴闊殼
ŋ[2]鵝[6]餓
x[2]河[3]火[5]貨霍[6]盒鶴
Ø[5]惡[6]禍

#io
tɕ[5]腳
tɕʰ[5]雀
ȵ[5]弱
ɕ[5]削[6]學
Ø[5]約藥

#ɛ
p[5]北百
pʰ[5]拍[6]白
m[5]墨麥
t[5]得
tʰ[6]特
l[5]熱
ts[5]折側摘
tsʰ[5]撤測拆策[6]賊擇
s[5]設虱塞色[6]射舌
x[2]黑
Ø[2]兒[3]耳

#ie
p[5]憋
pʰ[6]別
m[5]滅篾
t[5]跌
tʰ[5]貼鐵[6]碟
l[5]列
tɕ[3]姐[5]接節結
tɕʰ[2]茄[5]切[6]傑截絕
ȵ[5]孽捏
