字	IPA	调值
玻	po	55
牙	ia	53
牛	niəu	53
窄	tsæ	31
令	lĩ	313
確	tɕʰio	31
棍	kuə̃	313
音	ɕĩ	55
衰	ʂuæ	55
早	tsau	42
申	ʂə̃	55
髮	fa	53
該	kæ	55
銀	ɕĩ	53
遇	ye	313
緊	tɕĩ	42
屈	tɕʰiu	31
百	pæ	31
桃	tʰau	53
義	ie	313
毫	xau	53
辰	ʂə̃	53
經	tɕĩ	55
曹	tsʰau	53
體	tʰie	42
昨	tso	31
京	tɕĩ	55
權	tɕʰyẽ	53
妹	me	313
母	mu	42
祭	tɕie	313
邑	ie	31
宫	koŋ	55
朋	pʰoŋ	53
胸	ɕioŋ	55
斷	tuã	313
平	pʰĩ	53
合	xo	31
别	pe	31
必	pie	31
陷	ɕiẽ	313
溪	ɕie	55
稿	kau	42
棧	tʂã	313
虎	xu	42
常	tʂʰã	53
凳	tə̃	313
丈	tʂã	313
蟬	ʂã	53
萬	vã	313
衣	ie	55
跪	kue	313
暗	ã	313
争	tsə̃	55
系	ɕie	313
核	xæ	31
甜	tʰiẽ	53
尼	nie	53
高	kau	55
叛	pʰã	313
算	suã	313
删	ʂã	55
陵	lĩ	53
符	fu	53
龍	loŋ	53
間	tɕʰyẽ	55
間	tɕiẽ	55
郭	ko	31
席	ɕie	31
而	e	53
給	kɯ	313
鶯	ɕĩ	55
邪	ɕiɪ	53
堅	tɕiẽ	55
由	iəu	53
慢	mã	313
蓬	pʰoŋ	53
順	ʂuə̃	313
沿	iẽ	53
街	kæ	55
羊	iã	53
妓	tɕie	313
蔡	tsʰæ	313
研	niẽ	55
坤	kʰuə̃	55
脆	tsʰue	313
得	tæ	31
離	lie	53
新	ɕĩ	55
蝨	sæ	31
麥	mæ	31
潮	tʂʰau	53
風	foŋ	55
到	tau	313
你	nie	42
空	kʰoŋ	55
等	tə̃	42
茶	tʂʰa	53
凹	ua	55
棲	tɕʰie	55
趙	tʂau	313
要	iau	313
納	na	31
燒	ʂau	55
有	iəu	42
用	ioŋ	313
奶	næ	55
奶	næ	42
祖	tsu	42
蝦	ɕia	55
雄	ɕioŋ	53
儒	ʐu	53
