音标	调类	调值	辖字
kiɛn	1	334	甄
kʰiɛn	1	334	牽
ʔiɛn	1	334	煙
xiɛn	1	334	祆
piɛn	1	334	鞭
pʰiɛn	1	334	篇
fiɛn	1	334	淵[小字]
fʰiɛn	1	334	萱[小字]
tiɛn	1	334	顛
tʰiɛn	1	334	天
tɕʰiɛn	1	334	脠[小字]
ȵiɛn	1	334	拈[小字]
tsiɛn	1	334	箋
tsʰiɛn	1	334	千
siɛn	1	334	仙
tʂiɛn	1	334	餰
kʰiɛn	2	113	乾[小字]
giɛn	2	113	乾[小字]
ɣiɛn	2	113	賢
ɦiɛn	2	113	延
pʰiɛn	2	113	便
biɛn	2	113	便
miɛn	2	113	眠
viɛn	2	113	懸[小字]
ʋiɛn	2	113	員[小字]
tʰiɛn	2	113	田
diɛn	2	113	田
niɛn	2	113	年連[小字]
tɕʰiɛn	2	113	纏[小字]
dʑiɛn	2	113	纏[小字]
tsʰiɛn	2	113	前
dziɛn	2	113	前
ziɛn	2	113	㳄
ʐiɛn	2	113	蟬
liɛn	2	113	蓮
ɻiɛn	2	113	然
kiɛn	3	41	繭
kʰiɛn	3	41	遣
ŋiɛn	3	41	□[齒欠]
ʔiɛn	3	41	蝘
xiɛn	3	41	顯
piɛn	3	41	褊
pʰiɛn	3	41	萹
fiɛn	3	41	遠[小字]
tiɛn	3	41	典
tʰiɛn	3	41	腆
tɕiɛn	3	41	展[小字]
tsiɛn	3	41	剪
tsʰiɛn	3	41	淺
siɛn	3	41	獮
ɣiɛn	4	21	峴
ɦiɛn	4	21	演
miɛn	4	21	緬
tʰiɛn	4	21	殄
diɛn	4	21	殄
niɛn	4	21	撚
tsʰiɛn	4	21	踐
dziɛn	4	21	踐
ziɛn	4	21	□[絲羨]
kiɛn	5	55	見
kʰiɛn	5	55	譴
ʔiɛn	5	55	宴
xiɛn	5	55	□[革顯]
piɛn	5	55	徧
pʰiɛn	5	55	鶣
fiɛn	5	55	怨[小字]
tiɛn	5	55	殿
tʰiɛn	5	55	瑱
tɕiɛn	5	55	戰[小字]
tsiɛn	5	55	箭
tsʰiɛn	5	55	蒨
siɛn	5	55	霰
ŋiɛn	6	11	硯
ɣiɛn	6	11	見
ɦiɛn	6	11	衍
pʰiɛn	6	11	便
biɛn	6	11	便
miɛn	6	11	麫
tʰiɛn	6	11	電
diɛn	6	11	電
niɛn	6	11	睍
tsʰiɛn	6	11	賤
dziɛn	6	11	賤
ziɛn	6	11	羨
liɛn	6	11	練
kiɛt	7	5	結
kʰiɛt	7	5	猰
ʔiɛt	7	5	噎
xiɛt	7	5	□[太一日]
piɛt	7	5	鷩
pʰiɛt	7	5	撆
tiɛt	7	5	窒
tʰiɛt	7	5	鐵
tɕiɛt	7	5	折[小字]
ŋiɛt	8	24	齧
ɣiɛt	8	24	纈
ɦiɛt	8	24	枻
pʰiɛt	8	24	蹩
biɛt	8	24	蹩
tʰiɛt	8	24	姪
diɛt	8	24	姪
niɛt	8	24	涅
liɛt	8	24	劣
