#ɿ				
ts	[1]咨[5]梓			
tsʰ	[2]瓷迟慈磁辞词嗣[5]楚次寺			
s	[1]斯			
#i				
p	[1]碑卑蓖[2]脾庇[3]比[5]臂譬蔽闭箅陛泌痹篦[6]彼婢鄙=弊币毙备杮-{~柴}			
pʰ	[1]披坡丕[2]琵枇[3]被={~动}			
b	[2]迷-{~失}媚[6]寐			
m	[2]糜迷={~惘}谜			
t	[1]诸朱蛛猪[2]除锄[6]箸伫弟痔治{~安}			
tʰ	[2]啼-{鸡~}痴[5]剃			
n	[1]弥[2]倪尼[3]拈			
l	[1]鲤[2]离篱{~笆}璃驴厘[3]旅汝你[5]吕滤李吏铝[6]荔虑例历{严厉}励丽隶履利痢			
ts	[1]祀知{~识}支={~持}肢姿脂之芝[2]薯餈[3]这姊煮挤止[5]智际制製济剂聚致旨至置址志痣			
tsʰ	[1]趋稚痴[2]驰池{水~}徐持[[3]超鼠齿始[5]超试-式刺[6]饲-{~鸡：喂鸡}			
s	[1]试={考试}施犀须需死尸诗[2]匙时[3]氏叙绪世{~界，出~}誓逝四肆肄[5]是序势系示视市			
dz	[6]二贰字			
v	[2]微[3]米[6]昧味			
k	[1]支-{两~}己幾-{~乎，~何}机譏枝肌基箕[2]棋旗[3]拒矩妓举[5]铝巨距寄={~寓}继髻纪记杞忌既季[6]据已			
kʰ	[1]枢驱岐欺[2]栀奇={~怪}骑={~兵}其期啼={~哭}祈[3]技起岂[5]去俱具启弃汽[6]器柿-{~子}			
ŋ	[6]语			
h	[1]那嘘墟虚犠兮熙嘻希稀[2]鱼渔[3]系喜[5]戏系係			
0	[1]尹依[2]禹仪儿宜谊移伊夷姨而疑怡寅凝[3]倚椅雨={谷~}[5]议意异[6]遇艺义易耳以毅			
#u				
p	[2]瓠煲[3]腑俯[5]斧釜富妇-{新~}[6]孵			
pʰ	[2]葡菩辅[3]殕			
v	[2]牛[3]武舞[6]务			
t	[1]都{~是，首~}苎蛛堆[2]厨橱[3]堵[5]杜			
tʰ	[2]涂			
l	[2]卢庐[3]鲁[5]虏			
ts	[1]诛株珠[3]主紫[5]署注蛀铸着注[6]自			
tsʰ	[2]祠[5]处{~理}处{~所}此耻厝[6]住			
s	[1]舒输师饲={~料}[2]殊[3]史墅[5]素诉暑竖赐树=[6]柿{~霜}士仕事数={数学}			
ʒ	[1]预[2]愉如于余与予儒於[6]誉豫寓宇羽喻裕			
k	[1]箍[3]久韭[5]句[6]舅旧			
kʰ	[1]区{地~，姓~}丘{一丘，姓}[2]跍			
h	[1]麸夫肤敷芙呼[2]浮={~夸}湖{西~}壶瓠糊俘符扶池-{~塘}[3]府浒乎[5]沪付咐赋赴附妇={~女}[6]互跗户护傅{师~，姓}腐{~败，豆~}副负			
0	[1]巫诬侮[2]娱抚[5]鹉雾[6]有			
#a				
p	[1]疤吧[3]把={~握}[5]霸坝			
pʰ	[5]罢[6]泡疱			
m	[3]妈			
n	[1]哪{~吒}[6]那={~英}			
l	[1]拉			
ts	[3]爪={手~}[5]诈炸			
tsʰ	[1]差叉[2]柴樵			
dz	[6]也			
k	[1]铰胶[3]狡[5]教{~书，~师}校{学校}[6]咬			
kʰ	[1]骹[5]窍			
h	[5]孝-{戴~}			
0	[1]阿{~胶，~爸}鸦丫桠[5]坳			
#ia				
l	[2]掠			
ts	[1]遮[3]者[5]蔗			
tsʰ	[1]车赊[2]斜[5]且			
s	[2]邪畲[3]写[5]舍[6]社洒谢射麝			
k	[2]□{举起}[5]寄-{~存}			
kʰ	[2]奇-{~数}骑-{~马}[6]拘企徛			
ŋ	[2]崖			
h	[1]桸			
0	[2]衙[3]野[5]雅			
#ua				
p	[3]簸{~箕}			
pʰ	[5]破破暴曝			
m	[2]麻痲			
t	[5]戴带[6]大{~夫，~小}			
tʰ	[1]拖			
ts	[2]蛇[3]纸			
tsʰ	[5]蔡[6]娶			
s	[1]沙纱痧砂[3]徙			
k	[5]寡挂卦盖-{杯~}			
kʰ	[1]夸垮[5]跨			
h	[2]华{中~}[5]华{~山}			
0	[2]磨-{~刀}[3]我娃[6]外			
#e				
p	[1]批{螺丝~}			
pʰ	[1]批{~评}[3]稗{~子}			
b	[1]买[3]卖			
t	[2]堤题提[3]底短[5]抵帝[6]代-{朝~}袋第地			
tʰ	[1]胎[2]蹄啼[3]体[5]退替代={~办}			
l	[2]螺犁黎[3]礼里理			
ts	[1]穧{多}[2]齐[3]姐[5]榨[6]坐座侪			
tsʰ	[1]妻初-{~七}			
s	[1]疏舐梳-{~头}[3]洗[5]细			
k	[1]街鸡[3]改-{~改}戒-{~烟}解[5]计			
