字	片	区	小片	方言点	声母	韵母	调值	调类	备注
丈	海外閩語			曼谷(潮州話)	ts	iaŋ	35	陽上	
丘	海外閩語			曼谷(潮州話)	kʰ	u	33	陰平	
丹	海外閩語			曼谷(潮州話)	t	ũã	33	陰平	
乖	海外閩語			曼谷(潮州話)	k	uai	33	陰平	
亦	海外閩語			曼谷(潮州話)	z	a	11	陽去	
亲	海外閩語			曼谷(潮州話)	tsʰ	iŋ	33	陰平	
人	海外閩語			曼谷(潮州話)	l	aŋ	55	陽平	
他	海外閩語			曼谷(潮州話)	tʰ	a	33	陰平	
付	海外閩語			曼谷(潮州話)	h	u	11	陽去	
仝	海外閩語			曼谷(潮州話)	t	aŋ	55	陽平	
仪	海外閩語			曼谷(潮州話)	g	i	55	陽平	
伊	海外閩語			曼谷(潮州話)	z	i	33	陰平	
余	海外閩語			曼谷(潮州話)	0	ɤ	55	陽平	
候	海外閩語			曼谷(潮州話)	h	au	11	陽去	
傅	海外閩語			曼谷(潮州話)	h	u	11	陽去	
傻	海外閩語			曼谷(潮州話)	s	a	35	陽上	
像	海外閩語			曼谷(潮州話)	tsʰ	ĩẽ	35	陽上	
儒	海外閩語			曼谷(潮州話)	z	u	33	陰平	
兆	海外閩語			曼谷(潮州話)	t	iau	35	陽上	
共	海外閩語			曼谷(潮州話)	k	aŋ	11	陽去	
冒	海外閩語			曼谷(潮州話)	m	au	35	陽上	
冫	海外閩語			曼谷(潮州話)	p	ĩã	33	陰平	
冬	海外閩語			曼谷(潮州話)	t	aŋ	33	陰平	
利	海外閩語			曼谷(潮州話)	l	i	35	陽上	
制	海外閩語			曼谷(潮州話)	ts	i	213	陰去	
刺	海外閩語			曼谷(潮州話)	tsʰ	iŋ	213	陰去	
力	海外閩語			曼谷(潮州話)	l	aʔ	5	陽入	
努	海外閩語			曼谷(潮州話)	n	o	213	陰去	
動	海外閩語			曼谷(潮州話)	t	aŋ/uŋ	35/213	陽上/陰去	
勘	海外閩語			曼谷(潮州話)	kʰ	am	33	陰平	勘探、勘誤讀音亦同。
匣	海外閩語			曼谷(潮州話)	0	ap	5	陽入	箱匣。
千	海外閩語			曼谷(潮州話)	tsʰ	õĩ	33	陰平	
华	海外閩語			曼谷(潮州話)	h	ue	55	陽平	
单	海外閩語			曼谷(潮州話)	t	ũã	33	陰平	單獨。
卫	海外閩語			曼谷(潮州話)	0	ue	35/11	陽去陽上	
叉	海外閩語			曼谷(潮州話)	tsʰ	a	33	陰平	
双	海外閩語			曼谷(潮州話)	s	aŋ	33	陰平	
