字	音	注释
日	ni31	~头火；~头雨；晒~头火；~杂店
头	tʰou24	日~火；日~雨
火	fo33	日头~；□~罐；~气冲上；~石；生~；晒日头~；□~；~车
月	ny31	~公；~公撑伞；~份
公	koŋ35	月~；月~撑伞；鸡~；鸭~；□~老；太~；~；外~；家~；~婆；手指~；~平；两~婆；俩~
阴	in35	~着
着	tɕiɛ35	阴~
撑	tsʰəŋ35	月公~伞
伞	san33	月公撑~
星	səŋ35	~子；北斗~；天光~；扫竿~
子	tsei33	星~；星~射箭；日~；碾~；稗~；朝阳花~；莲~；甜~笋；桃~；李~；枣~；梨~；柑~；狮~；猴~；豹~；燕~；鸽~；蚊~□；屎蚊~；蚊~；牛蚊~；窗~；椅~；小箱~；末~；碟~；盘~；钉~；斗~；锥~；狗鼻~；舌~；脚肚~；腰~；药引~；打摆~；麻~；聋~；哑~；瞎~；半牙~；领~；包~；窗~门口
北	pə4	
斗	tʰou33	北~星
天	tʰin35	~光星
光	koŋ35	天~星；响天~
白	pʰei24	~露；~云
露	lu53	白~；~水
星	səŋ31	~子射箭
射	ɕuɛ31	
箭	tɕin33	
扫	su33	~竿星；~管茎
竿	kuan33	扫~星；竹~
大	tai31	~风；涨~水；~水；发~水；小~暑；小 ~雪；小 ~寒；~年初一；月~；~头鱼；~门；~伯伯；堂~姐；~舌□；~牙；~米饭；~蜡烛；~门口；~家；~青
风	fəŋ35	大~；有点~；圈圈~；顺~；起~；停~；飘~雨；~炉；~□
有	iou33	
点	ni53	有~风
圈	tsʰuan33	~圈风；圈~风；□~；手~
顺	ɕun53	~风
起	ɕi33	~风；~鸡痱子；绑~来；关~来；□不~；爬~来；捡~来；想~来了；一~
停	tən24	~风；~雨
云	uən24	
黑	xə35	~云；~板
响	toŋ33	~雷
雷	lei24	响~
□	u33	~la33iɛ35：闪电
□	la33	u33~iɛ35：闪电
□	iɛ35	u33la33~：闪电
雨	y33	
下	xa53	~雨了；~雾；~午；~半夜；乡~人；~人；鸡~水；以~；□~去
了	liao33	下雨~；雪融~；病好~；□~；饭熟~
小	ni53	~雨；~红豆；~箱子；~鏛；~家伙；~老婆；~骨头；~肚；~病；生~人；~票
大	tai33	~雷暴；~碗；老~人；~□；~腿；~瓮；~票；~字
雷	le24	大~暴
暴	pao33	大雷~
毛	mu24	~毛雨；毛~雨；鸡~刷；眼睫~；鼻~；寒~
飘	pʰiu35	
呕	ŋo53	
龙	lioŋ24	~
鼻	pʰə24	~涕流；~窟窿；~涕；~涕脓；~□；狗~子；酒糟~孔
涕	tei31	鼻~流
流	liao24	鼻涕~
挨	nai24	~雨淋
淋	lən24	挨雨~；~粪
雹	pao24	
子	tsei53	雹~；沙~；金~；银~
挂	kuo53	~雪
雪	su33	
下	xa33	~雪；女~人；~巴；~□；~馆；~课；~
