IPA	调类	调值	字
to	1	33	多
tʰo	1	33	拖
tʰa	6	21	大
lo	2	13	锣螺
tso	3	42	左
ko	1	33	歌
ko	5	24	个过
kʰo	3	42	可渴
ŋo	2	13	鹅
ŋo	6	21	饿
xo	2	13	河
tɕʰia	2	13	茄[白]
pʰo	5	24	破
pʰo	2	13	婆
mo	2	13	磨
mo	6	21	磨
to	3	42	躲
tsʰo	6	21	坐
so	3	42	锁所
ko	3	42	果
kʰo	5	24	课
xo	3	42	火
xo	5	24	货
xo	6	21	祸
ɕye	1	33	靴
pa	3	42	把
pʰa	2	13	爬
ma	3	42	马
ma	6	21	骂
tsʰa	2	13	茶
sa	1	33	沙杉
tɕia	3	42	假姐
tɕia	5	24	嫁
ŋa	2	13	牙[白]
xa	1	33	虾[白]
ɕia	6	21	下夏
ŋa	3	42	哑[白]
tɕie	5	24	借
ɕie	3	42	写
ɕie	2	13	斜
ɕie	6	21	谢
tsʰe	1	33	车
se	2	13	蛇
sa	6	21	射[白]
Ǿia	2	13	爷[白]牙[文]
Ǿie	3	42	野
Ǿia	6	21	夜[白]
kua	1	33	瓜
Ǿua	3	42	瓦
fa	1	33	花
fa	5	24	化
fa	2	13	华
pʰu	3	42	谱
pu	5	24	布
pʰu	1	33	铺
pʰu	7	45	簿
pʰu	6	21	步
təu	3	42	赌抖
tʰəu	3	42	土
tʰəu	2	13	图头
tʰəu	6	21	杜豆
ləu	2	13	奴楼
ləu	6	21	路
tsəu	1	33	租州
tsəu	5	24	做
tsʰo	5	24	错
ku	1	33	箍
ku	3	42	古
kʰu	3	42	苦
kʰu	5	24	裤
Ǿu	2	13	吴
Ǿu	3	42	五武
fu	3	42	虎府
fu	2	13	壶浮[文]
fu	6	21	户父妇
Ǿu	1	33	乌
ȵy	3	42	女
ly	3	42	吕
ɕi	2	13	徐
tɕy	1	33	猪
tɕʰy	2	13	除渠
tsʰəu	1	33	初抽
tsʰəu	2	13	锄绸愁
ɕy	1	33	书输
ɕy	3	42	鼠许
Ǿy	2	13	如鱼余
tɕy	3	42	举主
tɕy	5	24	锯句剧
kʰe	5	24	去[白]
fu	5	24	付富副
Ǿu	6	21	雾
