// HSD Syllabary Data Partition
// 地区：陝西省-榆林市-綏德縣-義合鎮
// 来源：黑維強《綏德義合話同音字彙》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-榆林市-綏德縣-義合鎮
@SRC	黑維強《綏德義合話同音字彙》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	z	tʂ	k	kʰ	x	∅
@FIN	a
@TON	陽平	33
@TON	陰平上	213
@TON	去聲	52

// Initial	Final	Tone	CharList (Space separated)
p	a	陽平	爸 八 捌 拔 跋
p	a	陰平上	巴 芭 疤 屙{~尿} 靶 把{~握} 趴{圪~} 叭 八{張~李九}
p	a	去聲	霸 灞 把{刀~} 壩 耙{~地} 罷 吧 □{~起：撅起} 八{~叉開}
pʰ	a	陽平	爬 琶 把 耙{~子} 帕 趴{馬~}
pʰ	a	去聲	怕 啪
m	a	陽平	麻 嘛 蟆 媽{~蚱} 抹{~下} 馬{~虎} 嗎 嘛 麼{什~}
m	a	陰平上	馬 碼 瑪 螞{~蟻}
m	a	去聲	罵
f	a	陽平	法 乏 發 伐 筏 閥 罰 砝{~碼}
v	a	陽平	蛙 娃 襪 哇 媧 鴰{老~}
v	a	陰平上	瓦{磚~} 洼{~泊子} 挖 窪 窊 攃
v	a	去聲	弧 哇 瓦{~房皮} 洼{~地} 凹{~下一地}
t	a	陽平	答 搭 塔 噠 瘩 達
t	a	陰平上	爹 撣{雞毛~子} 打
t	a	去聲	大 搭{一~~里} 打{看~}
tʰ	a	陽平	踏 蹋 拓 沓 塔 榻 塌 湯 踢 塌{邋~} 褐{~水的} 署{~署~}
tʰ	a	陰平上	他 她 它
n	a	陽平	拿 納 吶 訥 娜
n	a	陰平上	那
n	a	去聲	捺 □{~你呀}
l	a	陽平	拉 垃{~圾} 臘 蠟 邋 刺 辣 落{丟}
l	a	陰平上	哪 邋{~邋}
l	a	去聲	拉{~話} 旯{旮~}
ts	a	陽平	雜 炸{~油糕} 鍘 剳 札 扎 砸 匝 咂 煤{~粉} 睫{眼~毛}
ts	a	陰平上	渣 怎 炸 踏{~下腳蹤囕} 詐{以言語誆出} 劄{刀子~}
