汉字	注释	音标
多		to1
大		ɾ̥ʰa5
锣		lo2
歌		ko1
饿		ŋo5
河		xʰo2
茄	~子	tɕʰye2
破		pʰo5
婆		xʰo2
朵		to3
骡		lo2
坐		sʰo5
科		kʰo1
卧		ŋo5
火		xo3
靴		ɕia1
爬		fʰa2
麻		ma2
茶		sʰa2
沙		sa1
家		kia1
下	~面	xʰa5
哑		ŋo3
借		tɕia5
写		ɕia3
谢		ɕʰia5
车		tsʰa1
蛇		sʰa2
社		sʰa5
夜		ia5
傻		sa3
瓜		kua1
瓦		ŋa3
花		xua1
蛙		ua1
布		pu5
步		fʰu5
墓		mo5
土		tʰu3
怒		nu5
路		lu5
粗		tsʰu1
苏		su1
古		ku3
苦		kʰu3
虎		xu3
女		ȵy3
吕		ly3
蛆		tɕʰy1
徐		ɕʰy2
猪		tɕy1
除		ɕʰy2
初		tsʰy1
煮		tɕy3
锄		ɕʰy2
书		ɕy1
如		y2
居		tɕy1
去		tɕʰy5
鱼		ȵy2
余	节~	y2
斧		xu3
父		fʰu5
武		u3
趣		tɕʰy5
须		ɕy1
柱		ɕʰy3
数	~一遍	su3
主		tɕy3
竖		ɕʰy3
句		tɕy5
遇		ȵy5
雨		y3
来		lə2
在		sʰɛ5
改		kɛ3
开		kʰɛ1
海		xɛ3
爱		ɛ5
贝		pei5
太		tʰɛ5
蔡		tsʰɛ5
盖		kɛ5
害		sʰɛ5
拜		pɛ5
排		fʰɛ2
斋		tsɛ1
街		kɛ1
界		kɛ5
牌		fʰɛ2
买		mɛ3
柴		sʰɛ2
筛	~子	sɛ1
解	~开	kɛ3
鞋		xʰɛ2
矮		ɛ3
败		fʰɛ5
币		pi5
祭		tɕi5
制		tɕi5
世		ɕi5
艺		ȵi5
闭		pi5
米		mi3
梯		tʰi1
弟		ɾ̥ʰi3
泥		ȵi2
犁		li2
妻		tɕʰi1
洗		ɕi3
鸡		tɕi1
系	联~	ɕi5
翳	目~	i5
妹		mei5
腿		tʰei3
雷		lei2
罪		sʰei5
碎		sei5
块		kʰuɛ5
灰		xuei1
会		tsei5
最		fʰei5
怪		kuɛ5
坏		fʰɛ5
挂		kua5
画		ua5
快		kʰuɛ5
话		ua5
肺		xuei5
脆		tsʰei5
税		sə5
鳜		kuei5
锐		luei5
桂		kuei5
慧		xʰuei5
碑		pei1
皮		fʰi2
紫		tsɿ3
刺		tsʰɿ5
知		tɕʅ1
支		tɕi1
儿		ɚ2
骑		ɕʰi2
牺		ɕi1
椅		i3
比		pi3
美		mei3
地		ɾ̥ʰi5
资		tsɿ1
死		sɿ3
迟		ɕʰi2
师		sɿ1
屎		ɕi3
饥		tɕi1
姨		i2
二		ɚ5
你		ȵi3
李		li3
字		sʰɿ5
寺		sʰɿ5
治		ɕʰi5
事		sʰɿ5
使		sɿ3
诗		sɿ1
耳		ɚ3
基		tɕi1
喜		ɕi3
医		i1
气		tɕʰi5
稀		ɕi1
衣		i1
嘴		tsei3
