#ɿ
ts[1]知资姿咨滋之芝[3]紫姊子[5]治殖植
tsʰ[1]疵[2]池瓷糍慈磁辞词祠饲[3]雌此持[5]刺赐次
s[1]斯撕施私师狮蛳司丝思诗[2]时{又音}[3]厮死[5]氏四肆视伺士仕试市{又音}[6]豉自字寺柿事[7]是
tʃ[5]誌

#i
p[2]皮疲脾琵枇[3]彼比匹[4]被不[5]泌[6]蔽弊币毙蓖闭婢避庇痹备鼻篦[7]笔毕必滗逼碧璧僻闢壁{墙壁}
pʰ[1]批披[2]痞[3]鄙[5]屁
m[2]迷谜弥眉楣[4]米糜[6]秘密觅[7]蜜
t[1]低[2]堤屉题提蹄啼弟迟惕[3]底抵[5]蒂笛敌狄涤[6]帝第递地[7]的滴
tʰ[1]梯[3]体[5]替剃[7]剔
n[2]泥泥霓尼呢[4]你[6]腻溺
l[2]犁黎离篱璃离梨厘狸粒栗曆[4]礼李里裏理鲤[6]厉励丽隶荔利痢吏笠历[7]立
tsʰ[2]驰
tʃ[1]鸡稽蜘支枝肢奇{奇数}脂饥肌基机讥饑[3]挤纸只雉旨指几耻止趾址己纪杞几[5]制製祭际济计继智翅寄致稚至鳍置志痣记忌既季蛰执汁秩直{文读}极籍[6]痔[7]剂技妓质集辑急级及吸疾吉即鲫{文读}值织职戟积迹脊绩寂击激
tʃʰ[1]妻凄淒栖欺[2]齐脐奇{奇怪}骑鳍其棋期旗麒祈[3]启齿起岂[5]砌契企歧器气汽[6]侄[7]七漆乞戚
ʃ[1]西犀溪牺尸嬉熙希稀[2]奚匙{白读}时{又音}席[3]洗玺徙屎使史驶始喜悉[5]世势誓逝细系繫係匙{文读}戏示弃市{又音}蚀夕[6]十拾实室[7]习袭湿失恤息熄媳识式饰适释锡析
k[3]诡轨鬼[5]贵
kʰ[5]去[6]跪柜
∅[1]医衣依[2]宜移夷姨疑[3]椅[5]艺瞖谊易意[6]义议二贰已逆译[7]以异遗揖乙一逸忆亿抑翼益液

#u
p[3]补[5]布佈[6]部簿步捕
pʰ[1]铺扑[2]蒲脯葡朴蔔卜[3]谱圃普浦甫[5]舖怖
m[4]母拇[6]慕墓募幕睦
f[1]呼夫肤麸[2]胡湖狐壶乎葫鬍蝴糊符扶芙佛[3]火虎浒府腑俯脯斧抚腐获複腹[5]户互护付傅咐附驸富副妇负[6]戽釜[7]父
t[1]都{都城}[2]徒屠途涂图突督[3]堵赌秃[4]肚[6]妒度渡镀[7]杜
tʰ[3]土[5]吐吐兔
n[3]奴[4]努鲁橹[6]怒
l[2]炉庐鹿禄录[4]卤[6]路露露鹭
ts[1]租[3]祖组阻[5]做助奏咒族逐轴[7]纣宙胄卒卒筑祝粥足烛嘱触
tsʰ[1]粗初[2]锄[3]楚础[5]醋[7]畜{畜生}
s[1]苏酥梳疏蔬[3]数[5]素诉塑数宿漱淑俗属[7]数速肃宿缩叔粟
k[1]锅姑孤箍鸪辜[3]古估牯股鼓[5]过故固雇顾[7]骨谷
kʰ[1]枯窟[3]苦[5]库裤[7]酷
∅[1]乌污诬[2]吴蜈吾梧悟无物握[3]坞[4]侮鹉[6]误务雾戊

#y
t[1]猪[2]槌锤[4]柱[6]驻註住坠
n[4]女
l[2]驴律[4]吕旅履[6]虑滤例率
tʃ[1]居车{车马炮}诛蛛株朱硃珠驹锥[3]煮举主矩嘴[5]著锯{又音}据{又音}巨拒聚注蛀铸俱具缀赘醉[7]惧橘剧菊鞠
