字	声母	韵母	调值	调类	备注
七	tsʰ	it	21	阴入	
三	s	a	33	阴平	
上	ts	iu	11	阳去	上面
丑	tsʰ	au	13	上声	
专	ts	in	33	阴平	
且	tsʰ	ia	13	上声	
丙	p	eŋ	13	上声	
业	ŋ	ip	53	阳入	
东	t	aŋ	33	阴平	
两	n	iu	13	上声	几两
並	p	ieŋ	11	阳去	
中	t	aŋ	33	阴平	当中
串	tsʰ	iu	213	阴去	
主	ts	u	13	上声	
丼	ts	ai	13	上声	
丽	l	ɐi	33	阴平	
举	k	i	13	上声	
久	k	u	55	阳平	
义	ŋ	i	11	阳去	
之	ts	i	55	阳平	
乐	ŋ	ok	21	阴入	音乐
九	k	ɐu	13	上声	
乞	kʰ	it	21	阴入	
习	ts	ap	21	阴入	
乡	h	iu	33	阴平	
书	ts	u	33	阴平	
买	m	e	11	阳去	
乱	n	ui	11	阳去	
亂	n	ui	11	阳去	
了	l	iau	13	上声	了结
事	s	u	11	阳去	
亏	kʰ	uɐi	55	阳平	
五	ŋ	ɔ	33	阴平	
井	ts	ai	13	上声	
亖	s	i	33	阴平	
亡	m	ɔŋ	11	阳去	
交	k	au	33	阴平	
产	tsʰ	an	13	上声	
享	h	iɔŋ	13	上声	
京	k	ieŋ	33	阴平	
亭	tʰ	eŋ	55	阳平	
亯	h	iɔŋ	13	上声	
仁	ŋ	in	55	阳平	
仅	k	ɐn	13	上声	
仇	tsʰ	au	11	阳去	
介	k	ai	33	阴平	
仓	tsʰ	ou	33	阴平	
仙	s	in	33	阴平	
令	l	eŋ	11	阳去	
件	k	in	11	阳去	
任	ŋ	im	11	阳去	主任
企	kʰ	ia	13	上声	
伐	f	at	21	阴入	
传	ts	in	33	阴平	传记
伤	s	iɔŋ	55	阳平	
伪	ŋ	ɐi	33	阴平	
伴	pʰ	ua	11	阳去	
伸	tsʰ	un	33	阴平	
似	tsʰ	u	13	上声	
佀	tsʰ	u	13	上声	
低	t	e	33	阴平	
住	t	iu	11	阳去	
佔	s	iam	213	阴去	
佛	p	ut	53	阳入	
作	ts	ɐu	213	阴去	
佳	k	ai	33	阴平	
使	s	ɐi	13	上声	
來	l	ɐi	55	阳平	
例	l	e	11	阳去	
侍	s	u	11	阳去	
侧	tsʰ	iek	21	阴入	
侨	kʰ	iu	55	阳平	
侯	h	ou	55	阳平	
侵	tsʰ	ɐm	55	阳平	
便	pʰ	i	33	阴平	便宜
俗	s	ok	21	阴入	
保	p	ɔ	13	上声	
信	s	in	213	阴去	
修	s	iu	33	阴平	
俻	p	i	33	阴平	
倉	tsʰ	ou	33	阴平	
個	k	ɐi	55	阳平	一个人
倒	t	ɔ	13	上声	打倒
倦	k	in	33	阴平	
债	ts	ai	33	阴平	
倾	kʰ	eŋ	55	阳平	
假	k	ɐi	13	上声	真假
側	tsʰ	iek	21	阴入	
偶	ŋ	ɐu	13	上声	
偷	tʰ	au	33	阴平	
傑	k	it	21	阴入	
備	p	i	33	阴平	
傳	ts	in	33	阴平	传记
債	ts	ai	33	阴平	
傷	s	iɔŋ	55	阳平	
傾	kʰ	eŋ	55	阳平	
僅	k	ɐn	13	上声	
僊	s	in	33	阴平	
僑	kʰ	iu	55	阳平	
僞	ŋ	ɐi	33	阴平	
僻	pʰ	ek	53	阳入	
儀	ŋ	i	55	阳平	
兂	ts	ɐm	55	阳平	
兄	h	ia	33	阴平	
充	tsʰ	oŋ	55	阳平	
先	s	ai	33	阴平	
光	k	ui	33	阴平	
克	kʰ	ak	53	阳入	
免	m	in	13	上声	
兒	ts	i	55	阳平	
入	ts	ip	53	阳入	
內	l	ɐi	11	阳去	
全	tsʰ	in	55	阳平	
兩	n	iu	13	上声	几两
八	p	aiʔ	21	阴入	
公	k	oŋ	33	阴平	
六	l	ak	53	阳入	
兰	l	an	55	阳平	
关	k	ua	33	阴平	
兴	h	ɐŋ	55	阳平	兴旺
兵	p	ieŋ	33	阴平	
典	t	in	13	上声	
兼	k	im	33	阴平	
兽	s	ɐu	33	阴平	
内	l	ɐi	11	阳去	
冊	tsʰ	ɐiʔ	21	阴入	
册	tsʰ	ɐiʔ	21	阴入	
写	s	ia	13	上声	
军	k	uɐn	55	阳平	
农	n	oŋ	11	阳去	
冠	k	un	55	阳平	
冰	p	ieŋ	33	阴平	
准	ts	un	13	上声	
凤	h	oŋ	33	阴平	
凷	k	ou	213	阴去	
函	h	am	11	阳去	
刀	t	ɔ	33	阴平	
分	p	un	33	阴平	
刘	l	au	55	阳平	
则	ts	ɐk	53	阳入	
创	tsʰ	ou	33	阴平	
初	tsʰ	au	55	阳平	
判	pʰ	un	33	阴平	
別	p	it	21	阴入	
刮	k	oi	21	阴入	
到	k	ɐu	213	阴去	
刻	kʰ	ak	53	阳入	
刾	tsʰ	i	213	阴去	
剃	tʰ	i	213	阴去	
則	ts	ɐk	53	阳入	
削	s	iok	21	阴入	
前	ts	ai	55	阳平	
剔	tʰ	ek	53	阳入	
剧	kʰ	ek	21	阴入	剧烈,戏剧
剩	s	in	11	阳去	
剪	ts	in	13	上声	
割	k	uaʔ	21	阴入	
創	tsʰ	ou	33	阴平	
劇	kʰ	ek	21	阴入	剧烈,戏剧
劈	pʰ	iek	21	阴入	
劉	l	au	55	阳平	
劍	k	iam	213	阴去	
劒	k	iam	213	阴去	
劔	k	iam	213	阴去	
劝	h	in	213	阴去	
办	p	an	33	阴平	
加	k	a	33	阴平	
务	m	u	33	阴平	
劣	l	it	21	阴入	
动	t	oŋ	33	阴平	
助	ts	ɔ	11	阳去	
劫	k	iap	21	阴入	
励	l	ɐi	33	阴平	
劳	l	ou	11	阳去	
勋	f	ɐn	55	阳平	
勒	l	ɐk	21	阴入	
務	m	u	33	阴平	
勛	f	ɐn	55	阳平	
勝	s	eŋ	33	阴平	胜任
勞	l	ou	11	阳去	
募	m	ou	33	阴平	
勤	k	in	55	阳平	
勳	f	ɐn	55	阳平	
勵	l	ɐi	33	阴平	
勸	h	in	213	阴去	
化	h	ua	213	阴去	
北	p	ak	21	阴入	
匹	p	ɐt	53	阳入	
十	ts	iap	53	阳入	
升	s	eŋ	55	阳平	
半	p	ua	213	阴去	
协	h	ip	53	阳入	
協	h	ip	53	阳入	
卖	m	e	11	阳去	
南	n	am	55	阳平	
博	p	ɔk	21	阴入	
卜	p	ok	53	阳入	
卤	s	ɐi	33	阴平	
卥	s	ɐi	33	阴平	
卦	k	ua	213	阴去	
危	ŋ	ai	55	阳平	
即	ts	ɐk	53	阳入	
卵	n	ui	33	阴平	
卽	ts	ɐk	53	阳入	
厅	tʰ	ia	33	阴平	
历	l	ek	21	阴入	
厉	l	i	33	阴平	
压	ŋ	ap	21	阴入	
厚	k	ɐu	11	阳去	
厲	l	i	33	阴平	
及	k	ap	21	阴入	
发	h	uot	21	阴入	头发
叔	ts	ok	53	阳入	
取	tsʰ	i	13	上声	
受	s	iu	11	阳去	
变	p	i	213	阴去	
叚	k	ɐi	13	上声	真假
口	kʰ	au	13	上声	
句	ŋ	au	55	阳平	
叫	k	iu	213	阴去	
可	kʰ	o	13	上声	
叶	h	ip	53	阳入	
司	s	i	33	阴平	
各	k	ouʔ	21	阴入	
同	tʰ	aŋ	55	阳平	
吏	l	i	11	阳去	
吞	tʰ	un	33	阴平	
吟	ŋ	im	55	阳平	
吪	ŋ	ɔ	11	阳去	
吹	tsʰ	oi	55	阳平	
告	k	au	213	阴去	
周	ts	au	55	阳平	
味	b	i	11	阳去	
命	m	ia	11	阳去	
品	p	an	13	上声	
响	h	iu	13	上声	
哥	k	ɐu	55	阳平	
哭	kʰ	au	213	阴去	
哲	ts	it	21	阴入	
唐	tʰ	ɔŋ	55	阳平	
唱	tsʰ	iu	213	阴去	
問	m	ui	213	阴去	
啺	tʰ	ɔŋ	55	阳平	
啼	tʰ	i	55	阳平	
喆	ts	it	21	阴入	
喚	h	un	33	阴平	
喜	h	i	13	上声	
單	t	an	55	阳平	
喷	p	un	213	阴去	喷水
嗁	tʰ	i	55	阳平	
嘗	s	iu	55	阳平	
噴	p	un	213	阴去	喷水
嚞	ts	it	21	阴入	
嚾	h	un	33	阴平	
囊	n	ou	55	阳平	
囚	tsʰ	ɐu	11	阳去	
四	s	i	33	阴平	
团	tʰ	in	55	阳平	
囤	t	un	13	上声	
困	k	uɐn	33	阴平	
国	h	ɔk	21	阴入	
图	tʰ	ɔ	55	阳平	
國	h	ɔk	21	阴入	
園	h	ui	55	阳平	
圖	tʰ	ɔ	55	阳平	
團	tʰ	in	55	阳平	
均	k	ɐn	55	阳平	
坐	ts	ai	11	阳去	
坑	kʰ	ai	33	阴平	
块	k	ou	213	阴去	
坣	t	ou	55	阳平	
坤	kʰ	uɐn	55	阳平	
坦	tʰ	an	33	阴平	
坼	tʰ	iaʔ	21	阴入	
垂	s	oi	11	阳去	
垕	k	ɐu	11	阳去	
垦	h	ɐn	13	上声	
埋	m	ai	55	阳平	
城	s	ia	55	阳平	
基	k	i	33	阴平	
埽	s	au	213	阴去	扫地
堂	t	ou	55	阳平	
堆	t	un	33	阴平	
堖	n	ɔ	13	上声	
堡	p	ou	13	上声	
堢	p	ɔ	13	上声	
報	p	ɔ	213	阴去	
塊	k	ou	213	阴去	
塍	tsʰ	ɐŋ	55	阳平	
塔	tʰ	ap	21	阴入	
塖	tsʰ	ɐŋ	55	阳平	
塗	tʰ	ɔ	55	阳平	
塘	t	ou	55	阳平	
填	t	in	55	阳平	
塵	t	in	55	阳平	
墓	m	ɔ	11	阳去	
增	ts	ieŋ	55	阳平	
墟	h	i	33	阴平	墟市
墨	m	ak	53	阳入	
墩	t	un	33	阴平	
墾	h	ɐn	13	上声	
壁	p	iaʔ	21	阴入	
壐	s	ɐi	13	上声	
壓	ŋ	ap	21	阴入	
壞	h	oi	11	阳去	
士	s	i	33	阴平	
壮	ts	ɔŋ	213	阴去	
壯	ts	ɔŋ	213	阴去	
壶	f	u	33	阴平	
壺	f	u	33	阴平	
处	tsʰ	u	13	上声	相处
备	p	i	33	阴平	
外	ŋ	ua	11	阳去	
大	t	ua	213	阴去	大夫
太	tʰ	ɐi	213	阴去	
失	s	iet	21	阴入	
头	tʰ	au	55	阳平	
夹	k	iap	53	阳入	
夺	t	it	21	阴入	
夾	k	iap	53	阳入	
奇	kʰ	i	11	阳去	
奏	ts	au	213	阴去	
契	kʰ	e	213	阴去	
奢	tsʰ	ia	33	阴平	
奪	t	it	21	阴入	
女	n	u	13	上声	
奴	n	ɔ	55	阳平	
奸	k	an	33	阴平	
好	h	ou	13	上声	好坏
如	ŋ	i	11	阳去	
妇	f	u	13	上声	
妈	m	a	55	阳平	
妙	m	iau	213	阴去	
妥	tʰ	o	13	上声	
妷	ts	it	53	阳入	
妹	m	uoi	11	阳去	
妾	tsʰ	ip	21	阴入	
姊	ts	i	13	上声	
姐	ts	ia	13	上声	
姓	s	ai	213	阴去	
姪	ts	it	53	阳入	
娘	n	iu	55	阳平	
婚	f	un	33	阴平	
婦	f	u	13	上声	
媆	n	in	33	阴平	
媒	m	uoi	55	阳平	
媽	m	a	55	阳平	
嫁	k	ɐi	213	阴去	
嫂	ts	au	13	上声	
嫌	h	iam	55	阳平	
嫩	n	in	33	阴平	
子	tsʰ	i	13	上声	
孔	kʰ	oŋ	13	上声	
字	ts	i	11	阳去	
存	tsʰ	un	55	阳平	
孙	s	un	33	阴平	
孟	m	ɐŋ	13	上声	
孡	tʰ	ui	33	阴平	
季	k	ui	213	阴去	
孫	s	un	33	阴平	
孼	ŋ	it	53	阳入	
孽	ŋ	it	53	阳入	
守	s	iu	13	上声	
宋	s	aŋ	213	阴去	
宗	ts	oŋ	55	阳平	
官	k	ua	33	阴平	
定	t	eŋ	11	阳去	
宝	p	ou	13	上声	
实	s	it	53	阳入	
审	s	iam	13	上声	
客	kʰ	ɐiʔ	21	阴入	
宮	k	oŋ	55	阳平	
害	h	ai	11	阳去	
家	k	ɐi	33	阴平	
宽	kʰ	ua	33	阴平	
宾	p	ɐn	55	阳平	
密	m	ɐt	21	阴入	
寇	kʰ	au	33	阴平	
富	f	u	33	阴平	
寒	h	ɔn	11	阳去	
察	tsʰ	at	21	阴入	
寡	k	ua	13	上声	
實	s	it	53	阳入	
寧	n	eŋ	11	阳去	
審	s	iam	13	上声	
寫	s	ia	13	上声	
寬	kʰ	ua	33	阴平	
寶	p	ou	13	上声	
寸	tsʰ	un	213	阴去	
对	t	ui	213	阴去	
射	s	ia	213	阴去	
将	ts	iɔŋ	33	阴平	大将
將	ts	iɔŋ	33	阴平	大将
專	ts	in	33	阴平	
對	t	ui	213	阴去	
小	s	iu	13	上声	
少	ts	iu	13	上声	多少
尖	ts	iam	33	阴平	
尘	t	in	55	阳平	
尚	s	iu	11	阳去	和尚
尝	s	iu	55	阳平	
尺	tsʰ	iuʔ	21	阴入	
尼	n	i	11	阳去	
尽	ts	ɐn	33	阴平	
屁	pʰ	ui	213	阴去	
层	ts	ɐŋ	55	阳平	
