字	注释	音
蹼		pʊk2
卜		pʊk5
腹		fʊk5
蝠		fʊk5
福		fʊk5
幅		fʊk5
僕		pʰʊk3
服		fʊk2
匐		fʊk2
馥		fʊk5
木		mʊk2
沐		mʊk2
睦		mʊk2
穆		mʊk2
目		mʊk2
牧		mʊk2
撲		pʰɔk3
冬		tʊŋ45
疼	疼痛	tʰɐŋ21
疼	疼愛	tʰʊŋ33
彤		tʰʊŋ21
鼕		tʊŋ45
鼕		tʰʊŋ21
農		nʊŋ21
膿		nʊŋ21
宗		ʦʊŋ45
淙		ʦʊŋ45
鬃		ʦʊŋ45
鬆		ɬʊŋ45
鬆		sʊŋ45
統		tʰʊŋ13
綜		ʦʊŋ45
宋		ɬʊŋ33
宋		sʊŋ33
篤		tʊk5
督		tʊk5
毒		tʊk2
褥		jʊk2
酷		hʊk2
沃		jʊk5
濃		nʊŋ21
龍		lʊŋ21
縱	縱橫	ʦʊŋ33
縱	放縱	ʦʊŋ21
蹤		ʦʊŋ45
從	跟從	ʦʰʊŋ21
從	從容	ʦʰʊŋ21
從	從兄弟	ʦʰʊŋ21
松		ʦʰʊŋ21
訟		ʦʊŋ21
重	重新	ʦʰʊŋ21
重	重量	ʦʰʊŋ13
重	重要	ʦʊŋ21
鐘		ʦʊŋ45
忪	怔忪；惺忪	ɬʊŋ45
忪	怔忪；惺忪	sʊŋ45
鍾		ʦʊŋ45
憧		ʦʰʊŋ45
衝	衝鋒	ʦʰʊŋ45
衝	衝勁	ʦʰʊŋ45
舂		ʦʊŋ45
茸		jʊŋ21
共		kʊŋ21
恭		kʊŋ45
供	提供	kʊŋ45
供	供奉	kʊŋ33
凶		hʊŋ45
洶		hʊŋ45
兇		hʊŋ45
匈		hʊŋ45
雍		jʊŋ45
蓉		jʊŋ21
溶		jʊŋ21
容		jʊŋ21
傭		jʊŋ21
鎔		jʊŋ21
頌		ʦʊŋ21
庸		jʊŋ21
封		fʊŋ45
逢		fʊŋ21
縫	裁縫	fʊŋ21
縫	裂縫	fʊŋ21
鋒		fʊŋ45
烽		fʊŋ45
丰		fʊŋ45
隴		lʊŋ13
聳		ɬʊŋ13
聳		sʊŋ13
悚		ɬʊŋ13
悚		sʊŋ13
慫		ɬʊŋ13
慫		sʊŋ13
冢		ʦʊŋ13
塚		ʦʊŋ13
寵		ʦʰʊŋ13
踵		ʦʊŋ13
腫		ʦʊŋ13
種	種子	ʦʊŋ13
種	種植	ʦʊŋ33
鞏		kʊŋ13
拱		kʊŋ13
恐		hʊŋ13
擁		jʊŋ13
恿		jʊŋ13
蛹		jʊŋ13
勇		jʊŋ13
奉		fʊŋ21
捧		pʰʊŋ13
誦		ʦʊŋ21
用		jʊŋ21
綠		lʊk2
錄		lʊk2
促		ʦʰʊk5
粟		ɬʊk5
粟		sʊk5
續		ʦʊk2
俗		ʦʊk2
燭		ʦʊk5
囑		ʦʊk5
矚		ʦʊk2
屬	屬文	sʊk2
屬	屬於	sʊk2
觸		ʦʰʊk5
鐲		ʦʊk5
蜀		sʊk2
束		ʦʰʊk5
贖		sʊk2
辱		jʊk2
曲		kʰʊk5
獄		jʊk2
玉		ȵʊk2
旭		jʊk5
浴		jʊk2
慾		jʊk2
欲		jʊk2
局		kʊk2
樁		ʦɔŋ45
撞		ʦɔŋ21
幢	幡幢	ʦɔŋ21
幢	一幢樓	ʦɔŋ21
幢	海幢寺	ʦɔŋ21
雙		sɔŋ45
江		kɔŋ45
肛		kɔŋ45
扛		kɔŋ45
控		hʊŋ33
腔		hɔŋ45
缸		kɔŋ45
降	投降	hɔŋ21
降	降落	kɔŋ33
邦		pɔŋ45
龐		pʰɔŋ21
講		kɔŋ13
港		kɔŋ13
項		hɔŋ13
棒		pʰaŋ13
蚌		pʰɔŋ13
巷		hɔŋ13
桌		ʦʰiøk3
琢		tiøk3
卓		ʦʰiøk3
擢		ʦɔk2
濁		ʦʊk2
捉		ʦɔk3
朔		sɔk3
確		kʰɔk3
嶽		ŋɔk2
岳		ŋɔk2
學		hɔk2
握		ɐk5
握		ak5
渥		ɐk5
渥		ak5
剝		mɔk5
駁		pɔk3
雹		pʰau45
璞		pʰɔk3
罹		lei21
鸝		lei21
離		lei21
驪		lei21
麗		lɐi21
璃	琉璃	lei21
璃	玻璃	lei45
漓		lei21
籬		lei21
劑		ʦɐi45
雌		ʦʰi21
疵		ʦʰi45
斯		si45
廝		si45
隨		ʦʰui21
隋		ʦʰui21
肢		ʦi45
支		ʦi45
只		ʦi13
枝		ʦi45
氏	姓氏	si21
氏	月氏	si21
炊		ʦʰui45
吹		ʦʰui45
提		tʰɐi21
垂		sui21
匙	鑰匙	si21
匙	茶匙，湯匙，一本作「瓷」	ʦʰi21
堤		tʰɐi21
施		si45
兒		ȵi21
規		kʰʷɐi45
窺		kʰʷɐi45
墮		tɔ21
蛇	委蛇	sɛ21
蛇	毒蛇	sɛ21
移		ji21
卑		pei45
脾		pʰei13
瀰		nei21
獼		mei21
彌		nei21
歧		kʰei21
祇	神祇	kʰei21
祇	同「只有」的「只」；正、恰、只	ʦi13
示		si21
累	累積	lui13
累	受累；連累	lui21
紫		ʦi13
此		ʦʰi13
髓		ɬui13
髓		sui13
徙		ɬai13
徙		sai13
紙		ʦi13
咫		ʦi13
枳		ʦi13
侈		ʦʰi13
是		si21
弛		ʦʰi21
蕊		ȵui13
蕊		jui13
爾		ȵi13
爾		ji13
邇		ȵi13
邇		ji13
企		kʰei13
婢		pʰei13
積		ʦɪk5
刺		ʦʰi33
漬		ʦɪk5
賜		ʦʰi33
惴		ʦui33
睡		sui21
瑞		sui21
翅		ʦʰi33
吱		ʦi45
易	容易	ji21
易	交易	jɪk2
臂		pei33
避		pei21
譬		pʰei33
知	知道	ʦi45
知	知識	ʦi33
蜘		ʦi45
池		ʦʰi21
錘	鐵錘，稱錘	ʦʰui21
馳		ʦʰi21
差	差別	ʦʰa45
差	出差	ʦʰai45
差	參差	ʦʰi45
衰	衰老	sui45
衰	齊衰	ʦʰui45
妓		kei21
畸		kʰei45
崎	崎嶇	kʰei21
崎	長崎	kʰei21
虧		kʰʷɐi45
崖		ŋai21
儀		ji21
宜		ji21
涯		ŋai21
危		ŋɐi21
犧		hei45
羲		hei45
曦		hei45
戲		hei33
犄		kei45
逶		ʋɐi13
椅		ji13
漪		ji13
萎	枯萎	ʋɐi13
委	虛與委蛇，委委佗佗；委委佗佗	ʋɐi45
委	委託	ʋɐi13
爲	人爲	ʋɐi21
爲	爲了	ʋɐi21
襬		pai13
碑		pei45
疲		pʰei21
罷		pa21
皮		pʰei21
糜		mei21
披		pʰei45
奇	奇怪	kʰei21
奇	奇數	kei45
琦		kʰei21
騎	騎馬；騎樓	kʰɛ21
騎	鐵騎；騎兵	kʰei21
揣		ʦʰiŋ13
灑		sa13
詭		kʷɐi13
跪		kʷɐi21
綺		ji13
蟻		ŋɐi13
毀		ʋɐi13
倚		ji13
彼		pei13
被	棉被	pʰei13
被	被動	pei21
靡	所向披靡	mei13
靡	通「糜」，浪费；腐败	mei21
技		kei21
智		ʦi33
寄		kei33
誼		ji21
義		ji21
議		ji13
纍		lui13
梨		lei21
諮		ʦi45
資		ʦi45
姿		ʦi45
瓷		ʦʰi21
茨		ʦʰi21
雖		ɬui45
雖		sui45
私		si45
脂		ʦi45
錐		ʦui45
推		tʰui45
誰		sui21
屍		si45
屎		si13
咦		ji13
伊		ji45
黝		jɐu13
胰		ji21
夷		ji21
惟		ʋɐi21
羨		siŋ21
寅		jɐŋ21
唯	唯一	ʋɐi21
唯	唯唯諾諾	ʋɐi21
遺	遺失	ʋɐi21
遺	贈遺	ʋɐi21
維		ʋɐi21
姨	姨媽	ji21
姨	姨仔/細姨/阿姨	ji45
琵		pʰei21
比	比較	pei13
比	比鄰	pei13
枇		pʰei21
鰭		kʰei21
葵		kʰʷɐi21
壘	堡壘	lui13
壘	神荼鬱壘；鬱壘	lɐk2
履		lui13
耒		lui21
姊		ʦi13
死		ɬei13
死		sei13
指		ʦi13
旨		ʦi13
視		si21
矢		ʦʰi13
水		sui13
癸		kʷɐi13
妣		pei13
揆		kʰʷɐi21
地		tei21
淚		lui21
利		lei21
類		lui21
痢		lei21
恣	恣意	ʦʰi33
恣	恣睢	ʦi45
醉		ʦui33
翠		ʦʰui33
次		ʦʰi33
悴		ʦʰui33
自		ʦi21
嫉		ʦɐk2
萃		ʦʰui33
邃		ɬui21
邃		sui21
粹		ʦʰui33
四		ɬei33
四		sei33
肆	肆意	si33
肆	四的大寫	ɬei33
肆	四的大寫	sei33
祟	俗讀：鬼鬼祟祟	si13
祟		ɬui33
祟		sui33
駟		ɬei33
駟		sei33
遂		sui21
穗		sui21
彗		ʋɐi21
隧		sui21
摯		ʦi33
至		ʦi33
出		ʦʰɐk5
嗜		si33
二		ȵi21
貳		ȵi21
貳		ji21
季		kʷɐi33
棄		hei33
庇		pei33
鼻		pei21
寐		mei21
屁		pʰei33
悸		kʷɐi33
尼		nɐi21
呢	呢喃	nɐi21
呢	語氣助詞	ni45
胝		ʦi45
追		ʦui45
遲		ʦʰi21
槌		ʦʰui21
椎	鐵椎	ʦʰui21
椎	脊椎	ʦui45
鎚		ʦʰui21
莉		lei21
師		si45
篩		sɐi45
獅		si45
肌		kei45
龜	烏龜	kʷɐi45
龜	龜裂	kʷɐŋ45
飢		kei45
帷		ʋɐi21
悲		pei45
邳		pʰei21
麋		mei21
薇		mei21
黴	文讀	mui21
黴	白讀	mui45
黴	白讀	mou45
楣		mei21
眉		mei21
逵		kʰʷɐi21
軌		kʷɐi13
几		kei13
晷		kʷɐi13
鄙		pʰei13
圮		pʰei13
否	否定	fɐu13
否	否極泰來	pʰei13
美		mei13
膩		nɐi21
致		ʦi33
質	物質	ʦɐk5
質	人質	ʦi33
墜		ʦui21
稚		ʦi33
緻		ʦi33
帥		sui33
率	率領	sɐk5
率	效率	lɐk2
冀		kʰei33
愧		kʰʷɐi33
器		hei33
喟		ʋɐi21
懿		ji33
位		ʋɐi21
祕		pei33
費		fɐi33
泌		pei33
備		pei21
魅		mei21
媚		mei21
餽	同「饋」	kʰʷɐi33
櫃		kʷɐi21
饋		kʰʷɐi33
暨		kei33
匱		kʰʷɐi33
釐	釐定	lei21
釐	恭賀新釐	hei45
狸		lei21
仔	仔細	ʦi13
仔	豬仔	ʦɐi13
滋		ʦi45
孜		ʦi45
慈		ʦʰi21
思	思想	si45
思	于思	sɔi45
絲		si45
伺	窺伺	si21
伺	伺候	ʦʰi21
司		si45
詞		ʦʰi21
辭		ʦʰi21
祠		ʦʰi21
痴		ʦʰi45
持		ʦʰi21
治		ʦi21
芝		ʦi45
之		ʦi45
嗤		ʦʰi45
時		si21
詩		si45
而		ȵi21
而		ji21
居		kui45
基		kei45
箕		kei45
欺		hei45
疑		ji21
熙		hei45
熹		hei45
嘻		hei45
嬉		hei45
禧		hei45
醫		ji45
姬		kei45
怡		ji21
台	古代第一人稱；喜悅，通「怡」	ji21
台	天台。地名	tʰɔi45
貽		ji21
飴		ji21
頤		ji21
期	日期	kʰei21
期	期年；一周年	kei45
淇		kʰei21
琪		kʰei21
其		kʰei21
旗		kʰei21
里	公里	lei13
李		lei13
理		lei13
鯉		lei13
子		ʦi13
梓		ʦi13
巳		ʦi21
似		ʦʰi13
祀		ʦi21
耜		ʦi21
姒		ʦʰi13
恥		ʦʰi13
祉		ʦi13
峙		ʦi21
仕		si21
士		si21
史		si13
使	使用	sɐi13
使	使者	si13
駛		sɐi13
止		ʦi13
趾		ʦi13
址		ʦi13
齒		ʦʰi13
市		si13
恃		ʦʰi13
始		ʦʰi13
耳		ȵi13
己		kei13
紀		kei13
杞		kei13
起		hei13
擬		ji13
喜		hei13
矣		ji13
已		ji13
以		ji13
吏		lei21
字		ʦi21
寺		ʦi21
飼		ʦʰi21
置		ʦi33
植		ʦɪk2
值		ʦɪk2
事		si21
廁		ʦʰi33
織		ʦɪk5
誌		ʦi33
識	認識	sɪk5
識	默而識之；默而識之;通「志」	ʦi33
志		ʦi33
熾		ʦʰi33
侍		si21
試		si33
幟		ʦʰi33
餌		ȵi13
餌		ji13
記		kei33
亟	亟請	kʰei33
亟	亟需；亟待解決	kɪk5
意		ji33
食		sɪk2
異		ji21
忌		kei21
歸		kʷɐi45
嘰		kei45
饑		kei45
譏		kei45
機		kei45
磯		kei45
巍		ŋɐi21
揮		fɐi45
輝		fɐi45
希		hei45
徽		fɐi45
暉		fɐi45
稀		hei45
依		ji45
衣	衣服	ji45
衣	衣錦還鄉	ji45
威		ʋɐi45
圍		ʋɐi21
違		ʋɐi21
韋		ʋɐi21
韋	習慣讀音	ʋɐi13
飛		fei45
非		fei45
扉		fei45
肥		fei21
微		mei21
妃		fei45
菲	芳菲	fei45
菲	菲薄	fei45
祈		kʰei21
幾	幾個	kei13
幾	幾乎	kei45
鬼		kʷɐi13
豈		hei13
卉		ʋɐi13
偉		ʋɐi13
瑋		ʋɐi13
葦		ʋɐi13
煒		ʋɐi13
匪		fei13
尾		mei13
娓		mei13
悱		fei13
斐		fei13
溉		kʰɔi33
既		kei33
貴		kʷɐi33
氣		hei33
魏		ŋɐi21
毅		ŋɐi21
諱		ʋɐi13
愾		kʰɔi33
蔚		ʋɐi33
慰		ʋɐi33
熨	熨斗。訓讀「燙」；熨斗	tʰɔŋ33
熨	熨貼	ʋɐk5
尉	太尉	ʋɐi33
尉	尉遲	ʋɐk5
畏		ʋɐi33
胃		ʋɐi21
渭		ʋɐi21
謂		ʋɐi21
彙		ʋui21
彙		wui21
蝟		ʋɐi21
緯		ʋɐi13
芾	蔽芾	fɐi33
沸		fɐi33
翡		fei13
未		mei21
味		mei21
廬		lou21
蘆		lou21
櫚		lui13
驢		lou21
且		ʦʰɛ13
蛆		ʦui45
蛆		ʦʰui45
沮	沮喪	ʦui13
徐		ʦʰui21
豬		ʦi45
涂		tʰou21
躇		ʦʰi21
除		ʦʰui21
儲		ʦʰi13
屠		tʰou21
著	顯著	ʦi33
著	著衫	ʦiøk3
著	著涼	ʦiøk2
初		ʦʰɔ45
鋤		ʦʰɔ21
疏	疏通	sɔ45
疏	註疏	sɔ45
蔬		sɔ45
梳		sɔ45
諸		ʦi45
藷	藷蕷；藷蕷，山藥	si21
藷	藷蔗；藷蔗，甘蔗	ʦi45
舒		si45
紓		si45
書		si45
如		ji21
茹		ji21
車	車馬炮；象棋的「車」	kui45
車	汽車	ʦʰɛ45
据	拮据	kui45
墟		hui45
魚		ȵi21
漁		ȵi21
衙		ŋa21
虛		hui45
噓	噓寒問暖	hui45
於		ji45
予	古代第一人稱	ji21
予	給予	ji13
餘		ji21
輿		ji21
與		ji13
與	參與；句末語氣助詞	ji21
譽		ji21
余		ji21
蜍	蠄蜍：癩蛤蟆	si21
渠		kʰui21
女		nui13
旅		lui13
侶		lui13
呂		lui13
咀		ʦui13
嶼	島嶼	ʦui21
序		ʦui21
敘		ʦui21
緒		sui13
抒		si45
貯		ʦʰi13
杼		ʦʰi13
佇		ʦʰi13
阻		ʦɔ13
俎		ʦɔ13
楚		ʦʰɔ13
礎		ʦʰɔ13
所		sɔ13
杵		ʦʰi13
處	處理	ʦʰi13
處	住處	ʦʰi33
墅		sui13
墅		sui21
野		jɛ13
鼠		si13
暑		si13
黍		si13
汝		ji13
莒		kui13
舉		kui13
櫸		kui13
去		hui33
禦		ji21
語	語言；語文	ji13
語	不以語人；公語之故，且告之悔	ji21
許		hui13
距		kʰui13
巨		kui21
炬		kui21
鉅		kui21
拒		kʰui13
慮		lui21
絮		ɬui21
絮		sui21
助		ʦɔ21
署		si13
曙		si13
薯		si21
恕		si33
庶		si33
踞		kui33
據		kui33
鋸		kui33
御		ji21
馭		ji21
菸		jiŋ45
豫		ji21
預		ji21
遽		kui21
都		tou45
圖		tʰou21
途		tʰou21
塗		tʰou21
徒		tʰou21
荼	如火如荼	tʰou21
荼	神荼；神荼鬱壘	si45
鍍		tou21
菟		tʰou33
奴		nou21
盧		lou21
顱		lou21
爐		lou21
租		ʦou45
蘇		ɬou45
蘇		sou45
酥		ɬou45
酥		sou45
穌		ɬou45
穌		sou45
辜		ku45
箍		kʰu45
孤		ku45
呱	頂呱呱	kʷa45
呱	呱呱墜地	kʷa45
沽		ku45
姑		ku45
枯		fu45
蜈		ŋ̍21
梧		ŋ̍21
吾		ŋ̍21
吳		ŋ̍21
呼		fu45
糊		fu21
瑚		fu21
胡		fu21
壺		fu21
湖		fu21
弧		fu21
葫		fu21
狐		fu21
乎		fu21
嗚		ʋu45
嗚		wu45
烏		ʋu45
烏		wu45
惡	惡毒	ɔk3
惡	可惡	ʋu33
惡	可惡	wu33
樸		pʰɔk3
菩	菩提	pʰou21
菩	菩薩	pʰɔ21
匍		pʰou21
蒲		pʰou21
模		mou21
模		mou45
摸		mɔ45
膜	薄膜	mɔk2
膜	膜拜	mou21
睹		tou13
堵		tou13
賭		tou13
土		tʰou13
吐		tʰou33
肚		tʰou13
杜		tou21
努		nou13
怒		nou21
弩		nou13
弩		nou21
擄		lou13
虜		lou13
滷		lou13
魯		lou13
櫓		lou13
組		ʦou13
祖		ʦou13
粗		ʦʰou45
詁		ku13
鼓		ku13
估	估計	ku45
古		ku13
股		ku13
賈	商賈	ku13
賈	賈姓	ka13
苦		fu13
午		ŋ̍13
五		ŋ̍13
伍		ŋ̍13
琥		fu13
虎		fu13
滸		fu13
雇		ku33
滬		fu21
扈		fu21
戶	戶口簿	fu21
戶	戶籍；用作量詞“戶”	fu13
塢	山塢	ʋu45
塢	山塢	wu45
圃		pʰou13
譜		pʰou13
補		pou13
簿		pou21
部		pou21
媽		ma45
莽		mɔŋ13
浦		pʰou13
普		pʰou13
妒		tou21
兔		tʰou33
渡		tou21
度	度量衡	tou21
度	量度	tɔk2
路		lou21
鷺		lou21
露		lou21
賂		lɔk3
作		ʦɔk3
措		ʦʰɔ33
醋		ʦʰou33
厝		ʦʰou33
錯	錯誤	ʦʰɔ33
錯	交錯	ʦʰɔ33
錯	同「措」	ʦʰɔ33
訴		ɬou33
訴		sou33
塑		ɬɔk3
塑		sɔk3
素		ɬou33
素		sou33
固		ku33
鯝		ku33
故		ku33
顧		ku33
錮		ku33
庫		fu33
悟		ŋ̍21
寤		ŋ̍21
誤		ŋ̍21
晤		ŋ̍21
互		fu21
護		fu21
布		pou33
佈		pou33
步		pou21
捕		pou21
哺		pou13
慕		mou21
墓		mou21
暮		mou21
募		mou21
怖		pou33
摟		lɐu13
鏤		lɐu21
趨		ʦʰui45
鬚		ɬou45
鬚		sou45
需		ɬui45
需		sui45
須		ɬui45
須		sui45
娶		ʦʰui13
株		ʦi45
列		lik2
蛛		ʦi45
廚		ʦʰi21
廚		ʦʰui21
雛		ʦʰɔ21
朱		ʦi45
珠		ʦi45
侏		ʦi45
樞		si45
殊		si21
茱		ʦi45
輸		si45
嚅		ji21
儒		ji21
懦		nɔ21
俱	傢俱	kui21
俱	俱樂部	kʰui45
拘		kʰui45
嶇		kʰui45
軀		kʰui45
驅		kʰui45
摳		kʰɐu45
區	區別	kʰui45
區	區姓；姓氏	ɐu45
隅		ji21
虞		ji21
愚		ji21
娛		ji21
吁	吁唏	hui45
于		ji45
汙		ʋu45
汙		wu45
迂		ji45
芋		ʋu21
芋		wu21
盂		ji21
萸		ji21
逾		ji21
瑜		ji21
榆		ji21
諛		ji21
舀		jiu13
渝		ji21
愉		ji21
膚		fu45
夫	農夫	fu45
夫	古代指示詞、代詞、助詞	fu21
符		fu21
芙		fu21
苻		fu21
扶		fu21
蕪		mou21
無		mou21
巫		mou45
誣		mou45
毋		mou21
鋪	鋪張	pʰou45
鋪	店鋪	pʰou33
孵		fu45
敷		fu45
俘		fu45
瞿	瞿塘峽	kʰui21
瞿	瞿然一驚	kui33
句		kui33
縷		lui13
取		ʦʰui13
聚		ʦui21
拄		ʦi13
柱		ʦʰi13
數	數一下	sou13
數	數字	sou33
數	數見不鮮	sɔk3
主		ʦi13
樹		si21
豎		si21
乳		jui13
矩		kui13
煦		hui13
噢		ɔ45
栩		hui13
雨	落雨	ji13
羽		ji13
宇		ji13
禹		ji13
愈		ji21
斧		fu13
脯	肉脯	pʰou13
脯	胸脯	pʰou13
俯		fu13
父		fu21
府		fu13
甫	台甫	pʰou13
甫	十八甫	pʰou13
腐		fu21
輔		fu21
武		mou13
侮		mou13
鵡		mou13
舞		mou13
撫		fu13
剖	解剖	fɐu13
剖	剖腹產	pʰɐu13
屢		lui13
足	足跡	ʦʊk5
足	足恭	ʦʊk5
駐		ʦi33
逗	挑逗；逗留	tɐu33
逗	用作動詞，表示「招惹」	tɐu45
住		ʦi21
註		ʦi33
蛀		ʦi33
鑄		ʦi33
注		ʦi33
孺		ji21
遇		ji21
寓		ji21
嫗		ji13
喻		ji21
諭		ji21
籲		ji21
裕		ji21
付		fu21
搏		pɔk3
傅	師傅	fu21
傅	傅粉施朱	fu21
賦		fu33
附		fu21
駙		fu21
務		mou21
霧		mou21
婺		mou21
仆		pʰʊk5
赴		fu21
具		kui21
懼		kui21
帶		tai33
汰		tʰai33
太		tʰai33
泰		tʰai33
大		tai21
兌		tui33
奈		nɔi21
籟		lai21
賴		lai21
癩		lai21
最		ʦui33
蔡		ʦʰɔi33
蓋	杯蓋	kɔi33
蓋	覆蓋	kɔi33
膾		kʰui33
檜		kʰui33
丐		kʰɔi33
磕	訓讀：磕到頭	hɐm13
磕		hɐp2
轄		hɐk2
外		ŋɔi21
艾		ŋai21
渙		ʋuŋ21
渙		wuŋ21
會	會面；會員、社會	ʋui13
會	會面；會員、社會	wui13
會	會計；會計、會議	ʋui21
會	會計；會計、會議	wui21
會	會游泳	ʋui33
會	會游泳	wui33
害		hɔi21
藹		ɔi13
貝		pui33
沛		pʰui33
狽		pui33
沫		muk2
喙		fui33
穢		ʋɐi33
廢		fɐi33
吠		fɐi21
肺		fɐi33
寨		ʦai33
寨		ʦai21
快		fai33
話	電話	ʋa21
話	童話	ʋa13
喝		hɔk3
敗		pai21
邁		mai21
叉		ʦʰa45
查	檢查	ʦʰa21
查	查姓	ʦa45
柴		ʦʰai21
蝸		ʋɔ45
佳		kai45
街		kai45
媧		ʋɔ45
鞋		hai21
蛙		ʋa45
哇		ʋa45
娃		ʋa45
牌		pʰai21
牌	訓讀：撲克	pʰɛ45
枴		kʷai13
夥		fɔ13
解	解決	kai13
解	解姓	hai21
蟹		hai13
矮		ai13
擺		pai13
買		mai13
拐		kʷai13
債		ʦai33
掛		kʷa33
掛		kʰʷa33
懈		hai21
卦		kʷa33
邂		hai13
畫	圖畫	ʋa13
畫	畫圖	ʋak2
賣		mai21
派		pʰai33
齋		ʦai45
階		kai45
楷	楷書	hai21
楷	楷樹；正楷	kai45
偕		kai45
皆		kai45
乖		kʷai45
匯		ʋui21
匯		wui21
骸		hai21
淮		ʋai21
槐		ʋai21
懷		ʋai21
諧		hai21
排		pʰai21
霾		mai21
埋		mai21
駭		hɔi21
挨		ai45
殺	殺敵	sak3
介		kai33
誡		kai33
壞		ʋai21
怪		kʷai33
屆		kai33
芥		kai33
尬		kai33
界		kai33
戒		kai33
劾		hɐk2
械		hai21
拜		pai33
扒	扒飯	pʰa21
憊		pei21
湃		pai33
厲		lei21
例		lɐi21
蠣		lɐi21
勵		lɐi21
際		ʦɐi33
祭		ʦɐi33
脆		ʦʰui33
歲		ɬui33
歲		sui33
制		ʦɐi33
贅		ʦui21
製		ʦɐi33
掣		ʦɐi33
逝		sɐi21
噬		sɐi21
誓		sɐi21
說		sik3
說	説客	sui33
世		sɐi33
蛻		tʰui33
稅		sui33
勢		sɐi33
鈉		nap2
藝		ŋɐi21
洩	排洩	ɬik3
洩	排洩	sik3
洩	洩洩	jɐi21
銳		jui21
曳		jɐi21
泄		ɬik3
泄		sik3
裔		jui21
蔽		pɐi33
彆		pik2
敝		pɐi21
斃		pɐi21
弊		pɐi21
幣		pɐi21
輟		ʦik3
啜		ʦik3
綴	點綴	ʦui21
綴	點綴	ʦui33
滯		ʦɐi21
鱖		kʰik3
憩		hei33
