#ʅ
tʂ[1]知蜘支肢枝之芝知脂[3]纸旨指止址趾[5]制置智至致稚痔峙治志痣挚滞
tʂʰ[1]痴[2]池匙驰迟持[3]耻齿侈
ʂ[1]施尸诗[2]时鲥[3]矢史驶使始屎[5]世势誓逝氏是示嗜市恃饰式试视

#ɿ
ts[1]资咨姿滋孳孜[3]紫姊子仔籽[5]自字
tsʰ[1]□{~滑}雌[2]瓷糍慈磁词祠辞治{~鱼}[3]此[5]刺赐次伺疵
s[1]斯撕厮私司丝思师蛳厕{茅~}[3]死[5]四泗驷寺饲嗣士仕柿事肆似祀

#i
p[3]比秕[5]敝蔽毙篦币闭避秘
pʰ[1]批砒纰丕坯披[2]皮疲碑脾琶枇[3]痞[5]屁
m[1]眯[2]迷谜靡麋糜弥[3]米
t[1]低[3]底柢邸[5]帝蒂渧谛缔弟第递地
tʰ[1]梯[2]提堤题啼蹄[3]体[5]替屉涕剃嚏
l[1]尼泥呢倪黎犁梨离璃篱狸[3]你礼李里理鲤俚娌[5]腻例利痢丽历厉励吏戾唳
k[3]给
kʰ[5]去
tɕ[1]鸡稽基饥肌机讥矶几{~乎}箕[3]己几{~个}戟挤[5]计继寄冀既系{~鞋带}技妓伎纪记忌季悸祭际剂济荠
tɕʰ[1]欺期妻凄悽栖[2]奇骑崎其棋旗琪麒祁企齐脐荠{荸~}[3]启起岂[5]契器弃气汽砌
ɕ[1]希稀牺嬉嘻熹熙西[2]携溪[3]喜洗徙玺[5]系戏细
∅[1]衣依医[2]爷仪移夷姨疑遗宜谊怡饴眙贻[3]蚁椅矣已以与拟野冶[5]艺刈诣义议易意异御翼誉喻芋

#u
p[3]补[5]布怖部簿步
pʰ[1]铺{动词}[2]蒲匍菩荸[3]普谱甫浦圃捕脯辅哺[5]铺{名词}
m[3]母姆拇亩[5]牡
f[1]夫麸敷[2]巫诬孚浮符扶芙抚[3]府腑俯斧釜腐肤[5]富副付赋傅父附驸负妇赴
t[1]都[3]堵赌睹肚{动物胃}[5]妒度渡镀杜肚{人腹}
tʰ[2]徒屠途涂图[3]土[5]吐{呕~}兔唾
l[2]奴卢炉芦颅庐[3]努弩鲁卤[5]赂怒路露
k[1]姑辜孤箍[3]古估鼓股[5]故固雇顾
