汉字	音标	注释	
多	tɔu¹²		
拖	tʰɔu¹²		
驼	tʰɔu²¹		
舵	tʰɔu²¹	不符合古今语音演变的对应规律	
大	tʰuə²²		
罗	lɔu²¹		
锣	lɔu²¹	~鼓	
锣	lɔu³⁰³⁵	打~	
箩	lɔu²¹		
左	tsɔu²⁴		
搓	tsʰuə¹²		
歌	kɔu¹²		
哥	kɔu⁴⁴	字音，不符合古今语音演变的对应规律	
哥	kɔu³⁰³⁵	鹩~	
个	kuə⁴⁴		
可	kʰɔu²⁴		
鹅	ɡɔu²¹	天~	
鹅	ɡɔu³⁰³⁵		
我	ɡɔu⁴⁴		
饿	ɡɔu²²		
河	hɔu²¹		
何	hɔu²¹		
荷	hɔu²¹	~花	
贺	hɔu²²		
茄	kʰɔu³⁰³⁵		
波	pɔu¹²		
菠	pɔu¹²		
簸	pɔu⁴⁴	~箕	
坡	pɔu¹²	不符合古今语音演变的对应规律	
玻	pɔu¹²	不符合古今语音演变的对应规律	
破	pʰɔu⁴⁴		
婆	pʰɔu²¹	老姑~	
婆	pʰɔu³⁰³⁵	两公~	
魔	bɔu¹²	不符合古今语音演变的对应规律	
磨	bɔu²¹	~刀	
磨	bɔu²²	~石	
朵	tɔu²⁴		
妥	tʰɔu²⁴		
糯	lɔu²²		
脶	lɔu²¹	指纹	
螺	lɔu²¹	田~	
螺	lɔu³⁰³⁵	石~	
坐	tsʰɔu⁴⁴		
座	tsʰɔu²²		
蓑	sɔu¹²		
锁	sɔu²⁴		
果	kɔu²⁴		
过	kɔu⁴⁴		
科	kʰɔu¹²		
课	kʰɔu⁴⁴		
卧	ɡɔu²²		
火	fu²⁴		
货	kʰɔu⁴⁴		
和	hɔu²¹	~气	
禾	vɔu²¹		
祸	hɔu²²		
窝	vɔu¹²		
靴	hœ¹²		
巴	pa¹²		
疤	pa³⁰³⁵		
把	pa²⁴	~握	
霸	pa⁴⁴		
把	pa²⁴	柄，不符合古今语音演变的对应规律	
坝	pa⁴⁴		
怕	pʰa⁴⁴		
帕	pʰa³⁰³⁵		
爬	pʰa²¹		
麻	ba²¹		
马	ba⁴⁴		
骂	ba⁴⁴		
拿	la²¹		
茶	tsʰa²¹		
搽	tsʰa²¹		
渣	tsa¹²		
榨	tsa⁴⁴		
叉	tsʰa¹²	打~	
叉	tsʰa³⁰³⁵	丫~	
差	tsʰa¹²	~别	
查	tsʰa²¹	调~	
沙	sa¹²	嗓子嘶哑	
沙	sa³⁰³⁵		
纱	sa¹²		
家	ka¹²	亲~	
家	ka³⁰³⁵	自~	
加	ka¹²		
假	ka²⁴	真~	
架	ka⁴⁴		
架	kᴀ³⁰³⁵	~子	
嫁	ka⁴⁴		
价	ka⁴⁴		
牙	ɡa²¹		
芽	ɡa²¹	字音	
芽	ɡa³⁰³⁵	话音	
雅	ɡa⁴⁴		
虾	ha¹²		
霞	ha²¹		
下	ha²²	~昼	
下	ha³⁰³⁵	底~	
下	ha⁴⁴	~山，不符合古今语音演变的对应规律	
哑	a²⁴		
亚	a⁴⁴		
姐	tsɛi⁴⁴	不符合古今语音演变的对应规律	
借	tsiɛ⁴⁴		
且	tsʰiɛ²⁴		
写	siɛ²⁴		
泻	siɛ⁴⁴		
邪	tsʰiɛ²¹		
斜	tsʰiɛ²¹		
谢	tsʰiɛ²²		
遮	tsiɛ¹²		
者	tsiɛ²⁴		
蔗	tsiɛ³⁰³⁵		
车	tsʰiɛ¹²	~马	
扯	tsʰiɛ²⁴	话音	
扯	tsʰɿ²⁴	字音	
蛇	siɛ²¹		
赊	siɛ¹²		
舍	siɛ²⁴	~得	
社	siɛ⁴⁴		
惹	ɡiɛ⁴⁴		
爷	ja²¹	姑~	
爷	ja³⁰³⁵	两崽~	
野	ja⁴⁴		
夜	ja²²		
瓜	kua¹²	冬~	
瓜	kua³⁰³⁵	黄~	
寡	kua²⁴		
夸	kʰua¹²		
垮	kʰua¹²	不符合古今语音演变的对应规律	
跨	kʰua¹²	不符合古今语音演变的对应规律	
瓦	ɡa⁴⁴		
花	fa¹²		
化	fa⁴⁴		
华	va²¹	中~	
划	və³	~船，字音，不符合古今语音演变的对应规律	
蛙	va¹²		
补	pu²⁴		
布	pu⁴⁴		
铺	pʰu¹²	~设	
普	pʰu²⁴		
铺	pʰu³⁰³⁵	店~	
菩	pʰu²¹	~萨	
部	pʰu²²		
簿	pʰu³⁰³⁵		
步	pʰu²²		
模	bu²¹	~子	
墓	bu²²		
都	tu¹²	首~	
赌	tu²⁴		
肚	tʰu³⁰³⁵	猪~	
土	tʰu²⁴		
兔	tʰu³⁰³⁵		
徒	tʰu²¹		
涂	tʰu²¹		
图	tʰu²¹		
杜	tu²²		
肚	tu²⁴	腹~，不符合古今语音演变的对应规律	
度	tʰu²²		
奴	lu²¹		
努	lu⁴⁴		
卢	lu²¹		
炉	lu³⁰³⁵		
鲁	lu⁴⁴		
卤	lu⁴⁴		
路	lu²²	器物的痕迹	
路	lu³⁰³⁵		
露	lu²²		
租	tsu¹²		
祖	tsu²⁴		
做	tsu⁴⁴		
粗	tsʰu¹²		
醋	tsʰu⁴⁴		
错	tsʰɔu⁴⁴	~误，不符合古今语音演变的对应规律	
苏	su¹²		
素	su⁴⁴		
姑	ku¹²	~爷	
姑	ku³⁰³⁵	阿~	
孤	ku¹²		
箍	ku¹²	动词，不符合古今语音演变的对应规律	
箍	kʰu³⁰³⁵		
古	ku²⁴		
鼓	ku²⁴		
故	ku⁴⁴		
顾	ku⁴⁴		
枯	ku¹²	不符合古今语音演变的对应规律	
苦	fu²⁴	味~	
苦	kʰu²⁴	受~	
库	kʰu⁴⁴		
裤	kʰu⁴⁴		
吴	m̩²¹		
五	m̩⁴⁴		
误	m̩²²		
呼	fu¹²		
虎	fu²⁴		
戽	fu⁴⁴		
胡	vu²¹	姓~	
湖	fu²¹		
胡	fu²¹	~须	
户	fu²²		
互	fu²²		
护	fu²²		
乌	vu¹²		
女	lɔe⁴⁴	崽~	
女	lɔe³⁰³⁵	孙~	
吕	lɔe⁴⁴		
旅	lɔe³⁰³⁵		
徐	tsʰʮ²¹		
序	tsʰɔe²²		
猪	tɔe¹²		
著	tsʮ⁴⁴		
除	tsʰʮ²¹		
苎	tsʰʮ⁴⁴	~麻	
阻	tsɔu²⁴		
初	tsʰɔu¹²		
楚	tsʰɔu²⁴		
锄	tsʰɔu²¹		
助	tsʰɔu²²		
