1陰平33	
2陽平21	
3陰上25	
5陰去213	
6陽去43	
7上陰入5	
8下陰入213	
9陽入4	
10變調55	
#u	
[pu1]坡波玻菠[pu5]簸	
[pʰu2]婆[pʰu3]頗[pʰu5]破	
[mu1]麼魔摩蘑[mu2]磨[mu3]摸	
[fu1]夫呼膚科枯數孵敷蝌俘[fu2]乎扶胡壺符湖鳧蝴糊芙孤葫狐	
[fu3]火伙夥撫苦虎斧府俯唬[fu5]庫貨課褲[fu6]婦互父戶芋付負護附咐赴副輔傅富腐滬賦	
[vu1]汙烏窩塢渦蝸嗚鍋[vu2]禾和[vu6]禍惡{厭惡}	
[tu1]多[tu3]朵躲跺[tu6]墮惰垛	
[tʰu1]拖[tʰu2]馱鴕舵駝[tʰu5]妥橢	
[lu1]啰[lu2]羅挪蘿鑼算螺邏騾[lu3]裸[lu6]懦糯	
[tʃu3]左阻[tʃu6]助座	
[tʃʰu1]初銼搓[tʃʰu2]鋤[tʃʰu3]礎楚[tʃʰu5]坐錯挫	
[ʃu1]疏蔬梭梳唆[ʃu2]傻[ʃu3]所鎖瑣[ʃu10]嗦	
[ku1]孤哥辜歌戈姑菇[ku3]古估果股棵鼓顆裹咕沽[ku5]個過固故顧雇	
[kʰu1]箍	
[ŋu2]鵝蛾訛俄[ŋu5]我[ŋu6]臥餓	
[hu1]坷苛呵[hu2]河荷何[hu3]可[hu6]賀荷{負荷}	
#ɔ	
[mɔ5]畝	
[fɔ2]浮[fɔ3]否剖	
[tɔ1]兜[tɔ3]鬥抖蚪[tɔ6]豆逗痘	
[tʰɔ1]偷[tʰɔ2]頭投[tʰɔ5]透	
[lɔ2]劉留流樓榴琉硫簍瘤溜婁[lɔ3]朽扭紐摟鈕[lɔ5]柳縷[lɔ6]漏陋餾	
[tʃɔ1]舟州周洲[tʃɔ3]走酒[tʃɔ5]奏揍晝咒皺[tʃɔ6]宙袖就肘	
[tʃʰɔ1]秋抽[tʃʰɔ2]綢酬稠籌囚疇[tʃʰɔ3]醜丑[tʃʰɔ5]臭湊	
[ʃɔ1]心收修羞[ʃɔ2]仇讎愁[ʃɔ3]手搜首艘守[ʃɔ5]秀繡鏽獸嗽瘦漱[ʃɔ6]壽受授售	
