				#调值	[1]24 [2]434 [3]44 [4]223 [5]52 [6]231 [7]5 [8]23
字		音	注释		
多	多	to24			
拖	拖	tʰo24			
駝	驼	to434			
馱	驮	to434			
大	大	do231			
羅	罗	lo434			
籮	箩	la434			
左	左	tso44			
搓	搓	ʦʰo24			
歌	歌	ko24			
哥	哥	ko24			
個	个	ko52	個體戶		
個	个	ka52	一個		
可	可	kʰo44			
鵝	鹅	ŋo434			
我	我	o223			
餓	饿	ŋo231			
荷	荷	o434			
河	河	o434			
何	何	o434			
茄	茄	ko24	茄子		
波	波	po24			
菠	菠	po24			
簸	簸	pe52			
坡	坡	pʰo24			
玻	玻	po24			
破	破	pʰa52			
婆	婆	po434			
薄	薄	bəʔ23			
磨	磨	mo434	動		
磨	磨	mo231	名		
朵	朵	tɤɯ44			
躲	躲	to44			
剁	剁	to52			
橢	椭	tʰo44			
糯	糯	no231			
螺	螺	lo434			
腡	脶	li434			
啰	啰	lo434			
銼	锉	ʦʰo52			
坐	坐	zo223			
座	座	zo231			
蓑	蓑	so24			
鎖	锁	so44			
鍋	锅	ko24			
戈	戈	ko24			
果	果	ko44			
餜	馃	ko44			
過	过	ko52			
科	科	kʰo24			
窠	窠	kʰo24			
課	课	kʰo52			
臥	卧	ŋo231			
火	火	xo44			
夥	伙	xo44	多		
伙	伙	xo44	伙食		
貨	货	xo52			
和	和	o434			
禾	禾	o434			
禍	祸	o223			
涴	涴	u52			
靴	靴	ɕio24			
巴	巴	po24			
芭	芭	po24			
疤	疤	po24			
把	把	po44			
壩	坝	po52			
怕	怕	pʰo52			
帕	帕	pʰɑʔ5			
爬	爬	po434			
杷	杷	po434			
鈀	钯	po434			
耙	耙	po434			
麻	麻	mo434			
痲	痲	mo434			
蟆	蟆	mo434			
馬	马	mo223			
罵	骂	mo231			
拿	拿	no434			
茶	茶	tso434			
搽	搽	tso434			
渣	渣	tso24			
楂	楂	ʨia24			
榨	榨	tso52			
炸	炸	tso52			
叉	叉	ʦʰo24			
差	差	ʦʰo24	差別		
查	查	tso434			
沙	沙	so24			
紗	纱	so24			
家	家	ko24			
加	加	ko24			
假	假	ko44	真假		
假	假	ko44	放假		
架	架	ko52			
駕	驾	ko52			
嫁	嫁	ia52			
價	价	ko52			
揢	揢	kʰo52			
牙	牙	ŋo434			
芽	芽	ŋo434			
蝦	虾	xo24			
下	下	ia223			
廈	厦	o231			
夏	夏	o231			
鴉	鸦	o24			
啞	哑	o44			
亞	亚	o52			
借	借	ʨia52			
笡	笡	ʨʰia52			
寫	写	ɕia44			
邪	邪	ɕia434			
斜	斜	ɕia434			
謝	谢	ʑia231			
爹	爹	tia24			
遮	遮	ʨia24			
蔗	蔗	ʨia52			
車	车	ʨʰia24			
蛇	蛇	ɕia434			
射	射	ʑia231			
賒	赊	ɕia24			
捨	舍	ɕia44	捨得		
舍	舍	ɕia52	宿舍		
社	社	ʑia223			
爺	爷	ia434			
野	野	ia223			
夜	夜	ia231			
傻	傻	sa24			
瓜	瓜	ko24			
寡	寡	ko44			
跨	跨	kʰo52			
瓦	瓦	ŋo223			
花	花	xo24			
化	化	xo52			
華	华	o434	中華		
划	划	o434	划船		
華	华	o231	姓		
蛙	蛙	o24			
搲	搲	uɑʔ5	爬		
補	补	pu44			
譜	谱	pʰu44			
布	布	pu52			
鋪	铺	pʰu24	動		
普	普	pʰu44			
浦	浦	pʰu44			
鋪	铺	pʰu52	名		
蒲	蒲	pu434			
菩	菩	pu434			
脯	脯	pu434			
部	部	bu223			
簿	簿	bu223			
步	步	bu231			
模	模	mu434			
墓	墓	mu231			
都	都	tu24	首都		
都	都	tu24	都是		
賭	赌	tu44			
肚	肚	tu44	豬肚		
妒	妒	tu52			
土	土	tʰu44			
吐	吐	tʰu44	吐痰		
吐	吐	tʰu52	嘔吐		
兔	兔	tʰu52			
徒	徒	tu434			
途	途	tu434			
涂	涂	tu434			
圖	图	tu434			
杜	杜	du223			
肚	肚	du223	肚子		
度	度	du231			
渡	渡	du231			
鍍	镀	du231			
奴	奴	nu434			
努	努	nu223			
怒	怒	nu231			
盧	卢	lu434			
爐	炉	lu434			
蘆	芦	lu434	包蘆		
蘆	芦		讀字音		
魯	鲁	lu223			
虜	虏	lu223			
鹵	卤	lu223			
路	路	lu231			
露	露	lu231			
租	租	tsu24			
祖	祖	tsu44			
組	组	tsu44			
做	做	tsu52			
粗	粗	ʦʰu24			
醋	醋	ʦʰu52			
錯	错	ʦʰu52			
蘇	苏	su24			
素	素	su52			
塑	塑	su52			
姑	姑	ku24			
箍	箍	kʰu24			
古	古	ku44			
估	估	ku44			
股	股	ku44			
鼓	鼓	ku44			
故	故	ku52			
固	固	ku52			
僱	雇	ku52			
顧	顾	ku52			
苦	苦	kʰu44			
庫	库	kʰu52			
褲	裤	kʰu52			
吳	吴	u434	姓		
吳	吴	ŋ434	吳上圩		
蜈	蜈	ŋ434			
五	五	ŋ223			
伍	伍	ŋ223			
午	午	ŋ223			
誤	误	ŋu231			
悟	悟	ŋu231			
虎	虎	fu44			
滸	浒	fu44			
胡	胡	u434	姓		
湖	湖	u434			
狐	狐	u434			
壺	壶	u434			
瓠	瓠	u434	葫		
鬍	胡	u434	鬍鬚		
糊	糊	u434			
戶	户	u223			
互	互	u231			
護	护	u231			
烏	乌	u24			
污	污	u24			
女	女	ȵy223			
廬	庐	lu434			
呂	吕	ly223			
旅	旅	ly223			
慮	虑	ly231			
徐	徐	ɕy434			
序	序	ʑy223			
緒	绪	ʑy223			
豬	猪	ti24			
𣥼	𣥼	ti52	盛飯		
除	除	ʨy434			
苧	苎	ʥy223			
著	着	de223	著火		
箸	箸	dzɿ231			
阻	阻	tsu44			
初	初	ʦʰu24			
楚	楚	ʦʰu44			
礎	础	ʦʰu44			
鋤	锄	so434			
助	助	zu231			
梳	梳	sɿ24			
疏	疏	so24			
蔬	蔬	su24			
所	所	su44			
諸	诸	ʨy24			
煮	煮	ʨy44	煮雞蛋		
處	处	ʨʰy52			
書	书	ɕy24			
舒	舒	ɕy24			
暑	暑	ɕy44			
鼠	鼠	ʦʰɿ44			
薯	薯	zɿ231			
如	如	ɕy434			
車	车	ʨy24	象棋		
舉	举	ʨy44			
據	据	ʨy52			
鋸	锯	kɤɯ52			
踞	踞	ku24	蹲		
去	去	kʰɤɯ52			
渠	渠	ɡɤɯ223	他		
距	距	ʥy223			
魚	鱼	ŋ434			
語	语	ŋy223			
虛	虚	ɕy24			
許	许	ɕy44			
餘	余	y434			
余	余	y434			
與	与	y223			
譽	誉	y231			
預	预	y231			
夫	夫	fu24			
膚	肤	fu24			
府	府	fu44			
斧	斧	fu44			
付	付	fu52			
傅	傅	fu52			
俘	俘	fu24			
麩	麸	fu24			
符	符	fu434			
扶	扶	fu434			
芙	芙	fu434			
泭	泭	vɑʔ23	泡沫		
父	父	vu223			
腐	腐	vu223			
無	无	u434			
巫	巫	u434			
誣	诬	u434			
武	武	mu223			
舞	舞	mu223			
務	务	mu231			
霧	雾	mu231			
取	取	ʨʰy44			
娶	娶	ʨʰy44			
趣	趣	ʨʰy52			
聚	聚	ʑiɯ223	徛聚（站攏）		
聚	聚	ʥy223	聚會		
須	须	ɕy24			
鬚	须	su24			
需	需	ɕy24			
蛛	蛛	ty24			
拄	拄	ty52			
廚	厨	ʨy434			
柱	柱	ʥy223			
住	住	ʥy231			
數	数	su44	動詞		
數	数	su52	名詞		
朱	朱	ʨy24			
珠	珠	ʨy24			
主	主	ʨy44			
注	注	ʨy52			
蛀	蛀	ʨy52			
輸	输	ɕy24			
殊	殊	ɕy434			
豎	竖	ʑy223			
樹	树	ʑy231			
儒	儒	ɕy434			
拘	拘	ʨy24			
句	句	ʨy52			
區	区	ʨʰy24			
具	具	ʥy231			
寓	寓	ȵy231			
於	于	y434			
雨	雨	y223			
芋	芋	u231			
愉	愉	y434			
裕	裕	y231			
戴	戴	ta52			
胎	胎	tʰe24			
台	台	tʰe24	台州		
態	态	tʰe52			
貸	贷	de231			
臺	台	te434	臺灣		
代	代	de231			
袋	袋	de231			
耐	耐	na231			
來	来	le434			
災	灾	tse24			
再	再	tse52			
猜	猜	ʦʰe24			
彩	彩	ʦʰe44			
菜	菜	ʦʰe52			
才	才	se434			
材	材	se434			
財	财	se434			
裁	裁	se434			
在	在	ze223			
賽	赛	se52			
該	该	ke24			
改	改	ke44			
概	概	ke52			
開	开	kʰe24			
咳	咳	kʰəʔ5			
呆	呆	ŋe434			
海	海	xe44			
愛	爱	e52			
貝	贝	pe52			
帶	带	ta52			
太	太	tʰa52			
泰	泰	tʰa52			
賴	赖	la231			
癩	癞	lɑʔ23			
蔡	蔡	ʦʰa52			
蓋	盖	ke52			
艾	艾	ŋa231	姓		
艾	艾	ue231	植物		
害	害	e231			
拜	拜	pa52			
排	排	pa434			
埋	埋	ma434			
