汉字	读音	注释			
鴉	a1				
牙	a2				
芽	a2				
啞	a4				
亞	a5				
巴	pa1				
爸	pa1				
把	pa3				
霸	pa5				
壩	pa5	堤~			
爬	pʰa2				
琶	pʰa2				
杷	pʰa2				
假	ka5	放~			
架	ka5				
駕	ka5				
嫁	ka5				
價	ka5				
卦	ka5	斜體			
誇	kʰa1	斜體			
掛	kʰa4	斜體			
雅	ŋa4				
瓦	ŋa4				
他	ha1				
蝦	ha1				
霞	ha2				
瑕	ha2				
廈	ha6	~門			
下	ha6				
夏	ha6				
查	tsa1	山~			
渣	tsa1				
怕	pʰa5				
媽	ma1				
麻	ma2				
痲	ma2				
馬	ma4				
碼	ma4				
罵	ma6				
花	fa1				
化	fa5				
打	ta3				
拿	la2				
家	ka1				
加	ka1				
瓜	ka1	斜體			
假	ka4	真~			
寡	ka4	斜體			
炸	tsa5				
叉	tsʰa1				
差	tsʰa1				
茶	tsʰa2				
搽	tsʰa2				
查	tsʰa2				
莎	sa1				
沙	sa1				
紗	sa1				
灑	sa4				
娃	wa1				
蛙	wa1				
華	wa2				
畫	wa3				
話	wa6				
也	ja4				
爹	tɛ1				
騎	kʰɛ2				
茄	kʰɛ4				
遮	tsɛ1				
姐	tsɛ3				
者	tsɛ4				
借	tsɛ5	~故			
蔗	tsɛ5				
謝	tsɛ6				
車	tsʰɛ1				
邪	tsʰɛ2				
且	tsʰɛ4				
斜	tsʰɛ5				
些	sɛ1				
賒	sɛ1				
蛇	sɛ2				
社	sɛ3				
寫	sɛ4				
捨	sɛ4				
瀉	sɛ5				
赦	sɛ5				
舍	sɛ5				
射	sɛ6				
耶	jɛ2				
爺	jɛ2				
惹	jɛ3				
野	jɛ4				
夜	jɛ6				
靴	hœ2				
波	pɔ1				
菠	pɔ1				
玻	pɔ1				
棵	pʰɔ1				
婆	pʰɔ2				
破	pʰɔ5				
跛	pʰɔ5				
魔	mɔ1				
磨	mɔ2				
蛾	ŋɔ2				
鵝	ŋɔ2				
我	ŋɔ4				
餓	ŋɔ6				
拖	hɔ1	斜體			
駝	hɔ2	斜體			
舵	hɔ2	斜體			
荷	hɔ2	~花			
河	hɔ2				
何	hɔ2				
可	hɔ4				
妥	hɔ4	斜體			
橢	hɔ4	斜體			
摸	mɔ3				
磨	mɔ6	石~			
科	fɔ1				
火	fɔ3				
課	fɔ5				
貨	fɔ5				
多	tɔ1				
惰	tɔ6				
囉	lɔ1	~唆			
羅	lɔ2				
鑼	lɔ2				
籮	lɔ2				
埾	lɔ4				
糯	lɔ6				
歌	kɔ1				
哥	kɔ1				
果	kɔ3				
個	kɔ5				
過	kɔ5				
賀	hɔ6				
左	tsɔ3				
阻	tsɔ3				
座	tsɔ6				
助	tsɔ6				
坐	tsɔ6				
搓	tsʰɔ1				
初	tsʰɔ1				
雛	tsʰɔ1				
楚	tsʰɔ5				
坐	tsʰɔ4	動詞			
錯	tsʰɔ5				
鋤	tsʰɔ5				
錯	tsʰɔ5	~誤			
疏	sɔ1				
唆	sɔ1	囉~			
梳	sɔ1	~頭			
傻	sɔ2				
鎖	sɔ3				
瑣	sɔ3				
所	sɔ3				
鍋	wɔ1				
窩	wɔ1				
和	wɔ2	~氣			
禾	wɔ2				
禍	wɔ6				
屙	ɔ1				
痾	ɔ1				
知	tsi1				
蜘	tsi1				
枝	tsi1				
資	tsi1				
芝	tsi1				
豬	tsi1	斜體			
珠	tsi1	斜體			
紫	tsi3				
紙	tsi3				
只	tsi3				
址	tsi3				
指	tsi3				
止	tsi3				
趾	tsi3				
痣	tsi5				
住	tsi6	斜體			
自	tsi6				
痔	tsi6				
雌	tsʰi1				
池	tsʰi2				
遲	tsʰi2				
詞	tsʰi2				
瓷	tsʰi2				
慈	tsʰi2				
始	tsʰi3				
恥	tsʰi3				
柿	tsʰi3				
刺	tsʰi5				
賜	tsʰi5				
翅	tsʰi5				
次	tsʰi5				
廁	tsʰi5	~所			
撕	si1				
施	si1				
師	si1				
獅	si1				
屍	si1				
時	si2				
鰣	si2				
使	si3-				
史	si3				
屎	si3				
鼠	si3	斜體			
似	si4	斜體			
市	si4				
試	si5				
是	si6				
鼓	si6				
寺	si6	斜體			
示	si6				
視	si6				
士	si6				
事	si6				
于	ji1				
醫	ji1				
衣	ji1				
依	ji1				
兒	ji2				
宜	ji2				
儀	ji2				
移	ji2				
疑	ji2				
姨	ji2				
魚	ji2	斜體			
漁	ji2	斜體			
娛	ji3	斜體			
餘	ji3	斜體			
遇	ji3	斜體			
倚	ji3				
椅	ji3				
雨	ji4	斜體			
字	ji4	斜體			
禹	ji4	斜體			
議	ji4				
耳	ji4				
以	ji4				
意	ji5				
遇	ji6	斜體			
寓	ji6	斜體			
愉	ji6	斜體			
義	ji6				
易	ji6	容~			
二	ji6				
預	ji6				
譽	ji6				
呼	fu1				
膚	fu1				
敷	fu1				
孵	fu1				
夫	fu1				
符	fu2				
扶	fu2				
芙	fu2	~蓉			
苦	fu3				
虎	fu3				
府	fu3				
斧	fu3				
俯	fu3				
婦	fu4				
庫	fu5				
褲	fu5				
富	fu5				
副	fu5				
付	fu6				
傅	fu6				
父	fu6				
附	fu6				
赴	fu6				
姑	ku1				
孤	ku1				
古	ku4				
估	ku4				
股	ku4				
鼓	ku4				
故	ku5				
固	ku5				
顧	ku5				
烏	wu1				
污	wu1				
胡	wu2				
壺	wu2				
鬍	wu2				
滸	wu3	水~			
戶	wu6				
互	wu6				
護	wu6				
芋	wu6				
孤	wu2?	疑為弧			
弧	wu2	原文寫作孤			
朱	tsy1				
主	tsy3				
煮	tsy3				
箸	tsy5	筷子			
蛀	tsy5				
字	tsy6	斜體			
廚	tsʰy2				
署	tsʰy3				
儲	tsʰy4				
處	tsʰy4	相~			
柱	tsʰy4				
書	sy1				
舒	sy1				
輸	sy1				
薯	sy2				
暑	sy3				
樹	sy6				
於	jy1				
如	jy2				
愚	jy2				
語	jy4				
與	jy4				
羽	jy4				
乳	jy4				
挨	ai1	~住			
擺	pai3				
拜	pai5				
敗	pai6				
排	pʰai2				
牌	pʰai3				
派	pʰai5				
埋	mai2				
買	mai4				
賣	mai6				
塊	fai5				
快	fai5				
筷	fai5				
帶	tai5				
戴	tai5				
大	tai6				
拉	lai1				
乃	lai4				
奶	lai4				
癩	lai5				
賴	lai6				
皆	kai1				
佳	kai1				
街	kai1				
乖	kai1	斜體			
解	kai3	~開			
介	kai5				
界	kai5				
芥	kai5				
戒	kai5				
涯	ŋai2				
捱	ŋai2	~打			
孩	hai2				
鞋	hai2				
蟹	hai4				
態	hai5	斜體			
貸	hai5	斜體			
太	hai5	斜體			
泰	hai5	斜體			
齋	tsai1				
債	tsai5				
寨	tsai6				
猜	tsʰai1				
釵	tsʰai1				
豺	tsʰai2				
柴	tsʰai2				
曬	sai5				
乖	kwai1				
柺	kwai3				
怪	kwai5				
歪	wai1				
壞	wai6				
批	pʰɐi1				
閉	pɐi5				
幣	pɐi6				
