tʰa	2	塔踏																																															
ta	1	瘩哒																																															
ta	2	答搭达跶{跌，∽着}																																															
ta	3	打																																															
ta	5	大																																															
na	1	拉他{白}啦娜邋垃																																															
na	2	拿呐钠衲捺蜡腊																																															
na	3	哪喇{∽叭}□{∽口}																																															
na	5	那捺																																															
tsa	1	渣喳楂{山∽}奓{张，∽嘴}																																															
tsa	2	杂扎砸炸{油~}																																															
tsa	3	齄□{∽包}																																															
tsa	5	诈炸榨																																															
sa	1	沙纱莎砂鲨裟痧杉萨																																															
sa	2	杀刹煞撒{∽饭}靸{∽鞋}																																															
sa	3	洒撒{∽水}傻																																															
sa	5	啥																																															
tsʰa	1	叉杈差蹅{踩，∽田}																																															
tsʰa	2	茶查察擦插																																															
tsʰa	3	□{~口}																																															
tsʰa	5	岔																																															
ka	1	嘎																																															
ka	2	夹{白}蟹{螃∽}圿{垢泥}																																															
ka	3	□{肉}□{∽球防卫}																																															
kʰa	1	咖卡{∽油}咔旮																																															
kʰa	2	掐□{跨}																																															
kʰa	3	卡□{一∽}																																															
kʰa	5	胯																																															
ŋa	3	哑{白}□{傻}																																															
ŋa	5	压{白}																																															
xa	1	哈□{∽东西}																																															
xa	2	搳{∽痒}蛤																																															
xa	3	傻{白}																																															
xa	5	下{白，一∽}																																															
a	1	阿																																															
a	3	啊																																															
a	5	那{白，∽点}																																															
tsua	1	抓蚱																																															
tsua	2	啄□{脚踢}□{低头}																																															
tsua	3	□{手不利索}爪																																															
sua	3	耍																																															
sua	2	刷																																															
zua	2	挼{揉}																																															
kua	1	瓜呱																																															
kua	2	刮括{∽弧}																																															
kua	3	寡剐																																															
kua	5	挂卦褂																																															
kʰua	1	夸																																															
kʰua	2	瘸{口语。手残、手僵}																																															
kʰua	3	垮																																															
kʰua	5	跨挎																																															
xua	1	花划{白，刀∽}																																															
xua	2	划{∽算}华滑																																															
xua	5	化话画划{一∽}																																															
ua	1	蛙挖哇娲																																															
ua	2	娃袜																																															
ua	3	瓦捾{舀}																																															
ua	5	洼凹																																															
pia	3	瘪																																															
pia	5	□{踏、抹}																																															
pʰia	5	□{用巴掌打}																																															
tia	1	爹{白}																																															
nia	1	粘																																															
nia	2	□{拖沓}																																															
nia	3	□{舔}																																															
nia	5	□{瘸}																																															
tɕia	1	加嘉家稼佳枷茄																																															
tɕia	2	甲钾岬夹{文}																																															
tɕia	3	假贾{姓~}																																															
tɕia	5	价架驾嫁																																															
tɕʰia	2	恰掐{文}□{跨}																																															
tɕʰia	3	卡{一∽，量词}																																															
ɕia	1	虾																																															
ɕia	2	霞吓{文}狭峡侠瞎匣																																															
