#a
p[53]爸疤巴[31]爬[55]把[45]霸欛壩[213]罷
pʰ[31]麻[55]媽[24]馬[213]罵
f[53]花[45]化
t[55]打
tʰ[53]他它
n[31]拿
tʃ[53]抓渣[45]詐榨炸
tʃʰ[53]差{~別，參~，~價}差叉[45]岔
ʃ[53]沙紗[31]茶查搽[55]耍灑
k[53]家加嘉[55]假賈[45]嫁駕稼價假
kʰ[55]卡
ŋ[31]牙芽[24]瓦雅
x[53]蝦[31]霞
kʷ[53]瓜[55]寡[45]掛卦
kʰʷ[53]垮誇跨
ʔ[53]鴉[55]啞[45]亞
j[24]下[213]下
#o
f[55]火夥[45]貨
ŋ[24]我
x[213]賀
kʷ[53]鍋[55]果[45]個過
kʰʷ[55]棵[45]課
w[53]窩[31]禾和[24]禍
#ø
p[53]波玻坡[45]播簸[213]簸{~箕}
pʰ[55]頗[45]破
m[53]摸魔摩[31]磨[213]磨
t[53]多[31]駝馱[55]朵躲左[24]妥[213]惰
tʰ[53]搓拖[55]妥{又}[45]錯
n[45]挪[213]糯
l[31]羅鑼籮腡
θ[53]蓑梭[55]鎖瑣[24]坐[213]座
k[53]歌
kʰ[55]可
ŋ[31]蛾鵝俄[213]餓
x[53]靴[31]河何荷[213]賀{又}
#ɛ
t[53]爹[45]借
θ[53]些[31]寫{又}邪[55]寫[45]卸瀉[213]謝{又}
tʃ[53]遮[55]者姐
tʃʰ[53]車[55]扯
ʃ[31]蛇[55]捨[24]社[45]舍赦[213]射
ȵ[24]惹
k[53]茄
j[24]也野[213]夜
#i
p[53]碑卑悲[31]皮脾疲[55]比譬[24]被[45]蔽閉臂秘[213]敝弊幣斃鼻避蓖備被
pʰ[55]鄙彼[45]屁
m[31]微迷謎眉[24]尾[45]謎{又}[213]昧未味
t[53]資姿茲滋雌[55]子姊紫[213]地
tʰ[55]此[45]次賜刺
n[24]你[213]膩
l[31]離籬梨釐狸
θ[53]斯撕私司絲獅思[31]瓷糍慈磁辭詞祠飼[55]死[24]似祀[45]四肆[213]自寺事字
tʃ[53]蜘枝肢之芝妓支知[55]脂紙只旨指止址[45]智致至志誌痣置[213]治
tʃʰ[55]齒恥始[45]翅
ʃ[53]尸屍師施詩[31]池馳匙時遲[55]屎史[24]是柿[45]世試[213]示視士市
ȵ[31]而兒宜疑[24]耳議[213]二義
k[53]基飢幾{~乎}機譏[31]旗奇其期棋麒[55]己幾紀[45]寄季記既[213]技忌
kʰ[55]啟
x[53]欺犧希稀[55]起豈喜[45]器棄氣汽戲
ʔ[53]醫衣依[31]移夷姨遺[55]倚椅伊[24]已以[45]意[213]異易
#u
p[31]蒲葡脯[55]補[24]薄[45]布佈[213]部簿{又}步
pʰ[53]鋪{~設}[55]甫捕普譜輔[45]鋪{店~}
m[53]模{~範，~子}[31]無[24]武母舞[213]務霧暮慕墓募
f[53]呼敷麩膚夫[31]扶胡[55]虎苦府腑斧[45]褲富傅[213]付護負附父腐戶{又}
tʰ[55]土[45]醋吐
l[31]盧爐蘆驢[24]魯櫓滷[213]露路
ts[53]租[55]組祖[45]做{又}
tsʰ[53]粗[45]兔
θ[53]酥蘇[45]素訴塑嗉漱
tʃ[55]阻[213]助
tʃʰ[55]楚礎
ʃ[53]梳疏[31]鋤[55]數[45]數
k[53]估姑辜孤[55]古股鼔[45]故固雇顧
kʰ[53]枯[45]庫
ʔ[53]烏[31]湖糊狐葫壺鬍煳符[24]戶[45]惡[213]互
#y
