	注釋：=文讀，-白讀
#i	
p	[1]卑碑蜱悲陂{下～：地名}□{上級訓斥下級}[2]脾蓖啤裨痹{～症}枇琵[3]比妣彼鄙{邊～}秕匕[5]閉泌秘庇蔽臂陛毖賁{～臨}痹{麻～}費{姓}[6]幣備被=弊斃避婢敝
pʰ	[1]披丕胚坯啡[2]脾{～氣}皮=疲[3]否痞疕{堅～}□{極小，一～仔}鄙{卑～}[5]譬屁=
b	[1]咪{呼鴨聲}眯微{～過來}[2]眉=嵋楣微薇彌{～勒}麋靡糜=眯{長睡}[3]米美=尾=娓[6]未=味沕{降水～：潛水}
t	[1]知=蜘豬誅嘀[2]池馳弛遲除持-鋤{～頭}躇{躊～}儲{姓}踟詆滯提{～防}[3]底=抵砥骶柢邸詆{又}[5]致緻知{～識}智置蒂-著戴-[6]治弟-稚痔箸佇{在，無～}己{家～}
tʰ	[1]黐{粘～～}[2]啼苔-{青～}雉{～雞}鋤{～草}□{拖延，～時間}[3]企恥儲{～蓄}貯佇{～立}苧纻□{撕}扯{俗寫}褫抒杼[5]剃
l	[2]厘狸驢簾漓籬魑璃{琉～}鸝閭罹廬{～墓}[3]李履裏{公～}理俚鯉哩女汝{你}旅屢褸鬁{～瘰：瘰鬁}[5]□{撕開，～紙}[6]利=俐痢莉離吏慮濾呂鋁侶例厲蒞
ts	[1]之芝支肢枝脂趑氏{閼～}膣[2]糍{麻～}蜍薯鶿[3]旨指=止址芷祉趾只枳咫子-{廚～}籽姊笫{床～}紫煮黹{針～}渚楮{～紙}紙=主=[5]痣摯幟識{款～}質{人～}志誌至制製漬{淤～：骯髒}□{茭～：稻草編成的袋子}[6]舐聚巳
tsʰ	[1]蛆鰓-腮-{牙槽～}癡{～心}趄狙疽芻雛趨雌差{參～}雎媸{妍～：美醜}淒悽舒{鋪，～席仔}蚩嗤[2]持徐□{～～：微濕}[3]鼠取侈杵齒=處{～理}[5]處{辦事～}刺趣{興～}試娶翅{魚～}熾嗤{又}[6]市飼
s	[1]司=書=屍西{～瓜}施詩絲俬思{相～}需濡須鷥蕬輸胥舒={～服}[2]時塒鰣辭{～職}璽蜍{蟾～：中藥}[3]死始暑署墅黍矢豕徙=弛[5]四-世=勢肆氏恕絮庶蟋薛弑=施{捨～：施合}[6]是寺示視序豉緒誓逝嶼敘豎諡樹=侍=恃峙嗜筮{～蔔}噬署{～名}曙似=
dz	[2]兒而如俞瑜愉喻渝榆逾儒孺□{竹～：中藥}茹□{亂}□{筢～：竹制的聚攏柴草的農具}庾臾萸[3]耳={木～，又}子{石～仔、棋～}乳{豆～}[6]二貳字-膩{細～：小心、客氣}喻諭餌□{地～：一種小蟲}裕{饒～：富有而得意}
k	[1]支-{量詞}枝-肢-技機饑肌譏璣嘰磯基箕吱居裾姬畿乩{童～：神漢}車=[2]其棋旗祺期麒琪騏奇畸琦崎渠祈沂祁瞿衢耆鰭岐歧俟{萬～：姓}[3]幾{～桌；～何}己杞紀圯麂指-舉矩莒[5]記砌倨據鋸踞計{夥～}既痣寄冀驥句{～讀}薊[6]己{家～，又}忌巨苣炬技{又}伎妓具懼俱颶拒距徛{～拐仔}
kʰ	[1]區嶇驅軀{～體}樞{又}欺祛㩻{歪、傾斜}駒拘蹊[2]騎=蜞{蜈～：水蛭}□{突起的傷疤}[3]齒-豈起[5]氣汽去器棄亟憩[6]柿忌{禁忌；怕，～油腥}
ɡ	[1]□{笑～～：笑的聲音}[2]禺愚喁隅儀宜誼疑娛虞魚=漁=[3]語擬蟻=禦圄[6]義議遇寓禦馭語{動詞}
h	[1]希稀唏晞晞浠欷烯犧墟{廢～}圩虛歔噓熙籲{嘆詞}熹嘻嬉禧羲曦[2]魚-漁-[3]喜許詡栩煦[5]酗戲肺-覷[6]耳-
∅	[1]衣依伊{他、她}醫淤{～泥}漪[2]餘餘愉於{姓}於移夷胰姨痍怡貽飴竽予彝頤輿諛迤蛇{委～}歟[3]椅已以倚=綺與羽宇禹雨=傴[5]意嫗淤{～漬}翳薏矣噎懿癔裔瘀□{臭柑～籠}[6]曳芋預{算數；開始}異易豫肄譽
#u	
p	[2]炰{烤，～番薯}□{做～：在一起}□{一～尿：一泡尿}匏[5]富[6]孵
pʰ	[2]浮-芙{蓉～}□{油炸或在糖裏煮}[3]斧殕{臭～：發黴}□{地～，鼠婦}□{不明}[5]□{～藥：吹藥末入患處}[6]□{沸騰溢出}卟{鳥～～飛}
b	[2]無蕪毋誣{～賴}[3]母{老～}武鵡侮舞撫嫵廡[6]務霧騖□{口中噴出}巫誣{～告}□{視物模糊}婺
t	[1]推堆蛛嘟拄{頂住}[2]廚櫥躕躇[3]拄{～著}抵{～數}□{頂撞}[5]注-{量詞，一～錢}□{耐、經受}[6]□{門～：頂門杠}□{懊～～：臉色陰沉}
l	[1]推{又}堆{又，腫一～}[3]女愈[5]□{揩拭，～鍋仔}[6]□{～倒：滑倒}澍{瀉}
ts	[1]朱珠硃株茱侏邾蛛諸咨姿茲滋孳資趑{又}恣孜貲淄錙輜□{呼雞聲}[2]慈磁瓷茨薯{又，～茛}[3]主-子=梓仔[5]注柱駐蛀鑄註[6]自住{對不～}□{墊襯，尿～}
tsʰ	[1]舒{又}趨{傾斜}[2]玼疵[3]此[5]次厝趣{～味}[6]□{又，～倒：滑倒}澍{噴射，～水}
s	[1]司=私=師=軀{渾～}樞{～紐}思{～想}斯嘶廝輸{～贏}[2]詞辭{～典}殊祠嗣飼=侍{～候}殳{姓}[3]史使={～用}駛={駕～}墅{又}[5]四=肆{放～}賜思{意～}駟泗使{出～}[6]士仕事似{又}姒祀俟澍伺耜嶼{鼓浪～}
dz	[3]乳=[6]字=裕{又，富～}
k	[1]龜-□{蹲}痀{un3～：駝背}[2]□{挖取，土～起來}[3]久-韭-[5]句□{～燒～冷}炙[6]舊-舅-咕{雞～～啼}
kʰ	[1]丘-邱-坵-軀{身～}[2]□{蹲}[6]臼-柩{量詞，一～棺材}□{～～tsun1：發抖}
ɡ	[2]牛-[6]□{嬰～：幼雅}
h	[1]夫=膚=伕敷{輕撫}麩={米～}孚桴呋灰{火～}烌{火～：火灰}趺{～坐}[2]俘扶芙蚨浮蜉鳧=涪{～陵}[3]府俯腑腐甫脯{肉～}拊斧釜[5]付咐訃赴富副賦[6]父婦={～女}腐{豆～}附傅{師～}輔{～助}負蝜駙賻阜□{象聲詞，～～吼}
∅	[1]汙嗚{象聲詞}遷於{姓}□{骹頭～：膝蓋}□{塌～：凹陷處}[3]嗚{呼～仔：打嗝}[5]□{貼在熱處，～燒}塢{船～}[6]有-
#a	
p	[1]巴芭笆疤爸吧{酒～}□{打}粑[2]爸{又}琶[3]飽-把=靶[5]壩霸豹-吧伯{春秋五～}[6]爸{又}罷
pʰ	[1]葩{量詞，一～燈}脬{膦～：陰囊}[2]爬=[5]帕=[6]泡-□{～～顛}
b	[1]疤{皮膚上的小腫塊}[2]貓-{～仔：山貓}□{鴇母}麻{～痹}蝥{斑～}[6]密{嚴密無繼}碼{量詞}覓{找，～頭路}
t	[1]焦{乾燥}礁{白～：地名}哪{～啰：哪兒}□{～肘：形容孩子自立能力強}[3]嗒{吃、兒語}[5]罩-{口～}
tʰ	[5]□{撥，～開}
l	[1]拉{俗讀}啦喇[2]碌{～碡}□{沙～：蛤蜊}蟧{～ɡia2：喜蛛}鯪{～鯉：穿山甲}[6]耮{田～：農具}□{攪動}
