pi412變
pʰi33片
pʰi412騙
pʰi212片
bi224便
mi224棉
mi212面
ti52點店典
ti412墊
tʰi33天添
di224甜
di212田
li224連蓮
tsi33尖
tsi412劍
tsi52剪
tsʰi33簽淺
si33西
si52洗
si33鮮
si412綫
si33先
si52選
zi224錢全
tɕi33奸
tɕi412建
tɕi33肩
tɕi412見
tɕʰi212欠
tɕʰi33牽
dʑi224鉗
dʑi212健
ɕi52險顯
ȵi224年泥黏
ȵi212染驗
ȵi224嚴
ȵi212念
ȵi212耳
i224鹽巖
i212厭
i33炎
i224嫌
i212延
i224言
i212現
i33煙
i212藝
so33沙
so412曬
zo224茶蛇
ko33瓜
ko412掛
ko33掛
ŋo32瓦
xo33蝦花
xo412化
ɦo212下夏
ɦo224華壺户
ɦo212話
pu52把
pu412佈
pʰu212破
pʰu32譜
bu224爬婆簿步
mu224磨
mu32馬
mu212駡
fu52府付父
fu212富
vu224浮
vu32婦
u33烏
u224武
u212霧
ly32吕
tɕy52鬼舉鋸
tɕy32跪
tɕy412貴
tɕʰy32取
dʑy224渠
dʑy33龜
ɕy33靴
ɕy52許
ȵy32女
y32雨
y224余
y32遇芋裕
y212圍
mə33埋
tə33丢
tsə52織
tsʰə32出
zə32食
kə33個
təo33多
təo52躲賭
tʰəo33拖
tʰəo32土
dəo224圖
dəo32杜
nəo224奴
ləo212路
ləo224鑼螺
ləo212路
tsəo33租左租
tsəo52做
tsʰəo33初
səo52鎖所
səo412數
zəo32坐
kəo52古
kəo33歌
kəo52果
kəo33過箍
kəo52古
kʰəo52苦苦
kʰəo32可
kʰəo212課
kʰəo52苦
kʰəo33褲
ŋəo224鵝
ŋəo212餓
xəo52貨虎
ɦəo224河
ɦəo32禍
ɦəo224吴
sʮ212住
zʮ212樹
zʮ224柱鋤如柱
zʮ32豎
zʮ212樹
zʮ224池遲時
tɕiʏ52九
dʑiʏ224球
dʑiʏ212舅舊
ɕiʏ33休
ȵiʏ224牛
iʏ224油
iʏ32有
iʏ33優
iʏ212右
tsɿ33資
tsɿ52紙紫
tsɿ52子
tsʰɿ212刺
sɿ52四
sɿ33絲
sɿ52死
sɿ33師
zɿ212字
zɿ224祠
zɿ212寺
zɿ32柿
zɿ212事
zɿ32市
pø52半
pø412半
pø33搬
phø32判
bø224盤
mø32滿
tø52短
tø33端
tʰø33貪
dø224潭
dø32斷
nø224南
nø32暖
lø32亂
lø212亂
tsø412戰
tsø52轉
tsø33磚
sø33酸扇
sø52算
sø33閂
zø224船蠶
zø32善
kø33官
kø52感
kø33甘
kø52敢
kø33肝
kʰø33看寬
ŋø32軟
ŋø212岸
ŋø32軟
xø33歡
ɦø224含完
ɦø212换
ɦø224頑
ø33安
ø212暗汗
ø52碗
tɕiø52卷
tɕʰiø33圈
tɕʰiø212勸
dʑiø224權
ȵiø224原
iø212縣
iø224圓院
iø33冤
iø224園
iø212遠
iø224縣
pɨ52比
pʰɨ212屁
bɨ224皮幣被
mɨ224味
mɨ32米蟻
mɨ224眉
fɨ33飛
fɨ412肺
fɨ412費
vɨ224肥
tɨ33低
tʰɨ33梯
tʰɨ212剃
dɨ212地
dɨ224弟遞
dɨ212地
lɨ224犁梨李
zɨ224徐
zɨ212錘
tɕɨ33鷄
tɕɨ412寄
tɕɨ33饑
tɕɨ412記
tɕɨ52幾
tɕɨ412季
tɕʰɨ212去
tɕʰɨ33契
tɕʰɨ212器
tɕʰɨ412氣
dʑɨ224騎棋
ɕɨ33溪
ɕɨ212系
ɕɨ33戲
ɕɨ52喜
ɕɨ33希
ȵɨ212二
ȵɨ32藝
ȵɨ224泥兒
ȵɨ212二
ȵɨ224尾
ɨ212義
ɨ224移姨
ɨ33意衣
pɐ52寶飽
pɐ33包
pɐ52飽
pʰɐ212炮
bɐ52抱
mɐ212毛帽
