
i
p     [33]蓖{~麻}陂{~头：无闸门的水坝}蜱{牛~}未-{~时，另读 mi42 }味边-{衫裤~ ：衣服的镶边，另读 pin33}沕{潜水}[21]脾-{~ 胃，另读 pʰi21 }[31]米{大~ }匕比妣[44]蔽敝弊币毙闭-{关~，另读 pui44 }臂秘 泌庇痹{麻~ }□{吃东西不适应而引发病情}□{挡住渣滓或泡着的东西把液体倒出}[42]陛被{~迫}避 备惫辫-{~头毛：编辫子，另读 pin42}篾{竹~}[55]鳖憋瘪□{折起袖子或裤脚}□{~物：偷东西}□{~ 囝： 哨子}
pʰ    [33]披鼻[21]疲脾-{~气，另读 pi21 }琵枇[31]彼婢鄙痞疕{痂}[44]譬{~喻}屁-{~股，另读 pʰui44 }□{四处游荡}[55]撇-{~牛：用牛绳从侧边击打使牛右转，另读 pʰit5}
m    [33]面{~粉}[21]迷谜弥猕靡{~费，另读 mai55 }眉楣媚嵋微薇棉绵-{连~ ，另读 men21 }眠-{半  半醒：半睡半醒，另读 mɔi21、men21}[44]瞇{半闭着眼}[42]寐未-{~来，另读 pi33 }魅物-{东西，另读 mut21}[55]□{~物：什么东西}
t      [33]地- -{tsʰu44~ ：地皮，另读 ti42 }□{疑问代词，哪}[21]迟缠-{盘绕，另读 tsʰen21 }□ {tiau21~：故意}[31]底-{里~头：里面，另读 tɔi31 }□{物~ ：物什}□ {lai42~ ：很多}[44]戴-{~笠：戴帽子，另读 tai44 }帝-{~国主义，另读 tɔi44 }递缔蒂-{并~，另读 ti55、tai44 }渧 {tam21~：潮湿的样子}□{~笛：唢呐}[42]弟{老～：弟弟，另读 ti55 }第-{及~ ，另读 tɔi33 }地-{~方，另读 ti33 }碟-{~ 囝：小碟子，另读 tiap21 }□{物品装满容器}[55]弟{~ 囝：小男孩（又），另读 ti42 }蒂{脰~ ：脖子（又），另读 ti44、tai44 }□{~~tai55tai55： 多嘴多舌}
tʰ     [33]天-{~地，另读 tʰen33、tʰin55 }䋎{缝补}[21]堤{[（集）田黎切]}提啼苔{青~ [直尼切]}[31]体[44] 涕剃屉隶逮[42]添{添加}[55]铁□{猪 liam21~：猪的脾脏}
n     [33]□ {kʰan55~：好看}[21]汝{姓，另读 lu31 }泥尼妮梨-{山~：桃金娘，另读 li21}[31]女拟染-{~布， 另读ȵim31}[44]呢{语气词，表疑问}[55]□{细小}□{叹词，提醒对方注意}□{语气词，表疑问}□{~ 目： 闭眼}□{烂~烂 naŋ44：破破烂烂的样子}
l      [33]痢吏劙-{划开，另读 li44 }□{~lau33lau33：相混在一起}[21]离篱璃漓梨-{雪~ ，另读 ni21 }厘 狸-{狐~ ，另读 lai21 }鹂[31]吕铝侣旅李里{公~}里-{~面，另读 lai42 }理鲤娌[44]劙-{划开，另读li33}[42]虑厉励砺丽俪利-{胜~ ，另读 lai33 }俐莉莅[55]裂- -{mɛ55~ ：撕裂，另读 let5 }□ {kɛ33~树：桉树}□{乌~lak21kʰuak21：黑黢黢}
ts     [33]诸蜘支枝肢栀□{女阴}[21]钱[31]紫只{~有}脂姊旨指-{~导，另读 ki31 }黹{针~}子-{果~：水 果，另读ɬu31 }仔籽梓止趾址芷咫[44]著{显~ }际济霁知{~识，另读 tsai33 }智雉致稚至挚 置志箭煎{~鱼[子贱切]}□{姐姐}□{蜂、蝎子等用毒刺刺人或动物}[42]住-{~房，另读 tiu33 }巳{地支名 }痔治{~疗}峙舌{~苔，另读 tsʰi42}[55]接折-{~被：叠被子，另读tsip5 } -即-{~是：也就是，另读 tset5 }□ {副词，表强调}□{~tsɛ21：鹊鸲}
tsʰ    [33]妻凄萋雌疵痴嗤{~笑}饲{喂养，另读ɬu21 }鲜{生~：新鲜，另读ɬin31 }生-{~ 囝：生孩子，另读 tsʰɛ33、 ɬɛ33 、ɬaŋ33}[21]储{~蓄}殊脐-{另读 tsai21 }池驰持鹚{鸬~ }□{~尿：把尿}[31]侈豕矢似耻齿-{另读 kʰi31}[44]处{~理}处{~所}趣刺厕{另读 tsʰak5 }翅试弑[42]舌{哑流~ ：结巴（又），另读 tsi42 }蠞{梭 子蟹}[55]黐{粘贴}□{放~tsʰɔ55：腹泻}
ɬ      [33]舒须{必~ }需栖斯-{法西~ ，另读ɬu33}厮撕施私师-{老~ ，另读ɬu33 }蛳尸司-{公~ ，另读ɬu33 }丝-{~瓜：有棱丝瓜，另读ɬu33 }鸶思诗抒□{茅~ ：盖房顶用的已编成块的茅草}[21]匙时[31]暑署曙徙-{迁~ ，另读ɬua31 }死[44]絮庶世势婿-{女~ ，另读ɬai44 }四驷肆扇{风~ }□{分家~ ：分家产}□ {tsai33~：怎样}[42]序绪是氏豉狮嗜柿市寺-{另读ɬu42 }蚀-{~本，另读ɬet21}[55]竖戍树-{~立，另 读 tsʰiu33 }逝祀□{天~ ：天空打闪}
ȵ     [21]儿-{~戏，另读 lu21}[31]语尔-{另读 lu31 }迩耳-{木~ ，另读 hi42 }□ {kau31~：笔管鱼}[44]齞{~牙： 龇牙}[42]义议[55]曳{牵住}□{翻~仰：四脚朝天}
j      [33]二贰[21]茹余舆{~论}儒蠕愚虞娱禺盂榆逾愉瑜萸禹宜仪移-{转~ ，另读 tsua21 }谊 夷胰遗{后~症，另读 ui21 }疑怡颐[31]如与宇予雨-{谷~ ：节气名，另读 heu42 }羽已以[42] 驭御誉预豫愈妪遇寓喻谕裕吁{呼~ }易{难~}肄{~业}异
k     [33]居奇{~数}羁饥{~饿}肌-{~肤，另读 kɔi33 }几{茶~}基箕姬几{~乎}机-{~会，另读 kɔi33、kui33 }讥饥{~荒}□ {ka55~ ： 自己}[21]棋旗舷-{边缘处，另读 hin21}[31]举莒矩指-{用手指着，另读 tsi31 }己纪杞几-{~何，另读 kui31}[44]计-{~划，另读 kai44 、kɔi44 }继冀痣记既暨见-{~面，另读 kin44}[42] 巨拒距炬据俱具惧飓技妓伎忌-{~讳，另读 kʰi33}[55]瞿癯{㾪㾪~~：很瘦}诀□{鬼~：鬼魅}□{目~ ：眼圈}□{七老八~：又老又丑}
kʰ    [33]枢拘驹区{~别}驱躯㩻{倾斜}欺忌-{~喙：忌口，另读 ki42 }蹊[21]奇歧琦芪祁其期琪蜞 淇麒祈[31]起岂齿-{另读 tsʰi31}[44]器气-{空~ ，另读 kʰui44 }汽[55]缺
ŋ     [55]□{~ŋiau55：尖利的猫叫声}
h     [33]牺熹羲熙禧希稀虚嘘砚[21]年□{~机：旧式织布机}□{敨气~hɛ21：气喘吁吁}[31]许栩 诩喜[44]系{~统}系{连~}系{确~实情}戏弃□{甩}[42]士-{~ 囝：士，象棋子名，另读ɬu42 }耳-{~机，另读 ȵi31 }饵[55]嬉嘻
∅     [33]於{~此}淤伊医衣依[21]姨圆-{~形，另读jin21}[31]椅倚-{挨~：倚靠，另读 ua31}[44]意薏{~米}□{~ɛ44：安蝉}[55]饫{饱~~ ：吃东西吃撑了}□{植物的幼芽}□{狭~~ ：非常狭窄}

u
p     [33]伏{孵[扶富切]}[21]浮-{~ 山岭：山名，另读 pʰu21 、huau21 }匏{~瓜：瓠子}□{放到炭火里烤}□{量 词，用于计量屎尿的数量，相当于“泡 ”}[44]布{公~}怖[42]部步-{进~ ，另读 peu33 }妇-{新~ ：儿媳， 另读 hu42}[55]□{蹲着}□{~奶：父之姐}
pʰ    [33]铺{~设}敷-{另读 hu33}[21]蒲葡浮-{~水莲，另读 pu21 、huau21}[31]谱圃普浦溥莆捕哺甫 脯{果~ ，另读 peu31}[55]□{无 kʰuaŋ44~：比不上}
m    [21]模{~范}抚[31]武鹉舞-{跳~ ，另读 meu42 }母-{~亲，另读 pɔ31 }拇-{~指，另读 pɔ31 }侮姆[44]暮 慕募雾[42]务戊[55]模-{~板，另读 peu21}摹{~仿}巫诬
w     [55]□ {au44~ ：不舒服（儿）}
