来源	**《安徽全椒县志》与胖丁实地调查结合，****“****胖丁****”****整理修改**
方言点	安徽省全椒县城
方言归属	江淮官话洪巢片南京小片
说明	音系排列，先以韵母为序，在同韵的字里按声母的顺序排列，声母相同的按声调排列。
符号说明	“*”表示写不出来的字
调值	①阴平31 ②阳平24 ③上声33 ④去声554 ⑤入声5
	#ɿ
ts	①滋资姿③紫姊子籽仔{～鸡}④自字
tsʰ	②瓷糍慈磁辞祠词③此④刺赐次伺候
s	①斯撕嘶些{好～子：多少}私师狮蛳{螺～}司丝思厕（白）{茅～}③死使史驶筛④四肆似巳寺饲士仕柿事恃侍
	#ʅ
tʂ	①支枝肢桅知之芝③旨指纸只止址④翅制智致至痔治志痣置{～家具}
tʂʰ	①痴跐{下雨，路上～得很}②池驰匙{汤～}迟持治{治鱼}③齿耻始④滞{～住着：很黏的样子}（0）匙{钥～}
ʂ	①施尸③屎④世势誓逝是氏示视嗜市试式{方～}（0）式{样～}
ɻ	①□{～到哪去着}
	#i
p	①屄③彼鄙比④秘
pʰ	①批胚坯纰砒②皮疲脾啤痹琵③痞擗{用手折断}④庇屁毙譬
m	①眯咪②迷谜泥弥猕③米④泥{～墙}
l	②犁黎倪尼梨厘霓③礼李里理拟鲤里你④厉励荔离例腻利
tɕ	①鸡稽讥肌基机几{茶～}几己纪④计继技妓寄记忌既季系{～鞋带}
tɕʰ	①溪妻欺期②奇骑歧祁其棋旗③启起岂④砌契器弃气汽嚏{打嚏喷[mə]：打喷嚏}
ɕ	①喜嬉希稀西奚④细系戏
ts	③挤济④际剂祭{～祖}济
tsʰ	①妻②齐脐④砌
s	①西③洗④细（0）婿{女～}
t	①爹低③底抵④第地屉
tʰ	①睇梯{看：～不见}②题提蹄③体④替剃
kʰ	④去
ʒ	①医衣依倚 ②宜仪移谊姨疑②姨{阿～}③椅已以④艺义议易意异毅忆亿 （0）宜{便～}
	#ɤ͡ʊβ
p	③补捕④布埠{蚌～}部步簿
pʰ	①铺潽②菩葡蒲③脯谱普蹼甫④铺埠
f	①夫敷麸②俘符扶浮③肤府腑俯斧腐辅阜④付傅赴父附富副妇负（0）夫{丈～}袱{包～}傅{师～}
β	①梧乌污巫诬呜②吴芜无③午武舞侮捂五伍④误悟务雾焐恶{可～}
t	①都③肚堵睹赌④度渡杜
tʰ	②图徒涂途屠③吐④吐兔
n	①噜②卢炉颅芦奴庐{～剧}③鲁卤虏④路露怒
ts	①租③祖组阻诅俎④助
tsʰ	①粗③楚础④醋
s	①酥苏稣蔬疏④数{～学}塑漱诉素嗉{鸡～子}（0）楚{清～}
tʂ	①猪诸蛛株朱珠③煮主嘱④柱驻住注蛀铸著
tʂʰ	①舒{～进水里}②除厨殊橱③拄褚处杵暑鼠拄署薯④处
ʂ	①书舒输④恕竖树墅
ɻ	②如茹儒③汝乳
k	①姑孤咕菇辜③估牯{～牛：公牛}股鼓古④故固雇顾（0）顾{照～}
kʰ	①箍枯骷②糊{～得着}③苦④裤
x	①乎呼烀②湖糊狐壶葫弧胡湖③虎浒戽{～水：用盆向外临空洒水}④户互护瓠
	#y
l	②驴庐{～江}③履旅吕铝屡缕侣④虑滤
tɕ	①居车矩拘驹③举④剧句巨据聚距具俱惧拒
tɕʰ	①区驱蛆躯胥趋②瘸茄渠瞿衢徐③取娶④趣祛序去（文）
ɕ	①需须嘘墟虚靴③许数{～数}④序絮绪
j	①於淤②鱼余于愉榆虞愚娱③雨语羽宇④誉御玉芋遇豫喻预
	#o
p	①波菠坡玻播巴{锅巴}③跛④簸
pʰ	①坡②婆③颇④破
m	①母{舅母}摸□{慢吞吞，磨磨蹭蹭}②魔磨膜馍蘑摩谋③某母牡亩姥{巢湖姥山岛，和县姥桥镇}④磨墓幕
t	①多③躲④舵剁跺垛惰
tʰ	①拖②驼驮陀③妥椭
l	①啰②箩萝罗螺锣骡挪娜哪{～吒}③裸④糯懦摞
ts	③左佐④坐座做
tsʰ	①搓磋初②矬昨锄④错措挫
s	①梳蓑梭唆③锁所④潲{～雨}
k	①哥锅歌戈过{饿～得着}③裹果④过个
kʰ	①棵科窠颗蝌柯③可④课嗑{～瓜子}
x	①呵{～卵泡：拍马屁}②河何荷和河禾③火伙④货祸贺和
	#uo
ø	①屙窝涡莴蜗阿{阿胶}②鹅俄蛾讹{～好多：差多少}③我④饿卧
	#a
p	①巴芭疤把扒趴笆粑{粑粑：家常饼}③把靶㞎{㞎㞎：婴儿语，粪便}④霸把坝爸耙罢巴{巴巴（后字轻声）：故意}
pʰ	①爬葩②扒{～窃手，即小偷}④怕
m	①蟆妈马②麻③马码蚂玛④骂
t	①爹{背称父}③打④大
tʰ	①他她它
l	①啦拉②拿③哪喇④娜那{～么}
s	③洒撒{～化肥}
tʂ	①查渣揸拃{一～}③鲊{～肉}④诈榨乍栅炸{～弹}□{水～一身}
tʂʰ	①差叉碴蹅{下雨天，～一脚泥}②茶搽茬查④衩差岔杈
ʂ	①沙纱砂痧鲨挱{分离，～西瓜}③傻④厦煞□{饭直～}
k	③朒{婴儿语，肉}
kʰ	①揢③卡□{～人，欺骗}④□{～裆，裤裆}□{跨}
x	①哈呵{～气}□{～一条缝}④下（白）
ø	①阿{阿爷：爸爸}
	#ia
pʰ	③□{痞，你看这人真～}
t	③嗲
tɕ	①家加佳嘉稼③假贾④借价嫁架驾
tɕʰ	①拤{把腰～着}③卡{发～}
ɕ	①虾②霞邪{文}斜{文}④下{文}厦夏
ø	①丫{～头}鸦呀②芽蚜崖涯衙伢牙③耶雅哑④亚轧
	#ua
