ɔ
p　[1]巴疤扒[2]拔[3]靶[5]耙{耙地}把霸罢爸坝
pʰ　[2]钯爬趴[5]怕
m　[1]妈[2]麻[3]马[5]骂
f　[2]乏伐罚筏阀
t　[2]□{农村盖房用的支撑泥、砖的架子。}[3]打[5]大
n　[2]拿[3]哪
l　[1]拉[2]□{用刀划。}
ts　[2]杂砸
s　[1]仨[3]洒
tʂ　[1]渣□{踩。}[2]铡闸札炸{油炸}[3]□{刹车工具。}[5]榨炸
tʂʰ　[1]差叉[2]茶搽查[3]□{两腿一前一后往前跳。}[5]岔杈差{错。}
ʂ　[1]沙纱[3]傻耍[5]厦啥□{过滤杂质。}
k　[3]□{形容特别不讲理。}
kʰ　[3]□{卡住。}
ŋ　[1]阿啊
iɔ
t　[2]□{底下的合音。}[5]□{步行。}
n　[2]年
l　[2]俩
tɕ　[1]家加嘉傢佳[3]假{真假}贾[5]假{假期}架嫁价驾
tɕʰ　[1]掐[3]卡{发卡}[5]洽
ɕ　[1]虾[2]峡霞辖[5]下夏吓
ø　[1]鸦丫[2]衙伢牙涯崖芽[3]雅哑[5]亚轧
uɔ
tʂ　[1]抓[3]爪{爪子}
tʂʰ　[3]抓{动物用抓子挠。}
k　[1]瓜刮{刮胡子}[3]寡[5]卦褂
kʰ　[1]誇夸[3]垮[5]跨挎
x　[1]花哗[2]滑猾华划[5]化划画话华{华山}
ø　[1]挖蛙[3]瓦[5]瓦{动词}
ɿ
ts　[1]资姿咨兹滋[3]紫子籽姊[5]自字
tsʰ　[1]□{用水等液体，借助工具喷射。}□{脚下滑动。}□{站}[2]词瓷慈祠雌辞垐{垐实}磁[3]此[5]次刺赐
s　[1]斯撕厮私司丝思[3]死[5]四肆寺似饲祀
i
p　[2]鼻[3]比秕鄙[5]币璧痹避蔽弊毙闭箅{箅子}壁
pʰ　[1]披劈批劈[2]琵裴皮疲[3]痞[5]屁
m　[1]眯[2]迷谜弥猕[3]米[5]□{“擦”的一种说法。}□
t　[1]低堤[2]的{目的}嫡笛敌籴狄□{卖米}[3]底抵[5]帝地弟第递
tʰ　[1]梯[2]提蹄[3]体题[5]替剃嚏
n　[2]泥尼[3]你[5]腻逆拟□{用脚擦。}
l　[1]璃哩[2]厘篱犁梨离{离别}[3]礼里李狸理鲤[5]利痢例厉沥栗砾历励丽吏
ts　[3]挤[2]集{赶集}[5]济际剂{一剂药}
tsʰ　[2]齐□{用刀切。}[5]砌
s　[1]西[2]席[3]洗[5]细
tɕ　[1]几{几乎}机基鸡饥肌几{茶几}[2]极及[3]几{几个}[5]纪技季记忌冀寄计系{系鞋带}
tɕʰ　[1]欺期妻[2]旗其棋奇畦{菜畦}[3]起[5]器弃去气
ɕ　[1]溪夕牺希稀[3]喜[5]戏系{连系}
ø　[1]医揖伊衣依[2]移夷遗姨疑毅[3]以尾[5]意易翼义议蚁疫易艺
u
p　[3]补[5]步布部
pʰ　[1]铺{铺设}[2]菩脯[3]普朴仆[5]铺{店铺}
m　[2]模{模子}[3]母牡拇[5]暮慕墓幕募目穆牧
f　[1]夫肤麸{麸子}[2]福扶幅蝠伏浮[3]府斧辅腐[5]凫付赋附父妇负富副复{复原}
t　[1]督都{都城}[2]独毒族读犊[3]赌堵[5]杜肚度渡镀
tʰ　[2]徒途图[3]土吐[5]兔
n　[2]奴[5]努怒
l　[2]炉芦庐[3]虏鲁[5]路露
ts　[1]租组[2]卒族足[3]阻祖
tsʰ　[1]粗[5]醋
s　[1]苏酥[2]俗塑[5]素诉嗉{鸟嗉子}
