"繁体"	"简体"	"IPA"	"注释"	"来源"	""	"#符號說明："	"音標後的“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"晚"	"晚"	"æ̃3"	"可能爲“晏”"	"蘇州同音字彙1892"	""	"#聲調："	"[1]陰平44 [2]陽平223 [3]陰上51 [4]陽上31 [5]陰去523 [6]陽去312 [7]陰入4 [8]陽入23"
"闇"	"闇"	"æ̃3"	"讀書音"	"蘇州同音字彙1892"	""	"#來源："	"樛木整理自《蘇州同音常用字彙》（載於《一百年前的蘇州話》）、《蘇州同音字彙1892》、《鄉音字類》"
"黯"	"黯"	"æ̃3"	"讀書音"	"蘇州同音字彙1892"	""	"#關於調值："	"Edkins於19世紀五六十年代（早於《蘇州同音字彙》的成書時間）記載的蘇州話單字調分別爲：[1]陰平53 [2]陽平13 [3]陰上55 [4]陽上31 [5]陰去35 [6]陽去113 [7]陰入5 [8]陽入1，僅供參考。"
"殷"	"殷"	"æ̃3"	"紫青綠~"	"蘇州同音字彙1892"	""	""	""
"言"	"言"	"ɦæ̃2"	"有一句~話。正字應爲“閒”"	"蘇州同音常用字彙"	""	"#說明1："	"《蘇州同音字彙1892》聲母w、y不區分清濁，半濁聲母m、n、l缺乏直接資料標明聲調陰陽者本表皆歸入陽調，故本表給出的陰陽調可能與實際有出入；另外韻母uah不區分[uɑʔ][uaʔ]，故該書中除有資料給出明確發音、區分者，其餘全記作[uɑʔ]"
"鹽"	"盐"	"ɦæ̃2"	""	"墳派"	""	"#說明2："	"本表有部分漢字選自陸基《蘇州同音常用字彙》，書中只給出了讀音但是沒有標聲調，故對於沒有明確資料記載漢字的讀音採用今音。對於與各資料記載不一致的讀音，給出的是推測的讀音，並在注釋中標出今音或資料中的標音。"
"銜"	"衔"	"ɦæ̃2"	"燕子~泥做窩"	"墳派"	""	""	""
"鹹"	"咸"	"ɦæ̃2"	"~味"	"墳派"	""	"#說明3："	"本表多數漢字選自《鄉音字類》，該書主要記載了十九世紀蘇州話文讀音，成書於1877年，作者陸懋修。"
"限"	"限"	"ɦæ̃6"	""	"墳派"	""	"#說明4："	"本表採用的擬音主要出自蔡佞《19世紀末的蘇州話》，但沒有採用ɒ、iɒ、uɒ，ɒʔ、iɒʔ、uɒʔ，依舊採用ɑ、iɑ、uɑ，ɑʔ、iɑʔ、uɑʔ"
"辦"	"办"	"bæ̃6"	""	"墳派"	""	""	""
"爿"	"爿"	"bæ̃6"	""	"墳派"	""	"#說明5："	"《蘇州同音字彙1892》中in韻分[iən][iɪn]，但分法存疑，一般以讀[iɪn]爲主，只有“人忍㣼認”明確記載讀[ȵiən]。其餘讀[-iən]者以論文《19世紀末的蘇州話》中的記載及韻書推導爲依據；該時期的蘇州話仍有字分[o][uo]，但也在合併階段；今e韻分[-e]和[-æ̃]，ie韻分[-ie]和[-iæ̃]。並且，[yn]都讀[yən]；[øʏ]都讀[əʏ]；今大部分[əu]讀作[u]，還有少數讀[uo]；[iø]有人擬作[yø]；[io]有人擬作[yo]；[ioŋ]有人擬作[yoŋ]；[ioʔ]有人擬作[yoʔ]；[iɑ̃]有人擬作[yɑ̃]（實際可能是[yɒ̃]）。"
"𨂝"	"𨂝"	"bæ̃6"	"一个虫~得唻"	"墳派"	""	"#說明6："	"發音盡量以其書中記載爲准。記音以蔡佞《19世紀末的蘇州話》中的擬音爲基準。此外，《蘇州同音字彙》及《鄉音字彙》聲調不分陰陽，則聲母爲次濁者除有資料支持者外，本人一般作歸入陽調處理。"
"緶"	"緶"	"biɛ̃4"	""	"墳派"	""	"#說明7："	"部分元音從19世紀末至今的演變路徑（可能）：
ʯ>ʮ 
ɔ>ɒ>o/ɑ>o/a（新派） 
uɒ>uɑ>ua（新派） 
部分u>ᵊu>əu 部分u>β̩/v̩ 部分u>o 
大部分uo>o 少部分uo>o>u>ᵊu>əu 
i>iⱼ>ɨ̻ y>yⱼ 
e>ᴇ ie>iᴇ>iɪ>i ue>uᴇ 
ɐɵ>ɐə>ɐ>æ 
iɐɵ>iɐə>iɐ>iæ 
əʏ>øʏ（ø爲左上標）>eɪ（新派） iʏ>y 
æ̃>ɛ>ᴇ iɛ̃>iɛ>iᴇ>iɪ>i uæ̃>uɛ>uᴇ 
œ̃>ø iœ̃>iø（有人把這裏的介音i擬作y是因爲受主元音œ̃、ø影響而變圓唇，其他還有io、ioŋ、ioʔ、iɔŋ亦同） uœ̃>uø 
iən>iɪn>in iɪn>in yən>yn 
aŋ>ã iaŋ>iã uaŋ>uã 
ɔŋ>ɒ̃>ɑ̃>ã（新派） iɔŋ>iɒ̃>iɑ̃>iã（新派） uɔŋ>uɒ̃>uɑ̃>uã（新派） iɔŋ>iɒ̃>iɑ̃>iã（新派） 
ɒʔ>ɑʔ>aʔ（新派）  iɒʔ>iɑʔ>iaʔ（新派）  uɒʔ>uɑʔ>uaʔ（新派） 
部分iɪʔ>iəʔ yɪʔ>yəʔ uoʔ>oʔ
"
"軿"	"軿"	"biɛ̃4"	""	"墳派"	""	""	""
"胼"	"胼"	"biɛ̃4"	""	"墳派"	""	"#說明8："	"在蔡佞的論文《19世紀末的蘇州話》中將翹舌音擬作[tʃ]、[tʃʰ]、[ʃ]、[ʒ]、[dʒ]，爲本表所採用的翹舌音擬音。陸基的翹舌音記爲[tʂ]、[tʂʰ]、[ʂ]、[ʐ]，與傳統意義上的老派蘇州話資料記音相同，不分[dʐ][ʐ]。李軍的論文《蘇州方言字書<鄉音字類>簡介及同音字彙》中把翹舌音擬作[tʂ]、[tʂʰ]、[ʂ]、[ʐ]、[dʐ]。其實在《鄉音字類》時代，[dz][z]、[dʐ][ʐ]就已出現相混的現象了，且之後分別併入[z]、[ʐ]；1877年陸懋修編纂的《鄉音字類》不區分[dz][z]，但1892年傳教士編纂的《蘇州方言字音表》仍區分[dz][z]，[dʐ][ʐ]則兩者都區分，不過該書中指出在當時的口語中[dʐ]位於詞首時讀作[ʐ]，[dz]位於詞首時讀作[z]。"
"駢"	"骈"	"biɛ̃4"	""	"墳派"	""	"#說明9："	"擬聲字的讀音以資料記載爲準，不類推。"
"骿"	"骿"	"biɛ̃4"	""	"墳派"	""	""	""
"楄"	"楄"	"biɛ̃4"	""	"墳派"	""	""	""
"蠙"	"蠙"	"biɛ̃4"	""	"墳派"	""	""	""
"楩"	"楩"	"biɛ̃4"	""	"墳派"	""	""	""
"洴"	"洴"	"biɛ̃4"	""	"墳派"	""	""	""
"幈"	"幈"	"biɛ̃4"	""	"墳派"	""	""	""
"卞"	"卞"	"biɛ̃6"	"姓"	"墳派"	""	""	""
"便"	"便"	"biɛ̃6"	""	"墳派"	""	""	""
"弁"	"弁"	"biɛ̃6"	"馬~"	"墳派"	""	""	""
"忭"	"忭"	"biɛ̃6"	""	"墳派"	""	""	""
"抃"	"抃"	"biɛ̃6"	""	"墳派"	""	""	""
"汴"	"汴"	"biɛ̃6"	""	"墳派"	""	""	""
"汳"	"汳"	"biɛ̃6"	""	"墳派"	""	""	""
"辨"	"辨"	"biɛ̃6"	""	"墳派"	""	""	""
"辮"	"辫"	"biɛ̃6"	""	"墳派"	""	""	""
"辯"	"辩"	"biɛ̃6"	""	"墳派"	""	""	""
"平"	"平"	"biɪn2"	""	"墳派"	""	""	""
"枰"	"枰"	"biɪn2"	""	"墳派"	""	""	""
"蘋"	"苹"	"biɪn2"	"~果"	"墳派"	""	""	""
"屏"	"屏"	"biɪn2"	"~風"	"墳派"	""	""	""
"瓶"	"瓶"	"biɪn2"	"油~"	"墳派"	""	""	""
"貧"	"贫"	"biɪn2"	""	"墳派"	""	""	""
"萍"	"萍"	"biɪn2"	"浮~"	"墳派"	""	""	""
"評"	"评"	"biɪn2"	"批~"	"墳派"	""	""	""
"憑"	"凭"	"biɪn2"	"~據"	"墳派"	""	""	""
"頻"	"频"	"biɪn2"	""	"墳派"	""	""	""
"顰"	"颦"	"biɪn2"	""	"墳派"	""	""	""
"伻"	"伻"	"biɪn2"	""	"墳派"	""	""	""
"牝"	"牝"	"biɪn4"	""	"墳派"	""	""	""
"病"	"病"	"biɪn6"	""	"墳派"	""	""	""
"彈"	"弹"	"dæ̃2"	""	"墳派"	""	""	""
"痰"	"痰"	"dæ̃2"	"~盂"	"墳派"	""	""	""
"談"	"谈"	"dæ̃2"	""	"墳派"	""	""	""
"壇"	"坛"	"dæ̃2"	""	"墳派"	""	""	""
"檀"	"檀"	"dæ̃2"	"~香"	"墳派"	""	""	""
"澹"	"澹"	"dæ̃2"	""	"墳派"	""	""	""
"坛"	"坛"	"dæ̃2"	""	"墳派"	""	""	""
"郯"	"郯"	"dæ̃2"	""	"墳派"	""	""	""
"惔"	"惔"	"dæ̃2"	""	"墳派"	""	""	""
"譚"	"谭"	"dæ̃2"	""	"墳派"	""	""	""
"淡"	"淡"	"dæ̃4"	""	"墳派"	""	""	""
"澹"	"澹"	"dæ̃4"	""	"墳派"	""	""	""
"憺"	"憺"	"dæ̃4"	""	"墳派"	""	""	""
"啖"	"啖"	"dæ̃4"	""	"墳派"	""	""	""
"啗"	"啗"	"dæ̃4"	""	"墳派"	""	""	""
"噉"	"噉"	"dæ̃4"	""	"墳派"	""	""	""
"嚪"	"嚪"	"dæ̃4"	""	"墳派"	""	""	""
"但"	"但"	"dæ̃6"	""	"墳派"	""	""	""
"蛋"	"蛋"	"dæ̃6"	"雞~"	"墳派"	""	""	""
"彈"	"弹"	"dæ̃6"	""	"墳派"	""	""	""
"憚"	"惮"	"dæ̃6"	"肆無忌~"	"墳派"	""	""	""
"田"	"田"	"diɛ̃2"	"租~"	"墳派"	""	""	""
"鈿"	"钿"	"diɛ̃2"	""	"墳派"	""	""	""
"畋"	"畋"	"diɛ̃2"	""	"墳派"	""	""	""
"沺"	"沺"	"diɛ̃2"	""	"墳派"	""	""	""
"甜"	"甜"	"diɛ̃2"	""	"墳派"	""	""	""
"填"	"填"	"diɛ̃2"	""	"墳派"	""	""	""
"滇"	"滇"	"diɛ̃2"	""	"墳派"	""	""	""
"蹎"	"蹎"	"diɛ̃2"	""	"墳派"	""	""	""
"闐"	"阗"	"diɛ̃2"	""	"墳派"	""	""	""
"磌"	"磌"	"diɛ̃2"	""	"墳派"	""	""	""
"佃"	"佃"	"diɛ̃2"	""	"墳派"	""	""	""
"鋋"	"鋋"	"diɛ̃2"	""	"墳派"	""	""	""
"湉"	"湉"	"diɛ̃2"	""	"墳派"	""	""	""
"恬"	"恬"	"diɛ̃2"	""	"墳派"	""	""	""
"殄"	"殄"	"diɛ̃4"	""	"墳派"	""	""	""
"簟"	"簟"	"diɛ̃4"	""	"墳派"	""	""	""
"佃"	"佃"	"diɛ̃6"	"~戶"	"墳派"	""	""	""
"殿"	"殿"	"diɛ̃6"	""	"墳派"	""	""	""
"澱"	"淀"	"diɛ̃6"	""	"墳派"	""	""	""
"墊"	"垫"	"diɛ̃6"	"~子"	"墳派"	""	""	""
"電"	"电"	"diɛ̃6"	"~報"	"墳派"	""	""	""
"甸"	"甸"	"diɛ̃6"	""	"墳派"	""	""	""
"奠"	"奠"	"diɛ̃6"	""	"墳派"	""	""	""
"靛"	"靛"	"diɛ̃6"	"~青"	"墳派"	""	""	""
"錠"	"锭"	"diɪn6"	"銀~"	"墳派"	""	""	""
"碇"	"碇"	"diɪn6"	"聲調類推：按韻書應讀陰去"	"蘇州同音常用字彙"	""	""	""
"㾃"	"㾃"	"du2"	""	"墳派"	""	""	""
"酡"	"酡"	"du2"	""	"墳派"	""	""	""
"砣"	"砣"	"du2"	""	"墳派"	""	""	""
"跎"	"跎"	"du2"	""	"墳派"	""	""	""
"駝"	"驼"	"du2"	""	"墳派"	""	""	""
"鮀"	"鮀"	"du2"	""	"墳派"	""	""	""
"紽"	"紽"	"du2"	""	"墳派"	""	""	""
"陀"	"陀"	"du2"	""	"墳派"	""	""	""
"佗"	"佗"	"du2"	""	"墳派"	""	""	""
"沱"	"沱"	"du2"	""	"墳派"	""	""	""
"鼉"	"鼍"	"du2"	""	"墳派"	""	""	""
"徒"	"徒"	"du2"	""	"墳派"	""	""	""
"圖"	"图"	"du2"	""	"墳派"	""	""	""
"途"	"途"	"du2"	""	"墳派"	""	""	""
"荼"	"荼"	"du2"	""	"墳派"	""	""	""
"菟"	"菟"	"du2"	""	"墳派"	""	""	""
"稌"	"稌"	"du2"	""	"墳派"	""	""	""
"峹"	"峹"	"du2"	""	"墳派"	""	""	""
"嵞"	"嵞"	"du2"	"~山，即會稽山"	"墳派"	""	""	""
"酴"	"酴"	"du2"	""	"墳派"	""	""	""
"屠"	"屠"	"du2"	"姓"	"墳派"	""	""	""
"陀"	"陀"	"du2"	""	"墳派"	""	""	""
"瘏"	"瘏"	"du2"	""	"墳派"	""	""	""
"鴕"	"鸵"	"du2"	"~鳥"	"墳派"	""	""	""
"堶"	"堶"	"du2"	""	"墳派"	""	""	""
"肚"	"肚"	"du4"	"~皮"	"墳派"	""	""	""
"杜"	"杜"	"du4"	"姓"	"墳派"	""	""	""
"橢"	"椭"	"du6"	""	"墳派"	""	""	""
"墮"	"堕"	"du6"	""	"墳派"	""	""	""
"嶞"	"嶞"	"du6"	""	"墳派"	""	""	""
"舵"	"舵"	"du6"	""	"墳派"	""	""	""
"渡"	"渡"	"du6"	""	"墳派"	""	""	""
"惰"	"惰"	"du6"	""	"墳派"	""	""	""
"大"	"大"	"du6"	""	"墳派"	""	""	""
"度"	"度"	"du6"	""	"墳派"	""	""	""
"鍍"	"镀"	"du6"	"~金"	"墳派"	""	""	""
"慈"	"慈"	"dzɿ2"	""	"蘇州同音字彙1892"	""	""	""
"磁"	"磁"	"dzɿ2"	""	"蘇州同音字彙1892"	""	""	""
"磁"	"磁"	"zɿ2"	"~石"	"蘇州同音常用字彙"	""	""	""
"辭"	"辞"	"dzɿ2"	""	"蘇州同音字彙1892"	""	""	""
"詞"	"词"	"dzɿ2"	""	"蘇州同音字彙1892"	""	""	""
"嗣"	"嗣"	"dzɿ6"	""	"蘇州同音字彙1892"	""	""	""
"瀉"	"泻"	"dzɑ6"	""	"蘇州同音字彙1892"	""	""	""
"財"	"财"	"dze2"	""	"蘇州同音字彙1892"	""	""	""
"才"	"才"	"dze2"	""	"蘇州同音字彙1892"	""	""	""
"材"	"材"	"dze2"	""	"蘇州同音字彙1892"	""	""	""
"裁"	"裁"	"dze2"	""	"蘇州同音字彙1892"	""	""	""
"垂"	"垂"	"dze2"	""	"蘇州同音字彙1892"	""	""	""
"隋"	"隋"	"dze2"	""	"蘇州同音字彙1892"	""	""	""
"隋"	"隋"	"ze2"	"~朝"	"蘇州同音常用字彙"	""	""	""
"瑞"	"瑞"	"dze4"	""	"蘇州同音字彙1892"	""	""	""
