字	注释	张集	大杨集	李老家	田庙	郑集	站集	店集	芒种桥	
终		tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	
众		tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	
祝		tʂu²⁴	tʂu²⁴	tʂu⁴¹	tʂu⁴¹	tʂu²⁴	tʂu²⁴	tʂu²⁴	tʂu²⁴	
粥		tʂou²⁴	tʂou²⁴	tʂou²⁴	tʂou²⁴	tʂou²⁴	tʂou²⁴	tʂou²⁴	tʂou²⁴	
充		tʂʰuŋ²⁴	tʂʰuŋ²⁴	tʂʰuŋ²⁴	tʂʰuŋ²⁴	tʂʰuŋ²⁴	tʂʰuŋ²⁴	tʂʰuŋ²⁴	tʂʰuŋ²⁴	
叔		fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	
熟		fu⁵²	fu⁵²	fu⁵²	fu⁵²	fu⁵²	fu⁵²	fu⁵²	fu⁵²	
绒		yŋ⁵²	yŋ⁵²	yŋ⁵²	yŋ⁵²	yŋ⁵²	ʐuŋ⁵²	ʐuŋ⁵²	ʐuŋ⁵²	
肉		ʐou⁴¹	ʐou⁴¹	zou⁴¹	zou⁴¹	ʐou⁴¹	ʐou⁴¹	ʐou⁴¹	ʐou⁴¹	
弓		kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	
菊		tɕy²⁴	tɕy²⁴	tɕy²⁴	tɕy²⁴	tɕy²⁴	tɕy²⁴	tɕy²⁴	tɕy²⁴	
熊		ɕyŋ⁵²	ɕyŋ⁵²	ɕyŋ⁵²	ɕyŋ⁵²	ɕyŋ⁵²	ɕyŋ⁵²	ɕyŋ⁵²	ɕyŋ⁵²	
雄		ɕyŋ⁵²	ɕyŋ⁵²	ɕyŋ⁵²	ɕyŋ⁵²	ɕyŋ⁵²	ɕyŋ⁵²	ɕyŋ⁵²	ɕyŋ⁵²	
融		yŋ⁵²	yŋ⁵²	yŋ⁵²	yŋ⁵²	ʐuŋ⁵²	ʐuŋ⁵²	ʐuŋ⁵²	ʐuŋ⁵²	
鬻		y²⁴	y²⁴	y²⁴	y²⁴	y²⁴	y²⁴	y²⁴	y²⁴	
封		fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	
蜂		fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	
捧		pʰəŋ⁴⁴	pʰəŋ⁴⁴	pʰəŋ⁴⁴	pʰəŋ⁴⁴	pʰəŋ⁴⁴	pʰəŋ⁴⁴	pʰəŋ⁴⁴	pʰəŋ⁴⁴	
逢		fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	
缝		fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	
奉		fəŋ⁴¹	fəŋ⁴¹	fəŋ⁴¹	fəŋ⁴¹	fəŋ⁴¹	fəŋ⁴¹	fəŋ⁴¹	fəŋ⁴¹	
缝	一~条	fəŋ⁴¹	fəŋ⁴¹	fəŋ⁴¹	fəŋ⁴¹	fəŋ⁴¹	fəŋ⁴¹	fəŋ⁴¹	fəŋ⁴¹	
浓		nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	
龙		luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	
绿		ly²⁴	ly²⁴	ly²⁴	ly²⁴	ly²⁴	ly²⁴	ly²⁴	ly²⁴	
