字	注释	张集	大杨集	李老家	田庙	郑集	站集	店集	芒种桥	
纵		tsuŋ⁴¹	tsuŋ⁴¹	tsuŋ⁴¹	tsuŋ⁴¹	tsuŋ⁴¹	tsuŋ⁴¹	tsuŋ⁴¹	tsuŋ⁴¹	
脓		nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	
宗		tsuŋ²⁴	tsuŋ²⁴	tsuŋ²⁴	tsuŋ²⁴	tsuŋ²⁴	tsuŋ²⁴	tsuŋ²⁴	tsuŋ²⁴	
宋		suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	
酷		kʰu⁴¹	kʰu⁴¹	kʰu⁴¹	kʰu⁴¹	kʰu⁴¹	kʰu⁴¹	kʰu⁴¹	kʰu⁴¹	
风		fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	
疯		fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	
讽		fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	
福		fu²⁴	fu²⁴	fu²⁴	fu²⁴	fu²⁴	fu²⁴	fu²⁴	fu²⁴	
幅		fu²⁴	fu²⁴	fu²⁴	fu²⁴	fu²⁴	fu²⁴	fu²⁴	fu²⁴	
复		fu²⁴	fu²⁴	fu²⁴	fu²⁴	fu²⁴	fu²⁴	fu²⁴	fu²⁴	
丰		fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	fəŋ²⁴	
冯		fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	fəŋ⁵²	
