汉字	注释	音标
位		vui5
飞		fui1
匪		fui3
费		fui5
肥		fui2
尾		mui1
味		mui5
归		kui1
鬼		kui3
贵		kui5
魏		ŋui5
威		vui5
围		vui2
伟		vui3
胃		vui5
宝		pau3
报		pau5
袍		pʰau2
抱		pʰau5
暴		pʰau5
毛		mau2
帽		mau5
刀		tau1
到		tau5
讨		tʰau3
套		tʰau5
桃		tʰau2
道		tʰau5
稻		tʰau1
脑		nau3
牢		lau2
捞		lau1
老		lau3
糟		θau1
早		θau3
造		tʰau5
操	体~	tʰau1
草		tʰau3
曹		tʰau2
造		tʰau5
臊		θau1
扫	~地	θau5
嫂		θau3
扫	~帚	θau5
高		kau1
稿		kau3
告		kau5
考		kʰau3
靠		kʰau5
熬		ŋau2
傲		ŋau5
好	~坏	hau3
号	~数	hau5
袄		ŋau3
包		pau1
饱		pau3
豹		pau5
炮		pʰau5
跑		pʰau3
猫		miau5
闹		nau5
罩		θau5
抄		tʰau1
炒		tʰau3
巢		tʰau2
交		kau1
搅		kau3
搞		kau3
教	~育	kau5
咬		ŋau1
孝		hau5
效		hau5
标		piau1
表		piau3
飘		pʰiau1
瓢		pʰiau2
苗		miau2
秒		miau3
庙		miau5
妙		miau5
椒		θiau1
消		θiau1
小		θiau3
笑		θiau5
朝	今~	tʃau1
超		tʃʰau1
潮		tʃʰau2
赵		tʃʰau5
招		tʃau1
照		tʃau5
烧		ʃau1
少	多~	ʃau3
绍		ʃau5
饶		niau2
骄		kiau1
桥		kʰiau2
轿		kʰiau5
腰		iau1
要	需~	iau5
摇		iau2
窑		iau2
舀		iau3
耀		iau5
鸟		tiau1
钓		tiau5
挑		tʰiau1
跳		tʰiau5
条		tʰiau2
调	音~	tʰiau5
尿		niau5
了		liau3
料		liau5
萧		θiau1
缴		kiau3
叫		kiau5
晓		hiau3
亩		mɛu1
母		mu1
兜		tɛu1
斗	一~	tɛu3
斗	~争	tɛu5
偷		tʰɛu1
透		tʰɛu5
头		tʰɛu2
豆		tʰɛu5
楼		lɛu2
篓		lɛu3
漏		lɛu5
走		θɛu3
沟		kɛu1
阄		kɛu1
狗		kɛu3
够		kɛu5
口		hɛu3
扣		kʰɛu5
藕		ŋɛu1
喉		hɛu2
猴		hɛu2
后	前~	hɛu5
厚		hɛu1
呕		ɛu3
沤		ɛu5
富		fu5
浮		fɛu2
妇		fu5
谋		mɛu2
矛		mau2
纽		niu3
流		liu2
刘		liu2
留		liu2
柳		liu3
酒		θiu3
秋		tʰiu1
就		tʰiu5
修		θiu1
绣		θiu5
袖		tʰiu5
昼		tʃu5
抽		tʃʰu1
绸		tʃʰu2
绉		θɛu5
愁		θɛu2
搜		θɛu1
瘦		θɛu5
周		tʃu1
州		tʃu1
帚		tʃu3
咒		tʃu5
臭		tʃʰu5
收		ʃu1
手		ʃu3
守		ʃu3
仇		tʃʰu2
受		ʃu5
寿		ʃu5
九		kiu3
久		kiu3
救		kiu5
丘		kʰiu1
球		kʰiu2
舅		kʰiu1
旧		kʰiu5
牛		niu2
休		hiu1
忧		iu1
有		iu1
右		iu5
油		iu2
彪		piau1
纠		kiu1
幼		iu5
答		tap7
搭		tap7
贪		tʰam1
探		tʰam5
踏		tʰap8
潭		tʰam2
南		nam2
男		nam2
纳		nap8
参	~加	tʰam1
蚕		tʰam2
杂		tʰap8
感		kam3
鸽		kɛp7
含		ham2
合		hap8
暗		am5
担	~任	tam1
胆		tam3
担	挑~	tam1
塌		tʰap7
塔		tʰap7
痰		tʰam2
淡		tʰam1
篮		lam2
腊		lap8
蜡		lap1
甘		kam1
柑		kam1
敢		kam3
喊		ham3
站	车~	tʰam5
赚		tʰam5
