pi2皮疲脾
pi3蓖篦陛譬比篦
pi4被
pi5臂
pi6婢被痹备
pʰi1披庇
pʰi2琵
pʰi3彼鄙
pʰi5屁
mi2眉媚媚
mi3尾
mi6昧泌未味
fi1非飞
fi2肥
fi3匪榧妃
fi5痱
ti6地
ni2倪宜仪谊疑匿逆溺
ni3哪那拟
ni4你
li2离篱璃离梨厘狸栗
li4李里裏理鲤
li6厉励荔利痢
tɕi1知蜘支枝肢栀资姿咨之芝
tɕi2池驰瓷糍迟雉慈磁伺辞词祠嗣饲
tɕi3紫纸只姊脂旨指至兹滋子梓持痔辎滓止趾址掷
tɕi4巳
tɕi5智翅致稚冀鳍置志誌痣
tɕi6雌自字牸寺
tɕʰi1痴
tɕʰi3此疵侈耻齿
tɕʰi5刺赐次
ɕi1斯厮撕施私师狮尸司丝思诗恃
ɕi2匙匙时鲥
ɕi3玺徙死矢屎似使史驶始
ɕi4是氏
ɕi5四肆嗜试
ɕi6鼓示视祀士仕柿事市侍
ki1饥肌几基机讥饑
ki2徛倚祁其棋期旗祈讫乞
ki3妓己纪杞几
ki5寄记忌既季屐
kʰi1欺
kʰi2奇骑岐
kʰi3起岂
kʰi5企器气汽
ŋi2儿
ŋi4尔蚁耳饵
ŋi6议二贰
hi1溪奚兮牺熙稀
hi3嬉喜希
hi5系繫係戏弃
i1医衣依
i2移夷姨矣沂遗逸抑域
i3椅以
i4已
i5肄意异忆亿翼
i6易译
pu1仆
pu2蒲菩孵曝瀑
pu3补斧釜
pu4薄
pu5布怖怖
pu6部步埠
pʰu1铺扑
pʰu2僕
pʰu3谱普浦脯甫脯辅
pʰu4赴
pʰu5舖
pʰu6捕
mu2巫诬母拇
mu3幕
mu6暮慕墓募
fu1夫肤
fu2俘符扶芙浮
fu3府腑俯敷抚腐
fu4赋傅讣父妇
fu5裤付附富副负
fu6戊
tu1都
tu2徒屠途涂图突秃笃
tu3都堵赌杜
tu4肚
tu5肚度渡镀
tu6妒
tʰu3土
tʰu5吐兔
nu2奴
nu4努
nu6怒
lu2卢炉芦鸿庐
lu4鲁橹虏卤
lu6路赂露鹭
tsu1租
tsu3祖
tsʰu1粗
tsʰu5醋
su1苏酥
su5素诉塑漱
ku1姑
ku2酷
ku3孤箍古估牯股鼓
ku4蹲
ku5故固雇顾
kʰu1枯
kʰu3苦
kʰu5库
ŋu2梧
hu1呼乎麸
hu3虎浒
hu5戽
u1乌污坞
u2吴蜈胡湖狐壶瓠葫鬍无握沃
u4户沪武舞侮鹉雾
u5恶务
u6误悟互护
vy6芋
ny4女
ly2驴
ly4吕旅
ly6虑滤
tsʰy3处
tsʰy5趣
tɕy1猪诸诛蛛株朱硃珠
tɕy2徐除厨
tɕy3煮主
tɕy4著储聚拄柱
tɕy5註注蛀铸
tɕy6箸驻住
tɕʰy1蛆
tʰy3取娶嗤
tɕʰy5处趋
ɕy1絮书舒须鬚需输戍输
ɕy2薯殊
ɕy3鼠黍
ɕy4竖
ɕy5嗉序叙绪暑庶恕署
ɕy6树
ky1居车驹
ky2倔
ky3举矩
ky5锯句
ky6据巨拒距俱瞿具惧剧
kʰy1枢拘区驱
kʰy2渠
ky5去
ŋy2鱼渔
hy1墟虚嘘
hy3许
y2如於余馀儒虞娱迁于孟
y3淤
y4杵汝语与乳雨宇禹羽
y5裕
y6御誉预豫愚遇寓榆逾愉愈喻玉
pa1巴芭
pa2耙拔
pa3把欛爸
pa5霸壩坝
pa6罢
pʰa2爬琶杷
pʰa5怕
ma2麻痲蟆
ma3马码
ma6骂
va1蛙洼
va2和禾华铧
va4祸
va5画话
va6劃
tʰa1拖
tsa1楂渣叉
tsa2茶茬查
tsa5诈榨炸乍
tsʰa1差岔
sa1沙纱杉撒
ka1戈家加痂嘉傢暇
ka2噎
ka3假贾假
ka5架驾嫁稼价
ŋa2牙芽衙
ŋa4雅
ŋa5杈
ŋa6桠
ha1虾哈霞遐蝦
ha6下夏厦
kʷa1锅瓜剐
kʷa3果裹餜窠寡
kʷa5过过挂卦
kʰʷa1科窝夸垮跨
kʰʷa3棵颗课
kʰʷa5货
a1鸦丫蜗
a3贺阿阿哑亚
a4也
a6厦
tsʰia6谢
tɕia1遮
tɕia2邪斜
tɕia3者
tɕia5借藉蔗
tɕʰia1车
tɕʰia3且扯
ɕia2蛇麝赊余
ɕia3些写舍
ɕia4社
ɕia5奢赦舍
ɕia6泻卸射
