#i
p[55]碑卑篦[31]彼鄙比髀[33]闭臂秘泌庇痹
pʰ[55]披被丕纰砒[13]皮疲脾琵枇啤[31]痞[33]譬婢避屁备鼻
m[13]迷谜{猜～}糜{～烂}弥靡媚猕[31]米
t[55]堤知[33]帝蒂谛缔
tʰ[13]题提[31]体[33]替嚏弟第递逮地
n[13]倪霓凝[31]□{哪，哪个}
ɬ[55]西犀斯厮撕私丝[31]死[33]絮四肆
l[55]礼璃里{公～}理鲤[13]离{别～}篱梨厘狸漓[31]履李里{家～}[33]例厉励丽隶蜊{蛤～}利吏俐莉脷
ts[55]剂蜘支枝肢栀资姿咨脂兹滋辎之芝孜[13]□{扯}[31]紫纸只{不～}姊旨指子滓止趾址[33]著驻注{～解}制{～度}际济智妓致稚至置痔志{同～}痣骤
tsʰ[55]妻凄{～凉}痴[13]徐脐雌池驰踟瓷糍迟慈磁鹚辞词祠饲持弛[31]娶此侈耻齿始[33]刺赐翅次伺似寺{少林～}治
ȵ[55]语尔议□{你们}[13]儿宜你[31]耳饵拟□{哪，哪个}[33]遇仪谊义二贰
s[55]圩嘘熙施尸诗[13]匙{钥～}匙{汤～}时市[31]玺眵屎[33]是氏豉视嗜去{离～}侍誓逝戏器弃气汽柿示试祛
k[55]居车{～马炮}拘驹饥{～饿}肌几{茶～}基机讥饥{～荒}[13]佢奇{～数}[31]举渠巨拒具惧炬己纪杞{枸～}几{老～}沮□{～儿，这里}[33]锯句寄冀记既暨
kʰ[55]距趋区{专～}驱徛欺躯[13]瞿奇{～怪}骑岐歧祁鳍其棋期旗麒[31]启企技岂杞{～人忧天}[33]据俱矩忌
h[55]虚牺嬉希稀嘻[31]许起喜祈
∅[55]于{终～}淤迂伊医以衣依[13]余{多～}预愚寓愉愈喻移夷姨疑遗屿俞瑜渝怡颐胰如[31]与誉雨宇禹羽倚椅已异[33]御{～用}豫吁榆裕易{容～}意薏懿

#u
p[55]踎[31]补戊[33]布{宣～}怖埠
pʰ[55]铺{床～}簿孵□{暗～夜：夜晚，夜间}[13]蒲菩脯{胸～}脯{果～}葡扶[31]谱圃{花～}普浦捕辅哺埔圃{苗～}[33]铺{店～}部步瀑
m[55]模{～子}巫母拇姆[31]舞侮[33]慕墓募武鹉务雾牡
f[55]呼乎夫肤敷俘麸[13]胡{～椒}湖狐壶葫蝴糊符芙腐{～烂}弧[31]虎浒府腑俯甫斧抚釜[33]库裤户沪互护付赋傅咐{吩～}赴讣父腐{豆～}附驸富副妇负
t[55]都[31]堵赌肚{猪～}肚{～子}[33]□{剁}
tʰ[13]徒屠途涂图[31]土[33]妒兔杜度渡镀
n[13]奴[31]努[33]怒
ɬ[55]苏酥[33]素诉数漱
l[13]卢炉芦鸬鲁虏卤庐驴鲈颅[33]路露{显～}鹭
ts[55]租猪诸诛蛛株朱{姓～}珠蛀[31]祖阻煮主[33]注{～意}
tsʰ[55]粗拄柱[13]除厨橱雏[31]储楚础处{相～}鼠暑[33]醋箸处{到～}住□{～日：昨天}
s[55]枢书舒输{赌～}[13]薯蜍[31]署殊曙[33]竖树{松～}庶恕戍
k[55]姑孤鸪辜估菇沽[31]古盬股鼓蛊[33]故固锢雇顾
kʰ[55]箍枯[31]苦[33]酷{～似}
∅[55]乌污诬钨邬[33]恶{厌～}芋

#a
p[55]巴芭疤笆爸吧[31]把{～握}把{刀～}罢靶[33]霸坝{水～}
pʰ[13]爬琶杷耙□{下～：下巴}[33]怕
m[55]妈马码蚂玛[13]麻{黄～}蟆痳嫲[33]骂
f[55]花[13]华{中～}桦[33]化华{姓～}画
v[55]蛙{青～}洼娃[33]话
t[31]打
tʰ[55]他{其～}她它
n[55]□{扭～：不正}
ɬ[55]沙纱裟砂鲨□{发～：中暑}[31]洒写耍
l[13]蝲[31]喇[33]罅□{～背：外面}
ts[55]楂渣遮[31]者[33]诈榨炸{爆～}乍借藉{借口}蔗鹧
tsʰ[55]叉杈差{～别}差{参～}岔车{单～}[13]茶搽查邪[31]且扯[33]斜谢□{动，阻碍}
s[55]佘社奢赊[13]蛇[31]舍{～得}[33]射舍{宿～}
k[55]家{～庭}加嘉瓜枷袈呱[13]䗁[31]假{真～}假{放～}贾寡剐[33]架驾嫁稼价挂卦
kʰ[55]卡夸垮咖[33]跨胯挎
ŋ[13]牙芽衙雅讶蚜[31]瓦{砖～}
h[55]哈{～腰}下{底～}□{欺负}□{□kʰam}[33]{～：旁边}□{□sap⁵～：腋窝}[13]虾遐蛤暇[33]厦{大～}厦{～门}霞夏{春～}下{～降}
∅[55]阿{～哥}鸦丫桠[31]哑[33]亚

#ia
l[33]□{名，裂缝}
tsʰ[13]笡
∅[55]野冶[13]爷[33]也夜

#e
p[13]背{～书包}□{用肩背人}
pʰ[55]捭□{扑克}□{削，～铅笔}
t[31]抵[33]□{哪～：哪里}
tʰ[55]□{舐}
n[55]蚭[13]泥{(糊墙)～子}呢[33]腻
ɬ[31]洗[33]细婿
l[55]□{蹄子}[33]□{划破，割开}
ts[55]□{一～米：一把米}[31]滞[33]制{～造}
tsʰ[55]□{筛子}[13]齐
s[33]世势
k[55]鸡[33]计继
kʰ[55]溪奚[13]茄[33]契
ŋ[33]艺艾{～草}蚁毅
h[55]靴[33]系{～统}
∅[31]籺[33]嘅

#o
p[55]波{～浪}菠玻褒煲波{～鞋（球鞋）}[31]保堡宝[33]簸播报
pʰ[55]坡□{量词，棵：一～树}[13]婆浮[33]破暴剖
m[55]魔摩模{劳～}摹毛摸{偷～}么□{晏～～：天色很晚}[13]磨{石～}磨{动作慢}冇[33]磨{～刀}帽蘑
f[13]和[31]火伙{～计}[33]货
v[55]祸倭涡莴蜗[13]禾
t[55]多刀叨纠{～纷}[31]朵躲椭祷岛倒{～塌}捣纠{～察}[33]剁堕惰到倒{～挂}
tʰ[55]拖滔涛导[13]驼驮{～起}舵驮{～运(货物)}桃逃淘陶萄鸵砣陀[31]妥讨[33]套道稻盗透
n[13]挪娜[31]脑恼瑙[33]糯
ɬ[55]梭唆梳疏蔬臊□{～□kap³:蟑螂}[31]锁琐所嫂[33]扫{～地}扫{～把}□{摸～：形容迟缓}
l[55]啰唠[13]罗锣箩萝{菠～}骡螺脶劳{勤～}牢痨劳{～军}逻[31]裸老佬[33]□{稀疏}
ts[55]遭糟[31]左佐组早枣藻[33]做灶造
tsʰ[55]坐初糙[13]锄[31]草[33]挫锉座措错{写～}助噪燥{干～}就
s[31]傻
k[55]歌哥戈高篙[31]果裹馃稿[33]个过{记～}告
kʰ[55]科棵蝌颗[31]可[33]课
ŋ[55]岳[13]蛾{飞～，灯～}鹅俄讹娥峨蛾{～子}[33]饿卧
h[55]苛[13]荷{薄～}河何荷{～花}豪壕毫嚎蚝[31]好{良～}[33]贺耗浩号{编～}皓
∅[55]阿{～胶}屙

#ai
p[55]□{崴脚}[31]摆[33]拜
pʰ[13]排牌篺[33]派败
m[55]买[13]埋[33]卖
f[13]怀槐淮[33]坏
t[33]戴带
tʰ[13]蹄啼[33]大态太泰汰
n[31]奶
ɬ[55]□{浪费}[33]赛晒
l[55]拉[13]攋[33]赖癞
ts[55]斋[31]寨[33]债
tsʰ[55]猜钗搋差{出～}[13]柴[31]踩[33]在
