#a
pa1　巴芭疤
pa3　把
pa5　霸壩壩
pa0　叭{喇叭}巴{~俚，大约，左右：九点~俚来}
pʰa2　爬
pʰa5　怕耙稗{~草}
pʰa0　琶{琵~}杷{枇~}
ma3　马码蚂
ma5　骂
ma0　□{大~指头：大拇指}
fa1　花
fa2　华{中~}划{~船}
fa5　化{文~}画
ta1　遮
ta3　者打
ta5　蔗
tʰa1　车{~马}
tʰa3　扯
na2　拿
na3　哪{~个？}
na5　□{只、仅：~有一个崽}
la1　拉
la3　喇{~叭}
la0　□{侉~：北方人}
tsa1　渣抓
tsa5　诈榨炸
tsʰa1　差{~不多}
tsʰa2　茶搽查{调~}
sa1　沙纱砂赊
sa2　蛇
sa3　厦{~俚：偏厦}
sa5　社射
sa0　□{庖~：蜘蛛}
ka1　家加嘉
ka3　假{真~，放~}
ka5　嫁价架驾
kʰa1　蝦{~公：虾}
ŋa1　□{~~鸭(替)鸭(替)：吹毛求疵，故意挑毛病}
ŋa2　牙芽衙伢{~俚：孩子}
ŋa3　哑
ha1　下
ha5　夏
a2　我

#ia
tia1　爹
nia3　惹
tɕia3　姐{读字音}
tɕia5　借
tɕʰia2　茄斜
tɕʰia3　且
tɕʰia5　谢{姓}
ɕia2　邪
ɕia3　写
ɕia5　谢{感~}
ia1　丫{~头}
ia2　爷
ia3　也野
ia5　夜

#ua
kua1　呱{~~叫：了不起}瓜
kua3　寡剐
kua5　挂卦
kʰua1　誇
kʰua3　垮
ua3　瓦
ua5　话{~事：说话}

#o
po1　波菠玻坡
po5　播
pʰo2　婆
pʰo5　破□{~~糖：一种糖，块状，内有孔}
mo1　摸
mo2　磨{~刀}魔摩𡡉{鸡~：母鸡}麽{~俚：什么}
mo5　磨{~俚：石磨}
fo2　和{~气}
fo3　火伙
fo5　货祸
to1　多
to3　朵
tʰo1　拖
tʰo2　驼驮□{车~俚：车轮}
tʰo3　妥
tʰo5　舵
no2　捼{搓揉：~衣裳}
no5　糯
lo2　罗锣箩螺
lo3　卵{~鸡：赤子阴}
lo5　裸
tso3　左
tso5　做{~事}
tsʰo1　搓
tsʰo5　锉
so1　蓑梭唆
so3　锁
ko1　哥{读字音}歌
ko2　哥{~~}箇{这}
ko5　箇{一~两~}
ko0　箇{助词，相当于“的”：我~你~}
kʰo3　可
ŋo2　蛾鹅俄讹
ŋo3　我{读字音}
ŋo5　饿
ho2　河何荷
ho5　贺

#io
nio3　□{绕：把线~拢来}
io3　哟{痛得~~叫}

#uo
kuo1　锅
kuo3　果裹
kuo5　过
kʰuo1　科窠
kʰuo5　课
uo1　莴{~苣}窝
uo2　和{~尚}禾

#ɛ
nɛ2　你
kɛ5　锯
kʰɛ2　渠{他}
kʰɛ5　去
ŋɛ2　鱼渔
hɛ1　墟{赶~}
hɛ3　许{~个：那个}

#iɛ
niɛ3　女
tɕiɛ3　姐{~~：叔母}
tɕʰiɛ1　□{~~：铙钹，打击乐器}
ɕiɛ1　□{舐：~盘子}

#uɛ
kuɛ3　□{~~叫，高声叫喊：打得~~叫}

#ɵ
tɵ1　知支枝肢脂之芝
tɵ3　纸旨止址
tɵ5　致至置志誌痣制
tʰɵ2　池迟持
tʰɵ3　恥齿
tʰɵ5　痔治□{~落：浪费}
nɵ1　□{~tɕʰi⁰：乳房，乳汁}
